crinosity |Hairiness. [R.]
cucullate |1. Hooded; cowled; covered, as with a hood. Sir T. Browne. 2. (Bot.)  Having the edges toward the base rolled inward, as the leaf of the commonest American blue violet. 3. (Zoöl.) (a) Having the prothorax elevated so as to form a sort of hood, receiving the head, as in certain insects. (b) Having a hoodlike crest on the head, as certain birds, mammals, and reptiles.
cucullated |1. Hooded; cowled; covered, as with a hood. Sir T. Browne. 2. (Bot.)  Having the edges toward the base rolled inward, as the leaf of the commonest American blue violet. 3. (Zoöl.) (a) Having the prothorax elevated so as to form a sort of hood, receiving the head, as in certain insects. (b) Having a hoodlike crest on the head, as certain birds, mammals, and reptiles.
cucullus |1. (Bot.)  A hood-shaped organ, resembling a cowl or monk's hood, as certain concave and arched sepals or petals. 2.  (Zoöl.) A color marking or structure on the head somewhat resembling a hood.
cuculoid |Like or belonging to the cuckoos (Cuculidæ).
cucumber |A creeping plant, and its fruit, of several species of the genus Cucumis, esp. Cucumis sativus, the unripe fruit of which is eaten either fresh or picked. Also, similar plants or fruits of several other genera. See below. Bitter cucumber (Bot.), the Citrullus or Cucumis Colocynthis. SeeColocynth. -- Cucumber beetle. (Zoöl.) (a) A small, black flea-beetle (Crepidodera cucumeris), which destroys the leaves of cucumber, squash, and melon vines. (b) The squash beetle. -- Cucumber tree.(a) A large ornamental or shade tree of the genus Magnolia (M. acuminata), so called from a slight resemblance of its young fruit to a small cucumber. (b) An East Indian plant (Averrhoa Bilimbi) which produces the fruit known as bilimbi. -- Jamaica cucumber, Jerusalem cucumber, the prickly-fruited gherkin (Cucumis Anguria). -- Snake cucumber, a species (Cucumis flexuosus) remarkable for its long, curiously-shaped fruit. -- Squirting cucumber, a plant (Ecbalium Elaterium) whose small oval fruit separates from the footstalk when ripe and expels its seeds and juice with considerable force through the opening thus made. See Elaterium. -- Star cucumber,a climbing weed (Sicyos angulatus) with prickly fruit.
cucumiform |Having the form of a cucumber; having the form of a cylinder tapered and rounded at the ends, and either straight or curved.
cucumis |A genus of plants including the cucumber, melon, and same kinds of gourds.
cucurbit |A vessel of flask for distillation, used with, or forming part of, an alembic; a matrass; -- originally in the shape of a gourd, with a wide mouth. See Alembic.
cucurbitaceous |Of, pertaining to, or resembling, a family of plants of which the cucumber, melon, and gourd are common examples.
cucurbite |A vessel of flask for distillation, used with, or forming part of, an alembic; a matrass; -- originally in the shape of a gourd, with a wide mouth. See Alembic.
cucurbitive |Having the shape of a gourd seed; -- said of certain small worms.
cud |1. That portion of food which is brought up into the mouth by ruminating animals from their first stomach, to be cheved a second time. Whatsoever parteth the hoof, and is cloven-footed, and cheweth the cud, among the beasts, that shall ye eat. Levit. xi. 3 2. A portion of tobacco held in the mouth and chewed; a quid. [Low] 3. The first stomach of ruminating beasts. Crabb. To chew the cud, to ruminate; to meditate; used with of; as, to chew the cud of bitter memories. Chewed the thrice turned cudof wrath. Tennyson.
cudbear |1. A powder of a violet red color, difficult to moisten with water, used for making violet or purple dye. It is prepared from certain species of lichen, especially Lecanora tartarea. Ure. 2. (Bot.)  A lichen (Lecanora tartarea), from which the powder is obtained.
cudden |1. A clown; a low rustic; a dolt. [Obs.] The slavering cudden, propped upon his staff. Dryden. 2. (Zoöl.)  The coalfish. See 3d Cuddy.
cuddle |To She cuddles low beneath the brake; Nor would she stay, nor dares she fly. Prior.\n\nTo embrace closely; to foundle. Forby.\n\nA close embrace.
cuddy |1. An ass; esp., one driven by a huckster or greengrocer. [Scot.] 2. Hence: A blockhead; a lout. Hood. 3. (Mech.)  A lever mounted on a tripod for lifting stones, leveling up railroad ties, etc. Knight.\n\nA small cabin: also, the galley or kitchen of a vessel.\n\nThe coalfish (Pollachius carbonarius). [Written also cudden.]
cudgel |A staff used in cudgel play, shorter than the quarterstaff, and wielded with one hand; hence, any heavy stick used as a weapon. He getteth him a grievous crabtree cudgel and . . . falls to rating of them as if they were dogs. Bunyan. Cudgel play, a fight or sportive contest with cudgels. -- To cross the cudgels, to forbear or give up the contest; -- a phrase borrowed from the practice of cudgel players, who lay one cudgel over another when the contest is ended. -- To take up cudgels for, to engage in a contest in behalf of (some one or something).\n\nTo beat with a cudgel. An he here, I would cudgel him like a dog. Shak. To cudgel one's brains, to exercise one's wits.
cudgeler |One who beats with a cudgel. [Written also cudgeller.]
cudweed |A small composite plant with cottony or silky stem and leaves, primarily a species of Gnaphalium, but the name is now given to many plants of different genera, as Filago, Antennaria, etc.; cottonweed.
cue |1. The tail; the end of a thing; especially, a tail-like twist of hair worn at the back of the head; a queue. 2. The last words of a play actor's speech, serving as an intimation for the next succeeding player to speak; any word or words which serve to remind a player to speak or to do something; a catchword. When my cue comes, call me, and I will answer. Shak. 3. A hint or intimation. Give them [the servants] their cue to attend in two lines as he leaves the house. Swift. 4. The part one has to perform in, or as in, a play. Were it my cueto fight, I should have known it Without a prompter. Shak. 5. Humor; temper of mind. [Colloq.] Dickens. 6. A straight tapering rod used to impel the balls in playing billiards.\n\nTo form into a cue; to braid; to twist.\n\nA small portion of bread or beer; the quantity bought with a farthing or half farthing. [Obs.] Note: The term was formerly current in the English universities, the letter q being the mark in the buttery books to denote such a portion. Nares. Hast thou worn Gowns in the university, tossed logic, Sucked philosophy, eat cues Old Play.
cuerpo |The body. In cuerpo, without full dress, so that the shape of the Body is exposed; hence, naked or uncovered. Exposed in cuerpo to their rage. Hudibras.
cuesta |A sloping plain, esp. one with the upper end at the crest of a cliff; a hill or ridge with one face steep and the opposite face gently sloping. [Southwestern U. S.]
cuff |1. To strike; esp., to smite with the palm or flat of the hand; to slap. I swear I'll cuff you, if you strike again. Shak. They with their quills did all the hurt they could, And cuffed the tender chickens from their food. Dryden. 2. To buffet. \"Cuffed by the gale.\" Tennyson.\n\nTo fight; to scuffle; to box. While the peers cuff to make the rabble sport. Dryden.\n\nA blow; esp.,, a blow with the open hand; a box; a slap. Snatcheth his sword, and fiercely to him flies; Who well it wards, and quitten cuff with cuff. Spenser. Many a bitter kick and cuff. Hudibras.\n\n1. The fold at the end of a sleeve; the part of a sleeve turned back from the hand. He would visit his mistress in a morning gown, band,short cuffs, and a peaked beard. Arbuthnot. 2. Any ornamental appendage at the wrist, whether attached to the sleeve of the garment or separate;especially, in modern times, such an appendage of starched linen, or a substitute for it of paper, or the like.
cuffy |A name for a negro. [Slang]
cufic |Of or pertaining to the older characters of the Arabic language. [Written also Kufic.]
cui bono |Lit., for whose benefit; incorrectly understood, it came to be used in the sense, of what good or use; and hence, (what) purpose; object; specif., the ultimate object of life.
cuinage |The stamping of pigs of tin, by the proper officer, with the arms of the duchy of Cornwall.
cuir bouilli |In decorative art, boiled leather, fitted by the process to receive impressed patterns, like those produced by chasing metal, and to retain the impression permanently.
cuirass |1. (a) A piece of defensive armor, covering the body from the neck to the girdle. (b) The breastplate taken by itself. Note: The cuirass covered the body before and behind. It consisted of two parts, a breast- and backpiece of iron fastened together by means of straps and buckles or other like contrivances. It was originally, as the name imports, made of leather, but afterward of metal. Crose. 2. (Zoöl)  An armor of bony plates, somewhat resembling a cuirass.
cuirassed |1. Wearing a cuirass. 2. (Zoöl)  Having a covering of bony plates, resembling a cuirass;- said of certain fishes.
cuirassier |A soldier armed with a cuirass. Milton.
cuish |Defensive armor for the thighs. [ Written also cuisse, and quish.]
cuisine |1. The kitchen or cooking department. 2. Manner or style of cooking.
cul-de-sac |1. A passage with only one outlet, as a street closed at one end; a blind alley; hence, a trap. 2. (Mil.)  a position in which an army finds itself with no way of exit but to the front. 3. (Anat.)  Any bag-shaped or tubular cavity, vessel, or organ, open only at one end.
culasse |The lower faceted portion of a brilliant-cut diamond.
culdee |One of a class of anchorites who lived in various parts of Scotland, Ireland, and Wales. The pure Culdees Were Albyn's earliest priests of God. Campbell.
culerage |See Culrage.
culex |A genus of dipterous insects, including the gnat and mosquito.
culicid |Like or pertaining to the Mosquito family (Culicidæ). -- n.  A culicid insect.
culiciform |Gnat-shaped.
culinarily |In the manner of a kitchen; in connection with a kitchen or cooking.
culinary |Relating to the kitchen, or to the art of cookery; used in kitchens; as, a culinary vessel; the culinary art.
cull |To separate, select, or pick out; to choose and gather or collect; as, to cuil flowers. From his herd he culls, For slaughter, from the fairest of his bulls. Dryden. Whitest honey in fairy gardens culled. Tennyson.\n\nA cully; a dupe; a gull. See Gully.
cullender |A strainer. See Colander.
culler |One who piks or chooses; esp., an inspector who select wares suitable for market.
cullet |Broken glass for remelting.\n\nA small central plane in the back of a cut gem. See Collet, 3 (b).
cullibility |Gullibility. [R.] Swift.
cullible |Easily deceived; gullible.
culling |1. The act of one who culls. 2. pl.  Anything separated or selected from a mass.
cullion |A mean wretch; a base fellow; a poltroon; a scullion. \"Away, base cullions.\" Shak.
