whobub |Hubbub. [Obs.] Beau. & Fl.
winter |1. The season of the year in which the sun shines most obliquely upon any region; the coldest season of the year. \"Of thirty winter he was old.\" Chaucer. And after summer evermore succeeds Barren winter, with his wrathful nipping cold. Shak. Winter lingering chills the lap of May. Goldsmith. Note: North of the equator, winter is popularly taken to include the months of December, January, and February (see Season). Astronomically, it may be considered to begin with the winter solstice, about December 21st, and to end with the vernal equinox, about March 21st. 2. The period of decay, old age, death, or the like. Life's autumn past, I stand on winter's verge. Wordsworth. Winter apple, an apple that keeps well in winter, or that does not ripen until winter. -- Winter barley, a kind of barley that is sown in autumn. -- Winter berry (Bot.), the name of several American shrubs (Ilex verticillata, I. lævigata, etc.) of the Holly family, having bright red berries conspicuous in winter. -- Winter bloom. (Bot.) (a) A plant of the genus Azalea. (b) A plant of the genus Hamamelis (H. Viginica); witch-hazel; -- so called from its flowers appearing late in autumn, while the leaves are falling. -- Winter bud (Zoöl.), a statoblast. -- Winter cherry (Bot.), a plant (Physalis Alkekengi) of the Nightshade family, which has, a red berry inclosed in the inflated and persistent calyx. See Alkekengi. -- Winter cough (Med.), a form of chronic bronchitis marked by a cough recurring each winter. -- Winter cress (Bot.), a yellow-flowered cruciferous plant (Barbarea vulgaris). -- Winter crop, a crop which will bear the winter, or which may be converted into fodder during the winter. -- Winter duck. (Zoöl.) (a) The pintail. (b) The old squaw. -- Winter egg (Zoöl.), an egg produced in the autumn by many invertebrates, and destined to survive the winter. Such eggs usually differ from the summer eggs in having a thicker shell, and often in being enveloped in a protective case. They sometimes develop in a manner different from that of the summer eggs. -- Winter fallow, ground that is fallowed in winter. -- Winter fat. (Bot.) Same as White sage, under White. -- Winter fever (Med.), pneumonia. [Colloq.] -- Winter flounder. (Zoöl.) See the Note under Flounder. -- Winter gull (Zoöl.), the common European gull; -- called also winter mew. [Prov. Eng.] -- Winter itch. (Med.) See Prarie itch, under Prairie. -- Winter lodge, or Winter lodgment. (Bot.) Same as Hibernaculum. -- Winter mew. (Zoöl.) Same as Winter gull, above. [Prov. Eng.] -- Winter moth (Zoöl.), any one of several species of geometrid moths which come forth in winter, as the European species (Cheimatobia brumata). These moths have rudimentary mouth organs, and eat no food in the imago state. The female of some of the species is wingless. -- Winter oil, oil prepared so as not to solidify in moderately cold weather. -- Winter pear, a kind of pear that keeps well in winter, or that does not ripen until winter. -- Winter quarters, the quarters of troops during the winter; a winter residence or station. -- Winter rye, a kind of rye that is sown in autumn. -- Winter shad (Zoöl.), the gizzard shad. -- Winter sheldrake (Zoöl.), the goosander. [Local, U.S.] -- Winter sleep (Zoöl.), hibernation. -- Winter snipe (Zoöl.), the dunlin. -- Winter solstice. (Astron.) See Solstice, 2. -- Winter teal (Zoöl.), the green-winged teal. -- Winter wagtail (Zoöl.), the gray wagtail (Motacilla melanope). [Prov. Eng.] -- Winter wheat, wheat sown in autumn, which lives during the winter, and ripens in the following summer. -- Winter wren (Zoöl.), a small American wren (Troglodytes hiemalis) closely resembling the common wren.\n\nTo pass the winter; to hibernate; as, to winter in Florida. Because the haven was not commodious to winter in, the more part advised to depart thence. Acts xxvii. 12.\n\nTo keep, feed or manage, during the winter; as, to winter young cattle on straw.
winter-beaten |Beaten or harassed by the severe weather of winter. Spenser.
winter-ground |To coved over in the season of winter, as for protection or shelter; as, to winter-ground the roods of a plant. The ruddock would . . . bring thee all this, Yea, and furred moss besides, when flowers are none To winter-ground thy corse. Shak.
winter-proud |Having too rank or forward a growth for winter. When either corn is winter-proud, or other plants put forth and bud too early. Holland.
winter-rig |To fallow or till in winter. [Prov. Eng.] WINTER'S BARK Win\"ter's bark`. (Bot.)  The aromatic bark of tree (Drimys, or Drymis, Winteri) of the Magnolia family, which is found in Southern Chili. It was first used as a cure for scurvy by its discoverer, Captain John Winter, vice admiral to sir Francis Drake, in 1577.
wintergreen |A plant which keeps its leaves green through the winter. Note: In England, the name wintergreen is applied to the species of Pyrola which in America are called English wintergreen, and shin leaf (see Shin leaf, under Shin.) In America, the name wintergreen is given to Gaultheria procumbens, a low evergreen aromatic plant with oval leaves clustered at the top of a short stem, and bearing small white flowers followed by red berries; -- called also checkerberry, and sometimes, though improperly, partridge berry. Chickweed wintergreen, a low perennial primulaceous herb (Trientalis Americana); -- also called star flower. -- Flowering wintergreen, a low plant (Polygala paucifolia) with leaves somewhat like those of the wintergreen (Gaultheria), and bearing a few showy, rose-purple blossoms. -- Spotted wintergreen, a low evergreen plant (Chimaphila maculata) with ovate, white-spotted leaves.
winterkill |To kill by the cold, or exposure to the inclemency of winter; as, the wheat was winterkilled. [U. S.]
winterly |Like winter; wintry; cold; hence, disagreeable, cheerless; as, winterly news. [R.] Shak. The sir growing more winterly in the month of April. Camden.
wintertide |Winter time. Tennyson.
winterweed |A kind of speedwell (Veronica hederifolia) which spreads chiefly in winter. Dr. Prior.
wintery |Wintry.
wintry |Suitable to winter; resembling winter, or what belongs to winter; brumal; hyemal; cold; stormy; wintery. Touch our chilled hearts with vernal smile, Our wintry course do thou beguile. Keble.
winy |Having the taste or qualities of wine; vinous; as, grapes of a winy taste. Dampier.
winze |A small shaft sunk from one level to another, as for the purpose of ventilation.
wipe |The lapwing. [Prov. Eng.]\n\n1. To rub with something soft for cleaning; to clean or dry by rubbing; as, to wipe the hands or face with a towel. Let me wipe thy face. Shak. I will wipe Jerusalem as a man wipeth a dish, wiping it, and turning it upside down. 2 Kings xxi. 13. 2. To remove by rubbing; to rub off; to obliterate; -- usually followed by away, off or out. Also used figuratively. \"To wipe out our ingratitude.\" Shak. Some natural tears they dropped, but wiped them soon. Milton. 3. To cheat; to defraud; to trick; -- usually followed by out. [Obs.] Spenser. If they by coveyne [covin] or gile be wiped beside their goods. Robynson (More's Utopia) To wipe a joint (Plumbing), to make a joint, as between pieces of lead pipe, by surrounding the junction with a mass of solder, applied in a plastic condition by means of a rag with which the solder is shaped by rubbing. -- To wipe the nose of, to cheat. [Old Slang]\n\n1. Act of rubbing, esp. in order to clean. 2. A blow; a stroke; a hit; a swipe. [Low] 3. A gibe; a jeer; a severe sarcasm. Swift. 4. A handkerchief. [Thieves' Cant or Slang] 5. Stain; brand. [Obs.] \"Slavish wipe.\" Shak.
wiper |1. One who, or that which, wipes. 2. Something used for wiping, as a towel or rag. 3. (Mach.)  A piece generally projecting from a rotating or swinging piece, as an axle or rock shaft, for the purpose of raising stampers, lifting rods, or the like, and leaving them to fall by their own weight; a kind of cam. 4. (Firearms)  A rod, or an attachment for a rod, for holding a rag with which to wipe out the bore of the barrel.
wirble |To whirl; to eddy. [R.] The waters went wirbling above and around. Owen. Meredith.
wirche |To work [Obs.] Chaucer.
wire |1. A thread or slender rod of metal; a metallic substance formed to an even thread by being passed between grooved rollers, or drawn through holes in a plate of steel. Note: Wire is made of any desired form, as round, square, triangular, etc., by giving this shape to the hole in the drawplate, or between the rollers. 2. A telegraph wire or cable; hence, an electric telegraph; as, to send a message by wire. [Colloq.] Wire bed, Wire mattress, an elastic bed bottom or mattress made of wires interwoven or looped together in various ways. -- Wire bridge, a bridge suspended from wires, or cables made of wire. -- Wire cartridge, a shot cartridge having the shot inclosed in a wire cage. -- Wire cloth, a coarse cloth made of woven metallic wire, -- used for strainers, and for various other purposes. -- Wire edge, the thin, wirelike thread of metal sometimes formed on the edge of a tool by the stone in sharpening it. -- Wire fence, a fence consisting of posts with strained horizontal wires, wire netting, or other wirework, between. -- Wire gauge or gage. (a) A gauge for measuring the diameter of wire, thickness of sheet metal, etc., often consisting of a metal plate with a series of notches of various widths in its edge. (b) A standard series of sizes arbitrarily indicated, as by numbers, to which the diameter of wire or the thickness of sheet metal in usually made, and which is used in describing the size or thickness. There are many different standards for wire gauges, as in different countries, or for different kinds of metal, the Birmingham wire gauges and the American wire gauge being often used and designated by the abbreviations B. W.G. and A. W.G. respectively. -- Wire gauze, a texture of finely interwoven wire, resembling gauze. -- Wire grass (Bot.), either of the two common grasses Eleusine Indica, valuable for hay and pasture, and Poa compressa, or blue grass. See Blue grass. -- Wire grub (Zoöl.), a wireworm. -- Wire iron, wire rods of iron. -- Wire lathing, wire cloth or wire netting applied in the place of wooden lathing for holding plastering. -- Wire mattress. See Wire bed, above. -- Wire micrometer, a micrometer having spider lines, or fine wires, across the field of the instrument. -- Wire nail, a nail formed of a piece of wire which is headed and pointed. -- Wire netting, a texture of woven wire coarser than ordinary wire gauze. -- Wire rod, a metal rod from which wire is formed by drawing. -- Wire rope, a rope formed wholly, or in great part, of wires.\n\n1. To bind with wire; to attach with wires; to apply wire to; as, to wire corks in bottling liquors. 2. To put upon a wire; as, to wire beads. 3. To snare by means of a wire or wires. 4. To send (a message) by telegraph. [Colloq.]\n\n1. To pass like a wire; to flow in a wirelike form, or in a tenuous stream. [R.] P. Fletcher. 2. To send a telegraphic message. [Colloq.]
wire gun |= Wire-wound gun.
wire tapper |One that taps, or cuts in on, telegraph wires and intercepts messages; hence (Slang),  a swindler who pretends to tap wires or otherwise intercept advance telegraphic news for betting. -- Wire tapping.
wire-drawer |One who draws metal into wire.
wire-heel |A disease in the feet of a horse or other beast.
wire-puller |One who pulls the wires, as of a puppet; hence, one who operates by secret means; an intriguer. Political wire-pullers and convention packers. Lowell.
wire-pulling |The act of pulling the wires, as of a puppet; hence, secret influence or management, especially in politics; intrigue.
wire-tailed |Having some or all of the tail quills terminated in a long, slender, pointed shaft, without a web or barbules.
wire-worker |One who manufactures articles from wire.
wire-wound gun |A gun in the construction of which an inner tube (either entire or in segments) is wound with wire under tension to insure greater soundness and uniformity of resistance. In modern construction hoops and jackets are shrunk on over the wire.
wiredraw |1. To form (a piece of metal) into wire, by drawing it through a hole in a plate of steel. 2. Hence, to draw by art or violence. My sense has been wiredrawn into blasphemy. Dryden. 3. Hence, also, to draw or spin out to great length and tenuity; as, to wiredraw an argument. Such twisting, such wiredrawing, was never seen in a court of justice. Macaulay. 4. (Steam Engine)  To pass, or to draw off, (as steam) through narrow ports, or the like, thus reducing its pressure or force by friction.
wireless |Having no wire; specif. (Elec.),  designating, or pertaining to, a method of telegraphy, telephony, etc., in which the messages, etc., are transmitted through space by electric waves; as, a wireless message. -- Wireless telegraphy or telegraph (Elec.), any system of telegraphy employing no connecting wire or wires between the transmitting and receiving stations. Although more or less successful researchers were made on the subject by Joseph Henry, Hertz, Oliver Lodge, and others, the first commercially successful system was that of Guglielmo Marconi, patented in March, 1897. Marconi employed electric waves of high frequency set up by an induction coil in an oscillator, these waves being launched into space through a lofty antenna. The receiving apparatus consisted of another antenna in circuit with a coherer and small battery for operating through a relay the ordinary telegraphic receiver. This apparatus contains the essential features of all the systems now in use. -- Wireless telephone, an apparatus or contrivance for wireless telephony. --Wireless telephony, telephony without wires, usually employing electric waves of high frequency emitted from an oscillator or generator, as in wireless telegraphy. A telephone transmitter causes fluctuations in these waves, it being the fluctuations only which affect the receiver.\n\nShort for Wireless telegraphy, Wireless telephony, etc.; as, to send a message by wireless.
wirework |Work, especially openwork, formed of wires.
wireworm |(a) One of the larvæ of various species of snapping beetles, or elaters; -- so called from their slenderness and the uncommon hardness of the integument. Wireworms are sometimes very destructive to the roots of plants. Called also wire grub. (b) A galleyworm.
wiriness |The quality of being wiry.
wiring |1. The act of one that wires anything. 2.  The wires or conductors employed in a system of electric distribution.
wiry |1. Made of wire; like wire; drawn out like wire. 2. Capable of endurance; tough; sinewy; as, a wiry frame or constitution. \"A little wiry sergeant of meek demeanor and strong sense.\" Dickens. He bore his age well, and seemed to retain a wiry vigor and alertness. Hawthorne.
wis |Certainly; really; indeed. [Obs.] \"As wis God helpe me.\" Chaucer.\n\nTo think; to suppose; to imagine; -- used chiefly in the first person sing. present tense, I wis. See the Note under Ywis. [Obs. or Poetic] \"Howe'er you wis.\" R. Browning. Nor do I know how long it is (For I have lain entranced, I wis). Coleridge.
wisard |See Wizard.
wisdom |1. The quality of being wise; knowledge, and the capacity to make due use of it; knowledge of the best ends and the best means; discernment and judgment; discretion; sagacity; skill; dexterity. We speak also not in wise words of man's wisdom, but in the doctrine of the spirit. Wyclif (1 Cor. ii. 13). Behold, the fear of the Lord, that is wisdom; and to depart from evil is understanding. Job xxviii. 28. It is hoped that our rulers will act with dignity and wisdom that they will yield everything to reason, and refuse everything to force. Ames. Common sense in an uncommon degree is what the world calls wisdom. Coleridge. 2. The results of wise judgments; scientific or practical truth; acquired knowledge; erudition. Moses was learned in all the wisdom of the Egyptians, and was mighty in words and in deeds. Acts vii. 22. Syn. -- Prudence; knowledge. Wisdom, Prudence, Knowledge. Wisdom has been defined to be \"the use of the best means for attaining the best ends.\" \"We conceive,\" says Whewell, \" prudence as the virtue by which we select right means for given ends, while wisdom implies the selection of right ends as well as of right means.\" Hence, wisdom implies the union of high mental and moral excellence. Prudence (that is, providence, or forecast) is of a more negative character; it rather consists in avoiding danger than in taking decisive measures for the accomplishment of an object. Sir Robert Walpole was in many respects a prudent statesman, but he was far from being a wise one. Burke has said that prudence, when carried too far, degenerates into a \"reptile virtue,\" which is the more dangerous for its plausible appearance. Knowledge, a more comprehensive term, signifies the simple apprehension of facts or relations. \"In strictness of language,\" says Paley, \" there is a difference between knowledge and wisdom; wisdom always supposing action, and action directed by it.\" Knowledge and wisdom, far from being one, Have ofttimes no connection. Knowledge dwells In heads replete with thoughts of other men; Wisdom, in minds attentive to their own. Knowledge, a rude, unprofitable mass, The mere materials with which wisdom builds, Till smoothed, and squared, and fitted to its place, Does but encumber whom it seems to enrich. Knowledge is proud that he has learned so much; Wisdom is humble that he knows no more. Cowper. Wisdom tooth, the last, or back, tooth of the full set on each half of each jaw in man; -- familiarly so called, because appearing comparatively late, after the person may be supposed to have arrived at the age of wisdom. See the Note under Tooth, 1.
wisdom literature |The class of ancient Hebrew writings which deal reflectively with general ethical and religious topics, as distinguished from the prophetic and liturgical literature, and from the law. It is comprised chiefly in the books of Job, Proverbs, Ecclesiasticus, Ecclesiastes, and Wisdom of Solomon. The \"wisdom\" (Hokhmah) of these writings consists in detached sage utterances on concrete issues of life, without the effort at philosophical system that appeared in the later Hellenistic reflective writing beginning with Philo Judæus.
wise |1. Having knowledge; knowing; enlightened; of extensive information; erudite; learned. They are wise to do evil, but to do good they have no knowledge. Jer. iv. 22. 2. Hence, especially, making due use of knowledge; discerning and judging soundly concerning what is true or false, proper or improper; choosing the best ends and the best means for accomplishing them; sagacious. When clouds appear, wise men put their cloaks. Shak. From a child thou hast known the holy scriptures, which are able to make thee wise unto salvation. 2 Tim. iii. 15. 3. Versed in art or science; skillful; dexterous; specifically, skilled in divination. Fal. There was, mine host, an old fat woman even now with me; but she's gone. Sim. Pray you, sir, was't not the wise woman of Brentford Shak. 4. Hence, prudent; calculating; shrewd; wary; subtle; crafty. [R.] \"Thou art . . . no novice, but a governor wily and wise.\" Chaucer. Nor, on the other side, Will I be penuriously wise As to make money, that's my slave, my idol. Beau. & Fl. Lords do not care for me: I am too wise to die yet. Ford. 5. Dictated or guided by wisdom; containing or exhibiting wisdom; well adapted to produce good effects; judicious; discreet; as, a wise saying; a wise scheme or plan; wise conduct or management; a wise determination. \"Eminent in wise deport.\" Milton. To make it wise, to make it a matter of deliberation. [Obs.] \" We thought it was not worth to make it wise.\" Chaucer. -- Wise in years, old enough to be wise; wise from age and experience; hence, aged; old. [Obs.] A very grave, state bachelor, my dainty one; He's wise in years, and of a temperate warmth. Ford. You are too wise in years, too full of counsel, For my green experience. Ford.\n\nWay of being or acting; manner; mode; fashion. \"All armed in complete wise.\" Spenser. To love her in my beste wyse. Chaucer. This song she sings in most commanding wise. Sir P. Sidney. Let not these blessings then, sent from above, Abused be, or spilt in profane wise. Fairfax. Note: This word is nearly obsolete, except in such phrases as in any wise, in no wise, on this wise, etc. \" Fret not thyself in any wise to do evil.\" Ps. xxxvii. 8. \"He shall in no wise lose his reward.\" Matt. x. 42. \" On this wise ye shall bless the children of Israel.\" Num. vi. 23. Note: Wise is often used as a suffix in composition, as in likewise, nowise, lengthwise, etc., in which words -ways is often substituted with the same sense; as, noways, lengthways, etc.
wise-hearted |Wise; knowing; skillful; sapient; erudite; prudent. Ex. xxviii. 3.
wise-like |Resembling that which is wise or sensible; judicious. The only wise-like thing I heard anybody say. Sir W. Scott.
wiseacre |1. A learned or wise man. [Obs.] Pythagoras learned much . . . becoming a mighty wiseacre. Leland. 2. One who makes undue pretensions to wisdom; a would-be-wise person; hence, in contempt, a simpleton; a dunce.
wiseling |One who pretends to be wise; a wiseacre; a witling. Donne.
wisely |In a wise manner; prudently; judiciously; discreetly; with wisdom. And wisely learn to curb thy sorrows wild. Milton.
wiseness |Wisdom. [Obs.] Spenser.
wish |1. To have a desire or yearning; to long; to hanker. They cast four anchors out of the stern, and wished for the day. Acts xxvii. 29. This is as good an argument as an antiquary could wish for. Arbuthnot.\n\n1. To desire; to long for; to hanker after; to have a mind or disposition toward. I would not wish Any companion in the world but you. Shak. I wish above all things that thou mayest prosper. 3. John 2. 2. To frame or express desires concerning; to invoke in favor of, or against, any one; to attribute, or cal down, in desire; to invoke; to imprecate. I would not wish them to a fairer death. Shak. I wish it may not prove some ominous foretoken of misfortune to have met with such a miser as I am. Sir P. Sidney. Let them be driven backward, and put to shame, that wish me evil. Ps. xl. 14. 3. To recommend; to seek confidence or favor in behalf of. [Obs.] Shak. I would be glad to thrive, sir, And I was wished to your worship by a gentleman. B. Jonson. Syn. -- See Desire.\n\n1. Desire; eager desire; longing. Behold, I am according to thy wish in God a stead. Job xxxiii. 6. 2. Expression of desire; request; petition; hence, invocation or imprecation. Blistered be thy tongue for such a wish. Shak. 3. A thing desired; an object of desire. Will he, wise, let loose at once his ire . . . To give his enemies their wish! Milton.
wish-wash |Any weak, thin drink.
wishable |Capable or worthy of being wished for; desirable. Udall.
wishbone |The forked bone in front of the breastbone in birds; -- called also merrythought, and wishing bone. See Merrythought, and Furculum.
wishedly |According to wish; conformably to desire. [Obs.] Chapman.
wisher |One who wishes or desires; one who expresses a wish. Shak.
wishful |1. Having desire, or ardent desire; longing. 2. Showing desire; as, wishful eyes. From Scotland am I stolen, even of pure love To greet mine own land with my wishful sight. Shak. 3. Desirable; exciting wishes. [R.] Chapman. -- Wish\"ful*ly, adv. -- Wish\"ful*ness, n.
wishing |a. & n. from Wish, v. t. Wishing bone. See Wishbone. -- Wishing cap, a cap fabled to give one whatever he wishes for when wearing it.
wishly |According to desire; longingly; with wishes. [Obs. or Prov. Eng.] Chapman.
wishtonwish |The prairie dog.
wishy-washy |Thin and pale; weak; without strength or substance; -- originally said of liquids. Fig., weak-minded; spiritless. A weak wishy-washy man who had hardly any mind of his own. A. Trollope.\n\nA weak or thin drink or liquor; wish-wash.
wisket |A whisket, or basket. [Prov. Eng.] Ainsworth.
wisly |Certainly. [Obs.] \"God so wisly have mercy on me.\" Chaucer.
wisp |1. A small bundle, as of straw or other like substance. In a small basket, on a wisp of hay. Dryden. 2. A whisk, or small broom. 3. A Will-o'-the-wisp; an ignis fatuus. The wisp that flickers where no foot can tread. Tennyson.\n\n1. To brush or dress, an with a wisp. 2. To rumple. [Prov. Eng.] Halliwell.
wispen |Formed of a wisp, or of wisp; as, a wispen broom. [Obs.]
wisse |To show; to teach; to inform; to guide; to direct. [Obs.] Ere we depart I shall thee so well wisse That of mine house ne shalt thou never misse. Chaucer.
wist |Knew.
wistaria |A genus of climbing leguminous plants bearing long, pendulous clusters of pale bluish flowers. Note: The species commonest in cultivation is the Wistaria Sinensis from Eastern Asia. W. fruticosa grows wild in the southern parts of the United States.
wistful |1. Longing; wishful; desirous. Lifting up one of my sashes, I cast many a wistful, melancholy look towards the sea. Swift. 2. Full of thought; eagerly attentive; meditative; musing; pensive; contemplative. That he who there at such an hour hath been, Will wistful linger on that hallowed spot. Byron. -- Wist\"ful*ly, adv. -- Wist\"ful*ness, n.
wistit |A small South American monkey; a marmoset. [Written also wistiti, and ouistiti.]
wistly |Attentively; observingly. [Obs.] Shak.
wistonwish |See Wishtonwish.
wit |To know; to learn. \"I wot and wist alway.\" Chaucer. Note: The present tense was inflected as follows; sing. 1st pers. wot; 2d pers. wost, or wot(t)est; 3d pers. wot, or wot(t)eth; pl. witen, or wite. The following variant forms also occur; pres. sing. 1st & 3d pers. wat, woot; pres. pl. wyten, or wyte, weete, wote, wot; imp. wuste (Southern dialect); p. pr. wotting. Later, other variant or corrupt forms are found, as, in Shakespeare, 3d pers. sing. pres. wots. Brethren, we do you to wit [make you to know] of the grace of God bestowed on the churches of Macedonia. 2 Cor. viii. 1. Thou wost full little what thou meanest. Chaucer. We witen not what thing we prayen here. Chaucer. When that the sooth in wist. Chaucer. Note: This verb is now used only in the infinitive, to wit, which is employed, especially in legal language, to call attention to a particular thing, or to a more particular specification of what has preceded, and is equivalent to namely, that is to say.\n\n1. Mind; intellect; understanding; sense. Who knew the wit of the Lord or who was his counselor Wyclif (Rom. xi. 34). A prince most prudent, of an excellent And unmatched wit and judgment. Shak. Will puts in practice what wit deviseth. Sir J. Davies. He wants not wit the dander to decline. Dryden. 2. A mental faculty, or power of the mind; -- used in this sense chiefly in the plural, and in certain phrases; as, to lose one's wits; at one's wits' end, and the like. \"Men's wittes ben so dull.\" Chaucer. I will stare him out of his wits. Shak. 3. Felicitous association of objects not usually connected, so as to produce a pleasant surprise; also. the power of readily combining objects in such a manner. The definition of wit is only this, that it is a propriety of thoughts and words; or, in other terms, thoughts and words elegantly adapted to the subject. Dryden. Wit which discovers partial likeness hidden in general diversity. Coleridge. Wit lying most in the assemblage of ideas, and putting those together with quickness and variety wherein can be found any resemblance or congruity, thereby to make up pleasant pictures in the fancy. Locke. 4. A person of eminent sense or knowledge; a man of genius, fancy, or humor; one distinguished for bright or amusing sayings, for repartee, and the like. In Athens, where books and wits were ever busier than in any other part of Greece, I find but only two sorts of writings which the magistrate cared to take notice of; those either blasphemous and atheistical, or libelous. Milton. Intemperate wits will spare neither friend nor foe. L'Estrange. A wit herself, Amelia weds a wit. Young. The five wits, the five senses; also, sometimes, the five qualities or faculties, common wit, imagination, fantasy, estimation, and memory. Chaucer. Nares. But my five wits nor my five senses can Dissuade one foolish heart from serving thee. Shak. Syn. -- Ingenuity; humor; satire; sarcasm; irony; burlesque. -- Wit, Humor. Wit primarily meant mind; and now denotes the power of seizing on some thought or occurrence, and, by a sudden turn, presenting it under aspects wholly new and unexpected -- apparently natural and admissible, if not perfectly just, and bearing on the subject, or the parties concerned, with a laughable keenness and force. \"What I want,\" said a pompous orator, aiming at his antagonist, \"is common sense.\" \"Exactly!\" was the whispered reply. The pleasure we find in wit arises from the ingenuity of the turn, the sudden surprise it brings, and the patness of its application to the case, in the new and ludicrous relations thus flashed upon the view. Humor is a quality more congenial to the English mind than wit. It consists primarily in taking up the peculiarities of a humorist (or eccentric person) and drawing them out, as Addison did those of Sir Roger de Coverley, so that we enjoy a hearty, good-natured laugh at his unconscious manifestation of whims and oddities. From this original sense the term has been widened to embrace other sources of kindly mirth of the same general character. In a well-known caricature of English reserve, an Oxford student is represented as standing on the brink of a river, greatly agitated at the sight of a drowning man before him, and crying out, \"O that I had been introduced to this gentleman, that I might save his life! The, \"Silent Woman\" of Ben Jonson is one of the most humorous productions, in the original sense of the term, which we have in our language.
wit-cracker |One who breaks jests; a joker. [Obs.] Shak.
wit-snapper |One who affects repartee; a wit-cracker. [Obs.] Shak.
wit-starved |Barren of wit; destitute of genius. Examiner.
witan |Lit., wise men; specif. (A.-S. Hist.),  the members of the national, or king's, council which sat to assist the king in administrative and judicial matters; also, the council.
witch |A cone of paper which is placed in a vessel of lard or other fat, and used as a taper. [Prov. Eng.]\n\n1. One who practices the black art, or magic; one regarded as possessing supernatural or magical power by compact with an evil spirit, esp. with the Devil; a sorcerer or sorceress; -- now applied chiefly or only to women, but formerly used of men as well. There was a man in that city whose name was Simon, a witch. Wyclif (Acts viii. 9). He can not abide the old woman of Brentford; he swears she's a witch. Shak. 2. An ugly old woman; a hag. Shak. 3. One who exercises more than common power of attraction; a charming or bewitching person; also, one given to mischief; -- said especially of a woman or child. [Colloq.] 4. (Geom.)  A certain curve of the third order, described by Maria Agnesi under the name versiera. 5. (Zoöl.)  The stormy petrel. Witch balls, a name applied to the interwoven rolling masses of the stems of herbs, which are driven by the winds over the steppes of Tartary. Cf. Tumbleweed. Maunder (Treas. of Bot.) -- Witches' besoms (Bot.), tufted and distorted branches of the silver fir, caused by the attack of some fungus. Maunder (Treas. of Bot.) -- Witches' butter (Bot.), a name of several gelatinous cryptogamous plants, as Nostoc commune, and Exidia glandulosa. See Nostoc. -- Witch grass (Bot.), a kind of grass (Panicum capillare) with minute spikelets on long, slender pedicels forming a light, open panicle. -- Witch meal (Bot.), vegetable sulphur. See under Vegetable.\n\nTo bewitch; to fascinate; to enchant. [I 'll] witch sweet ladies with my words and looks. Shak. Whether within us or without The spell of this illusion be That witches us to hear and see. Lowell.
witch-elm |See Wych-elm.
witch-hazel |The wych-elm. (b) An American shrub or small tree (Hamamelis Virginica), which blossoms late in autumn.
witch-tree |The witch-hazel.
witchcraft |1. The practices or art of witches; sorcery; enchantments; intercourse with evil spirits. 2. Power more than natural; irresistible influence. He hath a witchcraft Over the king in 's tongue. Shak.
witchery |1. Sorcery; enchantment; witchcraft. Great Comus, Deep skilled in all his mother's witcheries. Milton. A woman infamous . . . for witcheries. Sir W. Scott. 2. Fascination; irresistible influence; enchantment. He never felt The witchery of the soft blue sky. Wordsworth. The dear, dear witchery of song. Bryant.
witching |That witches or enchants; suited to enchantment or witchcraft; bewitching. \"The very witching time of night.\" Shak. -- Witch\"ing*ly, adv.
witchuck |The sand martin, or bank swallow. [Prov. Eng.]
witcraft |1. Art or skill of the mind; contrivance; invention; wit. [Obs.] Camden. 2. The art of reasoning; logic. [R.]
wite |To reproach; to blame; to censure; also, to impute as blame. [Obs. or Scot.] Spenser. Though that I be jealous, wite me not. Chaucer. There if that I misspeak or say, Wite it the ale of Southwark, I you pray. Chaucer.\n\nBlame; reproach. [Obs. or Scot.] Chaucer.
witeless |Blameless. [Obs.] Spenser.
witen |pl. pres. of Wit. Chaucer.
witenagemote |A meeting of wise men; the national council, or legislature, of England in the days of the Anglo-Saxons, before the Norman Conquest.
witfish |The ladyfish (a).
witful |Wise; sensible. [R.] Chapman.
