circumvolant |Flying around. The circumvolant troubles of humanity. G. Macdonald.
close-bodied |Fitting the body exactly; setting close, as a garment. Ayliffe.
close-fights |Barriers with loopholes, formerly erected on the deck of a vessel to shelter the men in a close engagement with an enemy's boarders; -- called also close quarters. [Obs.]
close-stool |A utensil to hold a chamber vessel, for the use of the sick and infirm. It is usually in the form of a box, with a seat and tight cover.
close-tongued |Closemouthed; silent. \"Close-tongued treason.\" Shak.
closefisted |Covetous; niggardly. Bp. Berkeley. \"Closefisted contractors.\" Hawthorne.
closehanded |Covetous; penurious; stingy; closefisted. -- Close\"hand`ed*ness, n.
closehauled |Under way and moving as nearly as possible toward the direction from which the wind blows; -- said of a sailing vessel.
closely |1. In a close manner. 2. Secretly; privately. [Obs.] That nought she did but wayle, and often steepe Her dainty couch with tears which closely she did weepe. Spenser.
closemouthed |Cautious in speaking; secret; wary; uncommunicative.
closen |To make close. [R.]
closeness |The state of being close. Half stifled by the closeness of the room. Swift. We rise not against the piercing judgment of Augustus, nor the extreme caution or closeness of Tiberius. Bacon. An affectation of closeness and covetousness. Addison. Syn. -- Narrowness; oppressiveness; strictness; secrecy; compactness; conciseness; nearness; intimacy; tightness; stinginess; literalness.
closer |1. One who, or that which, closes; specifically, a boot closer. See under Boot. 2. A finisher; that which finishes or terminates. 3. (Masonry)  The last stone in a horizontal course, if of a less size than the others, or a piece of brick finishing a course. Gwilt.
closereefed |Having all the reefs taken in; -- said of a sail.
closet |1. A small room or apartment for retirement; a room for privacy. A chair-lumbered closet, just twelve feet by nine. Goldsmith. When thou prayest, enter into thy closet. Matt. vi. 6. 2. A small apartment, or recess in the side of a room, for household utensils, clothing, etc. Dryden. Closet sin, sin commited in privacy. Bp. Hall.\n\n1. To shut up in, or as in, a closet; to conceal. [R.] Bedlam's closeted and handcuffed charge. Cowper. 2. To make into a closet for a secret interview. He was to call a new legislature, to closet its members. Bancroft. He had been closeted with De Quadra. Froude.
closh |A disease in the feet of cattle; laminitis. Crabb.\n\nThe game of ninepins. [Obs.] Halliwell.
closure |1. The act of shutting; a closing; as, the closure of a chink. 2. That which closes or shuts; that by which separate parts are fastened or closed. Without a seal, wafer, or any closure whatever. Pope. 3. That which incloses or confines; an inclosure. O thou bloody prison . . . Within the guilty closure of thy walls Richard the Second here was hacked to death. Shak. 4. A conclusion; an end. [Obs.] Shak. 5. (Parliamentary Practice)  A method of putting an end to debate and securing an immediate vote upon a measure before a legislative body. It is similar in effect to the previous question. It was first introduced into the British House of Commons in 1882. The French word clôture was originally applied to this proceeding.
clot |A concretion or coagulation; esp. a soft, slimy, coagulated mass, as of blood; a coagulum. \"Clots of pory gore.\" Addison. Doth bake the egg into clots as if it began to poach. Bacon. Note: Clod and clot appear to be radically the same word, and are so used by early writers; but in present use clod is applied to a mass of earth or the like, and clot to a concretion or coagulation of soft matter.\n\nTo concrete, coagulate, or thicken, as soft or fluid matter by evaporation; to become a cot or clod.\n\nTo form into a slimy mass.
clotbur |1. The burdock. [Prov. Engl.] Prior. 2. Same as Cocklebur.
clote |The common burdock; the clotbur. [Obs.] Wyclif.
cloth |1. A fabric made of fibrous material (or sometimes of wire, as in wire cloth); commonly, a woven fabric of cotton, woolen, or linen, adapted to be made into garments; specifically, woolen fabrics, as distinguished from all others. 2. The dress; raiment. [Obs.] See Clothes. I'll ne'er distust my God for cloth and bread. Quarles. 3. The distinctive dress of any profession, especially of the clergy; hence, the clerical profession. Appeals were made to the priesthood. Would they tamely permit so gross an insult to be offered to their cloth Macaulay. The cloth, the clergy, are constituted for administering and for giving the best possible effect to . . . every axiom. I. Taylor. Body cloth. See under Body. -- Cloth of gold, a fabric woven wholly or partially of threads of gold. -- Cloth measure, the measure of length and surface by which cloth is measured and sold. For this object the standard yard is usually divided into quarters and nails. -- Cloth paper, a coarse kind of paper used in pressing and finishing woolen cloth. -- Cloth shearer, one who shears cloth and frees it from superfluous nap.
clothe |1. To put garments on; to cover with clothing; to dress. Go with me, to clothe you as becomes you. Shak. 2. To provide with clothes; as, to feed and clothe a family; to clothe one's self extravagantly. Drowsiness shall clothe a man with rags. Prov. xxiii. 21 The naked every day he clad, When he put on his clothes. Goldsmith. 3. Fig.: To cover or invest, as with a garment; as, to clothe one with authority or power. Language in which they can clothe their thoughts. Watts. His sides are clothed with waving wood. J. Dyer. Thus Belial, with with words clothed in reason's garb. Milton.\n\nTo wear clothes. [Poetic] Care no more to clothe eat. Shak.
clothes |1. Covering for the human body; dress; vestments; vesture; -- a general term for whatever covering is worn, or is made to be worn, for decency or comfort. She . . . speaks well, and has excellent good clothes. Shak. If I may touch but his clothes, I shall be whole. Mark. v. 28. 2. The covering of a bed; bedclothes. She turned each way her frighted head, Then sunk it deep beneath the clothes. Prior. Body clothes. See under Body. -- Clothes moth (Zoöl.), a small moth of the genus Tinea. The most common species (T. flavifrontella)is yellowish white. The larvæ eat woolen goods, furs, feathers, etc. They live in tubular cases made of the material upon which they feed, fastened together with silk. Syn. -- Garments; dress; clothing; apparel; attire; vesture; raiment; garb; costume; habit; habiliments.
clotheshorse |A frame to hang clothes on.
clothesline |A rope or wire on which clothes are hung to dry.
clothespin |A forked piece of wood, or a small spring clamp, used for fastening clothes on a line.
clothespress |A receptacle for clothes.
clothier |1. One who makes cloths; one who dresses or fulls cloth. Hayward. 2. One who sells cloth or clothes, or who makes and sells clothes.
clothing |1. Garments in general; clothes; dress; raiment; covering. From others he shall stand in need of nothing, Yet on his brothers shall depend for clothing. Milton. As for me, . . . my clothing was sackloth. Ps. xxxv. 13 2. The art of process of making cloth. [R.] Instructing [refugees] in the art of clothing. Ray. 3. A covering of non-conducting material on the outside of a boiler, or steam chamber, to prevent radiation of heat. Knight. 4. (Mach.)  See Card clothing, under 3d Card.
clothred |Clottered. [Obs.] Chaucer.
clotpoll |See Clodpoll. [Obs.] Shak.
clotted |Composed of clots or clods; having the quality or form of a clot; sticky; slimy; foul. \"The clotted glebe.\" J. Philips. When lust . . . Lets in defilement to the inward parts, The soul grows clotted by contagion. Milton.
clotter |To concrete into lumps; to clot. [Obs.] \"Clottered blood.\" Chapman.
clotty |Full of clots, or clods. \"Clotty matter.\" Harvey.
