mostahiba |See Mustaiba.
muniment |1. The act of supporting or defending. [Obs.] 2. That which supports or defends; stronghold; place or means of defense; munition; assistance. \"Other muniments and petty helps.\" Shak. 3. (Law)  A record; the evidences or writings whereby a man is enabled to defend the title to his estate; title deeds and papers. Blount. Muniment house or room, that room in a cathedral, castle, or other public building, which is used for keeping the records, charters, seals, deeds, and the like. Gwilt.
munite |To fortify; to strengthen. [Obs.]
munition |1. Fortification; stronghold. [Obs.] His place of defense shall be the munitions of rocks. Is. xxxiii. 16. 2. Whatever materials are used in war for drfense or for annoying an enemy; ammunition; also, stores and provisions; military stores of all kinds. The bodies of men, munition, and money, may justly be called the sinews of war. Sir W. Raleigh.
munity |Freedom; security; immunity. [Obs.] W. Montagu.
munjeet |See Indian madder, under Madder.
munjistin |An orangered coloring substance resembling alizarin, found in the root of an East Indian species of madder (Rubia munjista).
munnion |See Mullion.
muntin |Same as Mullion; -- especially used in joiner's work.
munting |Same as Mullion; -- especially used in joiner's work.
muntjac |Any one of several species of small Asiatic deer of the genus Cervulus, esp. C. muntjac, which occurs both in India and on the East Indian Islands. [Written also muntjak.]
muntz metal |See under Metal.
muraena |A genus of large eels of the family Mirænidæ. They differ from the common eel in lacking pectoral fins and in having the dorsal and anal fins continuous. The murry (Muræna Helenæ) of Southern Europe was the muræna of the Romans. It is highly valued as a food fish.
muraenoid |Like or pertaining to the genus Muræna, or family Murænidæ.
murage |A tax or toll paid for building or repairing the walls of a fortified town.
mural |1. Of or pertaining to a wall; being on, or in, a wall; growing on, or against, a wall; as, a mural quadrant. \"Mural breach.\" Milton. \"Mural fruit.\" Evelyn. 2. Resembling a wall; perpendicular or steep; as, a mural precipice. Mural circle (Astron.), a graduated circle, in the plane of the meridian, attached permanently to a perpendicular wall; -- used for measuring arcs of the meridian. See Circle, n., 3. -- Mural crown (Rom. Antiq.), a golden crown, or circle of gold indented so as to resemble a battlement, bestowed on him who first mounted the wall of a besieged place, and there lodged a standard.
murder |The offense of killing a human being with malice prepense or aforethought, express or implied; intentional and unlawful homicide. \"Mordre will out.\" Chaucer. The killing of their children had, in the account of God, the guilt of murder, as the offering them to idols had the guilt of idolatry. Locke. Slaughter grows murder when it goes too far. Dryden. Note: Murder in the second degree, in most jurisdictions, is a malicious homicide committed without a specific intention to take life. Wharton.\n\n1. To kill with premediated malice; to kill (a human being) willfully, deliberately, and unlawfully. See Murder, n. 2. To destroy; to put an end to. [Canst thou] murder thy breath in middle of a word Shak. 3. To mutilate, spoil, or deform, as if with malice or cruelty; to mangle; as, to murder the king's English. Syn. -- To kill; assassinate; slay. See Kill.
murderer |1. One guilty of murder; a person who, in possession of his reason, unlawfully kills a human being with premeditated malice. 2. A small cannon, formerly used for clearing a ship's decks of boarders; -- called also murdering piece. [Obs.]
murderess |A woman who commits murder.
murderment |Murder. [Obs.] Farfax.
murderous |Of or pertaining to murder; characterized by, or causing, murder or bloodshed; having the purpose or quality of murder; bloody; sanguinary; as, the murderous king; murderous rapine; murderous intent; a murderous assault. \"Murderous coward.\" Shak. -- Mur\"der*ous*ly, adv. Syn. -- Bloody; sanguinary; bloodguilty; bloodthirsty; fell; savage; cruel.
