naples yellow |See under Yellow.
neolithic |Of or pertaining to, or designating, an era characterized by late remains in stone. The Neolithic era includes the latter half of the \"Stone age;\" the human relics which belong to it are associated with the remains of animals not yet extinct. The kitchen middens of Denmark, the lake dwellings of Switzerland, and the stockaded islands, or \"crannogs,\" of the British Isles, belong to this era. Lubbock.
neologian |Neologic; neological.\n\nA neologist.
neologianism |Neologism.
neologic |Of or pertaining to neology; employing new words; of the nature of, or containing, new words or new doctrines. A genteel neological dictionary. Chesterfield.
neological |Of or pertaining to neology; employing new words; of the nature of, or containing, new words or new doctrines. A genteel neological dictionary. Chesterfield.
neologically |, adv. In a neological manner.
neologism |1. The introduction of new words, or the use of old words in a new sense. Mrs. Browning. 2. A new word, phrase, or expression. 3. A new doctrine; specifically, rationalism.
neologist |1. One who introduces new word or new senses of old words into a language. 2. An innovator in any doctrine or system of belif, especially in theology; one who introduces or holds doctrines subversie of supernatural or revealed religion; a rationalist, so-called.
neologistic |of or pertaining to neology; neological.
neologistical |of or pertaining to neology; neological.
neologization |The act or process of neologizing.
neologize |1. To introduce or use new words or terms or new uses of old words. 2. To introduce innovations in doctrine, esp. in theological doctrine.
neology |1. The introduction of a new word, or of words or significations, into a language; as, the present nomenclature of chemistry is a remarkable instance of neology. 2. A new doctrine; esp. (Theol.), a doctrine at variance with the received interpretation of revealed truth; a new method of theological interpretation; rationalism.
neomenia |The time of the new moon; the beginning of the month in the lunar calendar.
neomenoidea |A division of vermiform gastropod mollusks, without a shell, belonging to the Isopleura.
neomorph |A structure, part, or organ developed independently, that is, not derived from a similar structure, part, or organ, in a pre existing form.
neonism |Neologism.
neonomian |One who advocates adheres to new laws; esp. one who holds or believes that the gospel is a new law.\n\nOf or pertaining to the Neonomians, or in accordance with their doctrines.
neonomianism |The doctrines or belief of the neonomians.
neopaganism |Revived or new paganism.
neophyte |1. A new convert or proselyte; -- a name given by the early Christians, and still given by the Roman Catholics, to such as have recently embraced the Christian faith, and been admitted to baptism, esp. to converts from heathenism or Judaism. 2. A novice; a tyro; a beginner in anything.
neoplasia |Growth or development of new material; neoplasty.
neoplasm |A new formation or tissue, the product of morbid action.
neoplastic |of or pertaining to neoplasty, or neoplasia.
neoplasty |Restoration of a part by granulation, adhesive inflammation, or autoplasty.
