cerotype |A printing process of engraving on a surface of wax spread on a steel plate, for electrotyping.
chasten |1. To correct by punishment; to inflict pain upon the purpose of reclaiming; to discipline; as, to chasten a son with a rod. For whom the Lord loveth he chasteneth. Heb. xii. 6. 2. To purify from errors or faults; to refine. They [classics] chasten and enlarge the mind, and excite to noble actions. Layard. Syn. -- To chastise; punish; correct; discipline; castigate; afflict; subdue; purify. To Chasten, Punish, Chastise. To chasten is to subject to affliction or trouble, in order to produce a general change for the better in life or character. To punish is to inflict penalty for violation of law, disobedience to authority, or intentional wrongdoing. To chastise is to punish a particular offense, as with stripes, especially with the hope that suffering or disgrace may prevent a repetition of faults.
chastened |Corrected; disciplined; refined; purified; toned down. Sir. W. Scott. Of such a finished chastened purity. Tennyson.
chastener |One who chastens.
chasteness |1. Chastity; purity. 2. (Literature & Art)  Freedom from all that is meretricious, gaundy, or affected; as, chasteness of design.
chastisable |Capable or deserving of chastisement; punishable. Sherwood.
chastise |1. To inflict pain upon, by means of stripes, or in any other manner, for the purpose of punishment or reformation; to punish, as with stripes. How fine my master is! I am afraid He will chastise me. Shak. I am glad to see the vanity or envy of the canting chemists thus discovered and chastised. Boyle. 2. To reduce to order or obedience; to correct or purify; to free from faults or excesses. The gay, social sense, by decency chastised. Thomson. Syn. -- See Chasten.
chastisement |The act of chastising; pain inflicted for punishment and correction; discipline; punishment. Shall I so much dishonor my fair stars, On equal terms to give him chastesement! Shak. I have borne chastisement; I will not offend any more. Job xxxiv. 31.
chastiser |One who chastises; a punisher; a corrector. Jer. Taylor. The chastiser of the rich. Burke.
chastity |1. The state of being chaste; purity of body; freedom from unlawful sexual intercourse. She . . . hath preserved her spotless chastity. T. Carew. 2. Moral purity. So dear to heaven is saintly chastity, That, when a soul is found sicerely so A thousand liveried angels lackey her. Milton. 3. The unmarried life; celibacy. [Obs.] Chaucer. 4. (Literature & Art)  Chasteness.
chasuble |The outer vestment worn by the priest in saying Mass, consisting, in the Roman Catholic Church, of a broad, flat, back piece, and a narrower front piece, the two connected over the shoulders only. The back has usually a large cross, the front an upright bar or pillar, designed to be emblematical of Christ's sufferings. In the Greek Church the chasuble is a large round mantle. [Written also chasible, and chesible.]
chat |To talk in a light and familiar manner; to converse without form or ceremony; to gossip. Shak. To chat a while on their adventures. Dryden. Syn. -- To talk; chatter; gossip; converse.\n\nTo talk of. [Obs.]\n\n1. Light, familiar talk; conversation; gossip. Snuff, or fan, supply each pause of chat, With singing, laughing, ogling, and all that. Pope. 2. (Zoöl.)  A bird of the genus Icteria, allied to the warblers, in America. The best known species are the yelow-breasted chat (I. viridis), and the long chat (I. longicauda). In Europe the name is given to several birds of the family Saxicolidæ, as the stonechat, and whinchat. Bush chat. (Zoöl.) See under Bush.\n\n1. A twig, cone, or little branch. See Chit. 2. pl. (Mining)  Small stones with ore. Chat potatoes, small potatoes, such as are given to swine. [Local.]
chateau |1. A castle or a fortress in France. 2. A manor house or residence of the lord of the manor; a gentleman's country seat; also, particularly, a royal residence; as, the chateau of the Louvre; the chateau of the Luxembourg. Note: The distinctive, French term for a fortified caste of the middle ages is château-fort. Chateau en Espagne ( Etym: [F.], a castle in Spain, that is, a castle in the air, Spain being the region of romance.
chatelaine |An ornamental hook, or brooch worn by a lady at her waist, and having a short chain or chains attached for a watch, keys, trinkets, etc. Also used adjectively; as, a chatelaine chain.
chatelet |A little castle.
chatellany |Same as Castellany.
chati |A small South American species of tiger cat (Felis mitis).
chatoyant |Having a changeable, varying luster, or color, like that of a changeable silk, or oa a cat's eye in the dark.\n\nA hard stone, as the cat's-eye, which presents on a polished surface, and in the interior, an undulating or wary light.
chatoyment |Changeableness of color, as in a mineral; play of colors. Cleaceland.
chattel |Any item of movable or immovable property except the freehold, or the things which are parcel of it. It is a more extensive term than goods or effects. Note: Chattels are personal or real: personal are such as are movable, as goods, plate, money; real are such rights in land as are less than a freehold, as leases, mortgages, growing corn, etc. Chattel mortgage (Law), a mortgage on personal property, as distinguished from one on real property.
chattelism |The act or condition of holding chattels; the state of being a chattel.
chatter |1. To utter sounds which somewhat resemble language, but are inarticulate and indistinct. The jaw makes answer, as the magpie chatters. Wordsworth. 2. To talk idly, carelessly, or with undue rapidity; to jabber; to prate. To tame a shrew, and charm her chattering tongue. Shak. 3. To make a noise by rapid collisions. With chattering teeth, and bristling hair upright. Dryden.\n\nTo utter rapidly, idly, or indistinctly. Begin his witless note apace to chatter. Spenser.\n\n1. Sounds like those of a magpie or monkey; idle talk; rapid, thoughtless talk; jabber; prattle. Your words are but idle and empty chatter. Longfellow. 2. Noise made by collision of the teeth, as in shivering.
chatter mark |(a) (Mach.) One of the fine undulations or ripples which are formed on the surface of work by a cutting tool which chatters. (b) (Geol.) A short crack on a rock surface planed smooth by a glacier.
chatteration |The act or habit of chattering. [Colloq.]
chatterer |1. A prater; an idle talker. 2. (Zoöl.)  A bird of the family Ampelidæ -- so called from its monotonous note. The Bohemion chatterer (Ampelis garrulus) inhabits the arctic regions of both continents. In America the cedar bird is a more common species. See Bohemian chatterer, and Cedar bird.
chattering |The act or habit of talking idly or rapidly, or of making inarticulate sounds; the sounds so made; noise made by the collision of the teeth; chatter.
chattiness |The quality of being chatty, or of talking easily and pleasantly.
chatty |Given to light, familiar talk; talkative. Lady M. W. Montagu.\n\nA porous earthen pot used in India for cooling water, etc.
chatwood |Little sticks; twigs for burning; fuel. Johnson.
chaud-medley |The killing of a person in an affray, in the heat of blood, and while under the influence of passion, thus distinguished from chance- medley or killing in self-defense, or in a casual affray. Burrill.
chaudron |See Chawdron. [Obs.]
chauffer |A table stove or small furnace, usually a cylindrical box of sheet iron, with a grate at the bottem, and an open top.
chauffeur |1.  [pl.] (F. Hist.)  Brigands in bands, who, about 1793, pillaged, burned, and killed in parts of France; -- so called because they used to burn the feet of their victims to extort money. 2.  One who manages the running of an automobile; esp., the paid operator of a motor vehicle.
chauffeuse |A woman chauffeur.
chauldron |See Chawdron. [Obs.]
chaun |A gap. [Obs.] Colgrave.\n\nTo open; to yawn. [Obs.] O, chaun thy breast. Marston.
chaunt |See Chant.
chaunter |1. A street seller of ballads and other broadsides. [Slang, Eng.] 2. A deceitful, tricky dealer or horse jockey. [Colloq.] He was a horse chaunter; he's a leg now. Dickens. 3. The flute of a bagpipe. See Chanter, n., 3.
chaunterie |See Chantry. [Obs.] Chaucer.
chaus |a lynxlike animal of Asia and Africa (Lynx Lybicus).
chausses |The garment for the legs and feet and for the body below the waist, worn in Europe throughout the Middle Ages; applied also to the armor for the same parts, when fixible, as of chain mail.
chaussure |A foot covering of any kind.
chautauqua system of education |The system of home study established in connection with the summer schools assembled at Chautauqua, N. Y., by the Methodist Episcopal bishop, J. H. Vincent.
chauvinism |Blind and absurd devotion to a fallen leader or an obsolete cause; hence, absurdly vainglorious or exaggerated patriotism. -- Chau\"vin*ist, n. -- Chau`vin*is\"tic (, a. Note: To have a generous belief in the greatness of one's country is not chauvinism. It is the character of the latter quality to be wildly extravagant, to be fretful and childish and silly, to resent a doubt as an insult, and to offend by its very frankness. Prof. H. Tuttle.
chavender |The chub. Walton.
chaw |1. To grind with the teeth; to masticate, as food in eating; to chew, as the cud; to champ, as the bit. The trampling steed, with gold and purple trapped, Chawing the foamy bit, there fiercely stood. Surrey. 2. To ruminate in thought; to consider; to keep the mind working upon; to brood over. Dryden. Note: A word formerly in good use, but now regarded as vulgar.\n\n1. As much as is put in the mouth at once; a chew; a quid. [Law] 2. Etym: [Cf. Jaw.]  The jaw. [Obs.] Spenser. Chaw bacon, a rustic; a bumpkin; a lout. (Law) -- Chaw tooth, a grinder. (Law)
chawdron |Entrails. [Obs.] [Written also chaudron, chauldron.] Shak.
chay root |The root of the Oldenlandia umbellata, native in India, which yieds a durable red dyestuff. [Written also choy root.]
chazy epoch |An epoch at the close of the Canadian period of the American Lower Silurian system; -- so named from a township in Clinton Co., New York. See the Diagram under Geology.
cheap |A bargain; a purchase; cheapness. [Obs.] The sack that thou hast drunk me would have bought me lights as good cheap at the dearest chandler's in Europe. Shak.\n\n1. Having a low price in market; of small cost or price, as compared with the usual price or the real value. Where there are a great sellers to a few buyers, there the thing to be sold will be cheap. Locke. 2. Of comparatively small value; common; mean. You grow cheap in every subject's eye. Dryden. Dog cheap, very cheap, -- a phrase formed probably by the catachrestical transposition of good cheap. [Colloq.]\n\nCheaply. Milton.\n\nTo buy; to bargain. [Obs.] Chaucer.
cheap-jack |A seller of low-priced or second goods; a hawker.
cheap-john |A seller of low-priced or second goods; a hawker.
cheapen |1. To ask the price of; to bid, bargain, or chaffer for. [Obsoles.] Pretend to cheapen goods, but nothing buy. Swift. 2. Etym: [Cf. Cheap, a.]  To beat down the price of; to lessen the value of; to depreciate. Pope. My proffered love has cheapened me. Dryden.
cheapener |One who cheapens.
cheaply |At a small price; at a low value; in a common or inferior manner.
cheapness |Lowness in price, considering the usual price, or real value.
chear |See Cheer.
cheat |1. An act of deception or fraud; that which is the means of fraud or deception; a fraud; a trick; imposition; imposture. When I consider life, 'tis all a cheat. Dryden. 2. One who cheats or deceives; an impostor; a deceiver; a cheater. Airy wonders, which cheats interpret. Johnson 3. (Bot.)  A troublesome grass, growing as a weed in grain fields; -- called also chess. See Chess. 4. (Law)  The obtaining of property from another by an intentional active distortion of the truth. Note: When cheats are effected by deceitful or illegal symbols or tokens which may affect the public at large and against which common prudence could not have guarded, they are indictable at common law. Wharton. Syn. -- Deception; imposture; fraud; delusion; artifice; trick; swindle; deceit; guile; finesse; stratagem.\n\n1. To deceive and defraud; to impose upon; to trick; to swindle. I am subject to a tyrant, a sorcerer, that by his cunning hath cheated me of this island. Shak. 2. To beguile. Sir W. Scott. To cheat winter of its dreariness. W. Irving. Syn. -- To trick; cozen; gull; chouse; fool; outwit; circumvent; beguile; mislead; dupe; swindle; defraud; overreach; delude; hoodwink; deceive; bamboozle.\n\nTo practice fraud or trickery; as, to cheat at cards.\n\nWheat, or bread made from wheat. [Obs.] Drayton. Their purest cheat, Thrice bolted, kneaded, and subdued in paste. Chapman.
cheatable |Capable of being cheated.
cheatableness |Capability of being cheated.
cheater |1. One who cheats. 2. An escheator. [R.] Shak.
chebacco |A narrow-sterned boat formerly much used in the Newfoundland fisheries; -- called also pinkstern and chebec. Bartlett.
chebec |See Chebacco.\n\nA small American bird (Empidonax minimus); the least flycatcher.
check |1. (Chess)  A word of warning denoting that the king is in danger; such a menace of a player's king by an adversary's move as would, if it were any other piece, expose it to immediate capture. A king so menaced is said to be in check, and must be made safe at the next move. 2. A condition of interrupted or impeded progress; arrest; stop; delay; as, to hold an enemy in check. Which gave a remarkable check to the first progress of Christianity. Addison. No check, no stay, this streamlet fears. Wordsworth. 3. Whatever arrests progress, or limits action; an obstacle, guard, restraint, or rebuff. Useful check upon the administration of government. Washington. A man whom no check could abash. Macaulay. 4. A mark, certificate, or token, by which, errors may be prevented, or a thing or person may be identified; as, checks placed against items in an account; a check given for baggage; a return check on a railroad. 5. A written order directing a bank or banker to pay money as therein stated. See Bank check, below. 6. A woven or painted design in squares resembling the patten of a checkerboard; one of the squares of such a design; also, cloth having such a figure. 7. (Falconry)  The forsaking by a hawk of its proper game to follow other birds. 8. Small chick or crack. Bank check, a written order on a banker or broker to pay money in his keeping belonging to the signer. -- Check book, a book containing blank forms for checks upon a bank. -- Check hook, a hook on the saddle of a harness, over which a checkrein is looped. -- Check list, a list or catalogue by which things may be verified, or on which they may be checked. -- Check nut (Mech.), a secondary nut, screwing down upon the primary nut to secure it. Knight. -- Check valve (Mech.), a valve in the feed pipe of a boiler to prevent the return of the feed water. -- To take check, to take offense. [Obs.] Dryden. Syn. -- Hindrance; setback; interruption; obstruction; reprimand; censure; rebuke; reproof; repulse; rebuff; tally; counterfoil; counterbalance; ticket; draft.\n\n1. (Chess)  To make a move which puts an adversary's piece, esp. his king, in check; to put in check. 2. To put a sudden restraint upon; to stop temporarily; to hinder; to repress; to curb. So many clogs to check and retard the headlong course of violence and oppression. Burke. 3. To verify, to guard, to make secure, by means of a mark, token, or other check; to distinguish by a check; to put a mark against (an item) after comparing with an original or a counterpart in order to secure accuracy; as, to check an account; to check baggage. 4. To chide, rebuke, or reprove. The good king, his master, will check him for it. Shak. 5. (Naut.)  To slack or ease off, as a brace which is too stiffly extended. 6. To make checks or chinks in; to cause to crack; as, the sun checks timber. Syn. -- To restrain; curb; bridle; repress; control; hinder; impede; obstruct; interrupt; tally; rebuke; reprove; rebuff.\n\nTo make a stop; to pause; -- with at. The mind, once jaded by an attempt above its power, either is disabled for the future, or else checks at any vigorous undertaking ever after. Locke. 2. To clash or interfere. [R.] Bacon. 3. To act as a curb or restraint. It [his presence] checks too strong upon me. Dryden. 4. To crack or gape open, as wood in drying; or to crack in small checks, as varnish, paint, etc. 5. (Falconry)  To turn, when in pursuit of proper game, and fly after other birds. And like the haggard, check at every feather That comes before his eye. Shak.\n\nCheckered; designed in checks.
checkage |1. The act of checking; as, the checkage of a name or of an item in a list. 2. The items, or the amount, to which attention is called by a check or checks.
checker |One who checks.\n\n1. To mark with small squares like a checkerboard, as by crossing stripes of different colors. 2. To variegate or diversify with different qualities, color, scenes, or events; esp., to subject to frequent alternations of prosterity and adversity. Our minds are, as it were, checkered with truth and falsehood. Addison.\n\n1. A piece in the game of draughts or checkers. 2. A pattern in checks; a single check. 3. Checkerwork. Note: This word is also written chequer.
checkerberry |A spicy plant and its bright red berry; the wintergreen (Gaultheria procumbens). Also incorrectly applied to the partridge berry (Mitchella repens).
checkerboard |A board with sixty-four squares of alternate color, used for playing checkers or draughts.
checkered |1. Marked with alternate squares or checks of different color or material. Dancing in the checkered shade. Milton. 2. Diversified or variegated in a marked manner, as in appearance, character, circumstances, etc. This checkered narrative. Macaulay.
checkers |A game, called also daughts, played on a checkerboard by two persons, each having twelve men (counters or checkers) which are moved diagonally. The game is ended when either of the players has lost all his men, or can not move them.
checkerwork |1. Work consisting of or showing checkers varied alternately as to colors or materials. 2. Any aggregate of varied vicissitudes. How strange a checkerwork of Providence is the life of man. De Foe.
checklaton |1. Ciclatoun. [Obs.] 2. Gilded leather. [Obs.] Spenser.
checkless |That can not be checked or restrained.
checkmate |1. The position in the game of chess when a king is in check and cannot be released, -- which ends the game. 2. A complete check; utter defeat or overthrow.\n\n1. (Chess)  To check (an adversary's king) in such a manner that escape in impossible; to defeat (an adversary) by putting his king in check from which there is no escape. 2. To defeat completely; to terminate; to thwart. To checkmate and control my just demands. Ford.
checkrein |1. A short rein looped over the check hook to prevent a horse from lowering his head; -- called also a bearing rein. 2. A branch rein connecting the driving rein of one horse of a span or pair with the bit of the other horse.
checkroll |A list of servants in a household; -- called also chequer roll.
checkstring |A cord by which a person in a carriage or horse car may signal to the driver.
checkwork |Anything made so as to form alternate squares lke those of a checkerboard.
checky |Divided into small alternating squares of two tinctures; -- said of the field or of an armorial bearing. [Written also checquy, cheguy.]
cheddar |Of or pertaining to, or made at, Cheddar, in England; as, Cheddar cheese.
cheek |1. The side of the face below the eye. 2. The cheek bone. [Obs.] Caucer. 3. pl. (Mech.)  Those pieces of a machine, or of any timber, or stone work, which form corresponding sides, or which are similar and in pair; as, the cheeks (jaws) of a vise; the cheeks of a gun carriage, etc. 4. pl.  The branches of a bridle bit. Knight. 5. (Founding)  A section of a flask, so made that it can be moved laterally, to permit the removal of the pattern from the mold; the middle part of a flask. 6. Cool confidence; assurance; impudence. [Slang] Cheek of beef. See Illust. of Beef. -- Cheek bone (Anat.) the bone of the side of the fase; esp., the malar bone. -- Cheek by jowl, side by side; very intimate. -- Cheek pouch (Zoöl.), a sacklike dilation of the cheeks of certain monkeys and rodents, used for holding food. -- Cheeks of a block, the two sides of the shell of a tackle block. -- Cheeks of a mast, the projection on each side of a mast, upon which the trestletrees rest. -- Cheek tooth (Anat.), a hinder or molar tooth. -- Butment cheek. See under Butment.\n\nTo be impudent or saucy to. [Slang.]
cheeked |Having a cheek; -- used in composition. \"Rose-cheeked Adonis.\" Shak.
cheeky |a Brazen-faced; impudent; bold. [Slang.]
cheep |To chirp, as a young bird.\n\nTo give expression to in a chirping tone. Cheep and twitter twenty million loves. Tennyson.\n\nA chirp, peep, or squeak, as of a young bird or mousse.
cheer |1. The face; the countenance or its expression. [Obs.] \"Sweat of thy cheer.\" Wyclif. 2. Feeling; spirit; state of mind or heart. Be of good cheer. Matt. ix. 2. The parents . . . fled away with heavy cheer. Holland. 3. Gayety; mirth; cheerfulness; animation. I have not that alacrity of spirit, Nor cheer of mind, that I was wont to have. Shak. 1. That which promotes good spirits or cheerfulness; provisions prepared for a feast; entertainment; as, a table loaded with good cheer. 5. A shout, hurrah, or acclamation, expressing joy enthusiasm, applause, favor, etc. Welcome her, thundering cheer of the street. Tennyson. Whzt cheer Now do you fare What is there that is cheering\n\n1. To cause to rejoice; to gladden; to make cheerful; -- often with up. Cowpe. 2. To infuse life, courage, animation, or hope, into; to inspirit; to solace or comfort. The proud he tamed, the penitent he cheered. Dryden. 3. To salute or applaud with cheers; to urge on by cheers; as, to cheer hounds in a chase. To cheer ship, to salute a passing ship by cheers of sailors stationed in the rigging. Syn. -- To gladden; encourage; inspirit; comfort; console; enliven; refresh; exhilarate; animate; applaud.\n\n1. To grow cheerful; to become gladsome or joyous; -- usually with up. At sight of thee my gloomy soul cheers up. A. Philips. 2. To be in any state or temper of mind. [Obs.] How cheer'st thou, Jessica Shak. 3. To utter a shout or shouts of applause, triumph, etc. And even the ranks of Tusculum Could scare forbear to cheer. Macaulay.
cheerer |One who cheers; one who, or that which, gladdens. \"Thou cheerer of our days.\" Wotton. \"Prime cheerer, light.\" Thomson.
cheerful |Having or showing good spirits or joy; cheering; cheery; contented; happy; joyful; lively; animated; willing. To entertain a cheerful disposition. Shak. The cheerful birds of sundry kind Do chant sweet music. Spenser. A cheerful confidence in the mercy of God. Macaulay. This general applause and cheerful shout. Shak. Syn. -- Lively; animated; gay; joyful; lightsome; gleeful; blithe; airy; sprightly; jocund; jolly; joyous; vivacious; buoyant; sunny; happy; hopeful.
cheerfully |In a cheerful manner, gladly.
cheerfulness |Good spirits; a state of moderate joy or gayety; alacrity.
cheerily |In a cheery manner.
cheeriness |The state of being cheery.
cheeringly |In a manner to cheer or encourage.
cheerisness |Cheerfulness. [Obs.] There is no Christian duty that is not to be seasoned and set off with cheerishness. Milton.
cheerless |Without joy, gladness, or comfort. -- Cheer\"less*ly, adv. -- Cheer\"less*ness, n. My cheerful day is turned to cheerles night. Spenser. Syn. -- Gloomy; sad; comfortless; dispiriting; dicsconsolate; dejected; melancholy; forlorn.
cheerly |Gay; cheerful. [Obs.] Shak.\n\nCheerily. [Archaic] Tennyson.
cheerry |Cheerful; lively; gay; bright; pleasant; as, a cheery person. His cheery little study, where the sunshine glimmered so pleasantly. Hawthorne.
cheese |1. The curd of milk, coagulated usually with rennet, separated from the whey, and pressed into a solid mass in a hoop or mold. 2. A mass of pomace, or ground apples, pressed togehter in the form of a cheese. 3. The flat, circuliar, mucilaginous fruit of the dwarf mallow (Malva rotundifolia). [Colloq.] 4. A low courtesy; -- so called on account of the cheese form assumed by a woman's dress when she stoops after extending the skirts by a rapid gyration. De Quincey. Thackeray. Cheese cake, a cake made of or filled with, a composition of soft curds, sugar, and butter. Prior. -- Cheese fly (Zoöl.), a black dipterous insect (Piophila casei) of which the larvæ or maggots, called ckippers or hoppers, live in cheese. -- Cheese mite (Zoöl.), a minute mite (Tryoglyhus siro) in cheese and other articles of food. -- Cheese press, a press used in making cheese, to separate the whey from the curd, and to press the curd into a mold. -- Cheese rennet (Bot.), a plant of the Madder family (Golium verum, or yellow bedstraw), sometimes used to coagulate milk. The roots are used as a substitute for madder. -- Cheese vat, a vat or tub in which the curd is formed and cut or broken, in cheese making.
cheese cloth |A thin, loosewoven cotton cloth, such as is used in pressing cheese curds.
cheeselep |A bag in which rennet is kept.
cheesemonger |One who deals incheese. B. Jonson.
cheeseparing |A thin portion of the rind of a cheese. -- a.  Scrimping; mean; as, cheeseparing economy.
cheesiness |The quality of being cheesy.
cheesy |Having the nature, qualities, taste, form, consistency, or appearance of cheese.
cheetah |A species of leopard (Cynælurus jubatus) tamed and used for hunting in India. The woolly cheetah of South Africa is C. laneus. [Written also chetah.]
chef |1. A chief of head person. 2. The head cook of large establishment, as a club, a family, etc. 3. (Her.)  Same as Chief. CHEF-D'OEUVRE Chef`-d'oeuvre\| n.; pl. Chefs-d'oeuvre. Etym| [F.]  A masterpiece; a capital work in art| literature| etc."
chegoe |See Chigoe.
chegre |See Chigoe.
cheiloplasty |The process of forming an artificial tip or part of a lip, by using for the purpose a piece of healthy tissue taken from some neighboring part.
cheilopoda |See Ch.
cheiropter |One of the Cheiroptera.
cheiroptera |An order of mammalia, including the bats, having four toes of each of the anterior limbs elongated and connected by a web, so that they can be used like wings in flying. See Bat.
cheiropterous |Belonging to the Cheiroptera, or Bat family.
cheiropterygium |The typical pentadactyloid limb of the higher vertebrates.
