plied |imp. & p. p. of Ply.
polemical |Polemic; controversial; disputatious. -- Po*lem\"ic*al*ly, adv. Polemical and impertinent disputations. Jer. Taylor.
polemicist |A polemic. [R.]
polemics |The art or practice of disputation or controversy, especially on religious subjects; that branch of theological science which pertains to the history or conduct of ecclesiastical controversy.
polemist |A polemic. [R.]
polemoniaceous |Of or pertaining to a natural order of plants (Polemoniaceæ), which includes Polemonium, Phlox, Gilia, and a few other genera.
polemonium |A genus of gamopetalous perennial herbs, including the Jacob's ladder and the Greek valerian.
polemoscope |An opera glass or field glass with an oblique mirror arranged for seeing objects do not lie directly before the eye; -- called also diagonal, or side, opera glass.
polemy |Warfare; war; hence, contention; opposition. [Obs.]
polenta |Pudding made of Indian meal; also, porridge made of chestnut meal. [Italy]
poler |One who poles.\n\nAn extortioner. See Poller. [Obs.] Bacon.
polestar |1. Polaris, or the north star. See North star, under North. 2. A guide or director.
polewards |Toward a pole of the earth. \"The regions further polewards.\" Whewell.
polewig |The European spotted goby (Gobius minutus); -- called also pollybait. [Prov. Eng.]
poley |See Poly.\n\nWithout horns; polled. [Prov. Eng.] \"That poley heifer.\" H. Kingsley.
polianite |Manganese dioxide, occurring in tetragonal crystals nearly as hard as quartz.
policate |Same as Pollicate.
police |1. A judicial and executive system, for the government of a city, town, or district, for the preservation of rights, order, cleanliness, health, etc., and for the enforcement of the laws and prevention of crime; the administration of the laws and regulations of a city, incorporated town, or borough. 2. That which concerns the order of the community; the internal regulation of a state. 3. The organized body of civil officers in a city, town, or district, whose particular duties are the preservation of good order, the prevention and detection of crime, and the enforcement of the laws. 4. (Mil.)  Military police, the body of soldiers detailed to preserve civil order and attend to sanitary arrangements in a camp or garrison. 5. The cleaning of a camp or garrison, or the state Police commissioner, a civil officer, usually one of a board, commissioned to regulate and control the appointment, duties, and discipline of the police. -- Police constable, or Police officer, a policeman. -- Police court, a minor court to try persons brought before it by the police. -- Police inspector, an officer of police ranking next below a superintendent. -- Police jury, a body of officers who collectively exercise jurisdiction in certain cases of police, as levying taxes, etc.; -- so called in Louisiana. Bouvier. -- Police justice, or Police magistrate, a judge of a police court. -- Police offenses (Law), minor offenses against the order of the community, of which a police court may have final jurisdiction. -- Police station, the headquarters of the police, or of a section of them; the place where the police assemble for orders, and to which they take arrested persons.\n\n1. To keep in order by police. 2. (Mil.)  To make clean; as, to police a camp.
police power |The inherent power of a government to regulate its police affairs. The term police power is not definitely fixed in meaning. In the earlier cases in the United States it was used as including the whole power of internal government, or the powers of government inherent in every sovereignty to the extent of its dominions (11 Peters (U. S.) 102). The later cases have excepted from its domain the development and administration of private law. Modern political science defines the power as a branch of internal administration in the exercise of which the executive should move within the lines of general principles prescribed by the constitution or the legislature, and in the exercise of which the most local governmental organizations should participate as far as possible (Burgess). Under this limitation the police power, as affecting persons, is the power of the state to protect the public against the abuse of individual liberty, that is, to restrain the individual in the exercise of his rights when such exercise becomes a danger to the community. The tendency of judicial and popular usage is towards this narrower definition.
policed |Regulated by laws for the maintenance of peace and order, enforced by organized administration. \"A policed kingdom.\" Howell.
policeman |A member of a body of police; a constable.
policial |Relating to the police. [R.]
policied |Policed. [Obs.] Bacon.
policy |1. Civil polity. [Obs.] 2. The settled method by which the government and affairs of a nation are, or may be, administered; a system of public or official administration, as designed to promote the external or internal prosperity of a state. 3. The method by which any institution is administered; system of management; course. 4. Management or administration based on temporal or material interest, rather than on principles of equity or honor; hence, worldly wisdom; dexterity of management; cunning; stratagem. 5. Prudence or wisdom in the management of public and private affairs; wisdom; sagacity; wit. The very policy of a hostess, finding his purse so far above his clothes, did detect him. Fuller. 6. Motive; object; inducement. [Obs.] What policy have you to bestow a benefit where it is counted an injury Sir P. Sidney. Syn. -- See Polity.\n\nTo regulate by laws; to reduce to order. [Obs.] \"Policying of cities.\" Bacon.\n\n1. A ticket or warrant for money in the public funds. 2. The writing or instrument in which a contract of insurance is embodied; an instrument in writing containing the terms and conditions on which one party engages to indemnify another against loss arising from certain hazards, perils, or risks to which his person or property may be exposed. See Insurance. 3. A method of gambling by betting as to what numbers will be drawn in a lottery; as, to play policy. Interest policy, a policy that shows by its form that the assured has a real, substantial interest in the matter insured. -- Open policy, one in which the value of the goods or property insured is not mentioned. -- Policy book, a book to contain a record of insurance policies. -- Policy holder, one to whom an insurance policy has been granted. -- Policy shop, a gambling place where one may bet on the numbers which will be drawn in lotteries. -- Valued policy, one in which the value of the goods, property, or interest insured is specified. -- Wager policy, a policy that shows on the face of it that the contract it embodies is a pretended insurance, founded on an ideal risk, where the insured has no interest in anything insured.
poling |1. The act of supporting or of propelling by means of a pole or poles; as, the poling of beans; the poling of a boat. 2. (Gardening)  The operation of dispersing worm casts over the walks with poles. 3. One of the poles or planks used in upholding the side earth in excavating a tunnel, ditch, etc.
polish |Of or pertaining to Poland or its inhabitants. -- n.  The language of the Poles.\n\n1. To make smooth and glossy, usually by friction; to burnish; to overspread with luster; as, to polish glass, marble, metals, etc. 2. Hence, to refine; to wear off the rudeness, coarseness, or rusticity of; to make elegant and polite; as, to polish life or manners. Milton. To polish off, to finish completely, as an adversary. [Slang] W. H. Russell.\n\nTo become smooth, as from friction; to receive a gloss; to take a smooth and glossy surface; as, steel polishes well. Bacon.\n\n1. A smooth, glossy surface, usually produced by friction; a gloss or luster. Another prism of clearer glass and better polish. Sir I. Newton. 2. Anything used to produce a gloss. 3. Fig.: Refinement; elegance of manners. This Roman polish and this smooth behavior. Addison.
polishable |Capable of being polished.
polished |Made smooth and glossy, as by friction; hence, highly finished; refined; polite; as, polished plate; polished manners; polished verse.
polishedness |The quality of being polished.
polisher |One who, or that which, polishes; also, that which is used in polishing. Addison.
polishing |a. & n. from Polish. Polishing iron, an iron burnisher; esp., a small smoothing iron used in laundries. -- Polishing slate. (a) A gray or yellow slate, found in Bohemia and Auvergne, and used for polishing glass, marble, and metals. (b) A kind of hone or whetstone; hone slate. -- Polishing snake, a tool used in cleaning lithographic stones. -- Polishing wheel, a wheel or disk coated with, or composed of, abrading material, for polishing a surface.
polishment |The act of polishing, or the state of being polished. [R.]
polissoir |1. A polishing or grinding implement or instrument. 2.  (Glass Making) A tool consisting of a flat wooden block with a long iron handle, used for flattening out split cylinders of blown glass.
polite |1. Smooth; polished. [Obs.] Rays of light falling on a polite surface. Sir I. Newton. 2. Smooth and refined in behavior or manners; well bred; courteous; complaisant; obliging; civil. He marries, bows at court, and grows polite. Pope. 3. Characterized by refinement, or a high degree of finish; as, polite literature. Macaulay. Syn. -- Polished; refined; well bred; courteous; affable; urbane; civil; courtly; elegant; genteel.\n\nTo polish; to refine; to render polite. [Obs.] Ray.
politely |1. In a polished manner; so as to be smooth or glossy. [Obs.] Milton. 2. In a polite manner; with politeness.
politeness |1. High finish; smoothness; burnished elegance. [R.] Evelyn. 2. The quality or state of being polite; refinement of manners; urbanity; courteous behavior; complaisance; obliging attentions. Syn. -- Courtesy; good breeding; refinement; urbanity; courteousness; affability; complaisance; civility; gentility; courtliness. -- Politeness, Courtesy. Politeness denotes that ease and gracefulness of manners which first sprung up in cities, connected with a desire to please others by anticipating their wants and wishes, and studiously avoiding whatever might give them pain. Courtesy is, etymologically, the politeness of courts. It displays itself in the address and manners; it is shown more especially in receiving and entertaining others, and is a union of dignified complaisance and kindness.
politesse |Politeness.
politic |1. Of or pertaining to polity, or civil government; political; as, the body politic. See under Body. He with his people made all but one politic body. Sir P. Sidney. 2. Pertaining to, or promoting, a policy, especially a national policy; well-devised; adapted to its end, whether right or wrong; -- said of things; as, a politic treaty. \"Enrich'd with politic grave counsel.\" Shak. 3. Sagacious in promoting a policy; ingenious in devising and advancing a system of management; devoted to a scheme or system rather than to a principle; hence, in a good sense, wise; prudent; sagacious; and in a bad sense, artful; unscrupulous; cunning; -- said of persons. Politic with my friend, smooth with mine enemy. Shak. Syn. -- Wise; prudent; sagacious; discreet; provident; wary; artful; cunning.\n\nA politician. [Archaic] Bacon. Swiftly the politic goes; is it dark he borrows a lantern; Slowly the statesman and sure, guiding his feet by the stars. Lowell.
political |1. Having, or conforming to, a settled system of administration. [R.] \"A political government.\" Evelyn. 2. Of or pertaining to public policy, or to politics; relating to affairs of state or administration; as, a political writer. \"The political state of Europe.\" Paley. 3. Of or pertaining to a party, or to parties, in the state; as, his political relations were with the Whigs. 4. Politic; wise; also, artful. [Obs.] Sterne. Political economy, that branch of political science or philosophy which treats of the sources, and methods of production and preservation, of the material wealth and prosperity of nations.
politicalism |Zeal or party spirit in politics.
politically |1. In a political manner. 2. Politicly; artfully. [Obs.] Knolles.
politicaster |A petty politician; a pretender in politics. Milton.
politician |1. One versed or experienced in the science of government; one devoted to politics; a statesman. While empiric politicians use deceit. Dryden. 2. One primarily devoted to his own advancement in public office, or to the success of a political party; -- used in a depreciatory sense; one addicted or attached to politics as managed by parties (see Politics, 2); a schemer; an intriguer; as, a mere politician. Like a scurvy politician, seem To see the things thou dost not. Shak. The politician . . . ready to do anything that he apprehends for his advantage. South.\n\nCunning; using artifice; politic; artful. \"Ill-meaning politician lords.\" Milton.
politicist |A political writer. [R.]
politicly |In a politic manner; sagaciously; shrewdly; artfully. Pope.
politics |1. The science of government; that part of ethics which has to do with the regulation and government of a nation or state, the preservation of its safety, peace, and prosperity, the defense of its existence and rights against foreign control or conquest, the augmentation of its strength and resources, and the protection of its citizens in their rights, with the preservation and improvement of their morals. 2. The management of a political party; the conduct and contests of parties with reference to political measures or the administration of public affairs; the advancement of candidates to office; in a bad sense, artful or dishonest management to secure the success of political candidates or parties; political trickery. When we say that two men are talking politics, we often mean that they are wrangling about some mere party question. F. W. Robertson.
politize |To play the politician; to dispute as politicians do. [Obs.] Milton.
politure |Polish; gloss. [Obs.] Donne.
polity |1. The form or constitution of the civil government of a nation or state; the framework or organization by which the various departments of government are combined into a systematic whole. Blackstone. Hooker. 2. Hence: The form or constitution by which any institution is organized; the recognized principles which lie at the foundation of any human institution. Nor is possible that any form of polity, much less polity ecclesiastical, should be good, unless God himself be author of it. Hooker. 3. Policy; art; management. [Obs.] B. Jonson. Syn. -- Policy. -- Polity, Policy. These two words were originally the same. Polity is now confined to the structure of a government; as, civil or ecclesiastical polity; while policy is applied to the scheme of management of public affairs with reference to some aim or result; as, foreign or domestic policy. Policy has the further sense of skillful or cunning management.
politzerization |The act of inflating the middle ear by blowing air up the nose during the act of swallowing; -- so called from Prof. Politzer of Vienna, who first practiced it.
polive |A pulley. [Obs.] Chaucer.
polka |1. A dance of Polish origin, but now common everywhere. It is performed by two persons in common time. 2. (Mus.)  A lively Bohemian or Polish dance tune in 2-4 measure, with the third quaver accented. Polka jacket, a kind of knit jacket worn by women.
poll |A parrot; -- familiarly so called.\n\nOne who does not try for honors, but is content to take a degree merely; a passman. [Cambridge Univ., Eng.]\n\n1. The head; the back part of the head. \"All flaxen was his poll.\" Shak. 2. A number or aggregate of heads; a list or register of heads or individuals. We are the greater poll, and in true fear They gave us our demands. Shak. The muster file, rotten and sound, upon my life, amounts not to fifteen thousand poll. Shak. 3. Specifically, the register of the names of electors who may vote in an election. 4. The casting or recording of the votes of registered electors; as, the close of the poll. All soldiers quartered in place are to remove . . . and not to return till one day after the poll is ended. Blackstone. 5. pl.  The place where the votes are cast or recorded; as, to go to the polls. 6. The broad end of a hammer; the but of an ax. 7. (Zoöl.)  The European chub. See Pollard, 3 (a). Poll book, a register of persons entitled to vote at an election. -- Poll evil (Far.), an inflammatory swelling or abscess on a horse's head, confined beneath the great ligament of the neck. -- Poll pick (Mining), a pole having a heavy spike on the end, forming a kind of crowbar. -- Poll tax, a tax levied by the head, or poll; a capitation tax.\n\n1. To remove the poll or head of; hence, to remove the top or end of; to clip; to lop; to shear; as, to poll the head; to poll a tree. When he [Absalom] pollled his head. 2 Sam. xiv. 26. His death did so grieve them that they polled themselves; they clipped off their horse and mule's hairs. Sir T. North. 2. To cut off; to remove by clipping, shearing, etc.; to mow or crop; -- sometimes with off; as, to poll the hair; to poll wool; to poll grass. Who, as he polled off his dart's head, so sure he had decreed That all the counsels of their war he would poll off like it. Chapman. 3. To extort from; to plunder; to strip. [Obs.] Which polls and pills the poor in piteous wise. Spenser. 4. To impose a tax upon. [Obs.] 5. To pay as one's personal tax. The man that polled but twelve pence for his head. Dryden. 6. To enter, as polls or persons, in a list or register; to enroll, esp. for purposes of taxation; to enumerate one by one. Polling the reformed churches whether they equalize in number those of his three kingdoms. Milton. 7. To register or deposit, as a vote; to elicit or call forth, as votes or voters; as, he polled a hundred votes more than his opponent. And poll for points of faith his trusty vote. Tickell. 8. (Law)  To cut or shave smooth or even; to cut in a straight line without indentation; as, a polled deed. See Dee. Burrill. To poll a jury, to call upon each member of the jury to answer individually as to his concurrence in a verdict which has been rendered.\n\nTo vote at an election. Beaconsfield.
pollack |(a) A marine gadoid food fish of Europe (Pollachius virens). Called also greenfish, greenling, lait, leet, lob, lythe, and whiting pollack. (b) The American pollock; the coalfish.
pollage |A head or poll tax; hence, extortion. [Obs.] Foxe.
pollan |A lake whitefish (Coregonus pollan), native of Ireland. In appearance it resembles a herring.
pollard |1. A tree having its top cut off at some height above the ground, that may throw out branches. Pennant. 2. A clipped coin; also, a counterfeit. [Obs.] Camden. 3. (Zoöl.) (a) A fish, the chub. (b) A stag that has cast its antlers. (c) A hornless animal (cow or sheep).\n\nTo lop the tops of, as trees; to poll; as, to pollard willows. Evelyn.
pollax |A poleax. [Obs.] Chaucer.
polled |Deprived of a poll, or of something belonging to the poll. Specifically: (a) Lopped; -- said of trees having their tops cut off. (b) Cropped; hence, bald; -- said of a person. \"The polled bachelor.\" Beau. & Fl. (c) Having cast the antlers; -- said of a stag. (d) Without horns; as, polled cattle; polled sheep.
pollen |1. Fine bran or flour. [Obs.] Bailey. 2. (Bot.)  The fecundating dustlike cells of the anthers of flowers. See Flower, and Illust. of Filament. Pollen grain (Bot.), a particle or call of pollen. -- Pollen mass, a pollinium. Gray. -- Pollen sac, a compartment of an anther containing pollen, -- usually there are four in each anther. -- Pollen tube, a slender tube which issues from the pollen grain on its contact with the stigma, which it penetrates, thus conveying, it is supposed, the fecundating matter of the grain to the ovule.
pollenarious |Consisting of meal or pollen.
pollened |Covered with pollen. Tennyson.
polleniferous |Producing pollen; polliniferous.
pollenin |A substance found in the pollen of certain plants. [R.]
pollenize |To supply with pollen; to impregnate with pollen.
poller |One who polls; specifically: (a) One who polls or lops trees. (b) One who polls or cuts hair; a barber. [R.] (c) One who extorts or plunders. [Obs.] Bacon. (d) One who registers voters, or one who enters his name as a voter.
pollex |The first, or preaxial, digit of the fore limb, corresponding to the hallux in the hind limb; the thumb. In birds, the pollex is the joint which bears the bastard wing.
pollicate |Having a curved projection or spine on the inner side of a leg joint; -- said of insects.
pollicitation |1. A voluntary engagement, or a paper containing it; a promise. Bp. Burnet. 2. (Roman Law)  A promise without mutuality; a promise which has not been accepted by the person to whom it is made. Bouvier.
pollinate |Pollinose.\n\nTo apply pollen to (a stigma). -- Pol`li*na\"tion, n. (Bot.)
pollinctor |One who prepared corpses for the funeral.
polling |1. The act of topping, lopping, or cropping, as trees or hedges. 2. Plunder, or extortion. [Obs.] E. Hall. 3. The act of voting, or of registering a vote. Polling booth, a temporary structure where the voting at an election is done; a polling place.
polliniferous |Producing pollen; polleniferous.
pollinium |A coherent mass of pollen, as in the milkweed and most orchids.
pollinose |Having the surface covered with a fine yellow dust, like pollen.
polliwig |A tadpole; -- called also purwiggy and porwigle.
polliwog |A tadpole; -- called also purwiggy and porwigle.
pollock |A marine gadoid fish (Pollachius carbonarius), native both of the European and American coasts. It is allied to the cod, and like it is salted and dried. In England it is called coalfish, lob, podley, podling, pollack, etc.
pollucite |A colorless transparent mineral, resembling quartz, occurring with castor or castorite on the island of Elba. It is a silicate of alumina and cæsia. Called also pollux.
pollute |1. To make foul, impure, or unclean; to defile; to taint; to soil; to desecrate; -- used of physical or moral defilement. The land was polluted with blood. Ps. cvi. 38 Wickedness . . . hath polluted the whole earth. 2 Esd. xv. 6. 2. To violate sexually; to debauch; to dishonor. 3. (Jewish Law)  To render ceremonially unclean; to disqualify or unfit for sacred use or service, or for social intercourse. Neither shall ye pollute the holy things of the children of Israel, lest ye die. Num. xviii. 32. They have polluted themselves with blood. Lam. iv. 14. Syn. -- To defile; soil; contaminate; corrupt; taint; vitiate; debauch; dishonor; ravish.\n\nPolluted. [R.] Milton.
polluted |Defiled; made unclean or impure; debauched. -- Pol*lut\"ed*ly, adv. -- Pol*lut\"ed*ness, n.
polluter |One who pollutes. Dryden.
polluting |Adapted or tending to pollute; causing defilement or pollution. -- Pol*lut\"ing*ly, adv.
pollution |1. The act of polluting, or the state of being polluted (in any sense of the verb); defilement; uncleanness; impurity. 2. (Med.)  The emission of semen, or sperm, at other times than in sexual intercourse. Dunglison.
pollux |1. (Astron.)  A fixed star of the second magnitude, in the constellation Gemini. Cf. 3d Castor. 2. (Min.)  Same as Pollucite.
polly |A woman's name; also, a popular name for a parrot.
pollywog |A polliwig.
polo |1. A game of ball of Eastern origin, resembling hockey, with the players on horseback. 2. A similar game played on the ice, or on a prepared floor, by players wearing skates.
polonaise |Of or pertaining to the Poles, or to Poland. [Written also Polonese.]\n\n1. The Polish language. 2. An article of dress for women, consisting of a body and an outer skirt in one piece. 3. (Mus.)  A stately Polish dance tune, in 3-4 measure, beginning always on the beat with a quaver followed by a crotchet, and closing on the beat after a strong accent on the second beat; also, a dance adapted to such music; a polacca.
polonese |See Polonaise.
polonium |A supposed new element, a radioactive substance discovered by M. and MMe. Curie in pitchblende. It is closely related chemically to bismuth. It emits only alpha rays and is perhaps identical with radium F.
polony |A kind of sausage made of meat partly cooked.
polron |See Pauldron.
polt |A blow or thump. Halliwell. -- a.  Distorted. Pot foot, a distorted foot. Sir T. Herbert.
polt-foot |Having a distorted foot, or a clubfoot or clubfeet. B. Jonson.
polt-footed |Having a distorted foot, or a clubfoot or clubfeet. B. Jonson.
poltroon |An arrant coward; a dastard; a craven; a mean-spirited wretch. Shak.\n\nBase; vile; contemptible; cowardly.
poltroonery |Cowardice; want of spirit; pusillanimity.
poltroonish |Resembling a poltroon; cowardly.
polverine |Glassmaker's ashes; a kind of potash or pearlash, brought from the Levant and Syria, -- used in the manufacture of fine glass.
polwig |A polliwig. Holland.
poly |A whitish woolly plant (Teucrium Polium) of the order Labiatæ, found throughout the Mediterranean region. The name, with sundry prefixes, is sometimes given to other related species of the same genus. [Spelt also poley.] Poly mountain. See Poly-mountain, in Vocabulary.
poly- |A combining form or prefix from Gr. poly`s, many; as, polygon, a figure of many angles; polyatomic, having many atoms; polychord, polyconic.
poly-mountain |(a) Same as Poly, n. (b) The closely related Teucrium montanum, formerly called Polium montanum, a plant of Southern Europe. (c) The Bartsia alpina, a low purple-flowered herb of Europe.
