slutch |Slush. [Prov. Eng.]
socinianize |To cause to conform to Socinianism; to regulate by, or imbue with, the principles of Socinianism.
sociologic |Of or pertaining to sociology, or social science. -- So`ci*o*log\"ic*al*ly, adv.
sociologist |One who treats of, or devotes himself to, the study of sociology. J. S. Mill.
sociology |That branch of philosophy which treats of the constitution, phenomena, and development of human society; social science. H. Spencer.
sock |A plowshare. Edin. Encyc.\n\n1. The shoe worn by actors of comedy in ancient Greece and Rome, -- used as a sumbol of comedy, of the comic drams, as distinguished from tragedy, which is symbolized by the buskin. Great Fletcher never treads in buskin here, Nor greater Jonson dares in socks appear. Dryden. 2. A knit or woven covering for the foot and lower leg; a stocking with a short leg. 3. A warm inner sole for a shoe. Simmonds.
sockdolager |1. That which finishes or ends a matter; a settler; a poser, as a heavy blow, a conclusive answer, and the like. [Slang, U.S.] 2. (Angling)  A combination of two hooks which close upon each other, by means of a spring, as soon as the fish bites. [U. S.]
socket |1. An opening into which anything is fitted; any hollow thing or place which receives and holds something else; as, the sockets of the teeth. His eyeballs in their hollow sockets sink. Dryden. 2. Especially, the hollow tube or place in which a candle is fixed in the candlestick. And in the sockets oily bubbles dance. Dryden. Socket bolt (Mach.), a bolt that passes through a thimble that is placed between the parts connected by the bolt. -- Socket chisel. Same as Framing chisel. See under Framing. -- Socket pipe, a pipe with an expansion at one end to receive the end of a connecting pipe. -- Socket pole, a pole armed with iron fixed on by means of a socket, and used to propel boats, etc. [U.S.] -- Socket wrench, a wrench consisting of a socket at the end of a shank or rod, for turning a nut, bolthead, etc., in a narrow or deep recess.
socketed |Having a socket. Dawkins.
sockless |Destitute of socks or shoes. B. & Fl.
socky |Wet; soaky. [Prov. Eng.]
socle |(a) A plain block or plinth forming a low pedestal; any base; especially, the base of a statue, column, or the like. See Plinth. (b) A plain face or plinth at the lower part of a wall. Oxf. Gloss.
socman |One who holds lands or tenements by socage; a socager. Cowell.
socmanry |Tenure by socage.
socome |A custom of tenants to grind corn at the lord's mill. Cowell.
socotrine |Of or pertaining to Socotra, an island in the Indian Ocean, on the east coast of Africa. -- n.  A native or inhabitant of Socotra.
socratic |Of or pertaining to Socrates, the Grecian sage and teacher. (b. c. 469-399), or to his manner of teaching and philosophizing. Note: The Socratic method of reasoning and instruction was by a series of questions leading the one to whom they were addressed to perceive and admit what was true or false in doctrine, or right or wrong in conduct.
socratical |Of or pertaining to Socrates, the Grecian sage and teacher. (b. c. 469-399), or to his manner of teaching and philosophizing. Note: The Socratic method of reasoning and instruction was by a series of questions leading the one to whom they were addressed to perceive and admit what was true or false in doctrine, or right or wrong in conduct.
socratically |In the Socratic method.
socratism |The philosophy or the method of Socrates.
socratist |A disciple or follower of Socrates.
sod |The rock dove. [Prov. Eng.]\n\nimp. of Seethe.\n\nThat stratum of the surface of the soil which is filled with the roots of grass, or any portion of that surface; turf; sward. She there shall dress a sweeter sod Than Fancy's feet have ever trod. Collins.\n\nTo cover with sod; to turf.
soda |(a) Sodium oxide or hydroxide. (b) Popularly, sodium carbonate or bicarbonate. Caustic soda, sodium hydroxide. -- Cooking soda, sodium bicarbonate. [Colloq.] -- Sal soda. See Sodium carbonate, under Sodium. -- Soda alum (Min.), a mineral consisting of the hydrous sulphate of alumina and soda. -- Soda ash, crude sodium carbonate; -- so called because formerly obtained from the ashes of sea plants and certain other plants, as saltwort (Salsola). See under Sodium. -- Soda fountain, an apparatus for drawing soda water, fitted with delivery tube, faucets, etc. -- Soda lye, a lye consisting essentially of a solution of sodium hydroxide, used in soap making. -- Soda niter. See Nitratine. -- Soda salts, salts having sodium for the base; specifically, sodium sulphate or Glauber's salts. -- Soda waste, the waste material, consisting chiefly of calcium hydroxide and sulphide, which accumulates as a useless residue or side product in the ordinary Leblanc process of soda manufacture; -- called also alkali waste. -- Soda water, originally, a beverage consisting of a weak solution of sodium bicarbonate, with some acid to cause effervescence; now, in common usage, a beverage consisting of water highly charged with carbon dioxide (carbonic acid). Fruit sirups, cream, etc., are usually added to give flavor. See Carbonic acid, under Carbonic. -- Washing soda, sodium carbonate. [Colloq.]
sodaic |Pertaining to, or containing, soda. \"Sodaic powder.\" Ure.
sodalite |A mineral of a white to blue or gray color, occuring commonly in dodecahedrons, also massive. It is a silicate of alumina and soda with some chlorine.
sodality |1. A fellowship or fraternity; a brotherhood. 2. (R.C.Ch.)  Specifically, a lay association for devotion or for charitable purposes.
sodamide |A greenish or reddish crystalline substance, NaNH2, obtained by passing ammonia over heated sodium.
sodden |Boiled; seethed; also, soaked; heavy with moisture; saturated; as, sodden beef; sodden bread; sodden fields.\n\nTo be seethed; to become sodden.\n\nTo soak; to make heavy with water.
sodden-witted |Heavy; dull. Shak.
soddy |Consisting of sod; covered with sod; turfy. Cotgrave.
soder |See Solder.
sodger |Var. of Soldier. [Dial. or Slang]
sodic |Of or pertaining to sodium; containing sodium.
sodio- |A combining form (also used adjectively) denoting the presence of sodium or one of its compounds.
sodium |A common metallic element of the alkali group, in nature always occuring combined, as in common salt, in albite, etc. It is isolated as a soft, waxy, white, unstable metal, so readily oxidized that it combines violently with water, and to be preserved must be kept under petroleum or some similar liquid. Sodium is used combined in many salts, in the free state as a reducer, and as a means of obtaining other metals (as magnesium and aluminium) is an important commercial product. Symbol Na (Natrium). Atomic weight 23. Specific gravity 0.97. Sodium amalgam, an alloy of sodium and mercury, usually produced as a gray metallic crystalline substance, which is used as a reducing agent, and otherwise. -- Sodium bicarbonate, a white crystalline substance, HNaCO3, with a slight alkaline taste resembling that of sodium carbonate. It is found in many mineral springs and also produced artificially,. It is used in cookery, in baking powders, and as a source of carbonic acid gas (carbon dioxide) for soda water. Called also cooking soda, saleratus, and technically, acid sodium carbonate, primary sodium carbonate, sodium dicarbonate, etc. -- Sodium carbonate, a white crystalline substance, Na2CO3.10H2O, having a cooling alkaline taste, found in the ashes of many plants, and produced artifically in large quantities from common salt. It is used in making soap, glass, paper, etc., and as alkaline agent in many chemical industries. Called also sal soda, washing soda, or soda. Cf. Sodium bicarbonate, above and Trona. Sodium chloride, common, or table, salt, NaCl. -- Sodium hydroxide, a white opaque brittle solid, NaOH, having a fibrous structure, produced by the action of quicklime, or of calcium hydrate (milk of lime), on sodium carbonate. It is a strong alkali, and is used in the manufacture of soap, in making wood pulp for paper, etc. Called also sodium hydrate, and caustic soda. By extension, a solution of sodium hydroxide.
sodium sulphate |A salt well known as a catharic under the name of Glauber's salt, which term is properly applied to the hydrate, Na2SO4.10H2O.
sodomite |1. An inhabitant of Sodom. 2. One guilty of sodomy.
sodomitical |Pertaining to, or of the nature of, sodomy. -- Sod`om*it\"ic*al*ly, adv.
sodomy |Carnal copulation in a manner against nature; buggery. Gen. xix. 5.
soe |A large wooden vessel for holding water; a cowl. [Obs. or Prov. Eng.] Dr. H. More.
soever |A word compounded of so and ever, used in composition with who, what, where, when, how, etc., and indicating any out of all possible or supposable persons, things, places, times, ways, etc. It is sometimes used separate from the pronoun or adverb. For unto whomsoever much is given, of him shall be much required. Luke xii. 48. What great thing soever a man proposed to do in his life, he should think of achieving it by fifty. Sir W. Temple.
sofa |A long seat, usually with a cushioned bottom, back, and ends; - - much used as a comfortable piece of furniture. Let fall the curtains, wheel the sofa round. Cowper. Sofa bed, a sofa so contrived that it may be extended to form a bed; -- called also sofa bedstead.
soffit |The under side of the subordinate parts and members of buildings, such as staircases, entablatures, archways, cornices, or the like. See Illust. of Lintel.
sofi |Same as Sufi.
sofism |Same as Sufism.
soft |1. Easily yielding to pressure; easily impressed, molded, or cut; not firm in resisting; impressible; yielding; also, malleable; -- opposed to Ant: hard; as, a soft bed; a soft peach; soft earth; soft wood or metal. 2. Not rough, rugged, or harsh to the touch; smooth; delicate; fine; as, soft silk; a soft skin. They that wear soft clothing are in king's houses. Matt. xi. 8. 3. Hence, agreeable to feel, taste, or inhale; not irritating to the tissues; as, a soft liniment; soft wines. \"The soft, delicious air.\" Milton. 4. Not harsh or offensive to the sight; not glaring; pleasing to the eye; not exciting by intensity of color or violent contrast; as, soft hues or tints. The sun, shining upon the upper part of the clouds . . . made the softest lights imaginable. Sir T. Browne. 5. Not harsh or rough in sound; gentle and pleasing to the ear; flowing; as, soft whispers of music. Her voice was ever soft, Gentle, and low, -- an excellent thing in woman. Shak. Soft were my numbers; who could take offense Pope. 6. Easily yielding; susceptible to influence; flexible; gentle; kind. I would to God my heart were flint, like Edward's; Or Edward's soft and pitiful, like mine. Shak. The meek or soft shall inherit the earth. Tyndale. 7. Expressing gentleness, tenderness, or the like; mild; conciliatory; courteous; kind; as, soft eyes. A soft answer turneth away wrath. Prov. xv. 1. A face with gladness overspread, Soft smiles, by human kindness bred. Wordsworth. 8. Effeminate; not courageous or manly, weak. A longing after sensual pleasures is a dissolution of the spirit of a man, and makes it loose, soft, and wandering. Jer. Taylor. 9. Gentle in action or motion; easy. On her soft axle, white she paces even, And bears thee soft with the smooth air along. Milton. 10. Weak in character; impressible. The deceiver soon found this soft place of Adam's. Glanvill. 11. Somewhat weak in intellect. [Colloq.] He made soft fellows stark noddies, and such as were foolish quite mad. Burton. 12. Quiet; undisturbed; paceful; as, soft slumbers. 13. Having, or consisting of, a gentle curve or curves; not angular or abrupt; as, soft outlines. 14. Not tinged with mineral salts; adapted to decompose soap; as, soft water is the best for washing. 15. (Phonetics) (a) Applied to a palatal, a sibilant, or a dental consonant (as g in gem, c in cent, etc.) as distinguished from a guttural mute (as g in go, c in cone, etc.); -- opposed to hard. (b) Belonging to the class of sonant elements as distinguished from the surd, and considered as involving less force in utterance; as, b, d, g, z, v, etc., in contrast with p, t, k, s, f, etc. Soft clam (Zoöl.), the common or long clam (Mya arenaria). See Mya. -- Soft coal, bituminous coal, as distinguished from anthracite, or hard, coal. -- Soft crab (Zoöl.), any crab which has recently shed its shell. -- Soft dorsal (Zoöl.), the posterior part of the dorsal fin of fishes when supported by soft rays. -- Soft grass. (Bot.) See Velvet grass. -- Soft money, paper money, as distinguished from coin, or hard money. [Colloq. U.S.] -- Soft mute. (Phonetics) See Media. -- Soft palate. See the Note under Palate. -- Soft ray (Zoöl.), a fin ray which is articulated and usually branched. -- Soft soap. See under Soap. -- Soft-tack, leavened bread, as distinguished from hard-tack, or ship bread. -- Soft tortoise (Zoöl.), any river tortoise of the genus Trionyx. See Trionyx.\n\nA soft or foolish person; an idiot. [Colloq.] G. Eliot.\n\nSoftly; without roughness or harshness; gently; quietly. Chaucer. A knight soft riding toward them. Spenser.\n\nBe quiet; hold; stop; not so fast. Soft, you; a word or two before you go. Shak.
soft steel |Steel low in carbon; mild steel; ingot iron.
soft-finned |Having the fin rays cartilaginous or flexible; without spines; -- said of certain fishes.
soft-headed |Weak in intellect.
soft-hearted |Having softness or tenderness of heart; susceptible of pity or other kindly affection; gentle; meek. -- Soft\"-heart`ed*ness, n.
soft-shell |Having a soft or fragile shell. Soft-shell clam (Zoöl.), the long clam. See Mya. -- Soft-shelled crab. (Zoöl.) See the Note under Crab, 1. -- Soft-shelled turtle. (Zoöl.) Same as Soft tortoise, under Soft.
soft-shelled |Having a soft or fragile shell. Soft-shell clam (Zoöl.), the long clam. See Mya. -- Soft-shelled crab. (Zoöl.) See the Note under Crab, 1. -- Soft-shelled turtle. (Zoöl.) Same as Soft tortoise, under Soft.
soft-spoken |Speaking softly; having a mild or gentle voice; hence, mild; affable.
softa |Any one attached to a Mohammedan mosque, esp. a student of the higher branches of theology in a mosque school. [Written also sophta.]
soften |To make soft or more soft. Specifically: -- (a) To render less hard; -- said of matter. Their arrow's point they soften in the flame. Gay. (b) To mollify; to make less fierce or intractable. Diffidence conciliates the proud, and softens the severe. Rambler. (c) To palliate; to represent as less enormous; as, to soften a fault. (d) To compose; to mitigate; to assuage. Music can soften pain to ease. Pope. (e) To make calm and placid. All that cheers or softens life. Pope. (f) To make less harsh, less rude, less offensive, or less violent, or to render of an opposite quality. He bore his great commision in his look, But tempered awe, and softened all he spoke. Dryden. (g) To make less glaring; to tone down; as, to soften the coloring of a picture. (h) To make tender; to make effeminate; to enervate; as, troops softened by luxury. (i) To make less harsh or grating, or of a quality the opposite; as, to soften the voice.\n\nTo become soft or softened, or less rude, harsh, severe, or obdurate.
softener |One who, or that which, softens. [Written also, less properly, softner.]
softening |from Soften, v. Softening of the brain, or Cerebral softening (Med.), a localized softening of the brain substance, due to hemorrhage or inflammation. Three varieties, distinguished by their color and representing different stages of the morbid process, are known respectively as red, yellow, and white, softening.
softish |Somewhat soft. De Witt Clinton.
softling |A soft, effeminate person; a voluptuary. [R.] Bp. Woolton. .
softly |In a soft manner.
softner |See Softener.
softness |The quality or state of being soft; -- opposed to Ant: hardness, and used in the various specific senses of the adjective.
soger |Var. of Soldier. [Dial. or Slang]  R. H. Dana, Jr.
sogginess |The quality or state of being soggy; soddenness; wetness.
soggy |Filled with water; soft with moisture; sodden; soaked; wet; as, soggy land or timber.
soho |Ho; -- a word used in calling from a distant place; a sportsman's halloo. Shak.
soi-disant |Calling himself; self-styled; pretended; would-be.
soil |To feed, as cattle or horses, in the barn or an inclosure, with fresh grass or green food cut for them, instead of sending them out to pasture; hence (such food having the effect of purging them), to purge by feeding on green food; as, to soil a horse.\n\n1. The upper stratum of the earth; the mold, or that compound substance which furnishes nutriment to plants, or which is particularly adapted to support and nourish them. 2. Land; country. Must I thus leave thee, Paradise thus leave Thee, native soil Milton. 3. Dung; fæces; compost; manure; as, night soil. Improve land by dung and other sort of soils. Mortimer. Soil pipe, a pipe or drain for carrying off night soil.\n\nTo enrich with soil or muck; to manure. Men . . . soil their ground, not that they love the dirt, but that they expect a crop. South.\n\nA marshy or miry place to which a hunted boar resorts for refuge; hence, a wet place, stream, or tract of water, sought for by other game, as deer. As deer, being stuck, fly through many soils, Yet still the shaft sticks fast. Marston. To take soil, to run into the mire or water; hence, to take refuge or shelter. O, sir, have you taken soil here It is well a man may reach you after three hours' running. B. Jonson.\n\n1. To make dirty or unclean on the surface; to foul; to dirty; to defile; as, to soil a garment with dust. Our wonted ornaments now soiled and stained. Milton. 2. To stain or mar, as with infamy or disgrace; to tarnish; to sully. Shak. Syn. -- To foul; dirt; dirty; begrime; bemire; bespatter; besmear; daub; bedaub; stain; tarnish; sully; defile; pollute.\n\nTo become soiled; as, light colors soil sooner than dark ones.\n\nThat which soils or pollutes; a soiled place; spot; stain. A lady's honor . . . will not bear a soil. Dryden.
soil pipe |A pipe or drain for carrying off night soil.
soiliness |Stain; foulness. [R.] Bacon.
soilless |Destitute of soil or mold.
soilure |Stain; pollution. Shak. Then fearing rust or soilure, fashioned for it A case of silk. Tennyson.
soily |Dirty; soiled. [Obs.] Fuller.
soiree |An evening party; -- distinguished from levee, and matinée.
soja |An Asiatic leguminous herb (Glycine Soja) the seeds of which are used in preparing the sauce called soy.
sojer |Var. of Soldier. [Dial. or Slang]
sojourn |To dwell for a time; to dwell or live in a place as a temporary resident or as a stranger, not considering the place as a permanent habitation; to delay; to tarry. Abram went down into Egypt to sojourn there. Gen. xii. 30. Home he goeth, he might not longer sojourn. Chaucer. The soldiers first assembled at Newcastle, and there sojourned three days. Hayward.\n\nA temporary residence, as that of a traveler in a foreign land. Though long detained In that obscure sojourn. Milton.
sojourner |One who sojourns. We are strangers before thee, and sojourners. 1. Chron. xxix. 15.
sojourning |The act or state of one who sojourns.
sojournment |Temporary residence, as that of a stranger or a traveler. [R.]
soke |1. (Eng. Law)  See Soc. 2. One of the small territorial divisions into which Lincolnshire, England, is divided.
sokeman |See Socman.
sokemanry |See Socmanry.
soken |1. A toll. See Soc, n., 2. [Obs.] Great sooken had this miller, out of doubt. Chaucer. 2. A district held by socage.
soko |An African anthropoid ape, supposed to be a variety of the chimpanzee.
sol |1. The sun. 2. (Alchem.)  Gold; -- so called from its brilliancy, color, and value. Chaucer.\n\n(a) A syllable applied in solmization to the note G, or to the fifth tone of any diatonic scale. (b) The tone itself.\n\n1. A sou. 2. A silver and gold coin of Peru. The silver sol is the unit of value, and is worth about 68 cents.
sol-fa |To sing the notes of the gamut, ascending or descending; as, do or ut, re, mi, fa, sol, la, si, do, or the same in reverse order. Yet can I neither solfe ne sing. Piers Plowman.\n\nThe gamut, or musical scale. See Tonic sol-fa, under Tonic, n.
sola |See Solus.\n\nA leguminous plant (Æschynomene aspera) growing in moist places in Southern India and the East Indies. Its pithlike stem is used for making hats, swimming-jackets, etc. [Written also solah, shola.]\n\nAlone; -- chiefly used in stage directions, and the like.
solace |1. Comfort in grief; alleviation of grief or anxiety; also, that which relieves in distress; that which cheers or consoles; relief. In business of mirth and of solace. Chaucer. The proper solaces of age are not music and compliments, but wisdom and devotion. Rambler. 2. Rest; relaxation; ease. [Obs.] To make his steed some solace. Chaucer. Syn. -- Comfort; consolation; alleviation; relief.\n\n1. To cheer in grief or under calamity; to comfort; to relieve in affliction, solitude, or discomfort; to console; -- applied to persons; as, to solace one with the hope of future reward. 2. To allay; to assuage; to soothe; as, to solace grief. Syn. -- To comfort; assuage; allay. See Comfort.\n\nTo take comfort; to be cheered. Shak.
solacement |The act of solacing, or the state of being solaced; also, that which solaces. [R.]
solacious |Affording solace; as, a solacious voice. [Obs.] Bale.
solan goose |The common gannet.
solanaceous |Of or pertaining to plants of the natural order Solanaceæ, of which the nightshade (Solanum) is the type. The order includes also the tobacco, ground cherry, tomato, eggplant, red pepper, and many more.
soland |A solan goose.
solander |See Sallenders.
solania |Solanine.
solanicine |An alkaloid produced by the action of hydrochloric acid on solanidine, as a tasteless yellow crystalline substance.
solanidine |An alkaloid produced by the decomposition of solanine, as a white crystalline substance having a harsh bitter taste.
solanine |A poisonous alkaloid glucoside extracted from the berries of common nightshade (Solanum nigrum), and of bittersweet, and from potato sprouts, as a white crystalline substance having an acrid, burning taste; -- called also solonia, and solanina.
solano |A hot, oppressive wind which sometimes blows in the Mediterranean, particularly on the eastern coast of Spain.
solanoid |Resembling a potato; -- said of a kind of cancer.
solanum |A genus of plants comprehending the potato (S. tuberosum), the eggplant (S. melongena, and several hundred other species; nightshade.
solar |A loft or upper chamber; a garret room. [Obs.] [Written also soler, solere, sollar.] Oxf. Gloss.\n\n1. Of or pertaining to the sun; proceeding from the sun; as, the solar system; solar light; solar rays; solar influence. See Solar system, below. 2. (Astrol.)  Born under the predominant influence of the sun. [Obs.] And proud beside, as solar people are. Dryden. 3. Measured by the progress or revolution of the sun in the ecliptic; as, the solar year. 4. Produced by the action of the sun, or peculiarly affected by its influence. They denominate some herbs solar, and some lunar. Bacon. Solar cycle. See under Cycle. -- Solar day. See Day, 2. -- Solar engine, an engine in which the energy of solar heat is used to produce motion, as in evaporating water for a steam engine, or expanding air for an air engine. -- Solar flowers (Bot.), flowers which open and shut daily at certain hours. -- Solar lamp, an argand lamp. -- Solar microscope, a microscope consisting essentially, first, of a mirror for reflecting a beam of sunlight through the tube, which sometimes is fixed in a window shutter; secondly, of a condenser, or large lens, for converging the beam upon the object; and, thirdly, of a small lens, or magnifier, for throwing an enlarged image of the object at its focus upon a screen in a dark room or in a darkened box. -- Solar month. See under Month. -- Solar oil, a paraffin oil used an illuminant and lubricant. -- Solar phosphori (Physics), certain substances, as the diamond, siulphide of barium (Bolognese or Bologna phosphorus), calcium sulphide, etc., which become phosphorescent, and shine in the dark, after exposure to sunlight or other intense light. -- Solar plexus (Anat.), a nervous plexus situated in the dorsal and anterior part of the abdomen, consisting of several sympathetic ganglia with connecting and radiating nerve fibers; -- so called in allusion to the radiating nerve fibers. -- Solar spots. See Sun spots, under Sun. -- Solar system (Astron.), the sun, with the group of celestial bodies which, held by its attraction, revolve round it. The system comprises the major planets, with their satellites; the minor planets, or asteroids, and the comets; also, the meteorids, the matter that furnishes the zodiacal light, and the rings of Saturn. The satellites that revolve about the major planets are twenty-two in number, of which the Earth has one (see Moon.), Mars two, Jupiter five, Saturn nine, Uranus four, and Neptune one. The asteroids, between Mars and Jupiter, thus far discovered (1900), number about five hundred, the first four of which were found near the beginning of the century, and are called Ceres, Pallas, Juno, and Vesta. Note: The principal elements of the major planets, and of the comets seen at more than one perihelion passage, are exhibited in the following tables: -- I. -- Major Planets. Symbol.Name.Mean distance -- that of the Earth being unity.Period in days.Eccentricity.Inclination of orbit.Diameter in miles II. -- Periodic Comets. Name.Greatest distance from sun.Least distance from sun.Inclination of orbit.Perihelion passage. º min 54 Encke's3.314.100.34212 541885.2 -- Solar telegraph, telegraph for signaling by flashes of reflected sunlight. -- Solar time. See Apparent time, under Time.
solar myth |A myth which essentially consists of allegory based upon ideas as to the sun's course, motion, influence, or the like.
solar parallax |The parallax of the sun, that is, the angle subtended at the sun by the semidiameter of the earth. It is 8.\"80, and is the fundamental datum.
solarium |1. An apartment freely exposed to the sun; anciently, an apartment or inclosure on the roof of a house; in modern times, an apartment in a hospital, used as a resort for convalescents. 2. (Zoöl.)  Any one of several species of handsome marine spiral shells of the genus Solarium and allied genera. The shell is conical, and usually has a large, deep umbilicus exposing the upper whorls. Called also perspective shell.
solarization |Injury of a photographic picture caused by exposing it for too long a time to the sun's light in the camera; burning; excessive insolation.
solarize |To injure by too long exposure to the light of the sun in the camera; to burn.\n\nTo become injured by undue or too long exposure to the sun's rays in the camera.
solary |Solar. [Obs.] Sir T. Browne.
solas |Solace. [Obs.] Chaucer.
