shewer |One who shews. See Shower.
shuffle |1. To shove one way and the other; to push from one to another; as, to shuffle money from hand to hand. 2. To mix by pushing or shoving; to confuse; to throw into disorder; especially, to change the relative positions of, as of the cards in a pack. A man may shuffle cards or rattle dice from noon to midnight without tracing a new idea in his mind. Rombler. 3. To remove or introduce by artificial confusion. It was contrived by your enemies, and shuffled into the papers that were seizen. Dryden. To shuffe off, to push off; to rid one's self of. -- To shuffe up, to throw together in hastel to make up or form in confusion or with fraudulent disorder; as, he shuffled up a peace.\n\n1. To change the relative position of cards in a pack; as, to shuffle and cut. 2. To change one's position; to shift ground; to evade questions; to resort to equivocation; to prevaricate. I muself, . . . hiding mine honor in my necessity, am fain to shuffle. Shak. 3. To use arts or expedients; to make shift. Your life, good master, Must shuffle for itself. Shak. 4. To move in a slovenly, dragging manner; to drag or scrape the feet in walking or dancing. The aged creature came Shuffling along with ivory-headed wand. Keats. Syn. -- To equivicate; prevaricate; quibble; cavil; shift; siphisticate; juggle.\n\n1. The act of shuffling; a mixing confusedly; a slovenly, dragging motion. The unguided agitation and rude shuffles of matter. Bentley. 2. A trick; an artifice; an evasion. The gifts of nature are beyond all shame and shuffles. L'Estrange.
shuffleboard |See Shovelboard.
shufflecap |,.A play performed by shaking money in a hat or cap. [R.] Arbuthnot.
shuffler |1. One who shuffles. 2. (Zoöl.)  Either one of the three common American scaup ducks. See Scaup duck, under Scaup.
shufflewing |The hedg sparrow. [Prov. Eng.]
shuffling |1. Moving with a dragging, scraping step. \"A shuffling nag.\" Shak. 2. Evasive; as, a shuffling excuse. T. Burnet.\n\nIn a shuffling manner.
shug |1. To writhe the body so as to produce friction against one's clothes, as do those who have the itch. [Prov. Eng.] Halliwell. 2. Hence, to crawl; to sneak. [Obs.] There I 'll shug in and get a noble countenance. Ford.
shumac |Sumac.
shun |To avoid; to keep clear of; to get out of the way of; to escape from; to eschew; as, to shun rocks, shoals, vice. I am pure from the blood of all men. For I have not shunned to declare unto you all the counsel of God. Acts xx. 26,27. Scarcity and want shall shun you. Shak. Syn. -- See Avoid.
shunless |Not to be shunned; inevitable; unavoidable. [R.] \"Shunless destiny.\" Shak.
shunt |1. To shun; to move from. [Obs. or Prov. Eng.] 2. To cause to move suddenly; to give a sudden start to; to shove. [Obs. or Prov.Eng.] Ash. 3. To turn off to one side; especially, to turn off, as a grain or a car upon a side track; to switch off; to shift. For shunting your late partner on to me. T. Hughes. 4. (Elec.)  To provide with a shunt; as, to shunt a galvanometer.\n\nTo go aside; to turn off.\n\n1. (Railroad)  A turning off to a side or short track, that the principal track may be left free. 2. (Elec.)  A conducting circuit joining two points in a conductor, or the terminals of a galvanometer or dynamo, so as to form a parallel or derived circuit through which a portion of the current may pass, for the purpose of regulating the amount passing in the main circuit. 3. (Gunnery)  The shifting of the studs on a projectile from the deep to the shallow sides of the grooves in its discharge from a shunt gun. Shunt dynamo (Elec.), a dynamo in which the field circuit is connected with the main circuit so as to form a shunt to the letter, thus employing a portion of the current from the armature to maintain the field. -- Shunt gun, a firearm having shunt rifling. See under Rifling.
shunt valve |A valve permitting a fluid under pressure an easier avenue of escape than normally; specif., a valve, actuated by the governor, used in one system of marine-engine governing to connect both ends of the low-pressure cylinder as a supplementary control.
shunt winding |A winding so arranged as to divide the armature current and lead a portion of it around the field-magnet coils; -- opposed to series winding. --Shunt\"-wound` (#), a.
shunter |A person employed to shunt cars from one track to another.
shunting |(a) (Railroads) Switching; as, shunting engine, yard, etc. [British] (b) (Finance) Arbitrage conducted between certain local markets without the necessity of the exchange involved in foreign arbitrage. [Great Britain]
shut |1. To close so as to hinder ingress or egress; as, to shut a door or a gate; to shut one's eyes or mouth. 2. To forbid entrance into; to prohibit; to bar; as, to shut the ports of a country by a blockade. Shall that be shut to man which to the beast Is open Milton. 3. To preclude; to exclude; to bar out. \"Shut from every shore.\" Dryden. 4. To fold together; to close over, as the fingers; to close by bringing the parts together; as, to shut the hand; to shut a book. To shut in. (a) To inclose; to confine. \"The Lord shut him in.\" Cen. vii. 16. (b) To cover or intercept the view of; as, one point shuts in another. -- To shut off. (a) To exclude. (b) To prevent the passage of, as steam through a pipe, or water through a flume, by closing a cock, valve, or gate. -- To shut out, to preclude from entering; to deny admission to; to exclude; as, to shut out rain by a tight roof. -- To shut together, to unite; to close, especially to close by welding. -- To shut up. (a) To close; to make fast the entrances into; as, to shut up a house. (b) To obstruct. \"Dangerous rocks shut up the passage.\" Sir W. Raleigh. (c) To inclose; to confine; to imprison; to fasten in; as, to shut up a prisoner. Before faith came, we were kept under the law, shut up unto the faith which should afterwards be revealed. Gal. iii. 23. (d) To end; to terminate; to conclude. When the scene of life is shut up, the slave will be above his master if he has acted better. Collier. (e) To unite, as two pieces of metal by welding. (f) To cause to become silent by authority, argument, or force.\n\nTo close itself; to become closed; as, the door shuts; it shuts hard. To shut up, to cease speaking. [Colloq.] T. Hughes.\n\n1. Closed or fastened; as, a shut door. 2. Rid; clear; free; as, to get shut of a person. [Now dialectical or local, Eng. & U.S.] L'Estrange. 3. (Phon.) (a) Formed by complete closure of the mouth passage, and with the nose passage remaining closed; stopped, as are the mute consonants, p, t, k, b, d, and hard g. H. Sweet. (b) Cut off sharply and abruptly by a following consonant in the same syllable, as the English short vowels, â, ê, î, ô, û, always are.\n\nThe act or time of shutting; close; as, the shut of a door. Just then returned at shut of evening flowers. Milton. 2. A door or cover; a shutter. [Obs.] Sir I. Newton. 3. The line or place where two pieces of metal are united by welding. Cold shut, the imperfection in a casting caused by the flowing of liquid metal upon partially chilled metal; also, the imperfect weld in a forging caused by the inadequate heat of one surface under working.
shute |Same as Chute, or Shoot.
shutter |1. One who shuts or closes. 2. A movable cover or screen for a window, designed to shut out the light, to obstruct the view, or to be of some strength as a defense; a blind. 3. A removable cover, or a gate, for closing an aperture of any kind, as for closing the passageway for molten iron from a ladle.
shuttered |Furnished with shutters.
shuttle |1. An instrument used in weaving for passing or shooting the thread of the woof from one side of the cloth to the other between the threads of the warp. Like shuttles through the loom, so swiftly glide My feathered hours. Sandys. 2. The sliding thread holder in a sewing machine, which carries the lower thread through a loop of the upper thread, to make a lock stitch. 3. A shutter, as for a channel for molten metal. [R.] Shuttle box (Weaving), a case at the end of a shuttle race, to receive the shuttle after it has passed the thread of the warp; also, one of a set of compartments containing shuttles with different colored threads, which are passed back and forth in a certain order, according to the pattern of the cloth woven. -- Shutten race, a sort of shelf in a loom, beneath the warp, along which the shuttle passes; a channel or guide along which the shuttle passes in a sewing machine. -- Shuttle shell (Zoöl.), any one of numerous species of marine gastropods of the genus Volva, or Radius, having a smooth, spindle- shaped shell prolonged into a channel at each end.\n\nTo move backwards and forwards, like a shuttle. I had to fly far and wide, shutting athwart the big Babel, wherever his calls and pauses had to be. Carlyle.
shuttlecock |A cork stuck with feathers, which is to be struck by a battledoor in play; also, the play itself.\n\nTo send or toss to and fro; to bandy; as, to shuttlecock words. Thackeray.
shuttlecork |See Shuttlecock.
shuttlewise |Back and forth, like the movement of a shuttle.
shwan-pan |See Schwan-pan.
shy |1. Easily frightened; timid; as, a shy bird. The horses of the army . . . were no longer shy, but would come up to my very feet without starting. Swift. 2. Reserved; coy; disinclined to familiar approach. What makes you so shy, my good friend There's nobody loves you better than I. Arbuthnot. The embarrassed look of shy distress And maidenly shamefacedness. Wordsworth. 3. Cautious; wary; suspicious. I am very shy of using corrosive liquors in the preparation of medicines. Boyle. Princes are, by wisdom of state, somewhat shy of thier successors. Sir H. Wotton. To fight shy. See under Fight, v. i.\n\nTo start suddenly aside through fright or suspicion; -- said especially of horses.\n\nTo throw sidewise with a jerk; to fling; as, to shy a stone; to shy a slipper. T. Hughes.\n\n1. A sudden start aside, as by a horse. 2. A side throw; a throw; a fling. Thackeray. If Lord Brougham gets a stone in his hand, he must, it seems, have a shy at somebody. Punch.
shyly |In a shy or timid manner; not familiarly; with reserve. [Written also shily.]
shyness |The quality or state of being shy. [Written also shiness.] Frequency in heavenly contemplation is particularly important to prevent a shyness bewtween God and thy soul. Baxter. Syn. -- Bashfulness; reserve; coyness; timidity; diffidence. See Bashfulness.
shyster |A trickish knave; one who carries on any business, especially legal business, in a mean and dishonest way. [Slang, U.S.]
si |A syllable applied, in solmization, to the note B; more recently, to the seventh tone of any major diatonic scale. It was added to Guido's scale by Le Maire about the end of the 17th century.
si quis |A notification by a candidate for orders of his intention to inquire whether any impediment may be alleged against him.
siaga |The ahu, or jairou.
sialogogue |An agent which promotes the flow of saliva.
siamang |A gibbon (Hylobates syndactylus), native of Sumatra. It has the second and third toes partially united by a web.
siamese |Of or pertaining to Siam, its native people, or their language.\n\n1. A native or inhabitant of Siam; pl., the people of Siam. 2. sing.  The language of the Siamese.
sib |A blood relation. [Obs.] Nash.\n\nRelated by blood; akin. [Obs. or Prov. Eng. & Scot.] Sir W. Scott. Your kindred is but . . . little sib to you. Chaucer. [He] is no fairy birn, ne sib at all To elfs, but sprung of seed terrestrial. Spenser.
sibbens |A contagious disease, endemic in Scotland, resembling the yaws. It is marked by ulceration of the throat and nose and by pustules and soft fungous excrescences upon the surface of the body. In the Orkneys the name is applied to the itch. [Written also sivvens.]
siberian |Of or pertaining to Siberia, a region comprising all northern Asia and belonging to Russia; as, a Siberian winter. -- n.  A native or inhabitant of Siberia. Siberian crab (Bot.), the Siberian crab apple. See Crab apple, under Crab. -- Siberian dog (Zoöl.), one of a large breed of dogs having erect ears and the hair of the body and tail very long. It is distinguished for endurance of fatigue when used for the purpose of draught. -- Siberian pea tree (Bot.), a small leguminous tree (Cragana arborescens) with yellow flowers. It is a native of Siberia.
sibilance |The quality or state of being sibilant; sibilation. Milton would not have avoided them for their sibilancy, he who wrote . . . verses that hiss like Medusa's head in wrath. Lowell.
sibilancy |The quality or state of being sibilant; sibilation. Milton would not have avoided them for their sibilancy, he who wrote . . . verses that hiss like Medusa's head in wrath. Lowell.
sibilant |Making a hissing sound; uttered with a hissing sound; hissing; as, s, z, sh, and zh, are sibilant elementary sounds. -- n.  A sibiliant letter.
sibilate |To pronounce with a hissing sound, like that of the letter s; to mark with a character indicating such pronunciation.
sibilation |Utterance with a hissing sound; also, the sound itself; a hiss. He, with a long, low sibilation, stared. Tennyson.
sibilatory |Hissing; sibilant.
sibilous |Having a hissing sound; hissing; sibilant. [R.] Pennant.
sibyl |1. (Class. Antiq.)  A woman supposed to be endowed with a spirit of prophecy. Note: The number of the sibyls is variously stated by different authors; but the opinion of Varro, that there were ten, is generally adopted. They dwelt in various parts of Persia, Greece, and Italy. 2. A female fortune teller; a pythoness; a prophetess. \"An old highland sibyl.\" Sir W. Scott.
sibylist |One who believes in a sibyl or the sibylline prophecies. Cudworth.
sibylline |Pertaining to the sibyls; uttered, written, or composed by sibyls; like the productions of sibyls. Sibylline books. (a) (Rom. Antiq.) Books or documents of prophecies in verse concerning the fate of the Roman empire, said to have been purchased by Tarquin the Proud from a sibyl. (b) Certain Jewish and early Christian writings purporting to have been prophetic and of sibylline origin. They date from 100 b. c. to a. d. 500.
sic |Such. [Scot.]\n\nThus. Note: This word is sometimes inserted in a quotation [sic], to call attention to the fact that some remarkable or inaccurate expression, misspelling, or the like, is literally reproduced.
sicamore |See Sycamore.
sicca |A seal; a coining die; -- used adjectively to designate the silver currency of the Mogul emperors, or the Indian rupee of 192 grains. Sicca rupee, an East Indian coin, valued nominally at about two shillings sterling, or fifty cents.
siccate |To dry. [R.]
siccation |The act or process of drying. [R.] Bailey.
siccative |Drying; causing to dry. -- n.  That which promotes drying.
siccific |Causing dryness.
siccity |Dryness; aridity; destitution of moisture. [Obs.] The siccity and dryness of its flesh. Sir T. Browne.
sice |The number six at dice.
sicer |A strong drink; cider. [Obs.] Chaucer.
sich |Such. [Obs. or Colloq.] Spenser.
sicilian |Of or pertaining to Sicily or its inhabitants. Sicilian vespers, the great massacre of the French in Sicily, in the year 1282, on the evening of Easter Monday, at the hour of vespers.\n\nA native or inhabitant of Sicily.
siciliano |A Sicilian dance, resembling the pastorale, set to a rather slow and graceful melody in 12-8 or 6-8 measure; also, the music to the dance.
sicilienne |A kind of rich poplin.
sick |1. Affected with disease of any kind; ill; indisposed; not in health. See the Synonym under Illness. Simon's wife's mother lay sick of a fever. Mark i. 30. Behold them that are sick with famine. Jer. xiv. 18. 2. Affected with, or attended by, nausea; inclined to vomit; as, sick at the stomach; a sick headache. 3. Having a strong dislike; disgusted; surfeited; -- with of; as, to be sick of flattery. He was not so sick of his master as of his work. L'Estrange. 4. Corrupted; imperfect; impaired; weakned. So great is his antipathy against episcopacy, that, if a seraphim himself should be a bishop, he would either find or make some sick feathers in his wings. Fuller. Sick bay (Naut.), an apartment in a vessel, used as the ship's hospital. -- Sick bed, the bed upon which a person lies sick. -- Sick berth, an apartment for the sick in a ship of war. -- Sick headache (Med.), a variety of headache attended with disorder of the stomach and nausea. -- Sick list, a list containing the names of the sick. -- Sick room, a room in which a person lies sick, or to which he is confined by sickness. Note: [These terms, sick bed, sick berth, etc., are also written both hyphened and solid.] Syn. -- Diseased; ill; disordered; distempered; indisposed; weak; ailing; feeble; morbid.\n\nSickness. [Obs.] Chaucer.\n\nTo fall sick; to sicken. [Obs.] Shak.
sick-brained |Disordered in the brain.
sicken |1. To make sick; to disease. Raise this strength, and sicken that to death. Prior. 2. To make qualmish; to nauseate; to disgust; as, to sicken the stomach. 3. To impair; to weaken. [Obs.] Shak.\n\n1. To become sick; to fall into disease. The judges that sat upon the jail, and those that attended, sickened upon it and died. Bacon. 2. To be filled to disgust; to be disgusted or nauseated; to be filled with abhorrence or aversion; to be surfeited or satiated. Mine eyes did sicken at the sight. Shak. 3. To become disgusting or tedious. The toiling pleasure sickens into pain. Goldsmith. 4. To become weak; to decay; to languish. All pleasures sicken, and all glories sink. Pope.
sickening |Causing sickness; specif., causing surfeit or disgust; nauseating. -- Sick\"en*ing*ly, adv.
sicker |To percolate, trickle, or ooze, as water through a crack. [Also written sigger, zigger, and zifhyr.] [Prov. Eng.]\n\nSure; certain; trusty. [Obs. or Prov. Eng. & Scot.] Burns. When he is siker of his good name. Chaucer.\n\nSurely; certainly. [Obs.] Believe this as siker as your creed. Chaucer. Sicker, Willye, thou warnest well. Spenser.
sickerly |Surely; securely. [Obs.] But sikerly, withouten any fable. Chaucer.
sickerness |The quality or state of being sicker, or certain. [Obs.] Chaucer. Spenser.
sickish |1. Somewhat sick or diseased. 2. Somewhat sickening; as, a sickish taste. -- Sick\"ish*ly, adv. -- Sick\"ish*ness, n.
sickle |1. A reaping instrument consisting of a steel blade curved into the form of a hook, and having a handle fitted on a tang. The sickle has one side of the blade notched, so as always to sharpen with a serrated edge. Cf. Reaping hook, under Reap. When corn has once felt the sickle, it has no more benefit from the sunshine. Shak. 2. (Astron.)  A group of stars in the constellation Leo. See Illust. of Leo. Sickle pod (Bot.), a kind of rock cress (Arabis Canadensis) having very long curved pods.
sicklebill |(a) Any one of three species of humming birds of the genus Eutoxeres, native of Central and South America. They have a long and strongly curved bill. Called also the sickle-billed hummer. (b) A curlew. (c) A bird of the genus Epimachus and allied genera.
sickled |Furnished with a sickle.
sickleman |One who uses a sickle; a reaper. You sunburned sicklemen, of August weary. Shak.
sickler |One who uses a sickle; a sickleman; a reaper.
sickless |Free from sickness. [R.] Give me long breath, young beds, and sickless ease. Marston.
sicklewort |(a) A plant of the genus Coronilla (C. scorpioides); -- so named from its curved pods. (b) The healall (Brunella vulgaris).
sicklied |Made sickly. See Sickly, v.
sickliness |The quality or state of being sickly.
sickly |1. Somewhat sick; disposed to illness; attended with disease; as, a sickly body. This physic but prolongs thy sickly days. Shak. 2. Producing, or tending to, disease; as, a sickly autumn; a sickly climate. Cowper. 3. Appearing as if sick; weak; languid; pale. The moon grows sickly at the sight of day. Dryden. Nor torrid summer's sickly smile. Keble. 4. Tending to produce nausea; sickening; as, a sickly smell; sickly sentimentality. Syn. -- Diseased; ailing; infirm; weakly; unhealthy; healthless; weak; feeble; languid; faint.\n\nIn a sick manner or condition; ill. My people sickly [with ill will] beareth our marriage. Chaucer.\n\nTo make sick or sickly; -- with over, and probably only in the past participle. [R.] Sicklied o'er with the pale cast of thought. Shak. Sentiments sicklied over . . . with that cloying heaviness into which unvaried sweetness is too apt to subside. Jeffrey.
sickness |1. The quality or state of being sick or diseased; illness; sisease or malady. I do lament the sickness of the king. Shak. Trust not too much your now resistless charms; Those, age or sickness soon or late disarms. Pope. 2. Nausea; qualmishness; as, sickness of stomach. Syn. -- Illness; disease; malady. See Illness.
sicle |A shekel. [Obs.] The holy mother brought five sicles and a pair of turtledoves to redeem the Lamb of God. Jer. Taylor.
sida |A genus of malvaceous plants common in the tropics. All the species are mucilaginous, and some have tough ligneous fibers which are used as a substitute for hemp and flax. Balfour (Cyc. of India).
siddow |Soft; pulpy. [Obs. or Prov. Eng.]
side |1. The margin, edge, verge, or border of a surface; especially (when the thing spoken of is somewhat oblong in shape), one of the longer edges as distinguished from the shorter edges, called ends; a bounding line of a geometrical figure; as, the side of a field, of a square or triangle, of a river, of a road, etc. 3. Any outer portion of a thing considered apart from, and yet in relation to, the rest; as, the upper side of a sphere; also, any part or position viewed as opposite to or contrasted with another; as, this or that side. Looking round on every side beheld A pathless desert. Milton. 4. (a) One of the halves of the body, of an animals or man, on either side of the mesial plane; or that which pertains to such a half; as, a side of beef; a side of sole leather. (b) The right or left part of the wall or trunk of the body; as, a pain in the side. One of the soldiers with a spear pierced his side. John xix. 34. 5. A slope or declivity, as of a hill, considered as opposed to another slope over the ridge. Along the side of yon small hill. Milton. 6. The position of a person or party regarded as opposed to another person or party, whether as a rival or a foe; a body of advocates or partisans; a party; hence, the interest or cause which one maintains against another; a doctrine or view opposed to another. God on our side, doubt not of victory. Shak. We have not always been of the . . . same side in politics. Landor. Sets the passions on the side of truth. Pope. 7. A line of descent traced through one parent as distinguished from that traced through another. To sit upon thy father David's throne, By mother's side thy father. Milton. 8. Fig.: Aspect or part regarded as contrasted with some other; as, the bright side of poverty. By the side of, close at hand; near to. -- Exterior side. (Fort.) See Exterior, and Illust. of Ravelin. -- Interior side (Fort.), the line drawn from the center of one bastion to that of the next, or the line curtain produced to the two oblique radii in front. H. L. Scott. -- Side by side, close together and abreast; in company or along with. -- To choose sides, to select those who shall compete, as in a game, on either side. -- To take sides, to attach one's self to, or give assistance to, one of two opposing sides or parties.\n\n1. Of or pertaining to a side, or the sides; being on the side, or toward the side; lateral. One mighty squadron with a side wind sped. Dryden. 2. Hence, indirect; oblique; collateral; incidental; as, a side issue; a side view or remark. The law hath no side respect to their persons. Hooker. 3. Etym: [AS. sid. Cf Side, n.]  Long; large; extensive. [Obs. or Scot.] Shak. His gown had side sleeves down to mid leg. Laneham. Side action, in breech-loading firearms, a mechanism for operating the breech block, which is moved by a lever that turns sidewise. -- Side arms, weapons worn at the side, as sword, bayonet, pistols, etc. -- Side ax, an ax of which the handle is bent to one side. -- Side-bar rule (Eng. Law.), a rule authorized by the courts to be granted by their officers as a matter of course, without formal application being made to them in open court; -- so called because anciently moved for by the attorneys at side bar, that is, informally. Burril. -- Side box, a box or inclosed seat on the side of a theater. To insure a side-box station at half price. Cowper. -- Side chain, one of two safety chains connecting a tender with a locomotive, at the sides. -- Side cut, a canal or road branching out from the main one. [U.S.] -- Side dish, one of the dishes subordinate to the main course. -- Side glance, a glance or brief look to one side. -- Side hook (Carp.), a notched piece of wood for clamping a board to something, as a bench. -- Side lever, a working beam of a side-lever engine. -- Side-lever engine, a marine steam engine having a working beam of each side of the cylinder, near the bottom of the engine, communicating motion to a crank that is above them. -- Side pipe (Steam Engine), a steam or exhaust pipe connecting the upper and lower steam chests of the cylinder of a beam engine. -- Side plane, a plane in which the cutting edge of the iron is at the side of the stock. -- Side posts (Carp.), posts in a truss, usually placed in pairs, each post set at the same distance from the middle of the truss, for supporting the principal rafters, hanging the tiebeam, etc. -- Side rod. (a) One of the rods which connect the piston-rod crosshead with the side levers, in a side-lever engine. (b) See Parallel rod, under Parallel. -- Side screw (Firearms), one of the screws by which the lock is secured to the side of a firearm stock. -- Side table, a table placed either against the wall or aside from the principal table. -- Side tool (Mach.), a cutting tool, used in a lathe or planer, having the cutting edge at the side instead of at the point. -- Side wind, a wind from one side; hence, an indirect attack, or indirect means. Wright.\n\n1. To lean on one side. [Obs.] Bacon. 2. To embrace the opinions of one party, or engage in its interest, in opposition to another party; to take sides; as, to side with the ministerial party. All side in parties, and begin the attack. Pope.\n\n1. To be or stand at the side of; to be on the side toward. [Obs.] His blind eye that sided Paridell. Spenser. 2. To suit; to pair; to match. [Obs.] Clarendon. 3. (Shipbuilding)  To work (a timber or rib) to a certain thickness by trimming the sides. 4. To furnish with a siding; as, to side a house.
side line |1. (a) A line pert. or attached to the side of a thing. (b) Specif., a line for hobbling an animal by connecting the fore and the hind feet of the same side. 2. (a) A line of goods sold in addition to one's principal articles of trade; a course of business pursued aside from one's regular occupation. (b) A secondary road; esp., a byroad at right angles to a main road. [Canada]
side slip |See Skid, below.
side-chain theory |A theory proposed by Ehrlich as a chemical explanation of immunity phenomena. In brief outline it is as follows: Animal cells and bacteria are complex aggregations of molecules, which are themselves complex. Complex molecules react with one another through certain of their side chains, but only when these side chains have a definite correspondence in structure (this account for the specific action of antitoxins).
side-slip |See Skid, below.
side-taking |A taking sides, as with a party, sect, or faction. Bp. Hall.
side-wheel |Having a paddle wheel on each side; -- said of steam vessels; as, a side-wheel steamer.
sideboard |A piece of dining-room furniture having compartments and shelves for keeping or displaying articles of table service. At a stately sideboard, by the wine, That fragrant smell diffused. Milton.
sidebone |A morbid growth or deposit of bony matter and at the sides of the coronet and coffin bone of a horse. J. H. Walsh.
sided |Having (such or so many) sides; -- used in composition; as, one-sided; many-sided.
sideflash |A disruptive discharge between a conductor traversed by an oscillatory current of high frequency (as lightning) and neighboring masses of metal, or between different parts of the same conductor.
sidehill |The side or slope of a hill; sloping ground; a descent. [U. S.]
sideling |Sidelong; on the side; laterally; also, obliquely; askew. A fellow nailed up maps . . . some sideling, and others upside down. Swift.\n\nInclining to one sidel directed toward one side; sloping; inclined; as, sideling ground.
sidelong |1. Laterally; obliquely; in the direction of the side. 2. On the side; as, to lay a thing sidelong. Note: [See Sideling, adv. ] Evelyn.\n\nLateral; oblique; not being directly in front; as, a sidelong glance. The bashful virgin's sidelong looks of love. Goldsmith.
sidepiece |The jamb, or cheek, of an opening in a wall, as of door or window.
sider |One who takes a side.\n\nCider. [Obs.]
sideral |1. Relating to the stars. 2. (Astrol.)  Affecting unfavorably by the supposed influence of the stars; baleful. \"Sideral blast.\" Milton.
siderated |Planet-struck; blasted. [Obs.]
sideration |The state of being siderated, or planet-struck; esp., blast in plants; also, a sudden and apparently causeless stroke of disease, as in apoplexy or paralysis. [Obs.] Ray.
sidereal |1. Relating to the stars; starry; astral; as, sidereal astronomy. 2. (Astron.)  Measuring by the apparent motion of the stars; designated, marked out, or accompanied, by a return to the same position in respect to the stars; as, the sidereal revolution of a planet; a sidereal day. Sidereal clock, day, month, year. See under Clock, Day, etc. -- Sideral time, time as reckoned by sideral days, or, taking the sidereal day as the unit, the time elapsed since a transit of the vernal equinox, reckoned in parts of a sidereal day. This is, strictly, apparent sidereal time, mean sidereal time being reckoned from the transit, not of the true, but of the mean, equinoctial point.
siderealize |To elevate to the stars, or to the region of the stars; to etherealize. German literature transformed, siderealized, as we see it in Goethe, reckons Winckelmann among its initiators. W. Pater.
sidereous |Sidereal. [Obs.]
siderite |1. (Min.) (a) Carbonate of iron, an important ore of iron occuring generally in cleavable masses, but also in rhombohedral crystals. It is of a light yellowish brown color. Called also sparry iron, spathic iron. (b) A meteorite consisting solely of metallic iron. (c) An indigo-blue variety of quartz. (d) Formerly, magnetic iron ore, or loadstone. 2. (Bot.)  Any plant of the genus Sideritis; ironwort.
siderographic |Of or pertaining to siderography; executed by engraved plates of steel; as, siderographic art; siderographic impressions.
siderographical |Of or pertaining to siderography; executed by engraved plates of steel; as, siderographic art; siderographic impressions.
siderographist |One skilled in siderography.
siderography |The art or practice of steel engraving; especially, the process, invented by Perkins, of multiplying facsimiles of an engraved steel plate by first rolling over it, when hardened, a soft steel cylinder, and then rolling the cylinder, when hardened, over a soft steel plate, which thus becomes a facsimile of the original. The process has been superseded by electrotypy.
siderolite |A kind of meteorite. See under Meteorite.
sideromancy |Divination by burning straws on red-hot iron, and noting the manner of their burning. Craig.
sideroscope |An instrument for detecting small quantities of iron in any substance by means of a very delicate combination of magnetic needles.
siderosis |A sort of pneumonia occuring in iron workers, produced by the inhalation of particles of iron.
siderostat |An apparatus consisting essentially of a mirror moved by clockwork so as to throw the rays of the sun or a star in a fixed direction; -- a more general term for heliostat.
sideroxylon |A genus of tropical sapotaceous trees noted for their very hard wood; ironwood.
sidesaddle |A saddle for women, in which the rider sits with both feet on one side of the animal mounted. Sidesaddle flower (Bot.), a plant with hollow leaves and curiously shaped flowers; -- called also huntsman's cup. See Sarracenia.
sidesman |1. A party man; a partisan. Milton. 2. An assistant to the churchwarden; a questman.
sidetrack |1. (Railroads) To transfer to a siding from a main line of track. 2.  Hence, fig., to divert or reduce to a position or condition that is relatively secondary or subordinate in activity, importance, effectiveness, or the like; to switch off; to turn aside, as from a purpose. [Colloq.] Such a project was, in fact, sidetracked in favor of the census of school children. Pop. Sci. Monthly.
sidewalk |A walk for foot passengers at the side of a street or road; a foot pavement. [U.S.]
sideways |Toward the side; sidewise. A second refraction made sideways. Sir I. Newton. His beard, a good palm's length, at least, . . . Shot sideways, like a swallow's wings. Longfellow.
sidewinder |1. (Zoöl.) See Horned rattler, under Horned. 2. A heavy swinging blow from the side, which disables an adversary. [Slang.]
sidewise |On or toward one side; laterally; sideways. I saw them mask their awful glance Sidewise meek in gossamer lids. Emerson.
siding |1. Attaching one's self to a party. 2. A side track, as a railroad; a turnout. 3. (Carp.)  The covering of the outside wall of a frame house, whether made of weatherboards, vertical boarding with cleats, shingles, or the like. 4. (Shipbuilding)  The thickness of a rib or timber, measured, at right angles with its side, across the curved edge; as, a timber having a siding of ten inches.
sidle |To go or move with one side foremost; to move sidewise; as, to sidle through a crowd or narrow opening. Swift. He . . . then sidled close to the astonished girl. Sir W. Scott.
siege |1. A seat; especially, a royal seat; a throne. [Obs.] \"Upon the very siege of justice.\" Shak. A stately siege of sovereign majesty, And thereon sat a woman gorgeous gay. Spenser. In our great hall there stood a vacant chair . . . And Merlin called it \"The siege perilous.\" Tennyson. 2. Hence, place or situation; seat. [Obs.] Ah! traitorous eyes, come out of your shameless siege forever. Painter (Palace of Pleasure). 3. Rank; grade; station; estimation. [Obs.] I fetch my life and being From men of royal siege. Shak. 4. Passage of excrements; stool; fecal matter. [Obs.] The siege of this mooncalf. Shak. 5. The sitting of an army around or before a fortified place for the purpose of compelling the garrison to surrender; the surrounding or investing of a place by an army, and approaching it by passages and advanced works, which cover the besiegers from the enemy's fire. See the Note under Blockade. 6. Hence, a continued attempt to gain possession. Love stood the siege, and would not yield his breast. Dryden. 7. The floor of a glass-furnace. 8. A workman's bench. Knught. Siege gun, a heavy gun for siege operations. -- Siege train, artillery adapted for attacking fortified places.\n\nTo besiege; to beset. [R.] Through all the dangers that can siege The life of man. Buron.
siegework |A temporary fort or parallel where siege guns are mounted.
siemens-martin process |See Open-hearth process, etc., under Open.
siemens-martin steel |See Open-hearth steel, under Open.
sienite |See Syenite.
sienitic |See Syenitic.
sienna |Clay that is colored red or brown by the oxides of iron or manganese, and used as a pigment. It is used either in the raw state or burnt. Burnt sienna, sienna made of a much redder color by the action of fire. -- Raw sienna, sienna in its natural state, of a transparent yellowish brown color.
siennese |Of or pertaining to Sienna, a city of Italy.
sierra |A ridge of mountain and craggy rocks, with a serrated or irregular outline; as, the Sierra Nevada. The wild sierra overhead. Whitter.
