rhizophaga |A division of marsupials. The wombat is the type.
riveting |1. The act of joining with rivets; the act of spreading out and clinching the end, as of a rivet, by beating or pressing. 2. The whole set of rivets, collectively. Tomlinsin. Butt riveting, riveting in which the ends or edges of plates form a butt joint, and are fastened together by being riveted to a narrow strip which covers the joint. -- Chain riveting, riveting in which the rivets, in two or more rows along the seam, are set one behind the other. -- Crossed riveting, riveting in which the rivets in one row are set opposite the spaces between the rivets in the next row. -- Double riveting, in lap riveting, two rows of rivets along the seam; in butt riveting, four rows, two on each side of the joint. -- Lap riveting, riveting in which the ends or edges of plates overlap and are riveted together.
riviere |A necklace of diamonds or other precious stones, esp. one of several strings.
rivose |Marked with sinuate and irregular furrows.
rivulet |A small stream or brook; a streamlet. By fountain or by shady rivulet He sought them. Milton.
rix-dollar |A name given to several different silver coins of Denmark, Holland, Sweden,, NOrway, etc., varying in value from about 30 cents to $1.10; also, a British coin worth about 36 cents, used in Ceylon and at the Cape of Good Hope. See Rigsdaler, Riksdaler, and Rixdaler. Note: Most of these pieces are now no longer coined, but some remain in circulation.
rixation |A brawl or quarrel. [Obs.]
rixatrix |A scolding or quarrelsome woman; a scold. Burrill.
rixdaler |A Dutch silver coin, worth about $1.00.
rizzar |To dry in the sun; as, rizzared haddock. [Scot.]
roach |A cockroach.\n\n1. (Zoöl.) (a) A European fresh-water fish of the Carp family (Leuciscus rutilus). It is silver-white, with a greenish back. (b) An American chub (Semotilus bullaris); the fallfish. (c) The redfin, or shiner. 2. (Naut.)  A convex curve or arch cut in the edge of a sail to prevent chafing, or to secure a better fit. As sound as a roach Etym: [roach perhaps being a corruption of a F. roche a rock], perfectly sound.\n\n1. To cause to arch. 2. To cut off, as a horse's mane, so that the part left shall stand upright.
roach-backed |Having a back like that of roach; -- said of a horse whose back a convex instead of a concave curve.
road |1. A journey, or stage of a journey. [Obs.] With easy roads he came to Leicester. Shak. 2. An inroad; an invasion; a raid. [Obs.] Spenser. 3. A place where one may ride; an open way or public passage for vehicles, persons, and animals; a track for travel, forming a means of communication between one city, town, or place, and another. The most villainous house in all the London road. Shak. Note: The word is generally applied to highways, and as a generic term it includes highway, street, and lane. 4. Etym: [Possibly akin to Icel. reithi the rigging of a ship, E. ready.]  A place where ships may ride at anchor at some distance from the shore; a roadstead; -- often in the plural; as, Hampton Roads. Shak. Now strike your saile, ye jolly mariners, For we be come unto a quiet rode [road]. Spenser. On, or Upon, the road, traveling or passing over a road; coming or going; on the way. My hat and wig will soon be here, They are upon the road. Cowper. -- Road agent, a highwayman, especially on the stage routes of the unsettled western parts of the United States; -- a humorous euphemism. [Western U.S.] The highway robber -- road agent he is quaintly called. The century. -- Road book, a quidebook in respect to roads and distances. -- Road metal, the broken, stone used in macadamizing roads. -- Road roller, a heavy roller, or combinations of rollers, for making earth, macadam, or concrete roads smooth and compact. -- often driven by steam. -- Road runner (Zoöl.), the chaparral cock. -- Road steamer, a locomotive engine adapted to running on common roads. -- To go on the road, to engage in the business of a commercial traveler. [Colloq.] -- To take the road, to begin or engage in traveling. -- To take to the road, to engage in robbery upon the highways. Syn. -- Way; highway; street; lane; pathway; route; passage; course. See Way.
roadbed |In railroads, the bed or foundation on which the superstructure (ties, rails, etc.) rests; in common roads, the whole material laid in place and ready for travel.
roadless |Destitute of roads.
roadmaker |One who makes roads.
roadmaster |One who has charge of the track; --called also roadmaster.
roadside |Land adjoining a road or highway; the part of a road or highway that borders the traveled part. Also used ajectively.
roadstead |An anchorage off shore. Same as Road, 4. Moored in the neighboring roadstead. Longfellow.
roadster |1. (Naut.)  A clumsy vessel that works its way from one anchorage to another by means of the tides. Ham. Nav. Encyc. 2. A horse that is accustomed to traveling on the high road, or is suitable for use on ordinary roads. A sound, swift, well-fed hunter and roadster. Thackeray. 3. A bicycle or tricycle adapted for common roads rather than for the racing track. 4. One who drives much; a coach driver. [Eng.] 5. A hunter who keeps to the roads instead of following the hounds across country. [Eng. Slang.]
roadway |A road; especially, the part traveled by carriages. Shak.
roam |To go from place to place without any certain purpose or direction; to rove; to wander. He roameth to the carpenter's house. Chaucer. Daphne roaming through a thorny wood. Shak. Syn. -- To wander; rove; range; stroll; ramble.\n\nTo range or wander over. And now wild beasts came forth the woods to roam. Milton.\n\nThe act of roaming; a wandering; a ramble; as, he began his roam o'er hill amd dale. Milton.
roamer |One who roams; a wanderer.
roan |1. Having a bay, chestnut, brown, or black color, with gray or white thickly interspersed; -- said of a horse. Give my roan a drench. Shak. 2. Made of the leather called roan; as, roan binding. Roan antelope (Zoöl.), a very large South African antelope (Hippotragus equinus). It has long sharp horns and a stiff bright brown mane. Called also mahnya, equine antelope, and bastard gemsbok.\n\n1. The color of a roan horse; a roan color. 2. A roan horse. 3. A kind of leather used for slippers, bookbinding, etc., made from sheepskin, tanned with sumac and colored to imitate ungrained morocco. DeColange. Roan tree. (Bot.) See Rowan tree.
roar |1. To cry with a full, loud, continued sound. Specifically: (a) To bellow, or utter a deep, loud cry, as a lion or other beast. Roaring bulls he would him make to tame. Spenser. (b) To cry loudly, as in pain, distress, or anger. Sole on the barren sands, the suffering chief Roared out for anguish, and indulged his grief. Dryden. He scorned to roar under the impressions of a finite anger. South. 2. To make a loud, confused sound, as winds, waves, passing vehicles, a crowd of persons when shouting together, or the like. The brazen throat of war had ceased to roar. Milton. How oft I crossed where carts and coaches roar. Gay. 3. To be boisterous; to be disorderly. It was a mad, roaring time, full of extravagance. Bp. Burnet. 4. To laugh out loudly and continuously; as, the hearers roared at his jokes. 5. To make a loud noise in breathing, as horses having a certain disease. See Roaring, 2. Roaring boy, a roaring, noisy fellow; -- name given, at the latter end Queen Elizabeth's reign, to the riotous fellows who raised disturbances in the street. \"Two roaring boys of Rome, that made all split.\" Beau & Fl. -- Roaring forties (Naut.), a sailor's name for the stormy tract of ocean between 40º and 50º north latitude.\n\nTo cry aloud; to proclaim loudly. This last action will roar thy infamy. Ford.\n\nThe sound of roaring. Specifically: (a) The deep, loud cry of a wild beast; as, the roar of a lion. (b) The cry of one in pain, distress, anger, or the like. (c) A loud, continuous, and confused sound; as, the roar of a cannon, of the wind, or the waves; the roar of ocean. Arm! arm! it is, it is the cannon's opening roar! Byron. (d) A boisterous outcry or shouting, as in mirth. Pit, boxes, and galleries were in a constant roar of laughter. Macaulay.
roarer |1. One who, or that which, roars. Specifically: (a) A riotous fellow; a roaring boy. A lady to turn roarer, and break glasses. Massinger. (b) (Far.)  A horse subject to roaring. See Roaring, 2. 2. (Zoöl.)  The barn owl. [Prov.Eng.]
roaring |1. A loud, deep, prolonged sound, as of a large beast, or of a person in distress, anger, mirth, etc., or of a noisy congregation. 2. (Far.)  An affection of the windpipe of a horse, causing a loud, peculiar noise in breathing under exertion; the making of the noise so caused. See Roar, v. i., 5.
roaring forties |The middle latitudes of the southern hemisphere. So called from the boisterous and prevailing westerly winds, which are especially strong in the South Indian Ocean up to 50º S.
roaringly |In a roaring manner.
roast |1. To cook by exposure to radiant heat before a fire; as, to roast meat on a spit, or in an oven open toward the fire and having reflecting surfaces within; also, to cook in a close oven. 2. To cook by surrounding with hot embers, ashes, sand, etc.; as, to roast a potato in ashes. In eggs boiled and roasted there is scarce difference to be discerned. BAcon. 3. To dry and parch by exposure to heat; as, to roast coffee; to roast chestnuts, or peanuts. 4. Hence, to heat to excess; to heat violently; to burn. \"Roasted in wrath and fire.\" Shak. 5. (Metal.)  To dissipate by heat the volatile parts of, as ores. 6. To banter severely. [Colloq.] Atterbury.\n\n1. To cook meat, fish, etc., by heat, as before the fire or in an oven. He could roast, and seethe, and broil, and fry. Chaucer. 2. To undergo the process of being roasted.\n\nThat which is roasted; a piece of meat which has been roasted, or is suitable for being roasted. A fat swan loved he best of any roost [roast]. Chaucer. To rule the roast, to be at the head of affairs. \"The new-made duke that rules the roast.\" Shak.\n\nRoasted; as, roast beef.
roaster |1. One who roasts meat. 2. A contrivance for roasting. 3. A pig, or other article of food fit for roasting.
roasting |a. & n., from Roast, v. Roasting ear, an ear of Indian corn at that stage of development when it is fit to be eaten roasted. -- Roasting jack, a machine for turning a spit on which meat is roasted.
rob |The inspissated juice of ripe fruit, obtained by evaporation of the juice over a fire till it acquires the consistence of a sirup. It is sometimes mixed with honey or sugar. [Written also rhob, and rohob.]\n\n1. To take (something) away from by force; to strip by stealing; to plunder; to pillage; to steal from. Who would rob a hermit of his weeds, His few books, or his beads, or maple dish Milton. He that is robbed, not wanting what is stolen, Let him not know it, and he's not robbed at all. Shak. To be executed for robbing a church. Shak. 2. (Law)  To take the property of (any one) from his person, or in his presence, feloniously, and against his will, by violence or by putting him in fear. 3. To deprive of, or withhold from, unjustly or injuriously; to defraud; as, to rob one of his rest, or of his good name; a tree robs the plants near it of sunlight. I never robbed the soldiers of their pay. Shak.\n\nTo take that which belongs to another, without right or permission, esp. by violence. I am accursed to rob in that thief's company. Shak.
robalito |Any of several pikelike marine fishes of the West Indies and tropical America constituting the family Oxylabracidæ, esp. the largest species (Oxylabrax, syn. Centropomus, undecimalis), a valuable food fish called also snook, the smaller species being called Rob`a*li\"to.
robalo |Any of several pikelike marine fishes of the West Indies and tropical America constituting the family Oxylabracidæ, esp. the largest species (Oxylabrax, syn. Centropomus, undecimalis), a valuable food fish called also snook, the smaller species being called Rob`a*li\"to.
roband |See Roperand.
robber |One who robs; in law, one who feloniously takes goods or money from the person of another by violence or by putting him in fear. Some roving robber calling to his fellows. Milton. Syn. -- Thief; depredator; despoiler; plunderer; pillager; rifler; brigang; freebooter; pirate. See Thief. Robber crab. (Zoöl.) (a) A purse crab. (b) Any hermit crab. -- Robber fly. (Zoöl.) Same as Hornet fly, under Hornet. -- Robber gull (Zoöl.), a jager gull.
robbery |1. The act or practice of robbing; theft. Thieves for their robbery have authority When judges steal themselves. Shak. 2. (Law)  The crime of robbing. See Rob, v. t., 2. Note: Robbery, in a strict sense, differs from theft, as it is effected by force or intimidation, whereas theft is committed by stealth, or privately. Syn. -- Theft; depredation; spoliation; despoliation; despoilment; plunder; pillage; rapine; larceny; freebooting; piracy.
robbin |A kind of package in which pepper and other dry commodities are sometimes exported from the East Indies. The robbin of rice in Malabar weighs about 84 pounds. Simmonds.\n\nSee Ropeband.
robe |1. An outer garment; a dress of a rich, flowing, and elegant style or make; hence, a dress of state, rank, office, or the like. Through tattered clothes small vices do appear; Robes and furred gowns hide all. Shak. 2. A skin of an animal, especially, a skin of the bison, dressed with the fur on, and used as a wrap. [U.S.] Master of the robes, an officer of the English royal household (when the sovereign is a king) whose duty is supposed to consist in caring for the royal robes. -- Mistress of the robes, a lady who enjoys the highest rank of the ladies in the service of the English sovereign (when a queen), and is supposed to have the care her robes.\n\nTo invest with a robe or robes; to dress; to array; as, fields robed with green. The sage Chaldeans robed in white appeared. Pope. Such was his power over the expression of his countenance, that he could in an instant shake off the sternness of winter, and robe it in the brightest smiles of spring. Wirt.
robe-de-chambre |A dressing gown, or morning gown.
roberdsman |A bold, stout robber, or night thief; -- said to be so called from Robin Hood.
robert |See Herb Robert, under Herb.
robertsman |A bold, stout robber, or night thief; -- said to be so called from Robin Hood.
robin |(a) A small European singing bird (Erythacus rubecula), having a reddish breast; -- called also robin redbreast, robinet, and ruddock. (b) An American singing bird (Merula migratoria), having the breast chestnut, or dull red. The upper parts are olive-gray, the head and tail blackish. Called also robin redbreast, and migratory thrush. (c) Any one of several species of Australian warblers of the genera Petroica, Melanadrays, and allied genera; as, the scarlet-breasted robin (Petroica mullticolor) (d) Any one of several Asiatic birds; as, the Indian robins. See Indian robin, below. Beach robin (Zoöl.), the robin snipe, or knot. See Knot. -- Blue-throated robin. (Zoöl.) See Bluethroat. -- Canada robin (Zoöl.), the cedar bird. -- Golden robin (Zoöl.), the Baltimore oriole. -- Ground robin (Zoöl.), the chewink. -- Indian robin (Zoöl.), any one of several species of Asiatic saxoline birds of the genera Thamnobia and Pratincola. They are mostly black, usually with some white on the wings. -- Magrie robin (Zoöl.), an Asiatic singing bird (Corsycus saularis), having the back, head, neck, and breast black glossed with blue, the wings black, and the belly white. -- Ragged robin. (Bot.) See under Ragged. -- Robin accentor (Zoöl.), a small Asiatic singing bird (Accentor rubeculoides), somewhat resembling the European robin. -- Robin redbreast. (Zoöl.) (a) The European robin. (b) The American robin. (c) The American bluebird. -- Robin snipe. (Zoöl.) (a) The red-breasted snipe, or dowitcher. (b) The red-breasted sandpiper, or knot. -- Robin's plantain. (Bot.) See under Plantain. -- Sea robin. (Zoöl.) (a) Any one of several species of American gurnards of the genus Prionotus. They are excellent food fishes. Called also wingfish. The name is also applied to a European gurnard. (b) The red-breasted merganser, or sheldrake. [Local, U.S.] -- Water robin (Zoöl.), a redstart (Ruticulla fuliginosa), native of India.
robin goodfellow |A celebrated fairy; Puck. See Puck. Shak.
robinet |1. (Zoöl.) (a) The chaffinch; -- called also roberd. (b) The European robin. 2. A military engine formerly used for throwing darts and stones.
robing |The act of putting on a robe. Robing room, a room where official robes are put on, as by judges, etc.
robinia |A genus of leguminous trees including the common locust of North America (Robinia Pseudocacia).
roble |The California white oak (Quercus lobata).
roborant |Strengthening. -- n. (Med.)  A strengthening medicine; a tonic.
roborate |To give strength or support to; to confirm. [Obs.] Fuller.
roboration |The act of strengthening. [Obs.] Coles.
roborean |Made of oak. [Obs.]
roboreous |Made of oak. [Obs.]
robust |1. Evincing strength; indicating vigorous health; strong; sinewy; muscular; vigorous; sound; as, a robust body; robust youth; robust health. 2. Violent; rough; rude. While romp-loving miss Is hauled about in gallantry robust. Thomson. 3. Requiring strength or vigor; as, robust employment. Locke. Syn. -- Strong; lusty; sinewy; sturdy; muscular; hale; hearty; vigorous; forceful; sound. -- Robust, Strong. Robust means, literally, made of oak, and hence implies great compactness and toughness of muscle, connected with a thick-set frame and great powers of endurance. Strong denotes the power of exerting great physical force. The robust man can bear heat or cold, excess or privation, and toil on through every kind of hardship; the strong man can lift a great weight, can give a heavy blow, and a hard gripe. \"Robust, tough sinews bred to toil.\" Cowper. Then 'gan the villain wax so fierce and strong, That nothing may sustain his furious force. Spenser.
robustious |Robust. [Obs. or Humorous] W. Irving. In Scotland they had handled the bishops in a more robustious manner. Milton. -- Ro*bus\"tious*ly, adv. -- Ro*bus\"tious*ness, n.
robustly |In a robust manner.
robustness |The quality or state of being robust.
roc |A monstrous bird of Arabian mythology. [Written also rock, and rukh.] Brande & C.
rocaille |(a) Artificial rockwork made of rough stones and cement, as for gardens. (b) The rococo system of scroll ornament, based in part on the forms of shells and water-worn rocks.
rocambole |A name of Allium Scorodoprasum and A. Ascalonium, two kinds of garlic, the latter of which is also called shallot.
roccellic |Pertaining to, or designating, a dibasic acid of the oxalic series found in archil (Roccella tinctoria, etc.), and other lichens, and extracted as a white crystalline substance C17H32O4.
roccellin |A red dyestuff, used as a substitute for cochineal, archil, etc. It consists of the sodium salt of a complex azo derivative of naphtol.
roche |Rock. [Obs.] Chaucer.
roche alum |A kind of alum occuring in small fragments; -- so called from Rocca, in Syria, whence alum is said to have been obtained; -- also called rock alum.
roche moutonnee |See Sheepback.
rochelime |Lime in the lump after it is burned; quicklime. [Eng.]
rochelle |A seaport town in France. Rochelle powders. Same as Seidlitz powders. -- Rochelle salt (Chem.), the double tartrate of sodium and potassium, a white crystalline substance. It has a cooling, saline, slightly bitter taste and is employed as a mild purgative. It was discovered by Seignette, an apothecary of Rochelle, and is called also Seignete's salt.
rochet |1. (Eccl.)  A linen garment resembling the surplise, but with narrower sleeves, also without sleeves, worn by bishops, and by some other ecclesiastical dignitaries, in certain religious ceremonies. They see no difference between an idler with a hat and national cockade, and an idler in a cowl or in a rochet. Burke. 2. A frock or outer garment worn in the thirteenth and fourteenth centuries. [Obs.] Rom. of R.\n\nThe red gurnard, or gurnet. See Gurnard.
roching cask |A tank in which alum is crystallized from a solution.
rock |See Roc.\n\nA distaff used in spinning; the staff or frame about which flax is arranged, and from which the thread is drawn in spinning. Chapman. Sad Clotho held the rocke, the whiles the thread By grisly Lachesis was spun with pain, That cruel Atropos eftsoon undid. Spenser.\n\n1. A large concreted mass of stony material; a large fixed stone or crag. See Stone. Come one, come all! this rock shall fly From its firm base as soon as I. Sir W. Scott. 2. (Geol.)  Any natural deposit forming a part of the earth's crust, whether consolidated or not, including sand, earth, clay, etc., when in natural beds. 3. That which resembles a rock in firmness; a defense; a support; a refuge. The Lord is my rock, and my fortress. 2 Sam. xxii. 2. 4. Fig.: Anything which causes a disaster or wreck resembling the wreck of a vessel upon a rock. 5. (Zoöl.)  The striped bass. See under Bass. Note: This word is frequently used in the formation of self- explaining compounds; as, rock-bound, rock-built, rock-ribbed, rock- roofed, and the like. Rock alum. Etym: [Probably so called by confusion with F. roche a rock.] Same as Roche alum. -- Rock barnacle (Zoöl.), a barnacle (Balanus balanoides) very abundant on rocks washed by tides. -- Rock bass. (Zoöl.) (a) The stripped bass. See under Bass. (b) The goggle-eye. (c) The cabrilla. Other species are also locally called rock bass. -- Rock builder (Zoöl.), any species of animal whose remains contribute to the formation of rocks, especially the corals and Foraminifera. -- Rock butter (Min.), native alum mixed with clay and oxide of iron, usually in soft masses of a yellowish white color, occuring in cavities and fissures in argillaceous slate. -- Rock candy, a form of candy consisting of crystals of pure sugar which are very hard, whence the name. -- Rock cavy. (Zoöl.) See Moco. -- Rock cod (Zoöl.) (a) A small, often reddish or brown, variety of the cod found about rocks andledges. (b) A California rockfish. -- Rock cook. (Zoöl.) (a) A European wrasse (Centrolabrus exoletus). (b) A rockling. -- Rock cork (Min.), a variety of asbestus the fibers of which are loosely interlaced. It resembles cork in its texture. -- Rock crab (Zoöl.), any one of several species of large crabs of the genus Cancer, as the two species of the New England coast (C. irroratus and C. borealis). See Illust. under Cancer. -- Rock cress (Bot.), a name of several plants of the cress kind found on rocks, as Arabis petræa, A. lyrata, etc. -- Rock crystal (Min.), limpid quartz. See Quartz, and under Crystal. -- Rock dove (Zoöl.), the rock pigeon; -- called also rock doo. -- Rock drill, an implement for drilling holes in rock; esp., a machine impelled by steam or compressed air, for drilling holes for blasting, etc. -- Rock duck (Zoöl.), the harlequin duck. -- Rock eel. (Zoöl.) See Gunnel. -- Rock goat (Zoöl.), a wild goat, or ibex. -- Rock hopper (Zoöl.), a penguin of the genus Catarractes. See under Penguin. -- Rock kangaroo. (Zoöl.) See Kangaroo, and Petrogale. -- Rock lobster (Zoöl.), any one of several species of large spinose lobsters of the genera Panulirus and Palinurus. They have no large claws. Called also spiny lobster, and sea crayfish. -- Rock meal (Min.), a light powdery variety of calcite occuring as an efflorescence. -- Rock milk. (Min.) See Agaric mineral, under Agaric. -- Rock moss, a kind of lichen; the cudbear. See Cudbear. -- Rock oil. See Petroleum. -- Rock parrakeet (Zoöl.), a small Australian parrakeet (Euphema petrophila), which nests in holes among the rocks of high cliffs. Its general color is yellowish olive green; a frontal band and the outer edge of the wing quills are deep blue, and the central tail feathers bluish green. -- Rock pigeon (Zoöl.), the wild pigeon (Columba livia) Of Europe and Asia, from which the domestic pigeon was derived. See Illust. under Pigeon. -- Rock pipit. (Zoöl.) See the Note under Pipit. -- Rock plover. (Zoöl.) (a) The black-bellied, or whistling, plover. (b) The rock snipe. -- Rock ptarmigan (Zoöl.), an arctic American ptarmigan (Lagopus rupestris), which in winter is white, with the tail and lores black. In summer the males are grayish brown, coarsely vermiculated with black, and have black patches on the back. -- Rock rabbit (Zoöl.), the hyrax. See Cony, and Daman. -- Rock ruby (Min.), a fine reddish variety of garnet. -- Rock salt (Min.), cloride of sodium (common salt) occuring in rocklike masses in mines; mineral salt; salt dug from the earth. In the United States this name is sometimes given to salt in large crystals, formed by evaporation from sea water in large basins or cavities. -- Rock seal (Zoöl.), the harbor seal. See Seal. -- Rock shell (Zoöl.), any species of Murex, Purpura, and allied genera. -- Rock snake (Zoöl.), any one of several large pythons; as, the royal rock snake (Python regia) of Africa, and the rock snake of India (P. molurus). The Australian rock snakes mostly belong to the allied genus Morelia. -- Rock snipe (Zoöl.), the purple sandpiper (Tringa maritima); -- called also rock bird, rock plover, winter snipe. -- Rock soap (Min.), a kind of clay having a smooth, greasy feel, and adhering to the tongue. -- Rock sparrow. (Zoöl.) (a) Any one of several species of Old World sparrows of the genus Petronia, as P. stulla, of Europe. (b) A North American sparrow (Pucæa ruficeps). -- Rock tar, petroleum. -- Rock thrush (Zoöl.), any Old World thrush of the genus Monticola, or Petrocossyphus; as, the European rock thrush (M. saxatilis), and the blue rock thrush of India (M. cyaneus), in which the male is blue throughout. -- Rock tripe (Bot.), a kind of lichen (Umbilicaria Dillenii) growing on rocks in the northen parts of America, and forming broad, flat, coriaceous, dark fuscous or blackish expansions. It has been used as food in cases of extremity. -- Rock trout (Zoöl.), any one of several species of marine food fishes of the genus Hexagrammus, family Chiradæ, native of the North Pacific coasts; -- called also sea trout, boregat, bodieron, and starling. -- Rock warbler (Zoöl.), a small Australian singing bird (Origma rubricata) which frequents rocky ravines and water courses; -- called also cataract bird. -- Rock wren (Zoöl.), any one of several species of wrens of the genus Salpinctes, native of the arid plains of Lower California and Mexico.\n\n1. To cause to sway backward and forward, as a body resting on a support beneath; as, to rock a cradle or chair; to cause to vibrate; to cause to reel or totter. A rising earthquake rocked the ground. Dryden. 2. To move as in a cradle; hence, to put to sleep by rocking; to still; to quiet. \"Sleep rock thy brain.\" Shak. Note: Rock differs from shake, as denoting a slower, less violent, and more uniform motion, or larger movements. It differs from swing, which expresses a vibratory motion of something suspended.\n\n1. To move or be moved backward and forward; to be violently agitated; to reel; to totter. The rocking town Supplants their footsteps. J. Philips . 2. To roll or saway backward and forward upon a support; as, to rock in a rocking-chair.
rock shaft |A shaft that oscillates on its journals, instead of revolving, -- usually carrying levers by means of which it receives and communicates reciprocating motion, as in the valve gear of some steam engines; -- called also rocker, rocking shaft, and way shaft.
rock staff |An oscillating bar in a machine, as the lever of the bellows of a forge.
rockaway |Formerly, a light, low, four-wheeled carriage, with standing top, open at the sides, but having waterproof curtains which could be let down when occasion required; now, a somewhat similar, but heavier, carriage, inclosed, except in front, and having a door at each side.
rockelay |See Rokelay. [Scot.]
rocker |1. One who rocks; specifically, one who rocks a cradle. It was I, sir, said the rocker, who had the honor, some thirty years since, to attend on your highness in your infancy. Fuller. 2. One of the curving pieces of wood or metal on which a cradle, chair, etc., rocks. 3. Any implement or machine working with a rocking motion, as a trough mounted on rockers for separating gold dust from gravel, etc., by agitation in water. 4. A play horse on rockers; a rocking-horse. 5. A chair mounted on rockers; a rocking-chair. 6. A skate with a curved blade, somewhat resembling in shape the rocker of a cradle. 7. (Mach.)  Same as Rock shaft. Rocker arm (Mach.), an arm borne by a rock shaft. To be off one's rocker, to be insane.
rockered |Shaped like a rocker; curved; as, a rockered keel.
rockery |A mound formed of fragments of rock, earth, etc., and set with plants.
rocket |(a) A cruciferous plant (Eruca sativa) sometimes eaten in Europe as a salad. (b) Damewort. (c) Rocket larkspur. See below. Dyer's Rocket. (Bot.) See Dyer's broom, under Broom. -- Rocket larkspur (Bot.), an annual plant with showy flowers in long racemes (Delphinium Ajacis). -- Sea rocket (Bot.), either of two fleshy cruciferous plants (Cakile maritima and C. Americana) found on the seashore of Europe and America. -- Yellow rocket (Bot.), a common cruciferous weed with yellow flowers (Barbarea vulgaris).\n\n1. An artificial firework consisting of a cylindrical case of paper or metal filled with a composition of combustible ingredients, as niter, charcoal, and sulphur, and fastened to a guiding stick. The rocket is projected through the air by the force arising from the expansion of the gases liberated by combustion of the composition. Rockets are used as projectiles for various purposes, for signals, and also for pyrotechnic display. 2. A blunt lance head used in the joust. Congreve rocket, a powerful form of rocket for use in war, invented by Sir William Congreve. It may be used either in the field or for bombardment; in the former case, it is armed with shells or case shot; in the latter, with a combustible material inclosed in a metallic case, which is inextinguishable when kindled, and scatters its fire on every side.\n\nTo rise straight up; said of birds; usually in the present participle or as an adjective. [Eng.] An old cock pheasant came rocketing over me. H. R. Haggard.
rocketer |A bird, especially a pheasant, which, being flushed, rises straight in the air like a rocket. [Eng.]
rockfish |(a) Any one of several California scorpænoid food fishes of the genus Sebastichthys, as the red rockfish (S. ruber). They are among the most important of California market fishes. Called also rock cod, and garrupa. (b) The striped bass. See Bass. (c) Any one of several species of Florida and Bermuda groupers of the genus Epinephelus. (d) An American fresh-water darter; the log perch. Note: The term is locally applied to various other fishes.
rockiness |The state or quality of being rocky.
rocking |Having a swaying, rolling, or back-and-forth movement; used for rocking. Rocking shaft. (Mach.) See Rock shaft.
rocking-chair |A chair mounted on rockers, in which one may rock.
rocking-horse |The figure of a horse, mounted upon rockers, for children to ride.
rocking-stone |A stone, often of great size and weight, resting upon another stone, and so exactly poised that it can be rocked, or slightly moved, with but little force.
rocklay |See Rokelay. [Scot.]
rockless |Being without rocks. Dryden.
rockling |Any species of small marine fishes of the genera Onos and Rhinonemus (formerly Motella), allied to the cod. They have three or four barbels.
rockrose |A name given to any species of the genus Helianthemum, low shrubs or herbs with yellow flowers, especially the European H. vulgare and the American frostweed, H. Canadense. Cretan rockrose, a related shrub (Cistus Creticus), one of the plants yielding the fragrant gum called ladanum.
rocksucker |A lamprey.
rockweed |Any coarse seaweed growing on sea-washed rocks, especially Fucus.
rockwood |Ligniform asbestus; also, fossil wood.
rockwork |1. (Arch.)  Stonework in which the surface is left broken and rough. 2. (Gardening)  A rockery.
rocky |1. Full of, or abounding in, rocks; consisting of rocks; as, a rocky mountain; a rocky shore. 2. Like a rock; as, the rocky orb of a shield. Milton. 3. Fig.: Not easily impressed or affected; hard; unfeeling; obdurate; as, a rocky bosom. Shak. Rocky Mountain locust (Zoöl.), the Western locust, or grasshopper. See Grasshopper. -- Rocky Mountain sheep. (Zoöl.) See Bighorn.
rocoa |The orange-colored pulp covering the seeds of the tropical plant Bixa Orellana, from which annotto is prepared. See Annoto.
rococo |A florid style of ornamentation which prevailed in Europe in the latter part of the eighteenth century.\n\nOf or pertaining to the style called rococo; like rococo; florid; fantastic.
rod |1. A straight and slender stick; a wand; hence, any slender bar, as of wood or metal (applied to various purposes). Specifically: (a) An instrument of punishment or correction; figuratively, chastisement. He that spareth his rod hateth his son. Prov. xiii. 24. (b) A kind of sceptor, or badge of office; hence, figuratively, power; authority; tyranny; oppression. \"The rod, and bird of peace.\" Shak. (c) A support for a fishing line; a fish pole. Gay. (d) (Mach. & Structure) A member used in tension, as for sustaining a suspended weight, or in tension and compression, as for transmitting reciprocating motion, etc.; a connecting bar. (e) An instrument for measuring. 2. A measure of length containing sixteen and a half feet; -- called also perch, and pole. Black rod. See in the Vocabulary. -- Rods and cones (Anat.), the elongated cells or elements of the sensory layer of the retina, some of which are cylindrical, others somewhat conical.
roddy |Full of rods or twigs.\n\nRuddy. [Obs.] Chaucer.
rode |Redness; complexion. [Obs.] \"His rode was red.\" Chaucer.\n\nimp. of Ride.\n\nSee Rood, the cross. [Obs.] Chaucer.
rodent |1. Gnawing; biting; corroding; (Med.) applied to a destructive variety of cancer or ulcer. 2. (Zoöl.) (a) Gnawing. (b) Of or pertaining to the Rodentia.\n\nOne of the Rodentia.
rodentia |An order of mammals having two (rarely four) large incisor teeth in each jaw, distant from the molar teeth. The rats, squirrels, rabbits, marmots, and beavers belong to this order. Note: The incisor teeth are long, curved, and strongly enameled on the outside, so as to keep a cutting edge. They have a persistent pulp and grow continuously.
rodeo |A round-up. See Round-up. [Western U.S.]
rodge |The gadwall. [Prov.Eng.]
rodomel |Juice of roses mixed with honey. Simmonds.
rodomont |A vain or blustering boaster; a braggart; a braggadocio. Sir T. Herbert.\n\nBragging; vainly boasting.
rodomontade |Vain boasting; empty bluster or vaunting; rant. I could show that the rodomontades of Almanzor are neither so irrational nor impossible. Dryden.\n\nTo boast; to brag; to bluster; to rant.
rodomontadist |One who boasts.
rodomontado |Rodomontade.
rodomontador |A rodomontadist.
