glassily |So as to resemble glass.
golden |1. Made of gold; consisting of gold. 2. Having the color of gold; as, the golden grain. 3. Very precious; highly valuable; excellent; eminently auspicious; as, golden opinions. Golden age. (a) The fabulous age of primeval simplicity and purity of manners in rural employments, followed by the silver, bronze, and iron ages. Dryden. (b) (Roman Literature) The best part (B. C. 81 -- A. D. 14) of the classical period of Latinity; the time when Cicero, Cæsar, Virgil, etc., wrote. Hence: (c) That period in the history of a literature, etc., when it flourishes in its greatest purity or attains its greatest glory; as, the Elizabethan age has been considered the golden age of English literature. -- Golden balls, three gilt balls used as a sign of a pawnbroker's office or shop; -- originally taken from the coat of arms of Lombardy, the first money lenders in London having been Lombards. -- Golden bull. See under Bull, an edict. -- Golden chain (Bot.), the shrub Cytisus Laburnum, so named from its long clusters of yellow blossoms. -- Golden club (Bot.), an aquatic plant (Orontium aquaticum), bearing a thick spike of minute yellow flowers. -- Golden cup (Bot.), the buttercup. -- Golden eagle (Zoöl.), a large and powerful eagle (Aquila Chrysaëtos) inhabiting Europe, Asia, and North America. It is so called from the brownish yellow tips of the feathers on the head and neck. A dark variety is called the royal eagle; the young in the second year is the ring-tailed eagle. -- Golden fleece. (a) (Mythol.) The fleece of gold fabled to have been taken from the ram that bore Phryxus through the air to Colchis, and in quest of which Jason undertook the Argonautic expedition. (b) (Her.) An order of knighthood instituted in 1429 by Philip the Good, Duke of Burgundy; -- called also Toison d'Or. -- Golden grease, a bribe; a fee. [Slang] -- Golden hair (Bot.), a South African shrubby composite plant with golden yellow flowers, the Chrysocoma Coma-aurea. -- Golden Horde (Hist.), a tribe of Mongolian Tartars who overran and settled in Southern Russia early in the 18th century. -- Golden Legend, a hagiology (the \"Aurea Legenda\") written by James de Voragine, Archbishop of Genoa, in the 13th century, translated and printed by Caxton in 1483, and partially paraphrased by Longfellow in a poem thus entitled. -- Golden marcasite tin. [Obs.] -- Golden mean, the way of wisdom and safety between extremes; sufficiency without excess; moderation. Angels guard him in the golden mean. Pope. -- Golden mole (Zoöl), one of several South African Insectivora of the family Chrysochloridæ, resembling moles in form and habits. The fur is tinted with green, purple, and gold. -- Golden number (Chronol.), a number showing the year of the lunar or Metonic cycle. It is reckoned from 1 to 19, and is so called from having formerly been written in the calendar in gold. -- Golden oriole. (Zoöl.) See Oriole. -- Golden pheasant. See under Pheasant. -- Golden pippin, a kind of apple, of a bright yellow color. -- Golden plover (Zoöl.), one of several species of plovers, of the genus Charadrius, esp. the European (C. apricarius, or pluvialis; -- called also yellow, black-breasted hill, and whistling, plover. The common American species (C. dominicus) is also called frostbird, and bullhead. -- Golden robin. (Zoöl.) See Baltimore oriole, in Vocab. -- Golden rose (R. C. Ch.), a gold or gilded rose blessed by the pope on the fourth Sunday in Lent, and sent to some church or person in recognition of special services rendered to the Holy See. -- Golden rule. (a) The rule of doing as we would have others do to us. Cf. Luke vi. 31. (b) The rule of proportion, or rule of three. -- Golden samphire (Bot.), a composite plant (Inula crithmoides), found on the seashore of Europe. -- Golden saxifrage (Bot.), a low herb with yellow flowers (Chrysosplenium oppositifolium), blossoming in wet places in early spring. -- Golden seal (Bot.), a perennial ranunculaceous herb (Hydrastis Canadensis), with a thick knotted rootstock and large rounded leaves. -- Golden sulphide, or sulphuret, of antimony (Chem.), the pentasulphide of antimony, a golden or orange yellow powder. -- Golden warbler (Zoöl.), a common American wood warbler (Dendroica æstiva); -- called also blue-eyed yellow warbler, garden warbler, and summer yellow bird. -- Golden wasp (Zoöl.), a bright-colored hymenopterous insect, of the family Chrysididæ. The colors are golden, blue, and green. -- Golden wedding. See under Wedding.
golden state |California; -- a nickname alluding to its rich gold deposits.
golden-eye |A duck (Glaucionetta clangula), found in Northern Europe, Asia, and America. The American variety (var. Americana) is larger. Called whistler, garrot, gowdy, pied widgeon, whiteside, curre, and doucker. Barrow's golden-eye of America (G. Islandica) is less common.
golden-rod |A tall herb (Solidago Virga-aurea), bearing yellow flowers in a graceful elongated cluster. The name is common to all the species of the genus Solidago. Golden-rod tree (Bot.), a shrub (Bosea Yervamora), a native of the Canary Isles.
goldenly |In golden terms or a golden manner; splendidly; delightfully. [Obs.] Shak.
goldfinch |(a) A beautiful bright-colored European finch (Carduelis elegans). The name refers to the large patch of yellow on the wings. The front of the head and throat are bright red; the nape, with part of the wings and tail, black; -- called also goldspink, goldie, fool's coat, drawbird, draw-water, thistle finch, and sweet William. (b) The yellow-hammer. (c) A small American finch (Spinus tristis); the thistle bird. Note: The name is also applied to other yellow finches, esp. to several additional American species of Spinus.
goldfinny |One of two or more species of European labroid fishes (Crenilabrus melops, and Ctenolabrus rupestris); -- called also goldsinny, and goldney.
goldfish |(a) A small domesticated cyprinoid fish (Carassius auratus); -- so named from its color. It is native of China, and is said to have been introduced into Europe in 1691. It is often kept as an ornament, in small ponds or glass globes. Many varieties are known. Called also golden fish, and golden carp. See Telescope fish, under Telescope. (b) A California marine fish of an orange or red color; the garibaldi.
goldie |(a) The European goldfinch. (b) The yellow-hammer.
goldilocks |Same as Goldylocks.
goldin |A conspicuous yellow flower, commonly the corn marigold (Chrysanthemum segetum). [This word is variously corrupted into gouland, gools, gowan, etc.]
golding |A conspicuous yellow flower, commonly the corn marigold (Chrysanthemum segetum). [This word is variously corrupted into gouland, gools, gowan, etc.]
goldless |Destitute of gold.
goldney |See Gilthead.
goldseed |Dog's-tail grass.
goldsinny |See Goldfinny.
goldsmith |1. An artisan who manufactures vessels and ornaments, etc., of gold. 2. A banker. [Obs.] Note: The goldsmiths of London formerly received money on deposit because they were prepared to keep it safely. Goldsmith beetle (Zoöl.), a large, bright yellow, American beetle (Cotalpa lanigera), of the family Scarabæidæ
goldtit |See Verdin.
goldylocks |A plant of several species of the genus Chrysocoma; -- so called from the tufts of yellow flowers which terminate the stems; also, the Ranunculus auricomus, a kind of buttercup.
golet |The gullet. [Obs.] Chaucer.\n\nA California trout. See Malma.
golf |A game played with a small ball and a bat or club crooked at the lower end. He who drives the ball into each of a series of small holes in the ground and brings it into the last hole with the fewest strokes is the winner. [Scot.] Strutt.
golfer |One who plays golf. [Scot.]
golgotha |Calvary. See the Note under Calvary.
goliard |A buffoon in the Middle Ages, who attended rich men's tables to make sport for the guests by ribald stories and songs.
goliardery |The satirical or ribald poetry of the Goliards. Milman.
goliath beetle |Any species of Goliathus, a genus of very large and handsome African beetles.
goll |A hand, paw, or claw. [Obs.] Sir P. Sidney. B. Jonson.
goloe-shoe |A galoche.
golore |See Galore.
goloshe |See Galoche.
goltschut |1. A small ingot of gold. 2. A silver ingot, used in Japan as money.
golyardeys |A buffoon. See Gollard. [Obs.] Chaucer.
goman |A husband; a master of a family. [Obs.]
gomarist |One of the followers of Francis Gomar or Gomarus, a Dutch disciple of Calvin in the 17th century, who strongly opposed the Arminians.
gomarite |One of the followers of Francis Gomar or Gomarus, a Dutch disciple of Calvin in the 17th century, who strongly opposed the Arminians.
gombo |See Gumbo.
gome |A man. [Obs.] P. Plowman.\n\nThe black grease on the axle of a cart or wagon wheel; -- called also gorm. See Gorm. [Prov. Eng.]
gomer |A Hebrew measure. See Homer.\n\nA conical chamber at the breech of the bore in heavy ordnance, especially in mortars; -- named after the inventor.
gommelin |See Dextrin.
gomphiasis |A disease of the teeth, which causes them to loosen and fall out of their sockets.
gomphosis |A form of union or immovable articulation where a hard part is received into the cavity of a bone, as the teeth into the jaws.
gomuti |A black, fibrous substance resembling horsehair, obtained from the leafstalks of two kinds of palms, Metroxylon Sagu, and Arenga saccharifera, of the Indian islands. It is used for making cordage. Called also ejoo.
