cystoidea |Same as Cystidea.
deadbeat |Making a beat without recoil; giving indications by a single beat or excursion; -- said of galvanometers and other instruments in which the needle or index moves to the extent of its deflection and stops with little or no further oscillation. Deadbeat escapement. See under Escapement.
deadborn |Stillborn. Pope.
deaden |1. To make as dead; to impair in vigor, force, activity, or sensation; to lessen the force or acuteness of; to blunt; as, to deaden the natural powers or feelings; to deaden a sound. As harper lays his open palm Upon his harp, to deaden its vibrations. Longfellow. 2. To lessen the velocity or momentum of; to retard; as, to deaden a ship's headway. 3. To make vapid or spiritless; as, to deaden wine. 4. To deprive of gloss or brilliancy; to obscure; as, to deaden gilding by a coat of size.
deadener |One who, or that which, deadens or checks.
deadhead |1. One who receives free tickets for theaters, public conveyances, etc. [Colloq. U. S.] 2. (Naut.)  A buoy. See under Dead, a.
deadhearted |Having a dull, faint heart; spiritless; listless. -- Dead\"*heart`ed*ness, n. Bp. Hall.
deadhouse |A morgue; a place for the temporary reception and exposure of dead bodies.
deadish |Somewhat dead, dull, or lifeless; deathlike. The lips put on a deadish paleness. A. Stafford.
deadlatch |A kind of latch whose bolt may be so locked by a detent that it can not be opened from the inside by the handle, or from the outside by the latch key. Knight.
deadlight |A strong shutter, made to fit open ports and keep out water in a storm.
deadlihood |State of the dead. [Obs.]
deadliness |The quality of being deadly.
deadlock |1. A lock which is not self-latching, but requires a key to throw the bolt forward. 2. A counteraction of things, which produces an entire stoppage; a complete obstruction of action. Things are at a deadlock. London Times. The Board is much more likely to be at a deadlock of two to two. The Century.
deadly |1. Capable of causing death; mortal; fatal; destructive; certain or likely to cause death; as, a deadly blow or wound. 2. Aiming or willing to destroy; implacable; desperately hostile; flagitious; as, deadly enemies. Thy assailant is quick, skillful, and deadly. Shak. 3. Subject to death; mortal. [Obs.] The image of a deadly man. Wyclif (Rom. i. 23). Deadly nightshade (Bot.), a poisonous plant; belladonna. See under Nightshade.\n\n1. In a manner resembling, or as if produced by, death. \"Deadly pale.\" Shak. 2. In a manner to occasion death; mortally. The groanings of a deadly wounded man. Ezek. xxx. 24. 3. In an implacable manner; destructively. 4. Extremely. [Obs.] \"Deadly weary.\" Orrery. \"So deadly cunning a man.\" Arbuthnot.
deadness |The state of being destitute of life, vigor, spirit, activity, etc.; dullness; inertness; languor; coldness; vapidness; indifference; as, the deadness of a limb, a body, or a tree; the deadness of an eye; deadness of the affections; the deadness of beer or cider; deadness to the world, and the like.
deads |The substances which inclose the ore on every side.
deadwood |1. (Naut.)  A mass of timbers built into the bow and stern of a vessel to give solidity. 2. Dead trees or branches; useless material.
deadworks |The parts of a ship above the water when she is laden.
deaf |1. Wanting the sense of hearing, either wholly or in part; unable to perceive sounds; hard of hearing; as, a deaf man. Come on my right hand, for this ear is deaf. Shak. 2. Unwilling to hear or listen; determinedly inattentive; regardless; not to be persuaded as to facts, argument, or exhortation; -- with to; as, deaf to reason. O, that men's ears should be To counsel deaf, but not to flattery! Shak. 3. Deprived of the power of hearing; deafened. Deaf with the noise, I took my hasty flight. Dryden. 4. Obscurely heard; stifled; deadened. [R.] A deaf murmur through the squadron went. Dryden. 5. Decayed; tasteless; dead; as, a deaf nut; deaf corn. [Obs. or Prov. Eng.] Halliwell. If the season be unkindly and intemperate, they [peppers] will catch a blast; and then the seeds will be deaf, void, light, and naught. Holland. Deaf and dumb, without the sense of hearing or the faculty of speech. See Deaf-mute.\n\nTo deafen. [Obs.] Dryden.
deaf-mute |A person who is deaf and dumb; one who, through deprivation or defect of hearing, has either failed the acquire the power of speech, or has lost it. [See Illust. of Dactylology.] Deaf-mutes are still so called, even when, by artificial methods, they have been taught to speak imperfectly.
deaf-mutism |The condition of being a deaf-mute.
deafen |1. To make deaf; to deprive of the power of hearing; to render incapable of perceiving sounds distinctly. Deafened and stunned with their promiscuous cries. Addison. 2. (Arch.)  To render impervious to sound, as a partition or floor, by filling the space within with mortar, by lining with paper, etc.
deafening |The act or process of rendering impervious to sound, as a floor or wall; also, the material with which the spaces are filled in this process; pugging.
deafly |Without sense of sounds; obscurely.\n\nLonely; solitary. [Prov. Eng.] Halliwell.
deafness |1. Incapacity of perceiving sounds; the state of the organs which prevents the impression which constitute hearing; want of the sense of hearing. 2. Unwillingness to hear; voluntary rejection of what is addressed to the understanding. Nervous deafness, a variety of deafness dependent upon morbid change in some portion of the nervous system, especially the auditory nerve.
deal |1. A part or portion; a share; hence, an indefinite quantity, degree, or extent, degree, or extent; as, a deal of time and trouble; a deal of cold. Three tenth deals [parts of an ephah] of flour. Num. xv. 9. As an object of science it [the Celtic genius] may count for a good deal . . . as a spiritual power. M. Arnold. She was resolved to be a good deal more circumspect. W. Black. Note: It was formerly limited by some, every, never a, a thousand, etc.; as, some deal; but these are now obsolete or vulgar. In general, we now qualify the word with great or good, and often use it adverbially, by being understood; as, a great deal of time and pains; a great (or good) deal better or worse; that is, better by a great deal, or by a great part or difference. 2. The process of dealing cards to the players; also, the portion disturbed. The deal, the shuffle, and the cut. Swift. 3. Distribution; apportionment. [Colloq.] 4. An arrangement to attain a desired result by a combination of interested parties; -- applied to stock speculations and political bargains. [Slang] 5. Etym: [Prob. from D. deel a plank, threshing floor. See Thill.]  The division of a piece of timber made by sawing; a board or plank; particularly, a board or plank of fir or pine above seven inches in width, and exceeding six feet in length. If narrower than this, it is called a batten; if shorter, a deal end. Note: Whole deal is a general term for planking one and one half inches thick. 6. Wood of the pine or fir; as, a floor of deal. Deal tree, a fir tree. Dr. Prior.\n\n1. To divide; to separate in portions; hence, to give in portions; to distribute; to bestow successively; -- sometimes with out. Is not to deal thy bread to the hungry Is. lviii. 7. And Rome deals out her blessings and her gold. Tickell. The nightly mallet deals resounding blows. Gay. Hissing through the skies, the feathery deaths were dealt. Dryden. 2. Specifically: To distribute, as cards, to the players at the commencement of a game; as, to deal the cards; to deal one a jack.\n\n1. To make distribution; to share out in portions, as cards to the players. 2. To do a distributing or retailing business, as distinguished from that of a manufacturer or producer; to traffic; to trade; to do business; as, he deals in flour. They buy and sell, they deal and traffic. South. This is to drive to wholesale trade, when all other petty merchants deal but for parcels. Dr. H. More. 3. To act as an intermediary in business or any affairs; to manage; to make arrangements; -- followed by between or with. Sometimes he that deals between man and man, raiseth his own credit with both, by pretending greater interest than he hath in either. Bacon. 4. To conduct one's self; to behave or act in any affair or towards any one; to treat. If he will deal clearly and impartially, . . . he will acknowledge all this to be true. Tillotson. 5. To contend (with); to treat (with), by way of opposition, check, or correction; as, he has turbulent passions to deal with. To deal by, to treat, either well or ill; as, to deal well by servants. \"Such an one deals not fairly by his own mind.\" Locke. -- To deal in. (a) To have to do with; to be engaged in; to practice; as, they deal in political matters. (b) To buy and sell; to furnish, as a retailer or wholesaler; as, they deal in fish. -- To deal with. (a) To treat in any manner; to use, whether well or ill; to have to do with; specifically, to trade with. \"Dealing with witches.\" Shak. (b) To reprove solemnly; to expostulate with. The deacons of his church, who, to use their own phrase, \"dealt with him\" on the sin of rejecting the aid which Providence so manifestly held out. Hawthorne. Return . . . and I will deal well with thee. Gen. xxxii. 9.
dealbate |To whiten. [Obs.] Cockeram.
dealbation |Act of bleaching; a whitening. [Obs.]
dealer |1. One who deals; one who has to do, or has concern, with others; esp., a trader, a trafficker, a shopkeeper, a broker, or a merchant; as, a dealer in dry goods; a dealer in stocks; a retail dealer. 2. One who distributes cards to the players.
dealfish |A long, thin fish of the arctic seas (Trachypterus arcticus).
dealing |The act of one who deals; distribution of anything, as of cards to the players; method of business; traffic; intercourse; transaction; as, to have dealings with a person. Double dealing, insincere, treacherous dealing; duplicity. -- Plain dealing, fair, sincere, honorable dealing; honest, outspoken expression of opinion.
dealth |Share dealt. [Obs.]
deambulate |To walk abroad. [Obs.] Cockeram.
deambulation |A walking abroad; a promenading. [Obs.] Sir T. Elyot.
deambulatory |Going about from place to place; wandering; of or pertaining to a deambulatory. [Obs.] \"Deambulatory actors.\" Bp. Morton.\n\nA covered place in which to walk; an ambulatory.
dean |1. A dignitary or presiding officer in certain ecclesiastical and lay bodies; esp., an ecclesiastical dignitary, subordinate to a bishop. Dean of cathedral church, the chief officer of a chapter; he is an ecclesiastical magistrate next in degree to bishop, and has immediate charge of the cathedral and its estates. -- Dean of peculiars, a dean holding a preferment which has some peculiarity relative to spiritual superiors and the jurisdiction exercised in it. [Eng.] -- Rural dean, one having, under the bishop, the especial care and inspection of the clergy within certain parishes or districts of the diocese. 2. The collegiate officer in the universities of Oxford and Cambridge, England, who, besides other duties, has regard to the moral condition of the college. Shipley. 3. The head or presiding officer in the faculty of some colleges or universities. 4. A registrar or secretary of the faculty in a department of a college, as in a medical, or theological, or scientific department. [U.S.] 5. The chief or senior of a company on occasion of ceremony; as, the dean of the diplomatic corps; -- so called by courtesy. Cardinal dean, the senior cardinal bishop of the college of cardinals at Rome. Shipley. -- Dean and chapter, the legal corporation and governing body of a cathedral. It consists of the dean, who is chief, and his canons or prebendaries. -- Dean of arches, the lay judge of the court of arches. -- Dean of faculty, the president of an incorporation or barristers; specifically, the president of the incorporation of advocates in Edinburgh. -- Dean of guild, a magistrate of Scotch burghs, formerly, and still, in some burghs, chosen by the Guildry, whose duty is to superintend the erection of new buildings and see that they conform to the law. -- Dean of a monastery, Monastic dean, a monastic superior over ten monks. -- Dean's stall. See Decanal stall, under Decanal.
deanery |1. The office or the revenue of a dean. See the Note under Benefice, n., 3. 2. The residence of a dean. Shak. 3. The territorial jurisdiction of a dean. Each archdeaconry is divided into rural deaneries, and each deanery is divided into parishes. Blackstone.
deanship |The office of a dean. I dont't value your deanship a straw. Swift.
dear |1. Bearing a high price; high-priced; costly; expensive. The cheapest of us is ten groats too dear. Shak. 2. Marked by scarcity or dearth, and exorbitance of price; as, a dear year. 3. Highly valued; greatly beloved; cherished; precious. \"Hear me, dear lady.\" Shak. Neither count I my life dear unto myself. Acts xx. 24. And the last joy was dearer than the rest. Pope. Dear as remember'd kisses after death. Tennyson. 4. Hence, close to the heart; heartfelt; present in mind; engaging the attention. (a) Of agreeable things and interests. [I'll] leave you to attend him: some dear cause Will in concealment wrap me up awhile. Shak. His dearest wish was to escape from the bustle and glitter of Whitehall. Macaulay. (b) Of disagreeable things and antipathies. In our dear peril. Shak. Would I had met my dearest foe in heaven Or ever I had seen that day. Shak.\n\nA dear one; lover; sweetheart. That kiss I carried from thee, dear. Shak.\n\nDearly; at a high price. If thou attempt it, it will cost thee dear. Shak.\n\nTo endear. [Obs.] Shelton.
dear-bought |Bought at a high price; as, dear-bought experience.
dear-loved |Greatly beloved. Shak.
dearborn |A four-wheeled carriage, with curtained sides.
deare |variant of Dere, v. t. & n. [Obs.]
dearie |Same as Deary. Dickens.
dearling |A darling. [Obs.] Spenser.
dearly |1. In a dear manner; with affection; heartily; earnestly; as, to love one dearly. 2. At a high rate or price; grievously. He buys his mistress dearly with his throne. Dryden. 3. Exquisitely. [Obs.] Shak.
dearn |Secret; lonely; solitary; dreadful. [Obs.] Shak. -- Dearn\"ly, adv. [Obs.] Chaucer.\n\nSame as Darn. [Obs.]
dearness |1. The quality or state of being dear; costliness; excess of price. The dearness of corn. Swift. 2. Fondness; preciousness; love; tenderness. The dearness of friendship. Bacon.
dearth |Scarcity which renders dear; want; lack; specifically, lack of food on account of failure of crops; famine. There came a dearth over all the land of Egypt. Acts vii. 11. He with her press'd, she faint with dearth. Shak. Dearth of plot, and narrowness of imagination. Dryden.
dearticulate |To disjoint.
dearworth |Precious. [Obs.] Piers Plowman.
deary |A dear; a darling. [Familiar]
deas |See Dais. [Scot.]
death |1. The cessation of all vital phenomena without capability of resuscitation, either in animals or plants. Note: Local death is going on at times and in all parts of the living body, in which individual cells and elements are being cast off and replaced by new; a process essential to life. General death is of two kinds; death of the body as a whole (somatic or systemic death), and death of the tissues. By the former is implied the absolute cessation of the functions of the brain, the circulatory and the respiratory organs; by the latter the entire disappearance of the vital actions of the ultimate structural constituents of the body. When death takes place, the body as a whole dies first, the death of the tissues sometimes not occurring until after a considerable interval. Huxley. 2. Total privation or loss; extinction; cessation; as, the death of memory. The death of a language can not be exactly compared with the death of a plant. J. Peile. 3. Manner of dying; act or state of passing from life. A death that I abhor. Shak. Let me die the death of the righteous. Num. xxiii. 10. 4. Cause of loss of life. Swiftly flies the feathered death. Dryden. He caught his death the last county sessions. Addison. 5. Personified: The destroyer of life, -- conventionally represented as a skeleton with a scythe. Death! great proprietor of all. Young. And I looked, and behold a pale horse; and his name that at on him was Death. Rev. vi. 8. 6. Danger of death. \"In deaths oft.\" 2 Cor. xi. 23. 7. Murder; murderous character. Not to suffer a man of death to live. Bacon. 8. (Theol.)  Loss of spiritual life. To be death. Rom. viii. 6. 9. Anything so dreadful as to be like death. It was death to them to think of entertaining such doctrines. Atterbury. And urged him, so that his soul was vexed unto death. Judg. xvi. 16. Note: Death is much used adjectively and as the first part of a compound, meaning, in general, of or pertaining to death, causing or presaging death; as, deathbed or death bed; deathblow or death blow, etc. Black death. See Black death, in the Vocabulary. -- Civil death, the separation of a man from civil society, or the debarring him from the enjoyment of civil rights, as by banishment, attainder, abjuration of the realm, entering a monastery, etc. Blackstone. -- Death adder. (Zoöl.) (a) A kind of viper found in South Africa (Acanthophis tortor); -- so called from the virulence of its venom. (b) A venomous Australian snake of the family Elapidæ, of several species, as the Hoplocephalus superbus and Acanthopis antarctica. -- Death bell, a bell that announces a death. The death bell thrice was heard to ring. Mickle. -- Death candle, a light like that of a candle, viewed by the superstitious as presaging death. -- Death damp, a cold sweat at the coming on of death. -- Death fire, a kind of ignis fatuus supposed to forebode death. And round about in reel and rout, The death fires danced at night. Coleridge. -- Death grapple, a grapple or struggle for life. -- Death in life, a condition but little removed from death; a living death. [Poetic] \"Lay lingering out a five years' death in life.\" Tennyson. -- Death knell, a stroke or tolling of a bell, announcing a death. -- Death rate, the relation or ratio of the number of deaths to the population. At all ages the death rate is higher in towns than in rural districts. Darwin. -- Death rattle, a rattling or gurgling in the throat of a dying person. -- Death's door, the boundary of life; the partition dividing life from death. -- Death stroke, a stroke causing death. -- Death throe, the spasm of death. -- Death token, the signal of approaching death. -- Death warrant. (a) (Law) An order from the proper authority for the execution of a criminal. (b) That which puts an end to expectation, hope, or joy. -- Death wound. (a) A fatal wound or injury. (b) (Naut.) The springing of a fatal leak. -- Spiritual death (Scripture), the corruption and perversion of the soul by sin, with the loss of the favor of God. -- The gates of death, the grave. Have the gates of death been opened unto thee Job xxxviii. 17. -- The second death, condemnation to eternal separation from God. Rev. ii. 11. -- To be the death of, to be the cause of death to; to make die. \"It was one who should be the death of both his parents.\" Milton. Syn. -- Death, Decrase, Departure, Release. Death applies to the termination of every form of existence, both animal and vegetable; the other words only to the human race. Decease is the term used in law for the removal of a human being out of life in the ordinary course of nature. Demise was formerly confined to decease of princes, but is now sometimes used of distinguished men in general; as, the demise of Mr. Pitt. Departure and release are peculiarly terms of Christian affection and hope. A violent death is not usually called a decease. Departure implies a friendly taking leave of life. Release implies a deliverance from a life of suffering or sorrow.
deathbed |The bed in which a person dies; hence, the closing hours of life of one who dies by sickness or the like; the last sickness. That often-quoted passage from Lord Hervey in which the Queen's deathbed is described. Thackeray.
deathbird |Tengmalm's or Richardson's owl (Nyctale Tengmalmi); -- so called from a superstition of the North American Indians that its note presages death.
deathblow |A mortal or crushing blow; a stroke or event which kills or destroys. The deathblow of my hope. Byron.
deathful |1. Full of death or slaughter; murderous; destructive; bloody. These eyes behold The deathful scene. Pope. 2. Liable to undergo death; mortal. The deathless gods and deathful earth. Chapman.
deathfulness |Appearance of death. Jer. Taylor.
deathless |Not subject to death, destruction, or extinction; immortal; undying; imperishable; as, deathless beings; deathless fame.
deathlike |1. Resembling death. A deathlike slumber, and a dead repose. Pope. 2. Deadly. [Obs.] \"Deathlike dragons.\" Shak.
deathliness |The quality of being deathly; deadliness. Southey.
deathly |Deadly; fatal; mortal; destructive.\n\nDeadly; as, deathly pale or sick. DEATH'S-HEAD Death's\"-head`, n.  A naked human skull as the emblem of death; the head of the conventional personification of death. I had rather be married to a death's-head with a bone in his mouth. Shak. Death's-head moth (Zoöl.), a very large European moth (Acherontia atropos), so called from a figure resembling a human skull on the back of the thorax; -- called also death's-head sphinx. DEATH'S-HERB Death's\"-herb`, n.  The deadly nightshade (Atropa belladonna). Dr. Prior.
deathsman |An executioner; a headsman or hangman. [Obs.] Shak.
deathward |Toward death.
deathwatch |1. (Zoöl.) (a) A small beetle (Anobium tessellatum and other allied species). By forcibly striking its head against woodwork it makes a ticking sound, which is a call of the sexes to each other, but has been imagined by superstitious people to presage death. (b) A small wingless insect, of the family Psocidæ, which makes a similar but fainter sound; -- called also deathtick. She is always seeing apparitions and hearing deathwatches. Addison. I did not hear the dog howl, mother, or the deathwatch beat. Tennyson. 2. The guard set over a criminal before his execution.
deaurate |Gilded. [Obs.]\n\nTo gild. [Obs.] Bailey.
deauration |Act of gilding. [Obs.]
deave |To stun or stupefy with noise; to deafen. [Scot.]
debacchate |To rave as a bacchanal. [R.] Cockeram.
debacchation |Wild raving or debauchery. [R.] Prynne.
debacle |A breaking or bursting forth; a violent rush or flood of waters which breaks down opposing barriers, and hurls forward and disperses blocks of stone and other débris.
debar |To cut off from entrance, as if by a bar or barrier; to preclude; to hinder from approach, entry, or enjoyment; to shut out or exclude; to deny or refuse; -- with from, and sometimes with of. Yet not so strictly hath our Lord imposed Labor, as to debar us when we need Refreshment. Milton. Their wages were so low as to debar them, not only from the comforts but from the common decencies of civilized life. Buckle.
debarb |To deprive of the beard. [Obs.] Bailey.
debark |To go ashore from a ship or boat; to disembark; to put ashore.
debarkation |Disembarkation. The debarkation, therefore, had to take place by small steamers. U. S. Grant.
debarment |Hindrance from approach; exclusion.
