gon |imp. & p. p. of Go. [Obs.] Chaucer.
grasp |1. To seize and hold by clasping or embracing with the fingers or arms; to catch to take possession of. Thy hand is made to grasp a palmer's staff. Shak. 2. To lay hold of with the mind; to become thoroughly acquainted or conversant with; to comprehend.\n\nTo effect a grasp; to make the motion of grasping; to clutch; to struggle; to strive. As one that grasped And tugged for life and was by strength subdued. Shak. To grasp at, to catch at; to try to seize; as, Alexander grasped at universal empire,\n\n1. A gripe or seizure of the hand; a seizure by embrace, or infolding in the arms. \"The grasps of love.\" Shak. 2. Reach of the arms; hence, the power of seizing and holding; as, it was beyond his grasp. 3. Forcible possession; hold. The whole space that's in the tyrant's grasp. Shak. 4. Wide-reaching power of intellect to comprehend subjects and hold them under survey. The foremost minds of the next . . . era were not, in power of grasp, equal to their predecessors. Z. Taylor. 5. The handle of a sword or of an oar.
graspable |Capable of being grasped.
grasper |One who grasps or seizes; one who catches or holds.
grasping |1. Seizing; embracing; catching. 2. Avaricious; greedy of gain; covetous; close; miserly; as, he is a grasping man. -- Grasp\"ing*ly, adv. -- Grasp\"ing*ness, n.
graspless |Without a grasp; relaxed. From my graspless hand Drop friendship's precious pearls. Coleridge.
grass |1. Popularly: Herbage; the plants which constitute the food of cattle and other beasts; pasture. 2. (Bot.)  An endogenous plant having simple leaves, a stem generally jointed and tubular, the husks or glumes in pairs, and the seed single. Note: This definition includes wheat, rye, oats, barley, etc., and excludes clover and some other plants which are commonly called by the name of grass. The grasses form a numerous family of plants. 3. The season of fresh grass; spring. [Colloq.] Two years old next grass. Lathsm. 4. Metaphorically used for what is transitory. Surely the people is grass. Is. xl. 7. Note: The following list includes most of the grasses of the United States of special interest, except cereals. Many of these terms will be found with definitions in the Vocabulary. See Illustrations in Appendix. Barnyard grass, for hay. South. Panicum Grus-galli. Bent, pasture and hay. Agrostis, several species. Bermuda grass, pasture. South. Cynodon Dactylon. Black bent. Same as Switch grass (below). Blue bent, hay. North and West. Andropogon provincialis. Blue grass, pasture. Poa compressa. Blue joint, hay. Northwest. Aqropyrum glaucum. Buffalo grass, grazing. Rocky Mts., etc. (a) Buchloë dectyloides. (b) Same as Grama grass (below). Bunch grass, grazing. Far West. Eriocoma, Festuca, Stips, etc. Chess, or Cheat, a weed. Bromus secalinus, etc. Couch grass. Same as Quick grass (below). Crab grass, (a) Hay, in South. A weed, in North. Panicum sanguinale. (b) Pasture and hay. South. Eleusine Indica. Darnel (a) Bearded, a noxious weed. Lolium temulentum. (b) Common. Same as Rye grass (below). Drop seed, fair for forage and hay. Muhlenbergia, several species. English grass. Same as Redtop (below). Fowl meadow grass. (a) Pasture and hay. Poa serotina. (b) Hay, on moist land. Gryceria nervata. Gama grass, cut fodder. South. Tripsacum dactyloides. Grama grass, grazing. West and Pacific slope. Bouteloua oligostachya, etc. Great bunch grass, pasture and hay. Far West. Festuca scabrella. Guinea grass, hay. South. Panicum jumentorum. Herd's grass, in New England Timothy, in Pennsylvania and South Redtop. Indian grass. Same as Wood grass (below). Italian rye grass, forage and hay. Lolium Italicum. Johnson grass, grazing aud hay. South and Southwest. Sorghum Halepense. Kentucky blue grass, pasture. Poa pratensis. Lyme grass, coarse hay. South. Elymus, several species. Manna grass, pasture and hay. Glyceria, several species. Meadow fescue, pasture and hay. Festuca elatior. Meadow foxtail, pasture, hay, lawn. North. Alopecurus pratensis. Meadow grass, pasture, hay, lawn. Poa, several species. Mesquite, or Muskit grass. Same as Grama grass (above). Nimble Will, a kind of drop seed. Muhlenbergia diffsa. Orchard grass, pasture and hay. Dactylis glomerata. Porcupine grass, troublesome to sheep. Northwest. Stipa spartea. Quaking grass, ornamental. Briza media and maxima. Quitch, or Quick, grass, etc., a weed. Agropyrum repens. Ray grass. Same as Rye grass (below). Redtop, pasture and hay. Agrostis vulgaris. Red-topped buffalo grass, forage. Northwest. Poa tenuifolia. Reed canary grass, of slight value. Phalaris arundinacea. Reed meadow grass, hay. North. Glyceria aquatica. Ribbon grass, a striped leaved form of Reed canary grass. Rye grass, pasture, hay. Lolium perenne, var. Seneca grass, fragrant basket work, etc. North. Hierochloa borealis. Sesame grass. Same as Gama grass (above). Sheep's fescue, sheep pasture, native in Northern Europe and Asia. Festuca ovina. Small reed grass, meadow pasture and hay. North. Deyeuxia Canadensis. Spear grass, Same as Meadow grass (above). Squirrel-tail grass, troublesome to animals. Seacoast and Northwest. Hordeum jubatum. Switch grass, hay, cut young. Panicum virgatum. Timothy, cut young, the best of hay. North. Phleum pratense. Velvet grass, hay on poor soil. South. Holcus lanatus. Vernal grass, pasture, hay, lawn. Anthoxanthum odoratum. Wire grass, valuable in pastures. Poa compressa. Wood grass, Indian grass, hay. Chrysopogon nutans. Note: Many plants are popularly called grasses which are not true grasses botanically considered, such as black grass, goose grass, star grass, etc. Black grass, a kind of small rush (Juncus Gerardi), growing in salt marshes, used for making salt hay. -- Grass of the Andes, an oat grass, the Arrhenatherum avenaceum of Europe.-- Grass of Parnassus, a plant of the genus Parnassia growing in wet ground. The European species is P. palustris; in the United States there are several species. -- Grass bass (Zoöl.), the calico bass. -- Grass bird, the dunlin. -- Grass cloth, a cloth woven from the tough fibers of the grass- cloth plant. -- Grass-cloth plant, a perennial herb of the Nettle family (Boehmeria nivea or Urtica nivea), which grows in Sumatra, China, and Assam, whose inner bark has fine and strong fibers suited for textile purposes. -- Grass finch. (Zoöl.) (a) A common American sparrow (Poöcætes gramineus); -- called also vesper sparrow and bay-winged bunting. (b) Any Australian finch, of the genus Poëphila, of which several species are known. -- Grass lamb, a lamb suckled by a dam running on pasture land and giving rich milk.-- Grass land, land kept in grass and not tilled. -- Grass moth (Zoöl.), one of many small moths of the genus Crambus, found in grass. -- Grass oil, a fragrant essential volatile oil, obtained in India from grasses of the genus Andropogon, etc.; -- used in perfumery under the name of citronella, ginger grass oil, lemon grass oil, essence of verbena etc. -- Grass owl (Zoöl.), a South African owl (Strix Capensis). -- Grass parrakeet (Zoöl.), any of several species of Australian parrots, of the genus Euphemia; -- also applied to the zebra parrakeet. -- Grass plover (Zoöl.), the upland or field plover. -- Grass poly (Bot.), a species of willowwort (Lythrum Hyssopifolia). Johnson. -- Crass quit (Zoöl.), one of several tropical American finches of the genus Euetheia. The males have most of the head and chest black and often marked with yellow.-- Grass snake. (Zoöl.) (a) The common English, or ringed, snake (Tropidonotus natrix). (b) The common green snake of the Northern United States. See Green snake, under Green. -- Grass snipe (Zoöl.), the pectoral sandpiper (Tringa maculata) -- called also jacksnipe in America. -- Grass spider (Zoöl.), a common spider (Agelena nævia), which spins flat webs on grass, conspicuous when covered with dew. -- Grass sponge (Zoöl.), an inferior kind of commercial sponge from Florida and the Bahamas. -- Grass table. (Arch.) See Earth table, under Earth. -- Grass vetch (Bot.), a vetch (Lathyrus Nissolia), with narrow grasslike leaves. -- Grass widow. Etym: [Cf. Prov. R. an unmarried mother, G. strohwittwe a mock widow, Sw. gräsenka a grass widow.] (a) An unmarried woman who is a mother. [Obs.] (b) A woman separated from her husband by abandonment or prolonged absence; a woman living apart from her husband. [Slang.] -- Grass wrack (Bot.) eelgrass. -- To bring to grass (Mining.), to raise, as ore, to the surface of the ground. -- To put to grass, To put out to grass, to put out to graze a season, as cattle.\n\n1. To cover with grass or with turf. 2. To expose, as flax, on the grass for bleaching, etc. 3. To bring to the grass or ground; to land; as, to grass a fish. [Colloq.]\n\nTo produce grass. [R.] Tusser.
grass tree |(a) An Australian plant of the genus Xanthorrhoea, having a thick trunk crowned with a dense tuft of pendulous, grasslike leaves, from the center of which arises a long stem, bearing at its summit a dense flower spike looking somewhat like a large cat-tail. These plants are often called \"blackboys\" from the large trunks denuded and blackened by fire. They yield two kinds of fragrant resin, called Botany-bay gum, and Gum Acaroides. (b) A similar Australian plant (Kingia australis).
grass-green |1. Green with grass. 2. Of the color of grass; clear and vivid green.
grass-grown |Overgrown with grass; as, a grass-grown road.
grassation |A wandering about with evil intentions; a rioting. [Obs. & R.] Feltham.
grasshopper |1. (Zoöl.)  Any jumping, orthopterous insect, of the families Acrididæ and Locustidæ. The species and genera are very numerous. The former family includes the Western grasshopper or locust (Caloptenus spretus), noted for the great extent of its ravages in the region beyond the Mississippi. In the Eastern United States the red-legged (Caloptenus femurrubrum and C. atlanis) are closely related species, but their ravages are less important. They are closely related to the migratory locusts of the Old World. See Locust. Note: The meadow or green grasshoppers belong to the Locustidæ. They have long antennæ, large ovipositors, and stridulating organs at the base of the wings in the male. The European great green grasshopper (Locusta viridissima) belongs to this family. The common American green species mostly belong to Xiphidium, Orchelimum, and Conocephalus. 2. In ordinary square or upright pianos of London make, the escapement lever or jack, so made that it can be taken out and replaced with the key; -- called also the hopper. Grove. Grasshopper engine, a steam engine having a working beam with its fulcrum at one end, the steam cylinder at the other end, and the connecting rod at an intermediate point. -- Grasshopper lobster (Zoöl.) a young lobster. [Local, U. S.] -- Grasshopper warbler (Zoöl.), cricket bird.
grassiness |The state of abounding with grass; a grassy state.
grassless |Destitute of grass.
grassplot |A plot or space covered with grass; a lawn. \"Here on this grassplot.\" Shak.
grassy |1. Covered with grass; abounding with grass; as, a grassy lawn. Spenser. 2. Resembling grass; green.
grate |Serving to gratify; agreeable. [Obs.] Sir T. Herbert.\n\n1. A structure or frame containing parallel or crosed bars, with interstices; a kind of latticework, such as is used ia the windows of prisons and cloisters. \"A secret grate of iron bars.\" Shak. 2. A frame or bed, or kind of basket, of iron bars, for holding fuel while burning. Grate surface (Steam, Boiler) the area of the surface of the grate upon which the fuel lies in the furnace.\n\nTo furnish with grates; to protect with a grating or crossbars; as, to grate a window.\n\n1. To rub roughly or harshly, as one body against another, causing a harsh sound; as, to grate the teeth; to produce (a harsh sound) by rubbing. On their hinges grate Harsh thunder. Milton. 2. To reduce to small particles by rubbing with anything rough or indented; as, to grate a nutmeg. 3. To fret; to irritate; to offend. News, my good lord Rome . . . grates me. Shak.\n\n1. To make a harsh sound by friction. I had rather hear a brazen canstick turned, Or a dry wheel grate on the exletree. Shak. 2. To produce the effect of rubbing with a hard rough material; to cause wearing, tearing, or bruising. Hence; To produce exasperation, soreness, or grief; to offend by oppression or importunity. This grated harder upon the hearts of men. South.
grated |Furnished with a grate or grating; as, grated windows.
grateful |1. Having a due sense of benefits received; kindly disposed toward one from whom a favor has been received; willing to acknowledge and repay, or give thanks for, benefits; as, a grateful heart. A grateful mind By owing, owes not, but still pays. Milton. 2. Affording pleasure; pleasing to the senses; gratifying; delicious; as, a grateful present; food grateful to the palate; grateful sleep. Now golden fruits on loaded branches shine, And grateful clusters swell. Pope. Syn. -- Thankful; pleasing; acceptable; gratifying; agreeable; welcome; delightful; delicious. -- Grate\"ful*ly, adv. -- Grate\"ful*ness, n.
grater |One who, or that which, grates; especially, an instrument or utensil with a rough, indented surface, for rubbing off small particles of any substance; as a grater for nutmegs.
graticulation |The division of a design or draught into squares, in order the more easily to reproduce it in larger or smaller dimensions.
graticule |A design or draught which has been divided into squares, in order to reproduce it in other dimensions.
gratification |1. The act of gratifying, or pleasing, either the mind, the taste, or the appetite; as, the gratification of the palate, of the appetites, of the senses, of the desires, of the heart. 2. That which affords pleasure; satisfaction; enjoyment; fruition: delight. 3. A reward; a recompense; a gratuity. Bp. Morton.
gratified |Pleased; indulged according to desire. Syn. -- Glad; pleased. See Glad.
gratifier |One who gratifies or pleases.
gratify |1. To please; to give pleasure to; to satisfy; to soothe; to indulge; as, to gratify the taste, the appetite, the senses, the desires, the mind, etc. For who would die to gratify a foe Dryden. 2. To requite; to recompense. [Obs.] It remains . . . To gratify his noble service. Shak. Syn. -- To indulge; humor please; delight; requite; recompense. -- To Gratify, Indulge, Humor. Gratify, is the generic term, and has reference simply to the pleasure communicated. To indulge a person implies that we concede something to his wishes or his weaknesses which he could not claim, and which had better, perhaps, be spared. To humor is to adapt ourselves to the varying moods, and, perhaps, caprices, of others. We gratify a child by showing him the sights of a large city; we indulge him in some extra expense on such an occasion; we humor him when he is tired and exacting.
gratin |The brown crust formed upon a gratinated dish; also, dish itself, as crusts bread, game, or poultry.
gratinate |To cook, as macaroni, in a savory juice or sauce until juice is absorbed and a crisp surface forms.
grating |1. A partition, covering, or frame of parallel or cross bars; a latticework resembling a window grate; as, the grating of a prison or convent. 2. (Optics) A system of close equidistant and parallel lines lines or bars, especially lines ruled on a polished surface, used for producing spectra by diffraction; -- called also diffraction grating. 3. pl. (Naut.) The strong wooden lattice used to cover a hatch, admitting light and air; also, a movable Lattice used for the flooring of boats.\n\nThat grates; making a harsh sound; harsh. -- Grat\"ing*ly, adv.\n\nA harsh sound caused by attrition.
gratiolin |One of the essential principles of the hedge hyssop (Gratiola officinalis).
gratis |For nothing; without fee or recompense; freely; gratuitously.
gratitude |The state of being grateful; warm and friendly feeling toward a benefactor; kindness awakened by a favor received; thankfulness. The debt immense of endless gratitude. Milton.
gratuitous |1. Given without an equivalent or recompense; conferred without valuable consideration; granted without pay, or without claim or merit; not required by justice. We mistake the gratuitous blessings of Heaven for the fruits of our own industry. L'Estrange. 2. Not called for by the circumstances; without reason, cause, or proof; adopted or asserted without any good ground; as, a gratuitous assumption. Acts of gratuitous self-humiliation. De Quincye. -- Gra*tu\"i*tous*ly, adv. -- Gra*tu\"i*tous*ness, n.
gratuity |1. Something given freely or without recompense; a free gift; a present. Swift. 2. Something voluntarily given in return for a favor or service, as a recompense or acknowledgment.
gratulate |To salute with declaration of joy; to congratulate. [R.] Shak.\n\nWorthy of gratulation. [Obs.] There's more behind that is more gratulate. Shak.
gratulation |The act of gratulating or felicitating; congratulation. I shall turn my wishes into gratulations. South.
gratulatory |Expressing gratulation or joy; congratulatory. The usual groundwork of such gratulatory odes. Bp. Horsley.
graunt |See Grant. Chaucer.
grauwacke |Graywacke.
gravamen |The grievance complained of; the substantial cause of the action; also, in general, the ground or essence of a complaint. Bouvier.
grave |(Naut.) To clean, as a vessel's bottom, of barnacles, grass, etc., and pay it over with pitch; -- so called because graves or greaves was formerly used for this purpose.\n\n1. Of great weight; heavy; ponderous. [Obs.] His shield grave and great. Chapman. 2. Of importance; momentous; weighty; influential; sedate; serious; - - said of character, relations, etc.; as, grave deportment, character, influence, etc. Most potent, grave, and reverend seigniors. Shak. A grave and prudent law, full of moral equity. Milton. 3. Not light or gay; solemn; sober; plain; as, a grave color; a grave face. 4. (Mus.) (a) Not acute or sharp; low; deep; -- said of sound; as, a grave note or key. The thicker the cord or string, the more grave is the note or tone. Moore (Encyc. of Music). (b) Slow and solemn in movement. Grave accent. (Pron.) See the Note under Accent, n., 2. Syn. -- Solemn; sober; serious; sage; staid; demure; thoughtful; sedate; weighty; momentous; important. -- Grave, Sober, Serious, Solemn. Sober supposes the absence of all exhilaration of spirits, and is opposed to gay or flighty; as, sober thought. Serious implies considerateness or reflection, and is opposed to jocose or sportive; as, serious and important concerns. Grave denotes a state of mind, appearance, etc., which results from the pressure of weighty interests, and is opposed to hilarity of feeling or vivacity of manner; as, a qrave remark; qrave attire. Solemn is applied to a case in which gravity is carried to its highest point; as, a solemn admonition; a solemn promise.\n\n1. To dig. [Obs.] Chaucer. He hath graven and digged up a pit. Ps. vii. 16 (Book of Common Prayer). 2. To carve or cut, as letters or figures, on some hard substance; to engrave. Thou shalt take two onyx stones, and grave on them the names of the children of Israel. Ex. xxviii. 9. 3. To carve out or give shape to, by cutting with a chisel; to sculpture; as, to grave an image. With gold men may the hearte grave. Chaucer. 4. To impress deeply (on the mind); to fix indelibly. O! may they graven in thy heart remain. Prior. 5. To entomb; to bury. [Obs.] Chaucer. Lie full low, graved in the hollow ground. Shak.\n\nTo write or delineate on hard substances, by means of incised lines; to practice engraving.\n\nAn excavation in the earth as a place of burial; also, any place of interment; a tomb; a sepulcher. Hence: Death; destruction. He bad lain in the grave four days. John xi. 17. Grave wax, adipocere.
graveclothes |The clothes or dress in which the dead are interred.
gravedigger |1. A digger of graves. 2. (Zoöl.)  See Burying beetle, under Bury, v. t.
gravel |1. Small stones, or fragments of stone; very small pebbles, often intermixed with particles of sand. 2. (Med.)  A deposit of small calculous concretions in the kidneys and the urinary or gall bladder; also, the disease of which they are a symptom. Gravel powder, a coarse gunpowder; pebble powder.\n\n1. To cover with gravel; as, to gravel a walk. 2. To run (as a ship) upon the gravel or beach; to run aground; to cause to stick fast in gravel or sand. When we were fallen into a place between two seas, they graveled the ship. Acts xxvii. 41 (Rhemish version). Willam the Conqueror . . . chanced as his arrival to be graveled; and one of his feet stuck so fast in the sand that he fell to the ground. Camden. 3. To check or stop; to embarrass; to perplex. [Colloq.] When you were graveled for lack of matter. Shak. The physician was so graveled and amazed withal, that he had not a word more to say. Sir T. North. 4. To hurt or lame (a horse) by gravel lodged between the shoe and foot.
gravel-stone |A pebble, or small fragment of stone; a calculus.
graveless |Without a grave; unburied.
graveling |1. The act of covering with gravel. 2. A layer or coating of gravel (on a path, etc.).\n\nA salmon one or two years old, before it has gone to sea.
gravelliness |State of being gravelly.
gravelling |1. The act of covering with gravel. 2. A layer or coating of gravel (on a path, etc.).\n\nA salmon one or two years old, before it has gone to sea.
gravelly |Abounding with gravel; consisting of gravel; as, a gravelly soil.
gravely |In a grave manner.
graven |Carved. Graven image, an idol; an object of worship carved from wood, stone, etc. \"Thou shalt not make unto thee any graven image.\" Ex. xx. 4.
graveness |The quality of being grave. His sables and his weeds, Importing health and graveness. Shak.
gravenstein |A kind of fall apple, marked with streaks of deep red and orange, and of excellent flavor and quality.
graveolence |A strong and offensive smell; rancidity. [R.] Bailey.
graveolent |Having a rank smell. [R.] Boyle.
graver |1. One who graves; an engraver or a sculptor; one whose occupation is te cut letters or figures in stone or other hard material. 2. An ergraving or cutting tool; a burin.
gravery |The act, process, or art, of graving or carving; engraving. Either of picture or gravery and embossing. Holland.
graves |The sediment of melted tallow. Same as Greaves. GRAVES' DISEASE Graves\"' dis*ease\". Etym: [So called after Dr. Graves, of Dublin.]  Same as Basedow's disease.
gravestone |A stone laid over, or erected near, a grave, usually with an inscription, to preserve the memory of the dead; a tombstone.
graveyard |A yard or inclosure for the interment of the dead; a cemetery.
gravic |Pertaining to, or causing, gravitation; as, gravic forces; gravic attraction. [R.]
gravid |Being with child; heavy with young; pregnant; fruitful; as, a gravid uterus; gravid piety. \" His gravid associate.\" Sir T. Herbert.
gravidated |Made pregnant; big. [Obs.] Barrow.
gravidation |Gravidity. [Obs.]
gravidity |The state of being gravidated; pregnancy. [R.]
gravigrade |Slow-paced. -- n.  One of the pachyderms.
gravimeter |(Physics) An instrument for ascertaining the specific gravity of bodies.
gravimetric |Of or pertaining to measurement by weight; measured by weight. -- Grav\"i*met\"ric*al*ly, adv. Gravimetric analysis (Chem.), analysis in which the amounts of the coastituents are determined by weight; -- in distinction from volumetric analysis.
graving |The act of cleaning a ship's bottom. Graving dock. (Naut.) See under Dock.\n\nThe act or art of carving figures in hard substances, esp. by incision or in intaglio. 2. That which is graved or carved. [R.] Skillful to . . . grave any manner of graving. 2 Chron. ii. 14. 3. Impression, as upon the mind or heart. New gravings upon their souls. Eikon Basilike
gravitate |To obey the law of gravitation; to exert a force Or pressure, or tend to move, under the influence of gravitation; to tend in any direction or toward any object. Why does this apple fall to the ground Because all bodies gravitate toward each other. Sir W. Hamilton. Politicians who naturally gravitate towards the stronger party. Macaulay.
gravitation |1. The act of gravitating. 2. (Pysics) That species of attraction or force by which all bodies or particles of matter in the universe tend toward each other; called also attraction of gravitation, universal gravitation, and universal gravity. See Attraction, and Weight. Law of gravitatian, that law in accordance with which gravitation acts, namely, that every two bodies or portions of matter in the universe attract each other with a force proportional directly to the quantity of matter they contain, and inversely to the squares of their distances.
gravitational |Of or pertaining to the force of gravity; as, gravitational units.
gravitative |Causing to gravitate; tending to a center. Coleridge.
gravity |1. The state of having weight; beaviness; as, the gravity of lead. 2. Sobriety of character or demeanor. \"Men of gravity and learning.\"Shak. 3. Importance, significance, dignity, etc; hence, seriousness; enormity; as, the gravity of an offense. They derive an importance from . . . the gravity of the place where they were uttered. Burke. 4. (Physics)  The tendency of a mass of matter toward a center of attraction; esp., the tendency of a body toward the center of the earth; terrestrial gravitation. 5. (Mus.)  Lowness of tone; -- opposed to acuteness. Center of gravity See under Center. -- Gravity battery, See Battery, n., 4. -- Specific gravity, the ratio of the weight of a body to the weight of an equal volume of some other body taken as the standard or unit. This standard is usually water for solids and liquids, and air for gases. Thus, 19, the specific gravity of gold, expresses the fact that, bulk for bulk, gold is nineteen times as heavy as water.
gravy |1. The juice or other liquid matter that drips from flesh in cooking, made into a dressing for the food when served up. 2. Liquid dressing for meat, fish, vegetables, etc.
gray |1. White mixed with black, as the color of pepper and salt, or of ashes, or of hair whitened by age; sometimes, a dark mixed color; as, the soft gray eye of a dove. These gray and dun colors may be also produced by mixing whites and blacks. Sir I. Newton. 2. Gray-haired; gray-headed; of a gray color; hoary. 3. Old; mature; as, gray experience. Ames. Gray antimony (Min.), stibnite. -- Gray buck (Zoöl.), the chickara. -- Gray cobalt (Min.), smaltite. -- Gray copper (Min.), tetrahedrite. -- Gray duck (Zoöl.), the gadwall; also applied to the female mallard. -- Gray falcon (Zoöl.) the peregrine falcon. -- Gray Friar. See Franciscan, and Friar. -- Gray hen (Zoöl.), the female of the blackcock or black grouse. See Heath grouse. -- Gray mill or millet (Bot.), a name of several plants of the genus Lithospermum; gromwell. -- Gray mullet (Zoöl.) any one of the numerous species of the genus Mugil, or family Mugilidæ, found both in the Old World and America; as the European species (M. capito, and M. auratus), the American striped mullet (M. albula), and the white or silver mullet (M. Braziliensis). See Mullet. -- Gray owl (Zoöl.), the European tawny or brown owl (Syrnium aluco). The great gray owl (Ulula cinerea) inhabits arctic America. -- Gray parrot (Zoöl.), a parrot (Psittacus erithacus), very commonly domesticated, and noted for its aptness in learning to talk. -- Gray pike. (Zoöl.) See Sauger. -- Gray snapper (Zoöl.), a Florida fish; the sea lawyer. See Snapper. -- Gray snipe (Zoöl.), the dowitcher in winter plumage. -- Gray whale (Zoöl.), a rather large and swift California whale (Rhachianectes glaucus), formerly taken in large numbers in the bays; -- called also grayback, devilfish, and hardhead.\n\n1. A gray color; any mixture of white and black; also, a neutral or whitish tint. 2. An animal or thing of gray color, as a horse, a badger, or a kind of salmon. Woe worth the chase, woe worth the day. That coats thy life, my gallant gray. Sir W. Scott.
grayback |(a) The California gray whale. (b) The redbreasted sandpiper or knot. (c) The dowitcher. (d) The body louse.
graybeard |An old man. Shak.
grayfly |The trumpet fly. Milton.
grayhound |See Greyhound.
grayish |Somewhat gray.
graylag |The common wild gray goose (Anser anser) of Europe, believed to be the wild form of the domestic goose. See Illust. of Goose.
