covertly |Secretly; in private; insidiously.
criminally |In violation of law; wickedly.
criminalness |Criminality. [R.]
criminate |1. To accuse of, or charge with, a crime. To criminate, with the heavy and ungrounded charge of disloyalty and disaffection, an uncorrupt, independent, and reforming parliament. Burke. 2. To involve in a crime or in its consequences; to render liable to a criminal charge. Impelled by the strongest pressure of hope and fear to criminate him. Macaulay.
crimination |The act of accusing; accusation; charge; complaint. The criminations and recriminations of the adverse parties. Macaulay.
criminative |Charging with crime; accusing; criminatory. R. North.
criminatory |Relating to, or involving, crimination; accusing; as, a criminatory conscience.
criminology |A treatise on crime or the criminal population. -- Crim`i*nol\"o*gist (-j, n.
criminous |Criminal; involving great crime or grave charges; very wicked; heinous. [Obs.] Holland. -- Crim\"i*nous*ly, adv.. -- Crim\"i*nous*ness,n. [Obs.]
crimosin |See Crimson.
crimp |1. To fold or plait in regular undulation in such a way that the material will retain the shape intended; to give a wavy apperance to; as, to crimp the border of a cap; to crimp a ruffle. Cf. Crisp. The comely hostess in a crimped cap. W. Irving. 2. To pinch and hold; to seize. 3. Hence, to entrap into the military or naval service; as, to crimp seamen. Coaxing and courting with intent to crimp him. Carlyle. 4. (Cookery)  To cause to contract, or to render more crisp, as the flesh of a fish, by gashing it, when living, with a knife; as, to crimp skate, etc. Crimping house, a low lodging house, into which men are decoyed and plied with drink, to induce them to ship or enlist as sailors or soldiers. -- Crimping iron. (a) An iron instrument for crimping and curling the hair. (b) A crimping machine. -- Crimping machine, a machine with fluted rollers or with dies, for crimping ruffles leather, iron, etc. -- Crimping pin, an instrument for crimping or puckering the border of a lady's cap.\n\n1. Easily crumbled; friable; brittle. [R.] Now the fowler . . . treads the crimp earth. J. Philips. 2. Weak; inconsistent; contradictory. [R.] The evidance is crimp; the witnesses swear backward and forward, and contradict themselves. Arbuthnot.\n\n1. A coal broker. [Prov. Eng.] De Foe. 2. One who decoys or entraps men into the military or naval service. Marryat. 3. A keeper of a low lodging house where sailors and emigrants are entrapped and fleeced. 4. Hair which has been crimped; -- usually in pl. 5. A game at cards. [Obs.] B. Jonson. Boot crimp. See under Boot.
crimpage |The act or practice of crimping; money paid to a crimp for shipping or enlisting men.
crimper |One who, or that which, crimps; as: (a) A curved board or frame over which the upper of a boot or shoe is stretched to the required shape. (b) A device for giving hair a wavy apperance. (c) A machine for crimping or ruffling textile fabrics.
crimple |To cause to shrink or draw together; to contract; to curl. [R.] Wiseman.
crimpy |Having a crimped appearance; frizzly; as, the crimpy wool of the Saxony sheep.
crimson |A deep red color tinged with blue; also, red color in general. Theugh jour be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool. Is. i. 18. A maid jet rosed over with the virgin crimson of modesty. Shak.\n\nOf a deep red color tinged with blue; deep red. \"A crimson tide.\" Mrs. Hemans. The blushing poppy with a crimson hue. Prior.\n\nTo dye with crimson or deep red; to redden. Signed in thy spoil and crimsoned in thy lethe. Shak.\n\nTo become crimson; to blush. Ancient towers . . . beginning to crimson with the radiant luster of a cloudless July morning. De Quincey.
crinal |Of or pertaining to the hair. [R.] Blount.
crinated |Having hair; hairy.
crinatory |Crinitory. Craig.
crincum |A twist or bend; a turn; a whimsey. [Colloq.] Hudibras.
crincum-crancum |A twist; a whimsey or whim. [Colloq.]
crined |Having the hair of a different tincture from the rest of the body; as, a charge crined of a red tincture.
crinel |A very fine, hairlike feather. Booth.
crinet |A very fine, hairlike feather. Booth.
cringe |To draw one's self together as in fear or servility; to bend or crouch with base humility; to wince; hence; to make court in a degrading manner; to fawn. When they were come up to the place where the lions were, the boys that went before were glad to cringe behind, for they were afraid of the lions. Bunyan. Sly hypocrite, . . . who more than thou Once fawned and cringed, and servilely adored Heaven's awful monarch Milton. Flatterers . . . are always bowing and cringing. Arbuthnot.\n\nTo contract; to draw together; to cause to shrink or wrinkle; to distort. [Obs.] Till like a boy you see him cringe his face, And whine aloud for mercy. Shak.\n\nServile civility; fawning; a shrinking or bowing, as in fear or servility. \"With cringe and shrug, and bow obsequious.\" Cowper.
cringeling |One who cringes meanly; a fawner.
cringer |One who cringes.
cringingly |In a cringing manner.
cringle |1. A withe for fastening a gate. 2. (Naut.)  An iron or pope thimble or grommet worked into or attached to the edges and corners of a sail; -- usually in the plural. The cringles are used for making fast the bowline bridles, earings, etc.
crinicultural |Relating to the growth of hair. [R.]
crinigerous |Bearing hair; hairy. [R.]
crinital |Same as Crinite, 1. He the star crinital adoreth. Stanyhurst.
crinite |1. Having the appearance of a tuft of hair; having a hairlike tail or train. \"Comate, crinite, caudate stars.\" 2. (Bot.)  Bearded or tufted with hairs. Gray.
crinitory |Of or relating to hair; as, a crinitory covering. T. Hook.
crinkle |To form with short turns, bends, or wrinkles; to mold into inequalites or sinuosities; to cause to wrinkle or curl. The houscrinkled to and fro. Chaucer. Her face all bowsy, Comely crinkled, Wondrously wrinkled. Skelton. The flames through all the casements pushing forth, Like red-not devils crinkled into snakes. Mrs. Browning.\n\nTo turn or wind; ti run in and out in many short bends or turns; to curl; to run in wavws; to wrinkle; also, to rustle, as stiff cloth when moved. The green wheat crinkles like a lake. L. T. Trowbridge. And all the rooms Were full of crinkling silks. Mrs. Browning.\n\nA winding or turn; wrinkle; sinuosity. The crinkles in this glass, making objects appear double. A. Tucker.
crinkled |Having short bends, turns, or wrinkles; wrinkled; wavy; zigzag. \"The crinkled lightning.\" Lowell.
crinkly |Having crinkles; wavy; wrinkly.
crinoid |Crinoidal. -- n.  One of the Crinoidea.
crinoidal |Of pertaining to crinoids; consisting of, or containing, crinoids.
crinoidea |A large class of Echinodermata, including numerous extinct families and genera, but comparatively few living ones. Most of the fossil species, like some that are recent, were attached by a jointed stem. See Blastoidea, Cystoidea, Comatula.
crinoidean |One of the Crinoidea.
crinoline |1. A kind of stiff cloth, used chiefly by women, for underskirts, to expand the gown worn over it; -- so called because originally made of hair. 2. A lady's skirt made of any stiff material; latterly, a hoop skirt.
crinose |Hairy. [R.]
