presageful |Full of presages; ominous. Dark in the glass of some presageful mood. Tennyson.
prism |1. (Geom.)  A solid whose bases or ends are any similar, equal, and parallel plane figures, and whose sides are parallelograms. Note: Prisms of different forms are often named from the figure of their bases; as, a triangular prism, a quadrangular prism, a rhombic prism, etc. 2. (Opt.)  A transparent body, with usually three rectangular plane faces or sides, and two equal and parallel triangular ends or bases; -- used in experiments on refraction, dispersion, etc. 3. (Crystallog.)  A form the planes of which are parallel to the vertical axis. See Form, n., 13. Achromatic prism (Opt.), a prism composed usually of two prisms of different transparent substances which have unequal dispersive powers, as two different kinds of glass, especially flint glass and crown glass, the difference of dispersive power being compensated by giving them different refracting angles, so that, when placed together so as to have opposite relative positions, a ray of light passed through them is refracted or bent into a new position, but is free from color. -- Nicol's prism, Nicol prism. Etym: [So called from Wm. Nicol, of Edinburgh, who first proposed it.] (Opt.) An instrument for experiments in polarization, consisting of a rhomb of Iceland spar, which has been bisected obliquely at a certain angle, and the two parts again joined with transparent cement, so that the ordinary image produced by double refraction is thrown out of the field by total reflection from the internal cemented surface, and the extraordinary, or polarized, image alone is transmitted.
prism glass |Glass with one side smooth and the other side formed into sharp-edged ridges so as to reflect the light that passes through, used at windows to throw the light into the interior.
prismatic |1. Resembling, or pertaining to, a prism; as, a prismatic form or cleavage. 2. Separated or distributed by a prism; formed by a prism; as, prismatic colors. 3. (Crystallog.)  Same as Orthorhombic. Prismatic borax (Chem.), borax crystallized in the form of oblique prisms, with ten molecules of water; -- distinguished from octahedral borax. -- Prismatic colors (Opt.), the seven colors into which light is resolved when passed through a prism; primary colors. See Primary colors, under Color. -- Prismatic compass (Surv.), a compass having a prism for viewing a distant object and the compass card at the same time. -- Prismatic spectrum (Opt.), the spectrum produced by the passage of light through a prism.
prismatical |1. Resembling, or pertaining to, a prism; as, a prismatic form or cleavage. 2. Separated or distributed by a prism; formed by a prism; as, prismatic colors. 3. (Crystallog.)  Same as Orthorhombic. Prismatic borax (Chem.), borax crystallized in the form of oblique prisms, with ten molecules of water; -- distinguished from octahedral borax. -- Prismatic colors (Opt.), the seven colors into which light is resolved when passed through a prism; primary colors. See Primary colors, under Color. -- Prismatic compass (Surv.), a compass having a prism for viewing a distant object and the compass card at the same time. -- Prismatic spectrum (Opt.), the spectrum produced by the passage of light through a prism.
prismatically |In the form on manner of a prism; by means of a prism.
prismatoidal |Having a prismlike form. Ure.
prismoid |A body that approaches to the form of a prism.
prismoidal |Having the form of a prismoid; as, prismoidal solids.
prismy |Pertaining to a prism. [R.]
prison |1. A place where persons are confined, or restrained of personal liberty; hence, a place or state o Bring my soul out of prison, that I may praise thy name. Ps. cxlii. 7. The tyrant Æolus, . . . With power imperial, curbs the struggling winds, And sounding tempests in dark prisons binds. Dryden. 2. Specifically, a building for the safe custody or confinement of criminals and others committed by lawful authority. Prison bars, or Prison base. See Base, n., 24. -- Prison breach. (Law) See Note under 3d Escape, n., 4. -- Prison house, a prison. Shak. -- Prison ship (Naut.), a ship fitted up for the confinement of prisoners. -- Prison van, a carriage in which prisoners are conveyed to and from prison.\n\n1. To imprison; to shut up in, or as in, a prison; to confine; to restrain from liberty. The prisoned eagle dies for rage. Sir W. Scott. His true respect will prison false desire. Shak. 2. To bind (together); to enchain. [Obs.] Sir William Crispyn with the duke was led Together prisoned. Robert of Brunne.
prisoner |1. One who is confined in a prison. Piers Plowman. 2. A person under arrest, or in custody, whether in prison or not; a person held in involuntary restraint; a captive; as, a prisoner at the bar of a court. Bouvier. Prisoner of Hope thou art, -- look up and sing. Keble. Prisoner's base. See Base, n., 24.
prisonment |Imprisonment. [Obs.] Shak.
pristinate |Pristine; primitive. [Obs.] \"Pristinate idolatry.\" Holinshed.
pristine |Belonging to the earliest period or state; original; primitive; primeval; as, the pristine state of innocence; the pristine manners of a people; pristine vigor.
pritch |1. A sharp-pointed instrument; also, an eelspear. [Prov. Eng.] 2. Pique; offense. [Obs.] D. Rogers.
pritchel |A tool employed by blacksmiths for punching or enlarging the nail holes in a horseshoe.
prithee |A corruption of pray thee; as, I prithee; generally used without I. Shak. What was that scream for, I prithee L'Estrange. Prithee, tell me, Dimple-chin. E. C. Stedman.
prittle-prattle |Empty talk; trifling loquacity; prattle; -- used in contempt or ridicule. [Colloq.] Abp. Bramhall.
privacy |1. The state of being in retirement from the company or observation of others; seclusion. 2. A place of seclusion from company or observation; retreat; solitude; retirement. Her sacred privacies all open lie. Rowe. 3. Concealment of what is said or done. Shak. 4. A private matter; a secret. Fuller. 5. See Privity, 2. [Obs.] Arbuthnot.
privado |A private friend; a confidential friend; a confidant. [Obs.] Fuller.
privatdocent |In the universities of Germany and some other European countries, a licensed teacher or lecturer having no share in the university government and dependent upon fees for remuneration.
private |1. Belonging to, or concerning, an individual person, company, or interest; peculiar to one's self; unconnected with others; personal; one's own; not public; not general; separate; as, a man's private opinion; private property; a private purse; private expenses or interests; a private secretary. 2. Sequestered from company or observation; appropriated to an individual; secret; secluded; lonely; solitary; as, a private room or apartment; private prayer. Reason . . . then retires Into her private cell when nature rests. Milton. 3. Not invested with, or engaged in, public office or employment; as, a private citizen; private life. Shak. A private person may arrest a felon. Blackstone. 4. Not publicly known; not open; secret; as, a private negotiation; a private understanding. 5. Having secret or private knowledge; privy. [Obs.] Private act or statute, a statute exclusively for the settlement of private and personal interests, of which courts do not take judicial notice; -- opposed to a general law, which operates on the whole community. -- Private nuisance or wrong. See Nuisance. -- Private soldier. See Private, n., 5. -- Private way, a right of private passage over another man's ground. Kent.\n\n1. A secret message; a personal unofficial communication. [Obs.] Shak. 2. Personal interest; particular business.[Obs.] Nor must I be unmindful of my private. B. Jonson. 3. Privacy; retirement. [Archaic] \"Go off; I discard you; let me enjoy my private.\" Shak. 4. One not invested with a public office. [Archaic] What have kings, that privates have not too Shak. 5. (Mil.)  A common soldier; a soldier below the grade of a noncommissioned officer. Macaulay. 6. pl.  The private parts; the genitals. In private, secretly; not openly or publicly.
privateer |1. An armed private vessel which bears the commission of the sovereign power to cruise against the enemy. See Letters of marque, under Marque. 2. The commander of a privateer. Kidd soon threw off the character of a privateer and became a pirate. Macaulay.\n\nTo cruise in a privateer.
privateering |Cruising in a privateer.
privateersman |An officer or seaman of a privateer.
privately |1. In a private manner; not openly; without the presence of others. 2. In a manner affecting an individual; personally not officially; as, he is not privately benefited.
privateness |1. Seclusion from company or society; retirement; privacy; secrecy. Bacon. 2. The state of one not invested with public office.
privation |1. The act of depriving, or taking away; hence, the depriving of rank or office; degradation in rank; deprivation. Bacon. 2. The state of being deprived or destitute of something, especially of something required or desired; destitution; need; as, to undergo severe privations. 3. The condition of being absent; absence; negation. Evil will be known by consequence, as being only a privation, or absence, of good. South. Privation mere of light and absent day. Milton.
privative |1. Causing privation; depriving. 2. Consisting in the absence of something; not positive; negative. Privative blessings, blessings of immunity, safeguard, liberty, and integrity. Jer. Taylor. 3. (Gram.)  Implying privation or negation; giving a negative force to a word; as, alpha privative; privative particles; -- applied to such prefixes and suffixes as a- (Gr. un-, non-, -less.\n\n1. That of which the essence is the absence of something. Blackness and darkness are indeed but privatives. Bacon. 2. (Logic)  A term indicating the absence of any quality which might be naturally or rationally expected; -- called also privative term. 3. (Gram.)  A privative prefix or suffix. See Privative, a., 3.
privatively |In a privative manner; by the absence of something; negatively. [R.] Hammond.
privativeness |The state of being privative.
privet |An ornamental European shrub (Ligustrum vulgare), much used in hedges; -- called also prim. Egyptian privet. See Lawsonia. -- Evergreen privet, a plant of the genus Rhamnus. See Alatern. -- Mock privet, any one of several evergreen shrubs of the genus Phillyrea. They are from the Mediterranean region, and have been much cultivated for hedges and for fancifully clipped shrubberies.
privilege |1. A peculiar benefit, advantage, or favor; a right or immunity not enjoyed by others or by all; special enjoyment of a good, or exemption from an evil or burden; a prerogative; advantage; franchise. He pleads the legal privilege of a Roman. Kettlewell. The privilege birthright was a double portion. Locke. A people inheriting privileges, franchises, and liberties. Burke. 2. (Stockbroker's Cant)  See Call, Put, Spread, etc. Breach of privilege. See under Breach. -- Question of privilege (Parliamentary practice), a question which concerns the security of a member of a legislative body in his special privileges as such. -- Water privilege, the advantage of having machinery driven by a stream, or a place affording such advantage. [ U. S.] -- Writ of privilege (Law), a writ to deliver a privileged person from custody when arrested in a civil suit. Blackstone. Syn. -- Prerogative; immunity; franchise; right; claim; liberty. -- Privilege, Prerogative. Privilege, among the Romans, was something conferred upon an individual by a private law; and hence, it denotes some peculiar benefit or advantage, some right or immunity, not enjoyed by the world at large. Prerogative, among the Romans, was the right of voting first; and, hence, it denotes a right of precedence, or of doing certain acts, or enjoying certain privileges, to the exclusion of others. It is the privilege of a member of Congress not to be called in question elsewhere for words uttered in debate. It is the prerogative of the president to nominate judges and executive officers. It is the privilege of a Christian child to be instructed in the true religion. It is the prerogative of a parent to govern and direct his children.\n\n1. To grant some particular right or exemption to; to invest with a peculiar right or immunity; to authorize; as, to privilege representatives from arrest. To privilege dishonor in thy name. Shak. 2. To bring or put into a condition of privilege or exemption from evil or danger; to exempt; to deliver. He took this place for sanctuary, And it shall privilege him from your hands. Shak.
privileged |Invested with a privilege; enjoying a peculiar right, advantage, or immunity. Privileged communication. (Law) (a) A communication which can not be disclosed without the consent of the party making it, -- such as those made by a client to his legal adviser, or by persons to their religious or medical advisers. (b) A communication which does not expose the party making it to indictment for libel, -- such as those made by persons communicating confidentially with a government, persons consulted confidentially as to the character of servants, etc. -- Privileged debts (Law), those to which a preference in payment is given out of the estate of a deceased person, or out of the estate of an insolvent. Wharton. Burrill. -- Privileged witnesses (Law) witnesses who are not obliged to testify as to certain things, as lawyers in relation to their dealings with their clients, and officers of state as to state secrets; also, by statute, clergymen and physicans are placed in the same category, so far as concerns information received by them professionally.
privily |In a privy manner; privately; secretly. Chaucer. 2 Pet. ii. 1.
privity |1. Privacy; secrecy; confidence. Chaucer. I will unto you, in privity, discover . . . my purpose. Spenser. 2. Private knowledge; joint knowledge with another of a private concern; cognizance implying consent or concurrence. All the doors were laid open for his departure, not without the privity of the Prince of Orange. Swift. 3. A private matter or business; a secret. Chaucer. 4. pl.  The genitals; the privates. 5. (Law)  A connection, or bond of union, between parties, as to some particular transaction; mutual or successive relationship to the same rights of property.
privy |1. Of or pertaining to some person exclusively; assigned to private uses; not public; private; as, the privy purse. \" Privee knights and squires.\" Chaucer. 2. Secret; clandestine. \" A privee thief.\" Chaucer. 3. Appropriated to retirement; private; not open to the public. \" Privy chambers.\" Ezek. xxi. 14. 4. Admitted to knowledge of a secret transaction; secretly cognizant; privately knowing. His wife also being privy to it. Acts v. 2. Myself am one made privy to the plot. Shak. Privy chamber, a private apartment in a royal residence. [Eng.] -- Privy council (Eng. Law), the principal council of the sovereign, composed of the cabinet ministers and other persons chosen by the king or queen. Burrill. -- Privy councilor, a member of the privy council. -- Privy purse, moneys set apart for the personal use of the monarch; also, the title of the person having charge of these moneys. [Eng.] Macaulay. -- Privy seal or signed, the seal which the king uses in grants, etc., which are to pass the great seal, or which the uses in matters of subordinate consequence which do not require the great seal; also, elliptically, the principal secretary of state, or person intrusted with the privy seal. [Eng.] -- Privy verdict, a verdict given privily to the judge out of court; -- now disused. Burrill.\n\n1. (Law)  A partaker; a person having an interest in any action or thing; one who has an interest in an estate created by another; a person having an interest derived from a contract or conveyance to which he is not himself a party. The term, in its proper sense, is distinguished from party. Burrill. Wharton. 2. A necessary house or place; a backhouse.
prizable |Valuable. H. Taylor.
prize |1. That which is taken from another; something captured; a thing seized by force, stratagem, or superior power. I will depart my pris, or may prey, by deliberation. Chaucer. His own prize, Whom formerly he had in battle won. Spenser. 2. Hence, specifically; (a) (Law) Anything captured by a belligerent using the rights of war; esp., property captured at sea in virtue of the rights of war, as a vessel. Kent. Brande & C. (b) An honor or reward striven for in a competitive contest; anything offered to be competed for, or as an inducement to, or reward of, effort. I'll never wrestle for prize more. Shak. I fought and conquered, yet have lost the prize. Dryden. (c) That which may be won by chance, as in a lottery. 3. Anything worth striving for; a valuable possession held or in prospect. I press toward the mark for the prize of the high calling of God in Christ Jesus. Phil. iii. 14. 4. A contest for a reward; competition. [Obs.] Shak. 5. A lever; a pry; also, the hold of a lever. [Written also prise.] Prize court, a court having jurisdiction of all captures made in war on the high seas. Bouvier. -- Prize fight, an exhibition contest, esp. one of pugilists, for a stake or wager. -- Prize fighter, one who fights publicly for a reward; -- applied esp. to a professional boxer or pugilist. Pope. -- Prize fighting, fighting, especially boxing, in public for a reward or wager. -- Prize master, an officer put in charge or command of a captured vessel. -- Prize medal, a medal given as a prize. -- Prize money, a dividend from the proceeds of a captured vessel, etc., paid to the captors. -- Prize ring, the ring or inclosure for a prize fight; the system and practice of prize fighting. -- To make prize of, to capture. Hawthorne.\n\nTo move with a lever; to force up or open; to pry. [Written also prise.]\n\n1. To set or estimate the value of; to appraise; to price; to rate. A goodly price that I was prized at. Zech. xi. 13. I prize it [life] not a straw, but for mine honor. Shak. 2. To value highly; to estimate to be of great worth; to esteem. \"[I] do love, prize, honor you. \" Shak. I prized your person, but your crown disdain. Dryden.\n\nEstimation; valuation. [Obs.] Shak.
prizeman |The winner of a prize.
prizer |One who estimates or sets the value of a thing; an appraiser. Shak.\n\nOne who contends for a prize; a prize fighter; a challenger. [Obs.] Shak. Appeareth no man yet to answer the prizer. B. Jonson.
prizing |The application of a lever to move any weighty body, as a cask, anchor, cannon, car, etc. See Prize, n., 5.
pro |A Latin preposition signifying for, before, forth. Pro confesso Etym: [L.] (Law), taken as confessed. The action of a court of equity on that portion of the pleading in a particular case which the pleading on the other side does not deny. -- Pro rata. Etym: [L. See Prorate.] In proportion; proportion. -- Pro re nata Etym: [L.] (Law), for the existing occasion; as matters are.\n\nFor, on, or in behalf of, the affirmative side; -- in contrast with Ant: con. Pro and con, for and against, on the affirmative and on the negative side; as, they debated the question pro and con; -- formerly used also as a verb. -- Pros and cons, the arguments or reasons on either side.
pro rata |In proportion; proportionately; according to the share, interest, or liability of each.
pro thyalosoma |The investing portion, or spherical envelope, surrounding the eccentric germinal spot of the germinal vesicle.
pro- |A prefix signifying before, in front, forth, for, in behalf of, in place of, according to; as, propose, to place before; proceed, to go before or forward; project, to throw forward; prologue, part spoken before (the main piece); propel, prognathous; provide, to look out for; pronoun, a word instead of a noun; proconsul, a person acting in place of a consul; proportion, arrangement according to parts.
proa |A sailing canoe of the Ladrone Islands and Malay Archipelago, having its lee side flat and its weather side like that of an ordinary boat. The ends are alike. The canoe is long and narrow, and is kept from overturning by a cigar-shaped log attached to a frame extending several feet to windward. It has been called the flying proa, and is the swiftest sailing craft known.
proach |See Approach. [Obs.]
proant |Provender or food. [Obs.] One pease was a soldier's provant a whole day. Beau. & Fl.
proatlas |A vertebral rudiment in front of the atlas in some reptiles.
probabiliorism |The doctrine of the probabiliorists.
probabiliorist |One who holds, in opposition to the probabilists, that a man is bound to do that which is most probably right.
probabilism |The doctrine of the probabilists.
probabilist |1. One who maintains that certainty is impossible, and that probability alone is to govern our faith and actions. 2. (Casuistry)  One who maintains that a man may do that which has a probability of being right, or which is inculcated by teachers of authority, although other opinions may seem to him still more probable.
probability |1. The quality or state of being probable; appearance of reality or truth; reasonable ground of presumption; likelihood. Probability is the appearance of the agreement or disagreement of two ideas, by the intervention of proofs whose connection is not constant, but appears for the most part to be so. Locke. 2. That which is or appears probable; anything that has the appearance of reality or truth. The whole life of man is a perpetual comparison of evidence and balancing of probabilities. Buckminster. We do not call for evidence till antecedent probabilities fail. J. H. Newman. 3. (Math.)  Likelihood of the occurrence of any event in the doctrine of chances, or the ratio of the number of favorable chances to the whole number of chances, favorable and unfavorable. See 1st Chance, n., 5. Syn. -- Likeliness; credibleness; likelihood; chance.
probable |1. Capable of being proved. [Obs.] 2. Having more evidence for than against; supported by evidence which inclines the mind to believe, but leaves some room for doubt; likely. That is accounted probable which has better arguments producible for it than can be brought against it. South. I do not say that the principles of religion are merely probable; I have before asserted them to be morally certain. Bp. Wilkins. 3. Rendering probable; supporting, or giving ground for, belief, but not demonstrating; as, probable evidence; probable presumption. Blackstone. Probable cause (Law), a reasonable ground of presumption that a charge is, or my be, well founded. -- Probable error (of an observation, or of the mean of a number), that within which, taken positively and negatively, there is an even chance that the real error shall lie. Thus, if 3\" is the probable error in a given case, the chances that the real error is greater than 3\" are equal to the chances that it is less. The probable error is computed from the observations made, and is used to express their degree of accuracy. -- The probable, that which is within the bounds of probability; that which is not unnatural or preternatural; -- opposed to the marvelous.
probably |In a probable manner; in likelihood. Distinguish between what may possibly and what will probably be done. L'Estrange.
probacy |Proof; trial. [Obs.] Chaucer.
probal |Approved; probable. [Obs.] Shak.
probality |Probability. [Obs.] \"With as great probality.\" Holland.
probang |A slender elastic rod, as of whalebone, with a sponge on the end, for removing obstructions from the esophagus, etc.
probate |1. Proof. [Obs.] Skelton. 2. (Law) (a) Official proof; especially, the proof before a competent officer or tribunal that an instrument offered, purporting to be the last will and testament of a person deceased, is indeed his lawful act; the copy of a will proved, under the seal of the Court of Probate, delivered to the executors with a certificate of its having been proved. Bouvier. Burrill. (b) The right or jurisdiction of proving wills.\n\nOf or belonging to a probate, or court of probate; as, a probate record. Probate Court, or Court of Probate, a court for the probate of wills. -- Probate duty, a government tax on property passing by will. [Eng.]\n\nTo obtain the official approval of, as of an instrument purporting to be the last will and testament; as, the executor has probated the will.
probation |1. The act of proving; also, that which proves anything; proof. [Obs.] When by miracle God dispensed great gifts to the laity, . . . he gave probation that he intended that all should prophesy and preach. Jer. Taylor. 2. Any proceeding designed to ascertain truth, to determine character, qualification, etc.; examination; trial; as, to engage a person on probation. Hence, specifically: (a) The novitiate which a person must pass in a convent, to probe his or her virtue and ability to bear the severities of the rule. (b) The trial of a ministerial candidate's qualifications prior to his ordination, or to his settlement as a pastor. (c) Moral trial; the state of man in the present life, in which he has the opportunity of proving his character, and becoming qualified for a happier state. No [view of human life] seems so reasonable as that which regards it as a state of probation. Paley.
probational |Probationary.
probationary |Of or pertaining to probation; serving for trial. To consider this life . . . as a probationary state. Paley.
probationer |1. One who is undergoing probation; one who is on trial; a novice. While yet a young probationer, And candidate of heaven. Dryden. 2. A student in divinity, who, having received certificates of good morals and qualifications from his university, is admitted to several trials by a presbytery, and, on acquitting himself well, is licensed to preach. [Scot.]
probationership |The state of being a probationer; novitiate. Locke.
probationship |A state of probation.
probative |Serving for trial or proof; probationary; as, probative judgments; probative evidence. South.
probator |1. An examiner; an approver. Maydman. 2. (O. Eng. Law)  One who, when indicted for crime, confessed it, and accused others, his accomplices, in order to obtain pardon; a state's evidence.
probatory |1. Serving for trial; probationary. Abp. Bramhall. 2. Pertaining to, or serving for, proof. Jer. Taylor. Probatory term (Law), a time for taking testimony.
probe |1. To examine, as a wound, an ulcer, or some cavity of the body, with a probe. 2. Fig.: to search to the bottom; to scrutinize or examine thoroughly. Dryden. The growing disposition to probe the legality of all acts, of the crown. Hallam.\n\nAn instrument for examining the depth or other circumstances of a wound, ulcer, or cavity, or the direction of a sinus, of for exploring for bullets, for stones in the bladder, etc. Parr. Probe, or Probe-pointed, scissors (Surg.), scissors used to open wounds, the blade of which, to be thrust into the orifice, has a button at the end. Wiseman.
probe-pointed |Having a blunt or button-shaped extremity; -- said of cutting instruments.
probeagle |See Porbeagle.
probity |Tried virtue or integrity; approved moral excellence; honesty; rectitude; uprightness. \"Probity of mind.\" Pope. Syn. -- Probity, Integrity. Probity denotes unimpeachable honesty and virtue, shown especially by the performance of those obligations, called imperfect, which the laws of the state do not reach, and can not enforce. Integrity denotes a whole-hearted honesty, and especially that which excludes all injustice that might favor one's self. It has a peculiar reference to uprightness in mutual dealings, transfer of property, and the execution of trusts for others.
problem |1. A question proposed for solution; a matter stated for examination or proof; hence, a matter difficult of solution or settlement; a doubtful case; a question involving doubt. Bacon. 2. (Math.)  Anything which is required to be done; as, in geometry, to bisect a line, to draw a perpendicular; or, in algebra, to find an unknown quantity. Note: Problem differs from theorem in this, that a problem is something to be done, as to bisect a triangle, to describe a circle, etc.; a theorem is something to be proved, as that all the angles of a triangle are equal to two right angles. Plane problem (Geom.), a problem that can be solved by the use of the rule and compass. -- Solid problem (Geom.), a problem requiring in its geometric solution the use of a conic section or higher curve.
problematic |Having the nature of a problem; not shown in fact; questionable; uncertain; unsettled; doubtful. -- Prob`lem*at\"ic*al*ly, adv. Diligent inquiries into remote and problematical guilt leave a gate wide open to . . . informers. Swift.
problematical |Having the nature of a problem; not shown in fact; questionable; uncertain; unsettled; doubtful. -- Prob`lem*at\"ic*al*ly, adv. Diligent inquiries into remote and problematical guilt leave a gate wide open to . . . informers. Swift.
problematist |One who proposes problems. [R.] Evelyn.
problematize |To propose problems. [R.] \"Hear him problematize.\" B. Jonson.
proboscidate |Having a proboscis; proboscidial.
proboscidea |An order of large mammal
proboscidean |Proboscidian.
proboscidial |Proboscidate.
proboscidian |Pertaining to the Proboscidea. -- n.  One of the Proboscidea.
proboscidifera |1. (Zoöl.)  An extensive division of pectinibranchiate gastropods, including those that have a long retractile proboscis, with the mouth at the end, as the cones, whelks, tritons, and cowries. See Illust. of Gastropoda, and of Winkle. 2. (Zoöl.)  A subdivision of the tænioglossate gastropods, including the fig-shells (Pyrula), the helmet shells (Cassis), the tritons, and allied genera.
proboscidiform |Having the form or uses of a proboscis; as, a proboscidiform mouth.
proboscis |1. (Zoöl.)  A hollow organ or tube attached to the head, or connected with the mouth, of various animals, and generally used in taking food or drink; a snout; a trunk. Note: The proboscis of an elephant is a flexible muscular elongation of the nose. The proboscis of insects is usually a chitinous tube formed by the modified maxillæ, or by the labium. See Illusts. of Hemiptera and Lepidoptera. 2. (Zoöl.)  By extension, applied to various tubelike mouth organs of the lower animals that can be everted or protruded. Note: The proboscis of annelids and of mollusks is usually a portion of the pharynx that can be everted or protruded. That of nemerteans is a special long internal organ, not connected with the mouth, and not used in feeding, but capable of being protruded from a pore in the head. See Illust. in Appendix. 3. The nose. [Jocose] Proboscis monkey. (Zoöl.) See Kahau.
procacious |Pert; petulant; forward; saucy. [R.] Barrow.
procacity |Forwardness; pertness; petulance. [R.] Burton.
procambium |The young tissue of a fibrovascular bundle before its component cells have begun to be differentiated. Sachs.
procatarctic |Beginning; predisposing; exciting; initial. [Obs.] Note: The words procatarctic causes have been used with different significations. Thus they have been employed synonymously with prime causes, exciting causes, and predisposing or remote causes. The physician inquires into the procatarctic causes. Harvey.
procatarxis |The kindling of a disease into action; also, the procatarctic cause. Quincy.
procedendo |(a) A writ by which a cause which has been removed on insufficient grounds from an inferior to a superior court by certiorari, or otherwise, is sent down again to the same court, to be proceeded in there. (b) In English practice, a writ issuing out of chancery in cases where the judges of subordinate courts delay giving judgment, commanding them to proceed to judgment. (c) A writ by which the commission of the justice of the peace is revived, after having been suspended. Tomlins. Burrill.
procedure |1. The act or manner of proceeding or moving forward; progress; process; operation; conduct. \"The true procedure of conscience.\" South. 2. A step taken; an act performed; a proceeding; the steps taken in an action or other legal proceeding. \"Gracious procedures.\" I. Taylor. 3. That which results; issue; product. [Obs.] Bacon.
proceed |1. To move, pass, or go forward or onward; to advance; to continue or renew motion begun; as, to proceed on a journey. If thou proceed in this thy insolence. Shak. 2. To pass from one point, topic, or stage, to another; as, to proceed with a story or argument. 3. To issue or come forth as from a source or origin; to come from; as, light proceeds from the sun. I proceeded forth and came from God. John viii. 42. It proceeds from policy, not love. Shak. 4. To go on in an orderly or regulated manner; to begin and carry on a series of acts or measures; to act by method; to prosecute a design. He that proceeds upon other principles in his inquiry. Locke. 5. To be transacted; to take place; to occur. [Obs.] He will, after his sour fashion, tell you What hath proceeded worthy note to-day. Shak. 6. To have application or effect; to operate. This rule only proceeds and takes place when a person can not of common law condemn another by his sentence. Ayliffe. 7. (Law)  To begin and carry on a legal process. Syn. -- To advance; go on; continue; progress; issue; arise; emanate.\n\nSee Proceeds. [Obs.] Howell.
proceeder |One who proceeds.
