brigose |Contentious; quarrelsome. [Obs.] Puller.
bulk |1. Magnitude of material substance; dimensions; mass; size; as, an ox or ship of great bulk. Against these forces there were prepared near one hundred ships; not so great of bulk indeed, but of a more nimble motion, and more serviceable. Bacon. 2. The main mass or body; the largest or principal portion; the majority; as, the bulk of a debt. The bulk of the people must labor, Burke told them, \"to obtain what by labor can be obtained.\" J. Morley. 3. (Naut.)  The cargo of a vessel when stowed. 4. The body. [Obs.] Shak. My liver leaped within my bulk. Turbervile. Barrel bulk. See under Barrel. -- To break bulk (Naut.), to begin to unload or more the cargo. -- In bulk, in a mass; loose; not inclosed in separate packages or divided into separate parts; in such shape that any desired quantity may be taken or sold. -- Laden in bulk, Stowed in bulk, having the cargo loose in the hold or not inclosed in boxes, bales, or casks. -- Sale by bulk, a sale of goods as they are, without weight or measure. Syn. -- Size; magnitude; dimension; volume; bigness; largeness; massiveness.\n\nTo appear or seem to be, as to bulk or extent; to swell. The fame of Warburton possibly bulked larger for the moment. Leslie Stephen.\n\nA projecting part of a building. [Obs.] Here, stand behind this bulk. Shak.
bulker |A person employed to ascertain the bulk or size of goods, in order to fix the amount of freight or dues payable on them.
bulkhead |1. (Naut.)  A partition in a vessel, to separate apartments on the same deck. 2. A structure of wood or stone, to resist the pressure of earth or water; a partition wall or structure, as in a mine; the limiting wall along a water front. Bulked line, a line beyond which a wharf must not project; -- usually, the harbor line.
bulkiness |Greatness in bulk; size.
bulky |Of great bulk or dimensions; of great size; large; thick; massive; as, bulky volumes. A bulky digest of the revenue laws. Hawthorne.
bull |1. (Zoöl.)  The male of any species of cattle (Bovidæ); hence, the male of any large quadruped, as the elephant; also, the male of the whale. Note: The wild bull of the Old Testament is thought to be the oryx, a large species of antelope. 2. One who, or that which, resembles a bull in character or action. Ps. xxii. 12. 3. (Astron.) (a) Taurus, the second of the twelve signs of the zodiac. (b) A constellation of the zodiac between Aries and Gemini. It contains the Pleiades. At last from Aries rolls the bounteous sun, And the bright Bull receives him. Thomson. 4. (Stock Exchange)  One who operates in expectation of a rise in the price of stocks, or in order to effect such a rise. See 4th Bear, n., 5. Bull baiting, the practice of baiting bulls, or rendering them furious, as by setting dogs to attack them. -- John Bull, a humorous name for the English, collectively; also, an Englishman. \"Good-looking young John Bull.\" W. D.Howells. -- To take the bull by the horns, to grapple with a difficulty instead of avoiding it.\n\nOf or pertaining to a bull; resembling a bull; male; large; fierce. Bull bat (Zoöl.), the night hawk; -- so called from the loud noise it makes while feeding on the wing, in the evening. -- Bull calf. (a) A stupid fellow. -- Bull mackerel (Zoöl.), the chub mackerel. -- Bull pump (Mining), a direct single-acting pumping engine, in which the steam cylinder is placed above the pump. -- Bull snake (Zoöl.), the pine snake of the United States. -- Bull stag, a castrated bull. See Stag. -- Bull wheel, a wheel, or drum, on which a rope is wound for lifting heavy articles, as logs, the tools in well boring, etc.\n\nTo be in heat; to manifest sexual desire as cows do. [Colloq.]\n\nTo endeavor to raise the market price of; as, to bull railroad bonds; to bull stocks; to bull Lake Shore; to endeavor to raise prices in; as, to bull the market. See 1st Bull, n., 4.\n\n1. A seal. See Bulla. 2. A letter, edict, or respect, of the pope, written in Gothic characters on rough parchment, sealed with a bulla, and dated \"a die Incarnationis,\" i. e., \"from the day of the Incarnation.\" See Apostolical brief, under Brief. A fresh bull of Leo's had declared how inflexible the court of Rome was in the point of abuses. Atterbury. 3. A grotesque blunder in language; an apparent congruity, but real incongruity, of ideas, contained in a form of expression; so called, perhaps, from the apparent incongruity between the dictatorial nature of the pope's bulls and his professions of humility. And whereas the papist boasts himself to be a Roman Catholic, it is a mere contradiction, one of the pope's bulls, as if he should say universal particular; a Catholic schimatic. Milton. The Golden Bull, an edict or imperial constitution made by the emperor Charles IV. (1356), containing what became the fundamental law of the German empire; -- so called from its golden seal. Syn. -- See Blunder.
bull brier |A species of Smilax (S. Pseudo-China) growing from New Jersey to the Gulf of Mexico, which has very large tuberous and farinaceous rootstocks, formerly used by the Indians for a sort of bread, and by the negroes as an ingredient in making beer; -- called also bamboo brier and China brier.
bull fly |Any large fly troublesome to cattle, as the gadflies and breeze flies.
bull moose |(a) A follower of Theodore Roosevelt in the presidential campaign of 1912; -- a sense said to have originated from a remark made by Roosevelt on a certain occasion that he felt \"like a bull moose.\" [Cant] (b) The figure of a bull moose used as the party symbol of the Progressive party in the presidential campaign of 1912. -- Bull Mooser. [Cant]
bull terrier |A breed of dogs obtained by crossing the bulldog and the terrier.
bull trout |(a) In England, a large salmon trout of several species, as Salmo trutta and S. Cambricus, which ascend rivers; -- called also sea trout. (b) Salvelinus malma of California and Oregon; -- called also Dolly Varden trout and red-spotted trout. (c) The huso or salmon of the Danube.
bull-necked |Having a short and thick neck like that of a bull. Sir W. Scott.
bull-roarer |A contrivance consisting of a slat of wood tied to the end of a thong or string, with which the slat is whirled so as to cause an intermittent roaring noise. It is used as a toy, and among some races in certain religious rites. BULL'S-EYE Bull's\"-eye`, n. 1. (Naut.)  A small circular or oval wooden block without sheaves, having a groove around it and a hole through it, used for connecting rigging. 2. A small round cloud, with a ruddy center, supposed by sailors to portend a storm. 3. A small thick disk of glass inserted in a deck, roof, floor, ship's side, etc., to let in light. 4. A circular or oval opening for air or light. 5. A lantern, with a thick glass lens on one side for concentrating the light on any object; also, the lens itself. Dickens. 6. (Astron.)  Aldebaran, a bright star in the eye of Taurus or the Bull. 7. (Archery & Gun.)  The center of a target. 8. A thick knob or protuberance left on glass by the end of the pipe through which it was blown. 9. A small and thick old-fashioned watch. [Colloq.] BULL'S-NOSE Bull's\"-nose`, n. (Arch.)  An external angle when obtuse or rounded.
bulla |1. (Med.)  A bleb; a vesicle, or an elevation of the cuticle, containing a transparent watery fluid. 2. (Anat.)  The ovoid prominence below the opening of the ear in the skulls of many animals; as, the tympanic or auditory bulla. 3. A leaden seal for a document; esp. the round leaden seal attached to the papal bulls, which has on one side a representation of St. Peter and St. Paul, and on the other the name of the pope who uses it. 4. (Zoöl.)  A genus of marine shells. See Bubble shell.
bullace |(a) A small European plum (Prunus communis, var. insitita). See Plum. (b) The bully tree.
bullantic |Pertaining to, or used in, papal bulls. Fry. Bullantic letters, Gothic letters used in papal bulls.
bullary |A collection of papal bulls.\n\nA place for boiling or preparating salt; a boilery. Crabb. And certain salt fats or bullaries. Bills in Chancery.
bullate |Appearing as if blistered; inflated; puckered. Bullate leaf (Bot.), a leaf, the membranous part of which rises between the veins puckered elevations convex on one side and concave on the other.
bullbeggar |Something used or suggested to produce terror, as in children or persons of weak mind; a bugbear. And being an ill-looked fellow, he has a pension from the church wardens for being bullbeggar to all the forward children in the parish. Mountfort (1691).
bullcomber |A scaraboid beetle; esp. the Typhæus vulgaris of Europe.
bulldog |1. (Zoöl.)  A variety of dog, of remarkable ferocity, courage, and tenacity of grip; -- so named, probably, from being formerly employed in baiting bulls. 2. (Metal.)  A refractory material used as a furnace lining, obtained by calcining the cinder or slag from the puddling furnace of a rolling mill.\n\nCharacteristic of, or like, a bulldog; stubborn; as, bulldog courage; bulldog tenacity. Bulldog bat (zo'94l.), a bat of the genus Nyctinomus; -- so called from the shape of its face.
bulldoze |To intimidate; to restrain or coerce by intimidation or violence; -- used originally of the intimidation of negro voters, in Louisiana. [Slang, U.S.]
bulldozer |One who bulldozes. [Slang]
bulled |Swollen. [Obs.]
bullen-bullen |The lyre bird.
bullen-nail |A nail with a round head and short shank, tinned and lacquered.
bullet |1. A small ball. 2. A missile, usually of lead, and round or elongated in form, to be discharged from a rifle, musket, pistol, or other small firearm. 3. A cannon ball. [Obs.] A ship before Greenwich . . . shot off her ordnance, one piece being charged with a bullet of stone. Stow. 4. The fetlock of a horse. Note: [See Illust. under Horse.]
bullet-proof |Capable of resisting the force of a bullet. Bullet tree. See Bully tree. -- Bullet wood, the wood of the bullet tree.
bulletin |1. A brief statement of facts respecting some passing event, as military operations or the health of some distinguished personage, issued by authority for the information of the public. 2. Any public notice or announcement, especially of news recently received. 3. A periodical publication, especially one containing the proceeding of a society. Bulletin board, a board on which announcements are put, particularly at newsrooms, newspaper offices, etc.
bullfaced |Having a large face.
bullfeast |See Bullfight. [Obs.]
bullfice |A kind of fungus. See Puffball.
bullfight |A barbarous sport, of great antiquity, in which men torment, and fight with, a bull or bulls in an arena, for public amusement, -- still popular in Spain. -- Bull\"fight`er (, n.
bullfighting |A barbarous sport, of great antiquity, in which men torment, and fight with, a bull or bulls in an arena, for public amusement, -- still popular in Spain. -- Bull\"fight`er (, n.
bullfinch |A bird of the genus Pyrrhula and other related genera, especially the P. vulgaris or rubicilla, a bird of Europe allied to the grosbeak, having the breast, cheeks, and neck, red. Note: As a cage bird it is highly valued for its remarkable power of learning to whistle correctly various musical airs. Crimson-fronted bullfinch. (Zoöl.) See Burion. -- Pine bullfinch, the pine finch.
bullfist |A kind of fungus. See Puffball.
bullfly |Any large fly troublesome to cattle, as the gadflies and breeze flies.
bullfrog |A very large species of frog (Rana Catesbiana), found in North America; -- so named from its loud bellowing in spring.
bullhead |1. (Zoöl.) (a) A fresh-water fish of many species, of the genus Uranidea, esp. U. gobio of Europe, and U. Richardsoni of the United States; -- called also miller's thumb. (b) In America, several species of Amiurus; -- called also catfish, horned pout, and bullpout. (c) A marine fish of the genus Cottus; the sculpin. 2. (Zoöl.) (a) The black-bellied plover (Squatarola helvetica); -- called also beetlehead. (b) The golden plover. 3. A stupid fellow; a lubber. [Colloq.] Jonson. 4. (Zoöl.)  A small black water insect. E. Phillips. Bullhead whiting (Zoöl.), the kingfish of Florida (Menticirrus alburnus).
bullheaded |Having a head like that of a bull. Fig.: Headstrong; obstinate; dogged.
bullion |1. Uncoined gold or silver in the mass. Note: Properly, the precious metals are called bullion, when smelted and not perfectly refined, or when refined, but in bars, ingots or in any form uncoined, as in plate. The word is often often used to denote gold and silver, both coined and uncoined, when reckoned by weight and in mass, including especially foreign, or uncurrent, coin. 2. Base or uncurrent coin. [Obs.] And those which eld's strict doom did disallow, And damm for bullion, go for current now. Sylvester. 3. Showy metallic ornament, as of gold, silver, or copper, on bridles, saddles, etc. [Obs.] The clasps and bullions were worth a thousand pound. Skelton. 4. Heavy twisted fringe, made of fine gold or silver wire and used for epaulets; also, any heavy twisted fringe whose cords are prominent.
bullionist |An advocate for a metallic currency, or a paper currency always convertible into gold.
bullirag |To intimidate by bullying; to rally contemptuously; to badger. [Low]
bullish |Partaking of the nature of a bull, or a blunder. Let me inform you, a toothless satire is as improper as a toothed sleek stone, and as bullish. Milton.
bullist |A writer or drawer up of papal bulls. [R.] Harmar.
bullition |The action of boiling; boiling. [Obs.] See Ebullition. Bacon.
bullock |1. A young bull, or any male of the ox kind. Take thy father's young bullock, even the second bullock of seven years old. Judges vi. 25. 2. An ox, steer, or stag.\n\nTo bully. [Obs.] She shan't think to bullock and domineer over me. Foote. BULLOCK'S-EYE Bul\"lock's-eye`, n.  See Bull's-eye, 3.
bullon |A West Indian fish (Scarus Croicensis).
bullpout |See Bullhead, 1 (b).
bullweed |Knapweed. Prior.
