sigillative |Fit to seal; belonging to a seal; composed of wax. [R.]
siscowet |A large, fat variety of the namaycusa found in Lake Superior; - - called also siskawet, siskiwit.
sise |An assize. [Obs.]\n\nSix; the highest number on a die; the cast of six in throwing dice. In the new casting of a die, when ace is on the top, sise must needs be at the bottom. Fuller.
sisel |The suslik.
siser |Cider. See Sicer. [Obs.] Chaucer.
siserara |A hard blow. [Prov. Eng.] Halliwell.
siserary |A hard blow. [Prov. Eng.] Halliwell.
siskin |(a) A small green and yellow European finch (Spinus spinus, or Carduelis spinus); -- called also aberdevine. (b) The American pinefinch (S. pinus); -- called also pine siskin. See Pinefinch. Note: The name is applied also to several other related species found in Asia and South America. Siskin green, a delicate shade of yellowish green, as in the mineral torbernite.
siskiwit |The siscowet.
sismograph |See Seismograph.
sismometer |See Seismometer.
siss |To make a hissing sound; as, a flatiron hot enough to siss when touched with a wet finger. [Colloq. U. S.; Local, Eng.]\n\nA hissing noise. [Colloq. U. S.]
sissoo |A leguminous tree (Dalbergia Sissoo) of the northern parts of India; also, the dark brown compact and durable timber obtained from it. It is used in shipbuilding and for gun carriages, railway ties, etc.
sist |1. (Scots Law)  To stay, as judicial proceedings; to delay or suspend; to stop. 2. To cause to take a place, as at the bar of a court; hence, to cite; to summon; to bring into court. [Scot.] Some, however, have preposterously sisted nature as the first or generative principle. Sir W. Hamilton.\n\nA stay or suspension of proceedings; an order for a stay of proceedings. Burril.
sister |1. A female who has the same parents with another person, or who has one of them only. In the latter case, she is more definitely called a half sister. The correlative of brother. I am the sister of one Claudio. Shak. 2. A woman who is closely allied to, or assocciated with, another person, as in the sdame faith, society, order, or community. James ii. 15. 3. One of the same kind, or of the same condition; -- generally used adjectively; as, sister fruits. Pope. Sister Block (Naut.), a tackle block having two sheaves, one above the other. -- Sister hooks, a pair of hooks fitted together, the shank of one forming a mousing for the other; -- called also match hook. -- Sister of charity, Sister of mercy. (R. C. Ch.) See under Charity, and Mercy.\n\nTo be sister to; to resemble closely. [Obs.] Shak.
sister-in-law |The sister of one's husband or wife; also, the wife of one's brother; sometimes, the wife of one's husband's or wife's brother.
sisterhood |1. The state or relation of being a sister; the office or duty of a sister. She . . . abhorr'd Her proper blood, and left to do the part Of sisterhood, to do that of a wife. Daniel. 2. A society of sisters; a society of women united in one faith or order; sisters, collectively. \"A sisterhood of holy nuns.\" Shak. The fair young flowers . . . a beauteous sisterhood. Bryant.
sistering |Contiguous. [Obs.] Shak.
sisterly |Like a sister; becoming a sister, affectionate; as, sisterly kindness; sisterly remorse. Shak.
sistine |Of or pertaining to Pope Sixtus. Sistine chapel, a chapel in the Vatican at Rome, built by Pope Sixtus IV., and decorated with frescoes by Michael Angelo and others.
sistren |Sisters. [Obs.] Chaucer.
sistrum |An instrument consisting of a thin metal frame, through which passed a number of metal rods, and furnished with a handle by which it was shaken and made to rattle. It was peculiarly Egyptian, and used especially in the worship of Isis. It is still used in Nubia.
sisyphean |Relating to Sisyphus; incessantly recurring; as, Sisyphean labors.
sisyphus |A king of Corinth, son of Æolus, famed for his cunning. He was killed by Theseus, and in the lower world was condemned by Pluto to roll to the top of a hill a huge stone, which constantly rolled back again, making his task incessant.
sit |obs. 3d pers. sing. pres. of Sit, for sitteth.\n\n1. To rest upon the haunches, or the lower extremity of the trunk of the body; -- said of human beings, and sometimes of other animals; as, to sit on a sofa, on a chair, or on the ground. And he came and took the book put of the right hand of him that sate upon the seat. Bible (1551) (Rev. v. 7.) I pray you, jest, sir, as you sit at dinner. Shak. 2. To perch; to rest with the feet drawn up, as birds do on a branch, pole, etc. 3. To remain in a state of repose; to rest; to abide; to rest in any position or condition. And Moses said to . . . the children of Reuben, Shall your brothren go to war, and shall ye sit here Num. xxxii. 6. Like a demigod here sit I in the sky. Shak. 4. To lie, rest, or bear; to press or weigh; -- with on; as, a weight or burden sits lightly upon him. The calamity sits heavy on us. Jer. Taylor. 5. To be adjusted; to fit; as, a coat sts well or ill. This new and gorgeous garment, majesty, Sits not so easy on me as you think. Shak. 6. To suit one well or ill, as an act; to become; to befit; -- used impersonally. [Obs.] Chaucer. 7. To cover and warm eggs for hatching, as a fowl; to brood; to incubate. As the partridge sitteth on eggs, and hatcheth them not. Jer. xvii. 11. 8. To have position, as at the point blown from; to hold a relative position; to have direction. Like a good miller that knows how to grind, which way soever the wind sits. Selden. Sits the wind in that quarter Sir W. Scott. 9. To occupy a place or seat as a member of an official body; as, to sit in Congress. 10. To hold a session; to be in session for official business; -- said of legislative assemblies, courts, etc.; as, the court sits in January; the aldermen sit to-night. 11. To take a position for the purpose of having some artistic representation of one's self made, as a picture or a bust; as, to sit to a painter. To sit at, to rest under; to be subject to. [Obs.] \"A farmer can not husband his ground so well if he sit at a great rent\". Bacon. -- To sit at meat or at table, to be at table for eating. -- To sit down. (a) To place one's self on a chair or other seat; as, to sit down when tired. (b) To begin a siege; as, the enemy sat down before the town. (c) To settle; to fix a permanent abode. Spenser. (d) To rest; to cease as satisfied. \"Here we can not sit down, but still proceed in our search.\" Rogers. -- To sit for a fellowship, to offer one's self for examination with a view to obtaining a fellowship. [Eng. Univ.] -- To sit out. (a) To be without engagement or employment. [Obs.] Bp. Sanderson. (b) To outstay. -- To sit under, to be under the instruction or ministrations of; as, to sit under a preacher; to sit under good preaching. -- To sit up, to rise from, or refrain from, a recumbent posture or from sleep; to sit with the body upright; as, to sit up late at night; also, to watch; as, to sit up with a sick person. \"He that was dead sat up, and began to speak.\" Luke vii. 15.\n\n1. To sit upon; to keep one's seat upon; as, he sits a horse well. Hardly the muse can sit the headstrong horse. Prior. 2. To cause to be seated or in a sitting posture; to furnish a seat to; -- used reflexively. They sat them down to weep. Milton. Sit you down, father; rest you. Shak. 3. To suit (well or ill); to become. [Obs. or R.]
site |1. The place where anything is fixed; situation; local position; as, the site of a city or of a house. Chaucer. 2. A place fitted or chosen for any certain permanent use or occupation; as, a site for a church. 3. The posture or position of a thing. [R.] The semblance of a lover fixed In melancholy site. Thomson.
sited |Having a site; situated. [Obs.] [The garden] sited was in fruitful soil. Chaucer.
sitfast |Fixed; stationary; immovable. [R.] 'T is good, when you have crossed the sea and back, To find the sitfast acres where you left them. Emerson.\n\nA callosity with inflamed edges, on the back of a horse, under the saddle.
sith |Since; afterwards; seeing that. [Obs.] We need not fear them, sith Christ is with us. Latimer. Sith thou art rightful judge. Chaucer.\n\nTime. [Obs.] Chaucer. And humbly thanked him a thousand sithes. Spenser.
sithe |Time. [Obs.] Chaucer. And humbly thanked him a thousand sithes. Spenser.\n\nTo sigh. Note: [A spelling of a corrupt and provincial pronunciation.]\n\nA scythe. [Obs.] Milton.\n\nTo cut with a scythe; to scythe. [Obs.]
sithed |Scythed. [Obs.] T. Warton.
sitheman |A mower. [Obs.] Marston.
sithen |Since; afterwards. See 1st Sith. [Obs.] Fortune was first friend and sithen foe. Chaucer.
sithence |Since. See Sith, and Sithen. [Obs.] Piers Plowman.
sithens |Since. See Sith, and Sithen. [Obs.] Piers Plowman.
siththen |See Sithen. [Obs.] Siththen that the world began. Chaucer.
sitology |A treatise on the regulation of the diet; dietetics. [Written also sitiology.]
sitophobia |A version to food; refusal to take nourishment. [Written also sitiophobia.]
sitten |p. p. of Sit, for sat.
sitter |1. One who sits; esp., one who sits for a portrait or a bust. 2. A bird that sits or incubates.
sittine |Of or pertaining to the family Sittidæ, or nuthatches.
sitting |Being in the state, or the position, of one who, or that which, sits.\n\n1. The state or act of one who sits; the posture of one who occupies a seat. 2. A seat, or the space occupied by or allotted for a person, in a church, theater, etc.; as, the hall has 800 sittings. 3. The act or time of sitting, as to a portrait painter, photographer, etc. 4. The actual presence or meeting of any body of men in their seats, clothed with authority to transact business; a session; as, a sitting of the judges of the King's Bench, or of a commission. The sitting closed in great agitation. Macaulay. 5. The time during which one sits while doing something, as reading a book, playing a game, etc. For the understanding of any one of St. Paul's Epistles I read it all through at one sitting. Locke. 6. A brooding over eggs for hatching, as by fowls. The male bird . . . amuses her [the female] with his songs during the whole time of her sitting. Addison. Sitting room, an apartment where the members of a family usually sit, as distinguished from a drawing-room, parlor, chamber, or kitchen.
situate |1. Having a site, situation, or location; being in a relative position; permanently fixed; placed; located; as, a town situated, or situate, on a hill or on the seashore. 2. Placed; residing. Pleasure situate in hill and dale. Milton. Note: Situate is now less used than situated, but both are well authorized.\n\nTo place. [R.] Landor.
situated |1. Having a site, situation, or location; being in a relative position; permanently fixed; placed; located; as, a town situated, or situate, on a hill or on the seashore. 2. Placed; residing. Pleasure situate in hill and dale. Milton. Note: Situate is now less used than situated, but both are well authorized.
situation |1. Manner in which an object is placed; location, esp. as related to something else; position; locality site; as, a house in a pleasant situation. 2. Position, as regards the conditions and circumstances of the case. A situation of the greatest ease and tranquillity. Rogers. 3. Relative position; circumstances; temporary state or relation at a moment of action which excites interest, as of persons in a dramatic scene. There's situation for you! there's an heroic group! Sheridan. 4. Permanent position or employment; place; office; as, a situation in a store; a situation under government. Syn. -- State; position; seat; site; station; post; place; office; condition; case; plight. See State.
situs |The method in which the parts of a plant are arranged; also, the position of the parts. Henslow.
sitz bath |A tub in which one bathes in a sitting posture; also, a bath so taken; a hip bath.
siva |One of the triad of Hindoo gods. He is the avenger or destroyer, and in modern worship symbolizes the reproductive power of nature.
sivan |The third month of the Jewish ecclesiastical year; -- supposed to correspond nearly with our month of June.
sivatherium |A genus of very large extinct ruminants found in the Tertiary formation of India. The snout was prolonged in the form of a proboscis. The male had four horns, the posterior pair being large and branched. It was allied to the antelopes, but very much larger than any exsisting species.
siver |To simmer. [Obs.] Holland.
sivvens |See Sibbens.
siwin |Same as Sewen.
six |One more than five; twice three; as, six yards. Six Nations (Ethnol.), a confederation of North American Indians formed by the union of the Tuscaroras and the Five Nations. -- Six points circle. (Geom.) See Nine points circle, under Nine.\n\n1. The number greater by a unit than five; the sum of three and three; six units or objects. 2. A symbol representing six units, as 6, vi., or VI. To be at six and seven or at sixes and sevens, to be in disorder. Bacon. Shak. Swift.
six-footer |One who is six feet tall. [Colloq. U.S.]
six-shooter |A pistol or other firearm which can be fired six times without reloading especially, a six-chambered revolver. [Colloq. U.S.]
sixfold |Six times repeated; six times as much or as many.
sixpence |An English silver coin of the value of six pennies; half a shilling, or about twelve cents.
sixpenny |Of the value of, or costing, sixpence; as, a sixpenny loaf.
sixscore |Six times twenty; one hundred and twenty.
sixteen |Six and ten; consisting of six and ten; fifteen and one more.\n\n1. The number greater by a unit than fifteen; the sum of ten and six; sixteen units or objects. 2. A symbol representing sixteen units, as 16, or xvi.
sixteenmo |See Sextodecimo.
sixteenth |1. Sixth after the tenth; next in order after the fifteenth. 2. Constituting or being one of sixteen equal parts into which anything is divided. Sixteenth note (Mus.), the sixteenth part of a whole note; a semiquaver.\n\n1. The quotient of a unit divided by sixteen; one of sixteen equal parts of one whole. 2. The next in order after the fifteenth; the sixth after the tenth. 3. (Mus.)  An interval comprising two octaves and a second. Moore (Encyc. of Music.)
sixth |1. First after the fifth; next in order after the fifth. 2. Constituting or being one of six equal parts into which anything is divided.\n\n1. The quotient of a unit divided by six; one of six equal parts which form a whole. 2. The next in order after the fifth. 3. (Mus.)  The interval embracing six diatonic degrees of the scale.
sixthly |In the sixth place. Bacon.
sixtieth |1. Next in order after the fifty-ninth. 2. Constituting or being one one of sixty equal parts into which anything is divided.\n\n1. The quotient of a unit divided by sixty; one of sixty equal parts forming a whole. 2. The next in order after the fifty-ninth; the tenth after the fiftieth.
sixty |Six times ten; fifty-nine and one more; threescore.\n\n1. The sum of six times ten; sixty units or objects. 2. A symbol representing sixty units, as 60, lx., or LX.
sixty-fourth |Constituting or being one of sixty-four equal parts into which a thing is divided. Sixty-fourth note (Mus.), the sixty-fourth part of a whole note; a hemi-demi-semiquaver.
sizable |1. Of considerable size or bulk. \"A sizable volume.\" Bp. Hurd. 2. Being of reasonable or suitable size; as, sizable timber; sizable bulk. Arbuthnot.
sizar |One of a body of students in the universities of Cambridge (Eng.) and Dublin, who, having passed a certain examination, are exempted from paying college fees and charges. A sizar corresponded to a servitor at Oxford. The sizar paid nothing for food and tuition, and very little for lodging. Macaulay. Note: They formerly waited on the table at meals; but this is done away with. They were probably so called from being thus employed in distributing the size, or provisions. See 4th Size, 2.
sizarship |The position or standing of a sizar.
size |Six.\n\n1. A thin, weak glue used in various trades, as in painting, bookbinding, paper making, etc. 2. Any viscous substance, as gilder's varnish.\n\nTo cover with size; to prepare with size.\n\n1. A settled quantity or allowance. See Assize. [Obs.] \"To scant my sizes.\" Shak. 2. (Univ. of Cambridge, Eng.)  An allowance of food and drink from the buttery, aside from the regular dinner at commons; -- corresponding to battel at Oxford. 3. Extent of superficies or volume; bulk; bigness; magnitude; as, the size of a tree or of a mast; the size of a ship or of a rock. 4. Figurative bulk; condition as to rank, ability, character, etc.; as, the office demands a man of larger size. Men of a less size and quality. L'Estrange. The middling or lower size of people. Swift. 5. A conventional relative measure of dimension, as for shoes, gloves, and other articles made up for sale. 6. An instrument consisting of a number of perforated gauges fastened together at one end by a rivet, -- used for ascertaining the size of pearls. Knight. Size roll, a small piese of parchment added to a roll. -- Size stick, a measuring stick used by shoemakers for ascertaining the size of the foot. Syn. -- Dimension; bigness; largeness; greatness; magnitude.\n\n1. To fix the standard of. \"To size weights and measures.\" [R.] Bacon. 2. To adjust or arrange according to size or bulk. Specifically: (a) (Mil.) To take the height of men, in order to place them in the ranks according to their stature. (b) (Mining) To sift, as pieces of ore or metal, in order to separate the finer from the coarser parts. 3. To swell; to increase the bulk of. Beau. & Fl. 4. (Mech.)  To bring or adjust anything exactly to a required dimension, as by cutting. To size up, to estimate or ascertain the character and ability of. See 4th Size, 4. [Slang, U.S.] We had to size up our fellow legislators. The Century.\n\n1. To take greater size; to increase in size. Our desires give them fashion, and so, As they wax lesser, fall, as they size, grow. Donne. 2. (Univ. of Cambridge, Eng.)  To order food or drink from the buttery; hence, to enter a score, as upon the buttery book.
sized |1. Adjusted according to size. 2. Having a particular size or magnitude; -- chiefly used in compounds; as, large-sized; common-sized.
sizel |Same as Scissel, 2.
sizer |1. See Sizar. 2. (Mech.) (a) An instrument or contrivance to size articles, or to determine their size by a standard, or to separate and distribute them according to size. (b) An instrument or tool for bringing anything to an exact size.
siziness |The quality or state of being sizy; viscousness.
sizing |1. Act of covering or treating with size. 2. A weak glue used in various trades; size.\n\n1. The act of sorting with respect to size. 2. The act of bringing anything to a certain size. 3. (Univ. of Cambridge, Eng.)  Food and drink ordered from the buttery by a student.
sizy |Sizelike; viscous; glutinous; as, sizy blood. Arbuthnot.
sizzle |To make a hissing sound; to fry, or to dry and shrivel up, with a hissing sound. [Prov. Eng. & Colloq. U. S.] Forby.\n\nA hissing sound, as of something frying over a fire. [Prov. Eng. & Colloq. U. S.]
sizzling |from Sizzle.
skaddle |Hurt; damage. [Obs. or Prov. Eng.] Ray.\n\nHurtful. [Obs. or Prov. Eng.] Ray.
skaddon |The larva of a bee. [Prov. Eng.]
