roger |A black flag with white skull and crossbones, formerly used by pirates; -- called also Jolly Roger.
rout cake |A kind of rich sweet cake made for routs, or evening parties. Twenty-four little rout cakes that were lying neglected in a plate. Thackeray.
route |The course or way which is traveled or passed, or is to be passed; a passing; a course; a road or path; a march. Wide through the furzy field their route they take. Gay.
router |(a) A plane made like a spokeshave, for working the inside edges of circular sashes. (b) A plane with a hooked tool protruding far below the sole, for smoothing the bottom of a cavity.
routhe |Ruth; sorrow. [Obs.] Chaucer.
routinary |Involving, or pertaining to, routine; ordinary; customary. [R.] Emerson.
routine |1. A round of business, amusement, or pleasure, daily or frequently pursued; especially, a course of business or offical duties regularly or frequently returning. 2. Any regular course of action or procedure rigidly adhered to by the mere force of habit.
routinism |the practice of doing things with undiscriminating, mechanical regularity.
routinist |One who habituated to a routine.
routish |Uproarious; riotous. [Obs.]
routously |With that violation of law called a rout. See 5th Rout, 4.
roux |A thickening, made of flour, for soups and gravies.
rove |1. To draw through an eye or aperture. 2. To draw out into falkes; to card, as wool. Jamieson. 3. To twist slightly; to bring together, as slivers of wool or cotton, and twist slightly before spinning.\n\n1. A copper washer upon which the end of a nail is clinched in boat building. 2. A roll or sliver of wool or cotton drawn out and\n\n1. To practice robbery on the seas;to wander about on the seas in piracy. [Obs.] Hakluyt. 2. Hence, to wander; to ramble; to rauge; to go, move, or pass without certain direction in any manner, by sailing, walking, riding, flying, or otherwise. For who has power to walk has power to rove. Arbuthnot. 3. (Archery)  To shoot at rovers; hence, to shoot at an angle of elevation, not at point-blank (rovers usually being beyond the point-blank range). Fair Venusson that with thy cruel dart At that good knoght cunningly didst rove. Spenser. Syn. -- To wander; roam; range; ramble stroll.\n\n1. To wander over or through. Roving the field, i chanced A goodly tree far distant to behold. milton. 2. To plow into ridges by turning the earth of two furrows together.\n\nThe act of wandering; a ramble. In thy nocturnal rove one moment halt. Young. Rove beetle (Zoöl.), any one of numerous species of beetles of the family Staphylinidæ, having short elytra beneath which the wings are folded transversely. They are rapid runners, and seldom fly.
rover |1. One who practices robbery on the seas; a pirate. Yet Pompey the Great deserveth honor more justly for scouring the seas, and taking from the rovers 846 sail of ships. Holland. 2. One who wanders about by sea or land; a wanderer; a rambler. 3. Hence, a fickle, inconstant person. 4. (Croquet)  A ball which has passed through all the hoops and would go out if it hit the stake but is continued in play; also, the player of such a ball. 5. (Archery) (a) Casual marks at uncertain distances. Encyc. Brit. (b) A sort of arrow. [Obs.] All sorts, flights, rovers, and butt shafts. B. Jonson. At rovers, at casual marks; hence, at random; as, shooting at rovers. See def. 5 (a) above. Addison. Bound down on every side with many bands because it shall not run at rovers. Robynson (More's Utopia).
roving |1. The operatin of forming the rove, or slightly twisted sliver or roll of wool or cotton, by means of a machine for the purpose, called a roving frame, or roving machine. 2. A roll or sliver of wool or cotton drawn out and slightly twisted; a rove. See 2d Rove, 2. Roving frame, Roving machine, a machine for drawing and twisting roves and twisting roves and winding them on bobbin for the spinning machine.\n\nThe act of one who roves or wanders.
rovingly |In a wandering manner.
rovingness |The state of roving.
row |Rough; stern; angry. [Obs.] \"Lock he never so row.\" Chaucer.\n\nA noisy, turbulent quarrel or disturbance; a brawl. [Colloq.] Byron.\n\nA series of persons or things arranged in a continued line; a line; a rank; a file; as, a row of trees; a row of houses or columns. And there were windows in three rows. 1 Kings vii. 4. The bright seraphim in burning row. Milton. Row culture (Agric.), the practice of cultivating crops in drills. -- Row of points (Geom.), the points on a line, infinite in number, as the points in which a pencil of rays is intersected by a line.\n\n1. To propel with oars, as a boat or vessel, along the surface of water; as, to row a boat. 2. To transport in a boat propelled with oars; as, to row the captain ashore in his barge.\n\n1. To use the oar; as, to row well. 2. To be moved by oars; as, the boat rows easily.\n\nThe act of rowing; excursion in a rowboat.
rowable |That may be rowed, or rowed upon. \"That long barren fen, once rowable.\" B. Jonson.
rowan |Rowan tree. Rowan barry, a barry of the rowan tree.
rowan tree |A european tree (Pyrus aucuparia) related to the apple, but with pinnate leaves and flat corymbs of small white flowers followed by little bright red berries. Called also roan tree, and mountain ash. The name is also applied to two American trees of similar habit (Pyrus Americana, and P. sambucifolia).
rowboat |A boat designed to be propelled by oars instead of sails.
rowdy |One who engages in rows, or noisy quarrels; a ruffianly fellow. M. Arnold.
rowdydow |Hubbub; uproar. [Vulgar]
rowdydowdy |Uproarious. [Vulgar]
rowdyish |Resembling a rowdy in temper or conduct; characteristic of a rowdy.
rowdyism |the conduct of a rowdy.
rowed |Formed into a row, or rows; having a row, or rows; as, a twelve-rowed ear of corn.
rowel |1. The little wheel of a spur, with sharp points. With sounding whip, and rowels dyed in blood. Cowper. 2. A little flat ring or wheel on horses' bits. The iron rowels into frothy foam he bit. Spenser. 3. (Far.)  A roll of hair, silk, etc., passed through the flesh of horses, answering to a seton in human surgery.\n\nTo insert a rowel, or roll of hair or silk, into (as the flesh of a horse). Mortimer.
rowel bone |See rewel bone. [Obs.]
rowen |1. A stubble field left unplowed till late in the autumn, that it may be cropped by cattle. Turn your cows, that give milk, into your rowens till snow comes. Mortimer. 2. The second growth of grass in a season; aftermath. [Prov. Eng. & Local, U.S.]
rower |One who rows with an oar.
rowett |See Rowen.
rowlock |A contrivance or arrangement serving as a fulcrum for an oar in rowing. It consists sometimes of a notch in the gunwale of a boat, sometimes of a pair of pins between which the oar rests on the edge of the gunwale, sometimes of a single pin passing through the oar, or of a metal fork or stirrup pivoted in the gunwale and suporting the oar.
rown |To whisper. [obs.] Gower. Another rouned to his fellow low. Chaucer.\n\nsee Roun. [Obs.] Chaucer.
rowport |An opening in the side of small vessels of war, near the surface of the water, to facilitate rowing in calm weather.
roxburgh |A style of bookbinding in which the back is plain leather, the sides paper or cloth, the top gilt-edged, but the front and bottom left uncut.
roy |A king. [obs.]\n\nRoyal. [Obs.] Chapman.
royal |1. Kingly; pertaining to the crown or the sovereign; suitable for a king or queen; regal; as, royal power or prerogative; royal domains; the royal family; royal state. 2. Noble; generous; magnificent; princely. How doth that royal merchant, good Antonio Shak. 3. Under the patronage of royality; holding a charter granted by the sovereign; as, the Royal Academy of Arts; the Royal Society. Battle royal. See under Battle. -- Royal bay (Bot.), the classic laurel (Laurus nobilis.) -- Royal eagle. (Zoöl.) See Golden eagle, under Golden. -- Royal fern (Bot.), the handsome fern Osmunda regalis. See Osmund. -- Royal mast (Naut.), the mast next above the topgallant mast and usually the highest on a square-rigged vessel. The royal yard and royal sail are attached to the royal mast. -- Royal metal, an old name for gold. -- Royal palm (Bot.), a magnificent West Indian palm tree (Oreodoxa regia), lately discovered also in Florida. -- Royal pheasant. See Curassow. -- Royal purple, an intense violet color, verging toward blue. -- Royal tern (Zoöl.), a large, crested American tern (Sterna maxima). -- Royal tiger. (Zoöl.) See Tiger. -- Royal touch, the touching of a diseased person by the hand of a king, with the view of restoring to health; -- formerly extensively practiced, particularly for the scrofula, or king's evil. Syn. -- Kingly; regal; monarchical; imperial; kinglike; princely; august; majestic; superb; splendid; illustrious; noble; magnanimous.\n\n1. Printing and writing papers of particular sizes. See under paper, n. 2. (Naut.)  A small sail immediately above the topgallant sail. Totten. 3. (Zoöl.)  One of the upper or distal branches of an antler, as the third and fourth tynes of the antlers of a stag. 4. (Gun.)  A small mortar. 5. (Mil.)  One of the soldiers of the first regiment of foot of the British army, formerly called the Royals, and supposed to be the oldest regular corps in Europe; -- now called the Royal Scots. 6. An old English coin. See Rial.
royal spade |A spade when spades are trumps under the condition that every trick over six taken by the successful bidder has a score value of 9; -- usually in pl.
royalet |A petty or powerless king. [R.] there were at this time two other royalets, as only kings by his leave. Fuller.
royalism |the principles or conduct of royalists.
royalist |An adherent of a king (as of Charles I. in England, or of the Bourbons in france); one attached to monarchical government. Where Ca'ndish fought, the Royalists prevailed. Waller.
royalization |The act of making loyal to a king. [R.] Saintsbury.
royalize |to make royal. Shak.
royally |In a royal or kingly manner; like a king; as becomes a king. His body shall be royally interred. Dryden.
royalty |1. The state of being royal; the condition or quality of a royal person; kingship; kingly office; sovereignty. Royalty by birth was the sweetest way of majesty. Holyday. 2. The person of a king or sovereign; majesty; as, in the presence of royalty. For thus his royalty doth speak. Shak. 3. An emblem of royalty; -- usually in the plural, meaning regalia. [Obs.] Wherefore do I assume These royalties, and not refuse to reign Milton. 4. Kingliness; spirit of regal authority. In his royalty of nature Reigns that which would be fear'd. Shak. 5. Domain; province; sphere. Sir W. Scott. 6. That which is due to a sovereign, as a seigniorage on gold and silver coined at the mint, metals taken from mines, etc.; the tax exacted in lieu of such share; imperiality. 7. A share of the product or profit (as of a mine, forest, etc.), reserved by the owner for permitting another to use the property. 8. Hence (Com.), a duty paid by a manufacturer to the owner of a patent or a copyright at a certain rate for each article manufactured; or, a percentage paid to the owner of an article by one who hires the use of it.
royne |To bite; to gnaw. [Written also roin.] [Obs.] Spenser.
roynish |Mangy; scabby; hence, mean; paltry; troublesome. [Written also roinish.] [Obs.] \"The roynish clown.\" Shak.
royster |same as Roister, Roisterer.
roysterer |same as Roister, Roisterer.
royston crow |See Hooded crow, under Hooded.
roytelet |A little king. [Archaic] Heylin. Bancroft.
roytish |Wild; irregular. [Obs.]
ru bible |A ribble. [Obs.] Chaucer.
rub |1. To subject (a body) to the action of something moving over its surface with pressure and friction, especially to the action of something moving back and forth; as, to rub the flesh with the hand; to rub wood with sandpaper. It shall be expedient, after that body is cleaned, to rub the body with a coarse linen cloth. Sir T. Elyot. 2. To move over the surface of (a body) with pressure and friction; to graze; to chafe; as, the boat rubs the ground. 3. To cause (a body) to move with pressure and friction along a surface; as, to rub the hand over the body. Two bones rubbed hard against one another. Arbuthnot. 4. To spread a substance thinly over; to smear. The smoothed plank, . . . New rubbed with balm. Milton. 5. To scour; to burnish; to polish; to brighten; to cleanse; -- often with up or over; as, to rub up silver. The whole business of our redemption is to rub over the defaced copy of the creation. South. 6. To hinder; to cross; to thwart. [R.] 'T is the duke's pleasure, Whose disposition, all the world well knows, Will not be rubbed nor stopped. Shak. To rub down. (a) To clean by rubbing; to comb or curry; as, to down a horse. (b) To reduce or remove by rubbing; as, to rub down the rough points. -- To rub off, to clean anything by rubbing; to separate by friction; as, to rub off rust. -- To rub out, to remove or separate by friction; to erase; to obliterate; as, to rub out a mark or letter; to rub out a stain. -- To rub up. (a) To burnish; to polish; to clean. (b) To excite; to awaken; to rouse to action; as, to rub up the memory.\n\n1. To move along the surface of a body with pressure; to grate; as, a wheel rubs against the gatepost. 2. To fret; to chafe; as, to rub upon a sore. 3. To move or pass with difficulty; as, to rub through woods, as huntsmen; to rub through the world. To rub along or on, to go on with difficulty; as, they manage, with strict economy, to rub along. [Colloq.]\n\n1. The act of rubbing; friction. 2. That which rubs; that which tends to hinder or obstruct motion or progress; hindrance; obstruction, an impediment; especially, a difficulty or obstruction hard to overcome; a pinch. Every rub is smoothed on our way. Shak. To sleep, perchance to dream; ay, there's the rub. Shak. Upon this rub, the English ambassadors thought fit to demur. Hayward. One knows not, certainly, what other rubs might have been ordained for us by a wise Providence. W. Besant. 3. Inequality of surface, as of the ground in the game of bowls; unevenness. Shak. 4. Something grating to the feelings; sarcasm; joke; as, a hard rub. 5. Imperfection; failing; fault. [Obs.] Beau. & Fl. 6. A chance. [Obs.] Flight shall leave no Greek a rub. Chapman. 7. A stone, commonly flat, used to sharpen cutting tools; a whetstone; -- called also rubstone. Rub iron, an iron guard on a wagon body, against which a wheel rubs when cramped too much.
ruba-dub |The sound of a drum when continuously beaten; hence, a clamorous, repeated sound; a clatter. The rubadub of the abolition presses. D. Webster.
rubaiyat |Quatrians; as, the Rubaiyat of Omar Khayyam. Sometimes in pl. construed as sing., a poem in such stanzas.
rubato |Robbed; borrowed. Temple rubato. Etym: [It.] (Mus.) Borrowed time; -- a term applied to a style of performance in which some tones are held longer than their legitimate time, while others are proportionally curtailed.
rubbage |Rubbish. [Obs.]
rubber |1. One who, or that which, rubs. Specifically: (a) An instrument or thing used in rubbing, polishing, or cleaning. (b) A coarse file, or the rough part of a file. (c) A whetstone; a rubstone. (d) An eraser, usually made of caoutchouc. (e) The cushion of an electrical machine. (f) One who performs massage, especially in a Turkish bath. (g) Something that chafes or annoys; hence, something that grates on the feelings; a sarcasm; a rub. Thackeray. 2. In some games, as whist, the odd game, as the third or the fifth, when there is a tie between the players; as, to play the rubber; also, a contest determined by the winning of two out of three games; as, to play a rubber of whist. Beaconsfield. \"A rubber of cribbage.\" Dickens. 3. India rubber; caoutchouc. 4. An overshoe made of India rubber. [Colloq.] Antimony rubber, an elastic durable variety of vulcanized caoutchouc of a red color. It contains antimony sulphide as an important constituent. -- Hard rubber, a kind of vulcanized caoutchouc which nearly resembles horn in texture, rigidity, etc. -- India rubber, caoutchouc. See Caoutchouc. -- Rubber cloth, cloth covered with caoutchouc for excluding water or moisture. -- Rubber dam (Dentistry), a shield of thin sheet rubber clasped around a tooth to exclude saliva from the tooth.
rubberize |To coat or impregnate with rubber or a rubber solution or preparation, as silk.
rubbidge |Rubbish. [Obs.] Bp. Hall.
rubbing |a. & n. from Rub, v.
rubbish |Waste or rejected matter; anything worthless; valueless stuff; trash; especially, fragments of building materials or fallen buildings; ruins; débris. What rubbish and what offal! Shak. he saw the town's one half in rubbish lie. Dryden. Rubbish pulley. See Gin block, under Gin.\n\nOf or pertaining to rubbish; of the quality of rubbish; trashy. De Quincey.
rubble |1. Water-worn or rough broken stones; broken bricks, etc., used in coarse masonry, or to fill up between the facing courses of walls. Inside [the wall] there was rubble or mortar. Jowett (Thucyd. ). 2. Rough stone as it comes from the quarry; also, a quarryman's term for the upper fragmentary and decomposed portion of a mass of stone; brash. Brande & C. 3. (Geol.)  A mass or stratum of fragments or rock lying under the alluvium, and derived from the neighboring rock. Lyell. 4. pl.  The whole of the bran of wheat before it is sorted into pollard, bran, etc. [Prov.Eng.] Simmonds. Coursed rubble, rubble masonry in which courses are formed by leveling off the work at certain heights.
rubblestone |See Rubble, 1 and 2.
rubblework |Masonry constructed of unsquared stones that are irregular in size and shape.
rubbly |Relating to, or containing, rubble.
rubedinous |Reddish. [R.] M. Stuart.
rubefacient |Making red. -- n. (Med.)  An external application which produces redness of the skin.
rubefaction |The act or process of making red.
rubelet |A little ruby. Herrick.
rubell |A red color used in enameling. Weale.
rubella |An acute specific disease with a dusky red cutaneous eruption resembling that of measles, but unattended by catarrhal symptoms; -- called also German measles.
rubelle |A red color used in enameling. Weale.
rubellite |A variety of tourmaline varying in color from a pale rose to a deep ruby, and containing lithium.
rubeola |(a) the measles. (b) Rubella.
ruberythrinic |Pertaining to, or designating, an acid extracted from madder root. It is a yellow crystalline substance from which alizarin is obtained.
rubescence |The quality or state of being rubescent; a reddening; a flush.
rubescent |Growing or becoming red; tending to redness.
rubiaceous |Of or pertaining to a very large natural order of plants (Rubiaceæ) named after the madder (Rubia tinctoria), and including about three hundred and seventy genera and over four thousand species. Among them are the coffee tree, the trees yielding peruvian bark and quinine, the madder, the quaker ladies, and the trees bearing the edible fruits called genipap and Sierre Leone peach, besides many plants noted for the beauty or the fragrance of their blossoms.
rubiacin |A substance found in madder root, and probably identical with ruberythrinic acid.
rubian |One of several color-producing glycosides found in madder root.
rubianic |pertaining to, or derived from, rubian; specifically, designating an acid called also ruberythrinic acid. [Obs.]
rubican |Colored a prevailing red, bay, or black, with flecks of white or gray especially on the flanks; -- said of horses. Smart.
rubicelle |A variety of ruby of a yellowish red color, from Brazil.
rubicon |A small river which separated Italy from Cisalpine Gaul, the province alloted to Julius Cæsar. Note: By leading an army across this river, contrary to the prohibition of the civil government at Rome, Cæsar precipitated the civil war which resulted in the death of Pompey and the overthrow of the senate; hence, the phrase to pass or cross the Rubicon signifies to take the decisive step by which one is committed to a hazardous enterprise from which there is no retreat.
rubicund |Inclining to redness; ruddy; red. \"His rubicund face.\" Longfellow.
rubicundity |The quality or state of being rubicund; ruddiness. To parade your rubicundity and gray hairs. Walpole.
rubidic |Of or pertaining to rubidium; containing rubidium.
rubidine |A nitrogenous base homologous with pyridine, obtained from coal tar as an oily liquid, C11H17N; also, any one of the group od metameric compounds of which rubidine is the type.
rubidium |A rare metallic element. It occurs quite widely, but in small quantities, and always combined. It is isolated as a soft yellowish white metal, analogous to potassium in most of its properties. Symbol Rb. Atomic weight, 85.2.
rubific |Making red; as, rubific rays. Grew.
rubification |The act of making red. Howell.
rubiform |Having the nature or quality of red; as, the rubiform rays of the sun. [R.] Sir I. newton.
rubify |To redden. [R.] \"Waters rubifying.\" Chaucer.
rubiginose |Having the appearance or color of iron rust; rusty-looking.
rubiginous |Having the appearance or color of iron rust; rusty-looking.
rubigo |same as Rust, n., 2.
rubin |A ruby. [Obs.] Spenser.
rubious |Red; ruddy. [Obs.] Shak.
rubiretin |One of the red dye products extracted from madder root, and probably identical with ruberythrinic acid.
ruble |The unit of monetary value in Russia. It is divided into 100 copecks, and in the gold coin of the realm (as in the five and ten ruble pieces) is worth about 77 cents. The silver ruble is a coin worth about 60 cents. [Written also rouble.]
rubric |That part of any work in the early manuscripts and typography which was colored red, to distinguish it from other portions. Hence, specifically: (a) A titlepage, or part of it, especially that giving the date and place of printing; also, the initial letters, etc., when printed in red. (b) (Law books) The title of a statute; -- so called as being anciently written in red letters. Bell. (c) (Liturgies) The directions and rules for the conduct of service, formerly written or printed in red; hence, also, an ecclesiastical or episcopal injunction; -- usually in the plural. All the clergy in England solemnly pledge themselves to observe the rubrics. Hook. (d) Hence, that which is established or settled, as by authority; a thing definitely settled or fixed. Cowper. Nay, as a duty, it had no place or rubric in human conceptions before Christianity. De Quincey.\n\nTo adorn ith red; to redden; to rubricate. [R.] Johnson.\n\n1. Colored in, or marked with, red; placed in rubrics. What though my name stood rubric on the walls Or plaistered posts, with claps, in capitals Pope. 2. Of or pertaining to the rubric or rubrics. \"Rubrical eccentricities.\" C. Kingsley.
rubrical |1. Colored in, or marked with, red; placed in rubrics. What though my name stood rubric on the walls Or plaistered posts, with claps, in capitals Pope. 2. Of or pertaining to the rubric or rubrics. \"Rubrical eccentricities.\" C. Kingsley.
rubricate |Marked with red. Sp\n\nTo mark or distinguished with red; to arrange as in a rubric; to establish in a settled and unchangeable form. Foxe. A system . . . according to which the thoughts of men were to be classed and rubricated forever after. Hare.
rubrician |One skilled in, or tenaciously adhering to, the rubric or rubrics.
rubricist |One skilled in, or tenaciously adhering to, the rubric or rubrics.
rubricity |Redness. [R.]
rubstone |A stone for scouring or rubbing; a whetstone; a rub.
rubus |A genus of rosaceous plants, including the raspberry and blackberry.
ruby |1. (Min.)  A precious stone of a carmine red color, sometimes verging to violet, or intermediate between carmine and hyacinth red. It is a red crystallized variety of corundum. Note: Besides the true or Oriental ruby above defined, there are the balas ruby, or ruby spinel, a red variety of spinel, and the rock ruby, a red variety of garnet. Of rubies, sapphires, and pearles white. Chaucer. 2. The color of a ruby; carmine red; a red tint. The natural ruby of your cheeks. Shak. 3. That which has the color of the ruby, as red wine. Hence, a red blain or carbuncle. 4. (Print.)  See Agate, n., 2. [Eng.] 5. (Zoöl.)  Any species of South American humming birds of the genus Clytolæma. The males have a ruby-colored throat or breast. Ruby of arsenic, Ruby of sulphur (Chem.), a glassy substance of a red color and a variable composition, but always consisting chiefly of the disulphide of arsenic; -- called also ruby sulphur. -- Ruby of zinc (Min.), zinc sulphide; the mineral zinc blende or sphalerite. -- Ruby silver (Min.), red silver. See under Red.\n\nRuby-colored; red; as, ruby lips.\n\nTo make red; to redden. [R.] Pope.
ruby-tailed |Having the tail, or lower part of the body, bright red.
rubytail |A European gold wasp (Chrysis ignita) which has the under side of the abdomen bright red, and the other parts deep bluish green with a metallic luster. The larva is parasitic in the nests of other wasps and of bees.
rubythroat |Any one of numerous species of humming birds belonging to Trochilus, Calypte, Stellula, and allies, in which the male has on the throat a brilliant patch of red feathers having metallic reflections; esp., the common humming bird of the Eastern United States (Trochilus colubris).
rubywood |red sandalwood. See under Sandalwood.
rucervine |Of, like, or pertaining to, a deer of the genus Rucervus, which includes the swamp deer of India.
ruche |1. A plaited, quilled, or goffered strip of lace, net, ribbon, or other material, -- used in place of collars or cuffs, and as a trimming for women's dresses and bonnets. [Written also rouche.] 2. A pile of arched tiles, used to catch and retain oyster spawn.
ruching |A ruche, or ruches collectively.
ruck |A roc. [Obs. or prov. Eng.] Drayton.\n\nTo draw into wrinkles or unsightly folds; to crease; as, to ruck up a carpet. Smart.\n\nA wrinkle or crease in a piece of cloth, or in needlework.\n\nTo cower; to huddle together; to squat; to sit, as a hen on eggs. [Obs. or Prov. Eng.] Gower. South. The sheep that rouketh in the fold. Chaucer.\n\n1. A heap; a rick. [Prov Eng. & Scot.] 2. The common sort, whether persons or things; as, the ruck in a horse race. [Colloq.] The ruck in society as a whole. Lond. Sat. Rev.
ructation |The act of belching wind.
ruction |An uproar; a quarrel; a noisy outbreak. [Prov. Eng. & Scot.]
rud |1. Redness; blush. [Obs.] 2. Ruddle; red ocher. 3. (Zoöl.)  The rudd.\n\nTo make red. [Obs.] Spenser.
rudbeckia |A genus of composite plants, the coneflowers, consisting of perennial herbs with showy pedunculate heads, having a hemispherical involucre, sterile ray flowers, and a conical chaffy receptacle. There are about thirty species, exclusively North American. Rudbeckia hirta, the  black-eyed Susan, is a common weed in meadows.
rudd |A fresh-water European fish of the Carp family (Leuciscus erythrophthalmus). It is about the size and shape of the roach, but it has the dorsal fin farther back, a stouter body, and red irises. Called also redeye, roud, finscale, and shallow. A blue variety is called azurine, or blue roach.
rudder |A riddle or sieve. [Prov. Eng.]\n\n1. (Naut.)  The mechanical appliance by means of which a vessel is guided or steered when in motion. It is a broad and flat blade made of wood or iron, with a long shank, and is fastened in an upright position, usually by one edge, to the sternpost of the vessel in such a way that it can be turned from side to side in the water by means of a tiller, wheel, or other attachment. 2. Fig.: That which resembles a rudder as a guide or governor; that which guides or governs the course. For rhyme the rudder is of verses. Hudibras. Balance rudder (Naut.), a rudder pivoted near the middle instead of at the edge, -- common on sharpies. -- Drop rudder (Naut.), a rudder extending below the keel so as to be more effective in steering. -- Rudder chain (Naut.), one of the loose chains or ropes which fasten the rudder to the quarters to prevent its loss in case it gets unshipped, and for operating it in case the tiller or the wheel is broken. -- Rudder coat (Naut.), a covering of tarred canvas used to prevent water from entering the rudderhole. -- Rudder fish. (Zoöl.) (a) The pilot fish. (b) The amber fish (Seriola zonata), which is bluish having six broad black bands. (c) A plain greenish black American fish (Leirus perciformis); -- called also black rudder fish, logfish, and barrel fish. The name is also applied to other fishes which follow vessels. -- Rudder pendants (Naut.), ropes connected with the rudder chains.
rudderhead |The upper end of the rudderpost, to which the tiller is attashed.
rudderhole |The hole in the deck through which the rudderpost passes.
rudderless |Without a rudder.
rudderpost |The shank of a rudder, having the blade at one end and the attachments for operating it at the other.
rudderstock |The main part or blade of the rudder, which is connected by hinges, or the like, with the sternpost of a vessel.
ruddied |Made ruddy or red.
ruddily |In a ruddy manner. Byron.
ruddiness |The quality or state of being ruddy; as, the ruddiness of the cheeks or the sky.
ruddle |To raddle or twist. [Obs.]\n\nA riddle or sieve. [Obs.] Holland.\n\nA species of red earth colored by iron sesquioxide; red ocher.\n\nTo mark with ruddle; to raddle; to rouge. \"Their ruddled cheeks.\" Thackeray. A fair sheep newly ruddled. Lady M. W. Montagu.
ruddock |1. (Zoöl.)  The European robin. \"The tame ruddock and the coward kite.\" Chaucer. 2. A piece of gold money; -- probably because the gold of coins was often reddened by copper alloy. Called also red ruddock, and golden ruddock. [Obs.] Great pieces of gold . . . red ruddocks. Florio.
