flabellinerved |Having many nerves diverging radiately from the base; -- said of a leaf.
flourish |1. To grow luxuriantly; to increase and enlarge, as a healthy growing plant; a thrive. A tree thrives and flourishes in a kindly . . . soil. Bp. Horne. 2. To be prosperous; to increase in wealth, honor, comfort, happiness, or whatever is desirable; to thrive; to be prominent and influental; specifically, of authors, painters, etc., to be in a state of activity or production. When all the workers of iniquity do flourish. Ps. xcii 7 Bad men as frequently prosper and flourish, and that by the means of their wickedness. Nelson. We say Of those that held their heads above the crowd, They flourished then or then. Tennyson. 3. To use florid language; to indulge in rhetorical figures and lofty expressions; to be flowery. They dilate . . . and flourish long on little incidents. J. Watts. 4. To make bold and sweeping, fanciful, or wanton movements, by way of ornament, parade, bravado, etc.; to play with fantastic and irregular motion. Impetuous spread The stream, and smoking flourished o'er his head. Pope. 5. To make ornamental strokes with the pen; to write graceful, decorative figures. 6. To execute an irregular or fanciful strain of music, by way of ornament or prelude. Why do the emperor's trumpets flourish thus Shak. 7. To boast; to vaunt; to brag. Pope.\n\n1. To adorn with flowers orbeautiful figures, either natural or artificial; to ornament with anything showy; to embellish. [Obs.] Fenton. 2. To embellish with the flowers of diction; to adorn with rhetorical figures; to grace with ostentatious eloquence; to set off with a parade of words. [Obs.] Sith that the justice of your title to him Doth flourish the deceit. Shak. 3. To move in bold or irregular figures; to swing about in circles or vibrations by way of show or triumph; to brandish. And flourishes his blade in spite of me. Shak. 4. To develop; to make thrive; to expand. [Obs.] Bottoms of thread . . . which with a good needle, perhaps flourished into large works. Bacon.\n\n1. A flourishing condition; prosperity; vigor. [Archaic] The Roman monarchy, in her highest flourish, never had the like. Howell. 2. Decoration; ornament; beauty. The flourish of his sober youth Was the pride of naked truth. Crashaw. 3. Something made or performed in a fanciful, wanton, or vaunting manner, by way of ostentation, to excite admiration, etc.; ostentatious embellishment; ambitious copiousness or amplification; parade of wordas, a flourish of rhetoric or of wit. He lards with flourishes his long harangue. Dryden. 4. A fanciful stroke of the pen or graver; a merely decorative figure. The neat characters and flourishes of a Bible curiously printed. Boyle. 5. A fantastic or decorative musical passage; a strain of triumph or bravado, not forming part of a regular musical composition; a cal; a fanfare. A flourish, trumpets! strike alarum, drums! Shak. 6. The waving of a weapon or other thing; a brandishing; as, the fluorish of a sword.
flourisher |One who flourishes.
flourishingly |, adv. In a flourishing manner; ostentatiously.
floury |Of or resembling flour; mealy; covered with flour. Dickens.
flout |To mock or insult; to treat with contempt. Phillida flouts me. Walton. Three gaudy standarts lout the pale blue sky. Byron.\n\nTo practice mocking; to behave with contempt; to sneer; to fleer; -- often with at. Fleer and gibe, and laugh and flout. Swift.\n\nA mock; an insult. Who put your beauty to this flout and scorn. Tennyson.
flouter |One who flouts; a mocker.
floutingly |With flouting; insultingly; as, to treat a lover floutingly.
flow |imp. sing. of Fly, v. i. Chaucer.\n\n1. To move with a continual change of place among the particles or parts, as a fluid; to change place or circulate, as a liquid; as, rivers flow from springs and lakes; tears flow from the eyes. 2. To become liquid; to melt. The mountains flowed down at thy presence. Is. lxiv. 3. 3. To pproceed; to issue forth; as, wealth flows from industry and economy. Those thousand decencies that daily flow From all her words and actions. Milton. 4. To glide along smoothly, without harshness or asperties; as, a flowing period; flowing numbers; to sound smoothly to the ear; to be uttered easily. Virgil is sweet and flowingin his hexameters. Dryden. 5. To have or be in abundance; to abound; to full, so as to run or flow over; to be copious. In that day . . . the hills shall flow with milk. Joel iii. 18. The exhilaration of a night that needed not the influence of the flowing bowl. Prof. Wilson. 6. To hang loose and waving; as, a flowing mantle; flowing locks. The imperial purple flowing in his train. A. Hamilton. 7. To rise, as the tide; -- opposed to ebb; as, the tide flows twice in twenty-four hours. The river hath thrice flowed, no ebb between. Shak. 8. To discharge blood in excess from the uterus.\n\n1. To cover with water or other liquid; to overflow; to inundate; to flood. 2. To cover with varnish.\n\n1. A stream of water or other fluid; a current; as, a flow of water; a flow of blood. 2. A continuous movement of something abundant; as, a flow of words. 3. Any gentle, gradual movement or procedure of thought, diction, music, or the like, resembling the quiet, steady movement of a river; a stream. The feast of reason and the flow of soul. Pope. 4. The tidal setting in of the water from the ocean to the shore. See Ebb and flow, under Ebb. 5. A low-lying piece of watery land; -- called also flow moss and flow bog. [Scot.] Jamieson.
flowage |An overflowing with water; also, the water which thus overflows.
flowen |imp. pl. of Fly, v. i. Chaucer.
flower |1. In the popular sense, the bloom or blossom of a plant; the showy portion, usually of a different color, shape, and texture from the foliage. 2. (Bot.)  That part of a plant destined to produce seed, and hence including one or both of the sexual organs; an organ or combination of the organs of reproduction, whether inclosed by a circle of foliar parts or not. A complete flower consists of two essential parts, the stamens and the pistil, and two floral envelopes, the corolla and callyx. In mosses the flowers consist of a few special leaves surrounding or subtending organs called archegonia. See Blossom, and Corolla. Note: If we examine a common flower, such for instance as a geranium, we shall find that it consists of: First, an outer envelope or calyx, sometimes tubular, sometimes consisting of separate leaves called sepals; secondly, an inner envelope or corolla, which is generally more or less colored, and which, like the calyx, is sometimes tubular, sometimes composed of separate leaves called petals; thirdly, one or more stamens, consisting of a stalk or filament and a head or anther, in which the pollen is produced; and fourthly, a pistil, which is situated in the center of the flower, and consists generally of three principal parts; one or more compartments at the base, each containing one or more seeds; the stalk or style; and the stigma, which in many familiar instances forms a small head, at the top of the style or ovary, and to which the pollen must find its way in order to fertilize the flower. Sir J. Lubbock. 3. The fairest, freshest, and choicest part of anything; as, the flower of an army, or of a family; the state or time of freshness and bloom; as, the flower of life, that is, youth. The choice and flower of all things profitable the Psalms do more briefly contain. Hooker. The flower of the chivalry of all Spain. Southey. A simple maiden in her flower Is worth a hundred coats of arms. Tennyson. 4. Grain pulverized; meal; flour. [Obs.] The flowers of grains, mixed with water, will make a sort of glue. Arbuthnot. 5. pl. (Old. Chem.)  A substance in the form of a powder, especially when condensed from sublimation; as, the flowers of sulphur. 6. A figure of speech; an ornament of style. 7. pl. (Print.)  Ornamental type used chiefly for borders around pages, cards, etc. W. Savage. 8. pl.  Menstrual discharges. Lev. xv. 24. Animal flower (Zoöl.) See under Animal. -- Cut flowers, flowers cut from the stalk, as for making a bouquet. -- Flower bed, a plat in a garden for the cultivation of flowers. -- Flower beetle (Zoöl.), any beetle which feeds upon flowers, esp. any one of numerous small species of the genus Meligethes, family Nitidulidæ, some of which are injurious to crops. -- Flower bird (Zoöl.), an Australian bird of the genus Anthornis, allied to the honey eaters. -- Flower bud, an unopened flower. -- Flower clock, an assemblage of flowers which open and close at different hours of the day, thus indicating the time. -- Flower head (Bot.), a compound flower in which all the florets are sessile on their receptacle, as in the case of the daisy. -- Flower pecker (Zoöl.), one of a family (Dicæidæ) of small Indian and Australian birds. They resemble humming birds in habits. -- Flower piece. (a) A table ornament made of cut flowers. (b) (Fine Arts) A picture of flowers. -- Flower stalk (Bot.), the peduncle of a plant, or the stem that supports the flower or fructification.\n\n1. To blossom; to bloom; to expand the petals, as a plant; to produce flowers; as, this plant flowers in June. 2. To come into the finest or fairest condition. Their lusty and flowering age. Robynson (More's Utopia). When flowered my youthful spring. Spenser. 3. To froth; to ferment gently, as new beer. That beer did flower a little. Bacon. 4. To come off as flowers by sublimation. [Obs.] Observations which have flowered off. Milton.\n\nTo embellish with flowers; to adorn with imitated flowers; as, flowered silk.
flower state |Florida; -- a nickname, alluding to sense of L. floridus, from florida flowery. See Florid.
flower-de-luce |A genus of perennial herbs (Iris) with swordlike leaves and large three-petaled flowers often of very gay colors, but probably white in the plant first chosen for the royal French emblem. Note: There are nearly one hundred species, natives of the north temperate zone. Some of the best known are Iris Germanica, I. Florentina, I. Persica, I. sambucina, and the American I. versicolor, I. prismatica, etc.
flower-fence |A tropical leguminous bush (Poinciana, or Cæsalpinia, pulcherrima) with prickly branches, and showy yellow or red flowers; -- so named from its having been sometimes used for hedges in the West Indies. Baird.
flower-gentle |A species of amaranth (Amarantus melancholicus).
flowerage |State of flowers; flowers, collectively or in general. Tennyson.
flowerer |A plant which flowers or blossoms. Many hybrids are profuse and persistent flowerers. Darwin.
floweret |A small flower; a floret. Shak.
flowerful |Abounding with flowers. Craig.
floweriness |The state of being flowery.
flowering |Having conspicuous flowers; -- used as an epithet with many names of plants; as, flowering ash; flowering dogwood; flowering almond, etc. Flowering fern, a genus of showy ferns (Osmunda), with conspicuous bivalvular sporangia. They usually grow in wet places. -- Flowering plants, plants which have stamens and pistils, and produce true seeds; phenogamous plants; -- distinguished from flowerless plants. -- Flowering rush, a European rushlike plant (Butomus umbellatus), with an umbel of rosy blossoms.\n\n1. The act of blossoming, or the season when plants blossom; florification. 2. The act of adorning with flowers.
flowerless |Having no flowers. Flowerless plants, plants which have no true flowers, and produce no seeds; cryptigamous plants.
flowerlessness |State of being without flowers.
flowerpot |A vessel, commonly or earthenware, for earth in which plants are grown.
flowery |1. Full of flowers; abounding with blossoms. 2. Highly embellished with figurative language; florid; as, a flowery style. Milton. The flowery kingdom, China.
flowery-kirtled |Dressed with garlands of flowers. [Poetic & Rare] Milton.
flowing |That flows or for flowing (in various sense of the verb); gliding along smoothly; copious. Flowing battery (Elec.), a battery which is kept constant by the flowing of the exciting liquid through the cell or cells. Knight. -- Flowing furnace, a furnace from which molten metal, can be drawn, as through a tap hole; a foundry cupola. -- Flowing sheet (Naut.), a sheet when eased off, or loosened to the wind, as when the wind is abaft the beam. Totten.\n\na. & n. from Flow, v. i. & t.
flowingly |In a flowing manner.
flowingness |Flowing tendency or quality; fluency. [R.] W. Nichols.
flowk |See 1st Fluke.
flown |p. p. of Fly; -- often used with the auxiliary verb to be; as, the birds are flown.\n\nFlushed, inflated. Note: [Supposed by some to be a mistake for blown or swoln.] Pope. Then wander forth the sons Of Belial, flown with insolence and wine. Milton.
floxed silk |See Floss silk, under Floss.
floyte |A variant of Flute. [Obs.]
fluate |A fluoride. [Obs.]
fluavil |A hydrocarbon extracted from gutta-percha, as a yellow, resinous substance; -- called also fluanil.
flucan |Soft clayey matter in the vein, or surrounding it. [Written also flookan, flukan, and fluccan.]
fluctiferous |Tending to produce waves. Blount.
fluctisonous |Sounding like waves.
fluctuability |The capacity or ability to fluctuate. [R.] H. Walpole.
fluctuant |1. Moving like a wave; wavering; (Med.)  showing undulation or fluctuation; as, a fluctuant tumor. 2. Floating on the waves. [Obs.] Bacon.
fluctuate |1. To move as a wave; to roll hither and thither; to wave; to float backward and forward, as on waves; as, a fluctuating field of air. Blackmore. 2. To move now in one direction and now in another; to be wavering or unsteady; to be irresolute or undetermined; to vacillate. Syn. -- To waver; vacillate; hesitate; scruple. -- To Fluctuate, Vacillate, Waver. -- Fluctuate is applied both to things and persons and denotes that they move as they are acted upon. The stocks fluctuate; a man fluctuates. between conflicting influences. Vacillate and waver are applied to persons to represent them as acting themselves. A man vacillates when he goes backward and forward in his opinions and purposes, without any fixity of mind or principles. A man wavers when he shrinks back or hesitates at the approach of difficulty or danger. One who is fluctuating in his feelings is usually vacillating in resolve, and wavering in execution.\n\nTo cause to move as a wave; to put in motion. [R.] And fluctuate all the still perfume. Tennyson.
fluctuation |1. A motion like that of waves; a moving in this and that direction; as, the fluctuations of the sea. 2. A wavering; unsteadiness; as, fluctuations of opinion; fluctuations of prices. 3. (Med.)  The motion or undulation of a fluid collected in a natural or artifical cavity, which is felt when it is subjected to pressure or percussion. Dunglison.
flue |An inclosed passage way for establishing and directing a current of air, gases, etc.; an air passage; esp.: (a) A compartment or division of a chimney for conveying flame and smoke to the outer air. (b) A passage way for conducting a current of fresh, foul, or heated air from one place to another. (c) (Steam Boiler) A pipe or passage for conveying flame and hot gases through surrounding water in a boiler; -- distinguished from a tube which holds water and is surrounded by fire. Small flues are called fire tubes or simply tubes. Flue boiler. See under Boiler. -- Flue bridge, the separating low wall between the flues and the laboratory of a reverberatory furnace. -- Flue plate (Steam Boiler), a plate to which the ends of the flues are fastened; -- called also flue sheet, tube sheet, and tube plate. -- Flue surface (Steam Boiler), the aggregate surface of flues exposed to flame or the hot gases.\n\nLight down, such as rises from cotton, fur, etc.; very fine lint or hair. Dickens.
flue pipe |A pipe, esp. an organ pipe, whose tone is produced by the impinging of a current of air upon an edge, or lip, causing a wave motion in the air within; a mouth pipe; -- distinguished from reed pipe. Flue pipes are either open or closed (stopped at the distant end). The flute and flageolet are open pipes; a bottle acts as a closed pipe when one blows across the neck. The organ has both open and closed flue pipes, those of metal being usually round in section, and those of wood triangular or square.
fluegel |A grand piano or a harpsichord, both being wing-shaped.
fluence |Fluency. [Obs.] Milton.
fluency |The quality of being fluent; smoothness; readiness of utterance; volubility. The art of expressing with fluency and perspicuity. Macaulay.
fluent |1. Flowing or capable of flowing; liquid; glodding; easily moving. 2. Ready in the use of words; voluble; copious; having words at command; and uttering them with facility and smoothness; as, a fluent speaker; hence, flowing; voluble; smooth; -- said of language; as, fluent speech. With most fluent utterance. Denham. Fluent as the flight of a swallow is the sultan's letter. De Quincey.\n\n1. A current of water; a stream. [Obs.] 2. Etym: [Cf. F. fluente.] (Math.)  A variable quantity, considered as increasing or diminishing; - - called, in the modern calculus, the function or integral.
fluently |In a fluent manner.
fluentness |The quality of being fluent.
fluework |A general name for organ stops in which the sound is caused by wind passing through a flue or fissure and striking an edge above; -- in distinction from reedwork.
fluey |Downy; fluffy. [R.]
fluff |Nap or down; flue; soft, downy feathers.
fluffy |Pertaining to, or resembling, fluff or nap; soft and downy. \"The carpets were fluffy.\" Thackeray. The present Barnacle . . . had a youthful aspect, and the fluffiest little whisker, perhaps, that ever was seen. Dickens. -- Fluff\"i*ness, n.
flugel |A grand piano or a harpsichord, both being wing-shaped.
flugelman |Same as Fugleman.
fluid |Having particles which easily move and change their relative position without a separation of the mass, and which easily yield to pressure; capable of flowing; liquid or gaseous.\n\nA fluid substance; a body whose particles move easily among themselves. Note: Fluid is a generic term, including liquids and gases as species. Water, air, and steam are fluids. By analogy, the term is sometimes applied to electricity and magnetism, as in phrases electric fluid, magnetic fluid, though not strictly appropriate. Fluid dram, or Fluid drachm, a measure of capacity equal to one eighth of a fluid ounce. -- Fluid ounce. (a) In the United States, a measure of capacity, in apothecaries' or wine measure, equal to one sixteenth of a pint or 29.57 cubic centimeters. This, for water, is about 1.04158 ounces avoirdupois, or 455.6 grains. (b) In England, a measure of capacity equal to the twentieth part of an imperial pint. For water, this is the weight of the avoirdupois ounce, or 437.5 grains. -- Fluids of the body. (Physiol.) The circulating blood and lymph, the chyle, the gastric, pancreatic, and intestinal juices, the saliva, bile, urine, aqueous humor, and muscle serum are the more important fluids of the body. The tissues themselves contain a large amount of combined water, so much, that an entire human body dried in vacuo with a very moderate degree of heat gives about 66 per cent of water. -- Burning fluid, Elastic fluid, Electric fluid, Magnetic fluid, etc. See under Burning, Elastic, etc.
fluidal |Pertaining to a fluid, or to its flowing motion. Fluidal structure (Geol.), the structure characteristic of certain volcanic rocks in which the arrangement of the minute crystals shows the lines of flow of thew molten material before solidification; -- also called fluxion structure.
fluidity |The quality of being fluid or capable of flowing; a liquid, aëriform. or gaseous state; -- opposed to solidity. It was this want of organization, this looseness and fluidity of the new movement, that made it penetrate through every class of society. J. R. Green.
fluidize |To render fluid.
fluidness |The state of being flluid; fluidity.
fluidounce |See Fluid ounce, under Fluid.
fluidrachm |See Fluid dram, under Fluid. Pharm. of the U. S.
flukan |See Flucan.\n\nFlucan.
fluke |1. The part of an anchor which fastens in the ground; a flook. See Anchor. 2. (Zoöl.)  One of the lobes of a whale's tail, so called from the resemblance to the fluke of an anchor. 3. An instrument for cleaning out a hole drilled in stone for blasting. 4. An accidental and favorable stroke at billiards (called a scratch in the United States); hence, any accidental or unexpected advantage; as, he won by a fluke. [Cant, Eng.] A. Trollope.
flukeworm |Same as 1st Fluke, 2.
fluky |Formed like, or having, a fluke.
flume |A stream; especially, a passage channel, or conduit for the water that drives a mill wheel; or an artifical channel of water for hydraulic or placer mining; also, a chute for conveying logs or lumber down a declivity.
fluminous |Pertaining to rivers; abounding in streama.
flummery |1. A light kind of food, formerly made of flour or meal; a sort of pap. Milk and flummery are very fit for children. Locke. 2. Something insipid, or not worth having; empty compliment; trash; unsubstantial talk of writing. The flummery of modern criticism. J. Morley.
flung |imp. & p. p. of Fling.
flunk |To fail, as on a lesson; to back out, as from an undertaking, through fear.\n\nTo fail in; to shirk, as a task or duty. [Colloq. U.S.]\n\nA failure or backing out; specifically (College cant),  a total failure in a recitation. [U.S.]
flunky |1. A contemptuous name for a liveried servant or a footman. 2. One who is obsequious or cringing; a snob. 3. One easily deceived in buying stocks; an inexperienced and unwary jobber. [Cant, U.S.]
flunkydom |The place or region of flunkies. C. Kingsley.
flunlyism |The quality or characteristics of a flunky; readiness to cringe to those who are superior in wealth or position; toadyism. Thackeray.
fluo- |A combining form indicating fluorine as an ingredient; as in fluosilicate, fluobenzene.
fluoborate |A salt of fluoboric acid; a fluoboride.
fluoboric |Pertaining to, derived from, or consisting of, fluorine and boron. Fluoridic acid (Chem.), a double fluoride, consisting essentially of a solution of boron fluoride, in hydrofluoric acid. It has strong acid properties, and is the type of the borofluorides. Called also borofluoric acid.
fluoboride |See Borofluoride.
fluocerine |A fluoride of cerium, occuring near Fahlun in Sweden. Tynosite, from Colorado, is probably the same mineral.
fluocerite |A fluoride of cerium, occuring near Fahlun in Sweden. Tynosite, from Colorado, is probably the same mineral.
fluohydric |See Hydrofluoric.
fluophosphate |A double salt of fluoric and phosphoric acids.
fluor |1. A fluid state. [Obs.] Sir I. Newton. 2. Menstrual flux; catamenia; menses. [Obs.] 3. (Min.)  See Fluorite.
fluor albus |The whites; leucorrhæa.
fluor spar |See Fluorite.
fluoranthene |A white crystalline hydrocarbon C
fluorated |Combined with fluorine; subjected to the action of fluoride. [R.]
fluorene |A colorless, crystalline hydrocarbon, C13H10 having a beautiful violet fluorescence; whence its name. It occurs in the higher boiling products of coal tar, and is obtained artificially.
fluorescein |A yellowish red, crystalline substance, C20H12O5, produced by heating together phthalic anhydride and resorcin; -- so called, from the very brilliant yellowish green fluorescence of its alkaline solutions. It has acid properties, and its salts of the alkalies are known to the trade under the name of uranin.
fluorescence |That property which some transparent bodies have of producing at their surface, or within their substance, light different in color from the mass of the material, as when green crystals of fluor spar afford blue reflections. It is due not to the difference in the color of a distinct surface layer, but to the power which the substance has of modifying the light incident upon it. The light emitted by fluorescent substances is in general of lower refrangibility than the incident light. Stockes.
fluorescent |Having the property of fluorescence.
