cullionly |Mean; base. Shak.
cynic |1. Having the qualities of a surly dog; snarling; captious; currish. I hope it is no very cynical asperity not to confess obligations where no benefit has been received. Johnson. 2. Pertaining to the Dog Star; as, the cynic, or Sothic, year; cynic cycle. 3. Belonging to the sect of philosophers called cynics; having the qualities of a cynic; pertaining to, or resembling, the doctrines of the cynics. 4. Given to sneering at rectitude and the conduct of life by moral principles; disbelieving in the reality of any human purposes which are not suggested or directed by self-interest or self-indulgence; as, a cynical man who scoffs at pretensions of integrity; characterized by such opinions; as, cynical views of human nature. Note: In prose, cynical is used rather than cynic, in the senses 1 and 4. Cynic spasm (Med.), a convulsive contraction of the muscles of one side of the face, producing a sort of grin, suggesting certain movements in the upper lip of a dog.\n\n1. One of a sect or school of philosophers founded by Antisthenes, and of whom Diogenes was a disciple. The first Cynics were noted for austere lives and their scorn for social customs and current philosophical opinions. Hence the term Cynic symbolized, in the popular judgment, moroseness, and contempt for the views of others. 2. One who holds views resembling those of the Cynics; a snarler; a misanthrope; particularly, a person who believes that human conduct is directed, either consciously or unconsciously, wholly by self- interest or self-indulgence, and that appearances to the contrary are superficial and untrustworthy. He could obtain from one morose cynic, whose opinion it was impossible to despise, scarcely any not acidulated with scorn. Macaulay.
cynical |1. Having the qualities of a surly dog; snarling; captious; currish. I hope it is no very cynical asperity not to confess obligations where no benefit has been received. Johnson. 2. Pertaining to the Dog Star; as, the cynic, or Sothic, year; cynic cycle. 3. Belonging to the sect of philosophers called cynics; having the qualities of a cynic; pertaining to, or resembling, the doctrines of the cynics. 4. Given to sneering at rectitude and the conduct of life by moral principles; disbelieving in the reality of any human purposes which are not suggested or directed by self-interest or self-indulgence; as, a cynical man who scoffs at pretensions of integrity; characterized by such opinions; as, cynical views of human nature. Note: In prose, cynical is used rather than cynic, in the senses 1 and 4. Cynic spasm (Med.), a convulsive contraction of the muscles of one side of the face, producing a sort of grin, suggesting certain movements in the upper lip of a dog.
cynically |In a cynical manner.
cynicalness |The quality of being cynical.
cynicism |The doctrine of the Cynics; the quality of being cynical; the mental state, opnions, or conduct, of a cynic; morose and contemptuous views and opinions.
cynoidea |A division of Carnivora, including the dogs, wolves, and foxes.
cynorexia |A voracious appetite, like that of a starved dog.
cynosural |Of or pertaining to a cynosure.
cynosure |1. The constellation of the Lesser Bear, to which, as containing the polar star, the eyes of mariners and travelers were often directed. 2. That which serves to direct. Southey. 3. Anything to which attention is strongly turned; a center of attraction. Where perhaps some beauty lies, The cynosure of neighboring eyes. Milton.
cyon |See Cion, and Scion.
cyperaceous |Of, pertaining to, or resembling, a large family of plants of which the sedge is the type.
cyperus |A large genus of plants belonging to the Sedge family, and including the species called galingale, several bulrushes, and the Egyptian papyrus.
cypher |See Cipher.
cyphonautes |The free-swimming, bivalve larva of certain Bryozoa.
cyphonism |A punishment sometimes used by the ancients, consisting in the besmearing of the criminal with honey, and exposing him to insects. It is still in use among some Oriental nations.
cypraea |A genus of mollusks, including the cowries. See Cowrie.
cypres |A rule for construing written instruments so as to conform as nearly to the intention of the parties as is consistent with law. Mozley & W.
cypress |A coniferous tree of the genus Cupressus. The species are mostly evergreen, and have wood remarkable for its durability. Note: Among the trees called cypress are the common Oriental cypress, Cupressus sempervirens, the evergreen American cypress, C. thyoides (now called Chamaecyparis sphaeroidea), and the deciduous American cypress, Taxodium distichum. As having anciently been used at funerals, and to adorn tombs, the Oriental species is an emblem of mourning and sadness. Cypress vine (Bot.), a climbing plant with red or white flowers (Ipotoea Quamoclit, formerly Quamoclit vulgaris).
cyprian |1. Belonging to Cyprus. 2. Of, pertaining, or conducing to, lewdness.\n\n1. A native or inhabitant of Cyprus, especially of ancient Cyprus; a Cypriot. 2. A lewd woman; a harlot.
cyprine |Of or pertaining to the cypress.\n\nCyprinoid.
cyprinodont |One of the Cyprinodontidae, a family of fishes including the killifishes or minnows. See Minnow.
cyprinoid |Like the carp (Cyprinus). -- n.  One of the Cyprinidae, or Carp family, as the goldfish, barbel, etc.
cypriot |A native or inhabitant of Cyprus.
cypripedium |A genus of orchidaceous plants including the lady's slipper.
cypris |A genus of small, bivalve, freshwater Crustacea, belonging to the Ostracoda; also, a member of this genus.
cyprus |A thin, transparent stuff, the same as, or corresponding to, crape. It was either white or black, the latter being most common, and used for mourning. [Obs.] Lawn as white as driven snow, Cyprus black as e'er was crow. Shak.
cypruslawn |Same as Cyprus. Milton.
cypsela |A one-seeded, one-called, indehiscent fruit; an achene with the calyx tube adherent.
cypseliform |Like or belonging to the swifts (Cypselidæ.)
cyrenaic |Pertaining to Cyrenaica, an ancient country of northern Africa, and to Cyrene, its principal city; also, to a school of philosophy founded by Aristippus, a native of Cyrene. -- n.  A native of Cyrenaica; also, a disciple of the school of Aristippus. See Cyrenian, n.
cyrenian |Pertaining to Cyrene, in Africa; Cyrenaic.\n\n1. A native or inhabitant of Cyrene. 2. One of a school of philosophers, established at Cyrene by Aristippus, a disciple of Socrates. Their doctrines were nearly the same as those of the Epicureans.
cyriologic |Relating to capital letters.
cyrtostyle |A circular projecting portion.
cyst |1. (Med.) (a) A pouch or sac without opening, usually membranous and containing morbid matter, which is accidentally developed in one of the natural cavaties or in the substance of an organ. (b) In old authors, the urinary bladder, or the gall bladder. [Written also cystis.] 2. (Bot.)  One of the bladders or air vessels of certain algæ, as of the great kelp of the Pacific, and common rockweeds (Fuci) of our shores. D. C. Eaton. 3. (Zoöl.) (a) A small capsule or sac of the kind in which many immature entozoans exit in the tissues of living animals; also, a similar form in Rotifera, etc. (b) A form assumed by Protozoa inwhich they become saclike and quiescent. It generally precedes the production of germs. See Encystment.
cysted |Inclosed in a cyst.
cystic |1. Having the form of, or living in, a cyst; as, the cystic entozoa. 2. Containing cysts; cystose; as, cystic sarcoma. 3. (Anat.)  Pertaining to, or contained in, a cyst; esp., pertaining to, or contained in, either the urinary bladder or the gall bladder. Cystic duct, the duct from the gall bladder which unites with the hepatic to form the common bile duct. -- Cystic worm (Zoöl.), a larval tape worm, as the cysticercus and echinococcus.
cysticerce |The larval form of a tapeworm, having the head and neck of a tapeworm attached to a saclike body filled with fluid; -- called also bladder worm, hydatid, and measle (as, pork measle). Note: These larvae live in the tissues of various living animals, and, when swallowed by a suitable carnivorous animal, develop into adult tapeworms in the intestine. See Measles, 4, Tapeworm.
cysticercus |The larval form of a tapeworm, having the head and neck of a tapeworm attached to a saclike body filled with fluid; -- called also bladder worm, hydatid, and measle (as, pork measle). Note: These larvae live in the tissues of various living animals, and, when swallowed by a suitable carnivorous animal, develop into adult tapeworms in the intestine. See Measles, 4, Tapeworm.
cysticule |An appendage of the vestibular ear sac of fishes. Owen.
cystid |One of the Cystidea.
cystidea |An order of Crinoidea, mostly fossils of the Paleozoic rocks. They were usually roundish or egg-shaped, and often unsymmetrical; some were sessile, others had short stems.
cystidean |One of the Cystidea.
cystine |A white crystalline substance, C3H7NSO2, containing sulphur, occuring as a constituent of certain rare urinary calculi, and occasionally found as a sediment in urine.
cystis |A cyst. See Cyst.
cystitis |Inflammation of the bladder.
cystocarp |A minute vesicle in a red seaweed, which contains the reproductive spores.
cystocele |Hernia in which the urinary bladder protrudes; vesical hernia.
cystoid |Same as Cystidean.
