trimester |A term or period of three months.
tryster |One who makes an appointment, or tryst; one who meets with another.
trysting |An appointment; a tryst. Trysting day, an arranged day of meeting or assembling, as of soldiers, friends, and the like. And named a trysting day, And bade his messengers ride forth East and west and south and north, To summon his array. Macaulay. -- Trysting place, a place designated for the assembling of soldiers, the meeting of parties for an interview, or the like; a rendezvous. Byron.
tsar |The title of the emperor of Russia. See Czar.
tsarina |The title of the empress of Russia. See Czarina.
tsaritsa |The title of the empress of Russia. See Czarina.
tschakmeck |The chameck.
tschego |A West African anthropoid ape allied to the gorilla and chimpanzee, and by some considered only a variety of the chimpanzee. It is noted for building large, umbrella-shaped nests in trees. Called also tscheigo, tschiego, nschego, nscheigo.
tsebe |The springbok.
tsetse |A venomous two-winged African fly (Glossina morsitans) whose bite is very poisonous, and even fatal, to horses and cattle, but harmless to men. It renders extensive districts in which it abounds uninhabitable during certain seasons of the year. [Written also tzetze, and tsetze.]
tsung tu |A viceroy or governor-general, the highest provincial official in China, with civil and military authority over one or more provinces.
tsung-li yamen |The board or department of foreign affairs in the Chinese government. See Yamen.
tu-whit |Words imitative of the notes of the owl. Thy tu-whits are lulled, I wot, Thy tu-whoos of yesternight. Tennyson.
tu-whoo |Words imitative of the notes of the owl. Thy tu-whits are lulled, I wot, Thy tu-whoos of yesternight. Tennyson.
tuatara |A large iguanalike reptile (Sphenodon punctatum) formerly common in New Zealand, but now confined to certain islets near the coast. It reaches a length of two and a half feet, is dark olive- green with small white or yellowish specks on the sides, and has yellow spines along the back, except on the neck.
tuatera |See Hatteria.
tub |1. An open wooden vessel formed with staves, bottom, and hoops; a kind of short cask, half barrel, or firkin, usually with but one head, -- used for various purposes. 2. The amount which a tub contains, as a measure of quantity; as, a tub of butter; a tub of camphor, which is about 1 cwt., etc. 3. Any structure shaped like a tub: as, a certain old form of pulpit; a short, broad boat, etc., -- often used jocosely or opprobriously. All being took up and busied, some in pulpits and some in tubs, in the grand work of preaching and holding forth. South. 4. A sweating in a tub; a tub fast. [Obs.] Shak. 5. A small cask; as, a tub of gin. 6. A box or bucket in which coal or ore is sent up a shaft; -- so called by miners. Tub fast, an old mode of treatment for the venereal disease, by sweating in a close place, or tub, and fasting. [Obs.] Shak. -- Tub wheel, a horizontal water wheel, usually in the form of a short cylinder, to the circumference of which spiral vanes or floats, placed radially, are attached, turned by the impact of one or more streams of water, conducted so as to strike against the floats in the direction of a tangent to the cylinder.\n\nTo plant or set in a tub; as, to tub a plant.\n\nTo make use of a bathing tub; to lie or be in a bath; to bathe. [Colloq.] Don't we all tub in England London Spectator.
tuba |(a) An ancient trumpet. (b) A sax-tuba. See Sax-tuba.
tubal |Of or pertaining to a tube; specifically, of or pertaining to one of the Fallopian tubes; as, tubal pregnancy.
tubbing |1. The forming of a tub; also, collectively, materials for tubs. 2. A lining of timber or metal around the shaft of a mine; especially, a series of cast-iron cylinders bolted together, used to enable those who sink a shaft to penetrate quicksand, water, etc., with safety.
