hortatory |Giving exhortation or advise; encouraging; exhortatory; inciting; as, a hortatory speech. Holland.
hydraulic |Of or pertaining to hydraulics, or to fluids in motion; conveying, or acting by, water; as, an hydraulic clock, crane, or dock. Hydraulic accumulator, an accumulator for hydraulic machinery of any kind. See Accumulator, 2. -- Hydraulic brake, a cataract. See Cataract, 3. -- Hydraulic cement, a cement or mortar made of hydraulic lime, which will harden under water. -- Hydraulic elevator, a lift operated by the weight or pressure of water. -- Hydraulic jack. See under Jack. -- Hydraulic lime, quicklime obtained from hydraulic limestone, and used for cementing under water, etc. -- Hydraulic limestone, a limestone which contains some clay, and which yields a quicklime that will set, or form a firm, strong mass, under water. -- Hydraulic main (Gas Works), a horizontal pipe containing water at the bottom into which the ends of the pipes from the retorts dip, for passing the gas through water in order to remove ammonia. -- Hydraulic mining, a system of mining in which the force of a jet of water is used to wash down a bank of gold-bearing gravel or earth. [Pacific Coast] -- Hydraulic press, a hydrostatic press. See under Hydrostatic. -- Hydraulic propeller, a device for propelling ships by means of a stream of water ejected under water rearward from the ship. -- Hydraulic ram, a machine for raising water by means of the energy of the moving water of which a portion is to be raised. When the rush of water through the main pipe d shuts the valve at a, the momentum of the current thus suddenly checked forces part of it into the air chamber b, and up the pipe c, its return being prevented by a valve at the entrance to the air chamber, while the dropping of the valve a by its own weight allows another rush through the main pipe, and so on alternately. -- Hydraulic valve. (Mach.) (a) A valve for regulating the distribution of water in the cylinders of hydraulic elevators, cranes, etc. (b) (Gas Works) An inverted cup with a partition dipping into water, for opening or closing communication between two gas mains, the open ends of which protrude about the water.
hydraulical |Hydraulic.
hydraulicon |An ancient musical instrument played by the action of water; a water organ. [Written also hydraulis.]
hydraulics |That branch of science, or of engineering, which treats of fluids in motion, especially of water, its action in rivers and canals, the works and machinery for conducting or raising it, its use as a prime mover, and the like. Note: As a science, hydraulics includes hydrodynamics, or the principles of mechanics applicable to the motion of water; as a branch of engineering, it consists in the practical application of the mechanics of fluids to the control and management of water with reference to the wants of man, including canals, waterworks, hydraulic machines, pumps, water wheels, etc. Some writers treat hydraulics and hydrostatics as subdivisions of hydrodynamics.
hydrazine |Any one of a series of nitrogenous bases, resembling the amines and produced by the reduction of certain nitroso and diazo compounds; as, methyl hydrazine, phenyl hydrazine, etc. They are derivatives of hydrazine proper, H2N.NH2, which is a doubled amido group, recently (1887) isolated as a stable, colorless gas, with a peculiar, irritating odor. As a base it forms distinct salts. Called also diamide, amidogen, (or more properly diamidogen), etc.
hydrencephsloid |Same as Hydrocephaloid.
hydria |A water jar; esp., one with a large rounded body, a small neck, and three handles. Some of the most beautiful Greek vases are of this form.
hydriad |A water nymph.
hydric |Pertaining to, or containing, hydrogen; as, hydric oxide. Hydric dioxide. (Chem.) See Hydrogen dioxide, under Hydrogen. -- Hydric oxide (Chem.), water. -- Hydric sulphate (Chem.), hydrogen sulphate or sulphuric acid.
hydride |A compound of the binary type, in which hydrogen is united with some other element.
hydriform |Having the form or structure of a hydra.
hydrina |The group of hydroids to which the fresh-water hydras belong.
hydriodate |Same as Hydriodide.
hydriodic |Pertaining to, or derived from, hydrogen and iodine; -- said of an acid produced by the combination of these elements. Hydriodic acid (Chem.), a pungent, colorless gas, HI, usually prepared as a solution in water. It is strong reducing agent. Called also hydrogen iodine.
hydriodide |A compound of hydriodic acid with a base; -- distinguished from an iodide, in which only the iodine combines with the base.
hydro- |1. A combining form from Gr. Hydra). 2. (Chem.)  A combining form of hydrogen, indicating hydrogen as an ingredient, as hydrochloric; or a reduction product obtained by hydrogen, as hydroquinone.
hydro-aeroplane |An aëroplane with a boatlike or other understructure that enables it to travel on, or to rise from the surface of, a body of water by its own motive power.
hydro-electric |Pertaining to, employed in, or produced by, the evolution of electricity by means of a battery in which water or steam is used. Hydro-electric machine (Physics), an apparatus invented by Sir William Armstrong of England for generating electricity by the escape of high-pressure steam from a series of jets connected with a strong boiler, in which the steam is produced.
hydro-extractor |An apparatus for drying anything, as yarn, cloth, sugar, etc., by centrifugal force; a centrifugal.
hydrobarometer |An instrument for determining the depth of the sea water by its pressure.
hydrobilirubin |A body formed from bilirubin, identical with urobilin.
hydrobiplane |A hydro-aëroplane having two supporting planes.
hydrobranchiata |An extensive artificial division of gastropod mollusks, including those that breathe by gills, as contrasted with the Pulmonifera. -- Hy`dro*bran\"chi*ate, a.
hydrobromate |Same as Hydrobromide.
hydrobromic |Composed of hydrogen and bromine; as, hydrobromic acid. Hydrobromic acid (Chem.), a colorless, pungent, corrosive gas, HBr, usually collected as a solution in water. It resembles hydrochloric acid, but is weaker and less stable. Called also hydrogen bromide.
hydrobromide |A compound of hydrobromic acid with a base; -- distinguished from a bromide, in which only the bromine unites with the base.
hydrocarbon |A compound containing only hydrogen and carbon, as methane, benzene, etc.; also, by extension, any of their derivatives. Hydrocarbon burner, furnace, stove, a burner, furnace, or stove with which liquid fuel, as petroleum, is used.
hydrocarbonaceous |Of the nature, or containing, hydrocarbons.
hydrocarbonate |(a) (Old Chem.) A hydrocarbon. [Obs.] (b) (Chem.) A hydrous carbonate, as malachite.
hydrocarbostyril |A white, crystalline, nitrogenous hydrocarbon, C9H9NO, obtained from certain derivatives of cinnamic acid and closely related to quinoline and carbostyril.
hydrocarburet |Carbureted hydrogen; also, a hydrocarbon. [Obs.]
hydrocaulus |The hollow stem of a hydroid, either simple or branched. See Illust. of Gymnoblastea and Hydroidea.
hydrocele |A collection of serous fluid in the areolar texture of the scrotum or in the coverings, especially in the serous sac, investing the testicle or the spermatic cord; dropsy of the testicle.
hydrocephalic |Relating to, or connected with, hydrocephalus, or dropsy of the brain.
hydrocephaloid |Resembling hydrocephalus. Hydrocephaloid affection (Med.), the group of symptoms which follow exhausting diarrhea in young children, resembling those of acute hydrocephalus, or tubercular meningitis.
hydrocephalous |Having hydrocephalus. \"Hydrocephalous offspring.\" G. Eliot.
hydrocephalus |An accumulation of liquid within the cavity of the cranium, especially within the ventricles of the brain; dropsy of the brain. It is due usually to tubercular meningitis. When it occurs in infancy, it often enlarges the head enormously.
hydrochlorate |Same as Hydrochloride.
