blancmanger |A sort of fricassee with white sauce, variously made of capon, fish, etc. [Obs.] Chaucer.
blushless |Free from blushes; incapable of blushing; shameless; impudent. Vice now, secure, her blushless front shall raise. Dodsley.
blushy |Like a blush; having the color of a blush; rosy. [R.] \"A blushy color.\" Harvey.
bluster |1. To blow fitfully with violence and noise, as wind; to be windy and boisterous, as the weather. And ever-threatening storms Of Chaos blustering round. Milton. 2. To talk with noisy violence; to swagger, as a turbulent or boasting person; to act in a noisy, tumultuous way; to play the bully; to storm; to rage. Your ministerial directors blustered like tragic tyrants. Burke.\n\nTo utter, or do, with noisy violence; to force by blustering; to bully. He bloweth and blustereth out . . . his abominable blasphemy. Sir T. More. As if therewith he meant to bluster all princes into a perfect obedience to his commands. Fuller.\n\n1. Fitful noise and violence, as of a storm; violent winds; boisterousness. To the winds they set Their corners, when with bluster to confound Sea, air, and shore. Milton. 2. Noisy and violent or threatening talk; noisy and boastful language. L'Estrange. Syn. -- Noise; boisterousness; tumult; turbulence; confusion; boasting; swaggering; bullying.
blusterer |One who, or that which, blusters; a noisy swaggerer.
blustering |1. Exhibiting noisy violence, as the wind; stormy; tumultuous. A tempest and a blustering day. Shak. 2. Uttering noisy threats; noisy and swaggering; boisterous. \"A blustering fellow.\" L'Estrange.
blusteringly |In a blustering manner.
blusterous |Inclined to bluster; given to blustering; blustering. Motley.
blustrous |Blusterous. Shak.
bo |An exclamation used to startle or frighten. [Spelt also boh and boo.]
bo tree |The peepul tree; esp., the very ancient tree standing at Anurajahpoora in Ceylon, grown from a slip of the tree under which Gautama is said to have received the heavenly light and so to have become Buddha. The sacred bo tree of the Buddhists (Ficus religiosa), which is planted close to every temple, and attracts almost as much veneration as the status of the god himself. . . . It differs from the banyan (Ficus Indica) by sending down no roots from its branches. Tennent.
boa |1. (Zoöl.)  A genus of large American serpents, including the boa constrictor, the emperor boa of Mexico (B. imperator), and the chevalier boa of Peru (B. eques). Note: The name is also applied to related genera; as, the dog-headed boa (Xiphosoma caninum). 2. A long, round fur tippet; -- so called from its resemblance in shape to the boa constrictor.
boa constrictor |A large and powerful serpent of tropical America, sometimes twenty or thirty feet long. See Illustration in Appendix. Note: It has a succession of spots, alternately black and yellow, extending along the back. It kills its prey by constriction. The name is also loosely applied to other large serpents which crush their prey, particularly to those of the genus Python, found in Asia and Africa.
boanerges |Any declamatory and vociferous preacher or orator.
boar |The uncastrated male of swine; specifically, the wild hog.
board |1. A piece of timber sawed thin, and of considerable length and breadth as compared with the thickness, -- used for building, etc. Note: When sawed thick, as over one and a half or two inches, it is usually called a plank. 2. A table to put food upon. Note: The term board answers to the modern table, but it was often movable, and placed on trestles. Halliwell. Fruit of all kinds . . . She gathers, tribute large, and on the board Heaps with unsparing hand. Milton. 3. Hence: What is served on a table as food; stated meals; provision; entertainment; -- usually as furnished for pay; as, to work for one's board; the price of board. 4. A table at which a council or court is held. Hence: A council, convened for business, or any authorized assembly or meeting, public or private; a number of persons appointed or elected to sit in council for the management or direction of some public or private business or trust; as, the Board of Admiralty; a board of trade; a board of directors, trustees, commissioners, etc. Both better acquainted with affairs than any other who sat then at that board. Clarendon. We may judge from their letters to the board. Porteus. 5. A square or oblong piece of thin wood or other material used for some special purpose, as, a molding board; a board or surface painted or arranged for a game; as, a chessboard; a backgammon board. 6. Paper made thick and stiff like a board, for book covers, etc.; pasteboard; as, to bind a book in boards. 7. pl.  The stage in a theater; as, to go upon the boards, to enter upon the theatrical profession. 8. Etym: [In this use originally perh. a different word meaning border, margin; cf. D. boord, G. bord, shipboard, and G. borte trimming; also F. bord (fr. G.) the side of a ship. Cf. Border.]  The border or side of anything. (Naut.) (a) The side of a ship. \"Now board to board the rival vessels row.\" Dryden. See On board, below. (b) The stretch which a ship makes in one tack. Note: Board is much used adjectively or as the last part of a compound; as, fir board, clapboard, floor board, shipboard, sideboard, ironing board, chessboard, cardboard, pasteboard, seaboard; board measure. The American Board, a shortened form of \"The American Board of Commissioners for Foreign Missions\" (the foreign missionary society of the American Congregational churches). -- Bed and board. See under Bed. -- Board and board (Naut.), side by side. -- Board of control, six privy councilors formerly appointed to superintend the affairs of the British East Indies. Stormonth. -- Board rule, a figured scale for finding without calculation the number of square feet in a board. Haldeman. -- Board of trade, in England, a committee of the privy council appointed to superintend matters relating to trade. In the United States, a body of men appointed for the advancement and protection of their business interests; a chamber of commerce. -- Board wages. (a) Food and lodging supplied as compensation for services; as, to work hard, and get only board wages. (b) Money wages which are barely sufficient to buy food and lodging. (c) A separate or special allowance of wages for the procurement of food, or food and lodging. Dryden. -- By the board, over the board, or side. \"The mast went by the board.\" Totten. Hence (Fig.), To go by the board, to suffer complete destruction or overthrow. -- To enter on the boards, to have one's name inscribed on a board or tablet in a college as a student. [Cambridge, England.] \"Having been entered on the boards of Trinity college.\" Hallam. -- To make a good board (Naut.), to sail in a straight line when close-hauled; to lose little to leeward. -- To make short boards, to tack frequently. -- On board. (a) On shipboard; in a ship or a boat; on board of; as, I came on board early; to be on board ship. (b) In or into a railway car or train. [Colloq. U. S.] -- Returning board, a board empowered to canvass and make an official statement of the votes cast at an election. [U.S.]\n\n1. To cover with boards or boarding; as, to board a house. \"The boarded hovel.\" Cowper. 2. Etym: [Cf. Board to accost, and see Board, n.]  To go on board of, or enter, as a ship, whether in a hostile or a friendly way. You board an enemy to capture her, and a stranger to receive news or make a communication. Totten. 3. To enter, as a railway car. [Colloq. U. S.] 4. To furnish with regular meals, or with meals and lodgings, for compensation; to supply with daily meals. 5. To place at board, for compensation; as, to board one's horse at a livery stable.\n\nTo obtain meals, or meals and lodgings, statedly for compensation; as, he boards at the hotel. We are several of us, gentlemen and ladies, who board in the same house. Spectator.\n\nTo approach; to accost; to address; hence, to woo. [Obs.] I will board her, though she chide as loud As thunder when the clouds in autumn crack. Shak.
boardable |That can be boarded, as a ship.
boarder |1. One who has food statedly at another's table, or meals and lodgings in his house, for pay, or compensation of any kind. 2. (Naut.)  One who boards a ship; one selected to board an enemy's ship. Totten.
boarding |1. (Naut.)  The act of entering a ship, whether with a hostile or a friendly purpose. Both slain at one time, as they attempted the boarding of a frigate. Sir F. Drake. 2. The act of covering with boards; also, boards, collectively; or a covering made of boards. 3. The act of supplying, or the state of being supplied, with regular or specified meals, or with meals and lodgings, for pay. Boarding house, a house in which boarders are kept. -- Boarding nettings (Naut.), a strong network of cords or ropes erected at the side of a ship to prevent an enemy from boarding it. -- Boarding pike (Naut.), a pike used by sailors in boarding a vessel, or in repelling an attempt to board it. Totten. -- Boarding school, a school in which pupils receive board and lodging as well as instruction.
boarfish |(a) A Mediterranean fish (Capros aper), of the family Caproidæ; -- so called from the resemblance of the extended lips to a hog's snout. (b) An Australian percoid fish (Histiopterus recurvirostris), valued as a food fish.
boarish |Swinish; brutal; cruel. In his anointed flesh stick boarish fangs. Shak.
boast |1. To vaunt one's self; to brag; to say or tell things which are intended to give others a high opinion of one's self or of things belonging to one's self; as, to boast of one's exploits courage, descent, wealth. By grace are ye saved through faith; and that not of yourselves: .. not of works, lest any man should boast. Eph. ii. 8, 9. 2. To speak in exulting language of another; to glory; to exult. In God we boast all the day long. Ps. xiiv. 8 Syn. -- To brag; bluster; vapor; crow; talk big.\n\n1. To display in ostentatious language; to speak of with pride, vanity, or exultation, with a view to self-commendation; to extol. Lest bad men should boast Their specious deeds. Milton. 2. To display vaingloriously. 3. To possess or have; as, to boast a name. To boast one's self, to speak with unbecoming confidence in, and approval of, one's self; -- followed by of and the thing to which the boasting relates. [Archaic] Boast not thyself of to-morrow. Prov. xxvii.\n\n1. (Masonry)  To dress, as a stone, with a broad chisel. Weale. 2. (Sculp.)  To shape roughly as a preparation for the finer work to follow; to cut to the general form required.\n\n1. Act of boasting; vaunting or bragging. Reason and morals and where live they most, In Christian comfort, or in Stoic boast! Byron. 2. The cause of boasting; occasion of pride or exultation, -- sometimes of laudable pride or exultation. The boast of historians. Macaulay.
boastance |Boasting. [Obs.] Chaucer.
boaster |One who boasts; a braggart.\n\nA stone mason's broad-faced chisel.
boastful |Given to, or full of, boasting; inclined to boast; vaunting; vainglorious; self-praising. -- Boast\"ful*ly, adv. -- Boast\"ful*ness, n.
boasting |The act of glorying or vaunting; vainglorious speaking; ostentatious display. When boasting ends, then dignity begins. Young.
boastingly |Boastfully; with boasting. \"He boastingly tells you.\" Burke.
boastive |Presumptuous. [R.]
boastless |Without boasting or ostentation.
boat |1. A small open vessel, or water craft, usually moved by cars or paddles, but often by a sail. Note: Different kinds of boats have different names; as, canoe, yawl, wherry, pinnace, punt, etc. 2. Hence, any vessel; usually with some epithet descriptive of its use or mode of propulsion; as, pilot boat, packet boat, passage boat, advice boat, etc. The term is sometimes applied to steam vessels, even of the largest class; as, the Cunard boats. 3. A vehicle, utensil, or dish, somewhat resembling a boat in shape; as, a stone boat; a gravy boat. Note: Boat is much used either adjectively or in combination; as, boat builder or boatbuilder; boat building or boatbuilding; boat hook or boathook; boathouse; boat keeper or boatkeeper; boat load; boat race; boat racing; boat rowing; boat song; boatlike; boat-shaped. Advice boat. See under Advice. -- Boat hook (Naut.), an iron hook with a point on the back, fixed to a long pole, to pull or push a boat, raft, log, etc. Totten. -- Boat rope, a rope for fastening a boat; -- usually called a painter. -- In the same boat, in the same situation or predicament. [Colloq.] F. W. Newman.\n\n1. To transport in a boat; as, to boat goods. 2. To place in a boat; as, to boat oars. To boat the oars. See under Oar.\n\nTo go or row in a boat. I boated over, ran my craft aground. Tennyson.
boat bug |An aquatic hemipterous insect of the genus Notonecta; -- so called from swimming on its back, which gives it the appearance of a little boat. Called also boat fly, boat insect, boatman, and water boatman.
boat shell |(a) A marine gastropod of the genus Crepidula. The species are numerous. It is so named from its form and interior deck. (b) A marine univalve shell of the genus Cymba.
boat-shaped |See Cymbiform.
boat-tail |A large grackle or blackbird (Quiscalus major), found in the Southern United States.
boatable |1. Such as can be transported in a boat. 2. Navigable for boats, or small river craft. The boatable waters of the Alleghany. J. Morse.
boatage |Conveyance by boat; also, a charge for such conveyance.
boatbill |1. A wading bird (Cancroma cochlearia) of the tropical parts of South America. Its bill is somewhat like a boat with the keel uppermost. 2. A perching bird of India, of the genus Eurylaimus.
boatful |The quantity or amount that fills a boat.
boathouse |A house for sheltering boats. Half the latticed boathouse hides. Wordsworth.
boating |1. The act or practice of rowing or sailing, esp. as an amusement; carriage in boats. 2. In Persia, a punishment of capital offenders, by laying them on the back in a covered boat, where they are left to perish.
boation |A crying out; a roaring; a bellowing; reverberation. [Obs.] The guns were heard . . . about a hundred Italian miles, in long boations. Derham.
boatman |1. A man who manages a boat; a rower of a boat. As late the boatman hies him home. Percival. 2. (Zoöl.)  A boat bug. See Boat bug.
boatmanship |The art of managing a boat.
boatsman |A boatman. [Archaic]
boatswain |1. (Naut.)  An officer who has charge of the boats, sails, rigging, colors, anchors, cables, cordage, etc., of a ship, and who also summons the crew, and performs other duties. 2. (Zoöl.) (a) The jager gull. (b) The tropic bird. Boatswain's mate, an assistant of the boatswain. Totten.
boatwoman |A woman who manages a boat.
bob |1. Anything that hangs so as to play loosely, or with a short abrupt motion, as at the end of a string; a pendant; as, the bob at the end of a kite's tail. In jewels dressed and at each ear a bob. Dryden. 2. A knot of worms, or of rags, on a string, used in angling, as for eels; formerly, a worm suitable for bait. Or yellow bobs, turned up before the plow, Are chiefest baits, with cork and lead enow. Lauson. 3. A small piece of cork or light wood attached to a fishing line to show when a fish is biting; a float. 4. The ball or heavy part of a pendulum; also, the ball or weight at the end of a plumb line. 5. A small wheel, made of leather, with rounded edges, used in polishing spoons, etc. 6. A short, jerking motion; act of bobbing; as, a bob of the head. 7. (Steam Engine)  A working beam. 8. A knot or short curl of hair; also, a bob wig. A plain brown bob he wore. Shenstone. 9. A peculiar mode of ringing changes on bells. 10. The refrain of a song. To bed, to bed, will be the bob of the song. L'Estrange. 11. A blow; a shake or jog; a rap, as with the fist. 12. A jeer or flout; a sharp jest or taunt; a trick. He that a fool doth very wisely hit, Doth very foolishly, although he smart, Not to seem senseless of the bob. Shak. 13. A shilling. [Slang, Eng.] Dickens.\n\n1. To cause to move in a short, jerking manner; to move (a thing) with a bob. \"He bobbed his head.\" W. Irving. 2. To strike with a quick, light blow; to tap. If any man happened by long sitting to sleep . . . he was suddenly bobbed on the face by the servants. Elyot. 3. To cheat; to gain by fraud or cheating; to filch. Gold and jewels that I bobbed from him. Shak. 4. To mock or delude; to cheat. To play her pranks, and bob the fool, The shrewish wife began. Turbervile. 5. To cut short; as, to bob the hair, or a horse's tail.\n\n1. To have a short, jerking motion; to play to and fro, or up and down; to play loosely against anything. \"Bobbing and courtesying.\" Thackeray. 2. To angle with a bob. See Bob, n., 2 & 3. He ne'er had learned the art to bob For anything but eels. Saxe. To bob at an apple, cherry, etc. to attempt to bite or seize with the mouth an apple, cherry, or other round fruit, while it is swinging from a string or floating in a tug of water.
bob wig |A short wig with bobs or short curls; -- called also bobtail wig. Spectator.
bob-cherry |A play among children, in which a cherry, hung so as to bob against the mouth, is to be caught with the teeth.
bobac |The Poland marmot (Arctomys bobac).
bobance |A boasting. [Obs.] Chaucer.
bobber |One who, or that which, bobs.
bobbery |A squabble; a tumult; a noisy disturbance; as, to raise a bobbery. [Low] Halliwell.
bobbin |1. A small pin, or cylinder, formerly of bone, now most commonly of wood, used in the making of pillow lace. Each thread is wound on a separate bobbin which hangs down holding the thread at a slight tension. 2. A spool or reel of various material and construction, with a head at one or both ends, and sometimes with a hole bored through its length by which it may be placed on a spindle or pivot. It is used to hold yarn or thread, as in spinning or warping machines, looms, sewing machines, etc. 3. The little rounded piece of wood, at the end of a latch string, which is pulled to raise the latch. 4. (Haberdashery)  A fine cord or narrow braid. 5. (Elec.)  A cylindrical or spool-shaped coil or insulated wire, usually containing a core of soft iron which becomes magnetic when the wire is traversed by an electrical current. Bobbin and fly frame, a roving machine. -- Bobbin lace, lace made on a pillow with bobbins; pillow lace.
bobbinet |A kind of cotton lace which is wrought by machines, and not by hand. [Sometimes written bobbin net.]The English machine-made net is now confined to point net, warp net, and bobbin net, so called from the peculiar construction of the machines by which they are produced. Tomlinsom.
bobbinwork |Work woven with bobbins.
bobbish |Hearty; in good spirits. [Low, Eng.] Dickens.
bobby |A nickname for a policeman; -- from Sir Robert Peel, who remodeled the police force. See Peeler. [Slang, Eng.] Dickens.
bobfly |The fly at the end of the leader; an end fly.
bobolink |An American singing bird (Dolichonyx oryzivorus). The male is black and white; the female is brown; -- called also, ricebird, reedbird, and Boblincoln. The happiest bird of our spring is the bobolink. W. Irving.
bobsled |A short sled, mostly used as one of a pair connected by a reach or coupling; also, the compound sled so formed. [U. S.] The long wagon body set on bobsleds. W. D. Howells.
bobsleigh |A short sled, mostly used as one of a pair connected by a reach or coupling; also, the compound sled so formed. [U. S.] The long wagon body set on bobsleds. W. D. Howells.
bobstay |A rope or chain to confine the bowsprit of a ship downward to the stem or cutwater; -- usually in the pl.
bobtail |An animal (as a horse or dog) with a short tail. Rag, tag, and bobtail, the rabble.\n\nBobtailed. \"Bobtail cur.\" Marryat.
bobtailed |Having the tail cut short, or naturally short; curtailed; as, a bobtailed horse or dog; a bobtailed coat.
bobwhite |The common qua(Colinus, or Ortyx, Virginianus); -- so called from its note.
bocal |A cylindrical glass vessel, with a large and short neck.
bocardo |1. (Logic)  A form of syllogism of which the first and third propositions are particular negatives, and the middle term a universal affirmative. Baroko and Bocardo have been stumbling blocks to the logicians. Bowen. 2. A prison; -- originally the name of the old north gate in Oxford, which was used as a prison. [Eng.] Latimer.
bocasine |A sort of fine buckram.
bocca |The round hole in the furnace of a glass manufactory through which the fused glass is taken out. Craig.
boce |A European fish (Box vulgaris), having a compressed body and bright colors; -- called also box, and bogue.
bock beer |A strong beer, originally made in Bavaria. [Also written buck beer.]
bockelet |A kind of long-winged hawk; -- called also bockerel, and bockeret. [Obs.]
bockey |A bowl or vessel made from a gourd. [Local, New York] Bartlett.
bocking |A coarse woolen fabric, used for floor cloths, to cover carpets, etc.; -- so called from the town of Bocking, in England, where it was first made.
bockland |See Bookland.\n\nCharter land held by deed under certain rents and free services, which differed in nothing from free socage lands. This species of tenure has given rise to the modern freeholds.
bod veal |Veal too immature to be suitable for food.
boddice |See Bodick.
bode |To indicate by signs, as future events; to be the omen of; to portend to presage; to foreshow. A raven that bodes nothing but mischief. Goldsmith. Good onset bodes good end. Spenser.\n\nTo foreshow something; to augur. Whatever now The omen proved, it boded well to you. Dryden. Syn. -- To forebode; foreshadow; augur; betoken.\n\n1. An omen; a foreshadowing. [Obs.] The owl eke, that of death the bode bringeth. Chaucer. 2. A bid; an offer. [Obs. or Dial.] Sir W. Scott\n\nA messenger; a herald. Robertson.\n\nA stop; a halting; delay. [Obs.]\n\nAbode. There that night they bode. Tennyson.\n\nof Bid. Bid or bidden. [Obs.] Chaucer.
bodeful |Portentous; ominous. Carlyle.
bodement |An omen; a prognostic. [Obs.] This foolish, dreaming, superstitious girl Makes all these bodements. Shak.
bodge |A botch; a patch. [Dial.] Whitlock.\n\nTo botch; to mend clumsily; to patch. [Obs. or Dial.]\n\nSee Budge.
bodhisat |One who has reached the highest degree of saintship, so that in his next incarnation he will be a Buddha, or savior of the world. -- Bo\"dhi*sat`ship, n.
bodhisattva |One who has reached the highest degree of saintship, so that in his next incarnation he will be a Buddha, or savior of the world. -- Bo\"dhi*sat`ship, n.
bodhisattwa |One who has reached the highest degree of saintship, so that in his next incarnation he will be a Buddha, or savior of the world. -- Bo\"dhi*sat`ship, n.
bodian |A large food fish (Diagramma lineatum), native of the East Indies.
bodice |1. A kind of under waist stiffened with whalebone, etc., worn esp. by women; a corset; stays. 2. A close-fitting outer waist or vest forming the upper part of a woman's dress, or a portion of it. Her bodice half way she unlaced. Prior.
bodiced |Wearing a bodice. Thackeray.
bodied |Having a body; -- usually in composition; as, able-bodied. A doe . . . not altogether so fat, but very good flesh and good bodied. Hakluyt.
bodiless |1. Having no body. 2. Without material form; incorporeal. Phantoms bodiless and vain. Swift.
bodiliness |Corporeality. Minsheu.
bodily |1. Having a body or material form; physical; corporeal; consisting of matter. You are a mere spirit, and have no knowledge of the bodily part of us. Tatler. 2. Of or pertaining to the body, in distinction from the mind. \"Bodily defects.\" L'Estrange. 3. Real; actual; put in execution. [Obs.] Be brought to bodily act. Shak. Bodily fear, apprehension of physical injury. Syn. -- See Corporal.\n\n1. Corporeally; in bodily form; united with a body or matter; in the body. For in him dwelleth all the fullness of the Godhead bodily. Col. ii. 9 2. In respect to, or so as to affect, the entire body or mass; entirely; all at once; completely; as, to carry away bodily. \"Leapt bodily below.\" Lowell.
boding |Foreshowing; presaging; ominous. -- Bod\"ing*ly, adv.\n\nA prognostic; an omen; a foreboding.
bodkin |1. A dagger. [Obs.] When he himself might his quietus make With a bare bodkin. Shak. 2. (Needlework)  An implement of steel, bone, ivory, etc., with a sharp point, for making holes by piercing; a 3. (Print.)  A sharp tool, like an awl, used for picking 4. A kind of needle with a large eye and a blunt point, for drawing tape, ribbon, etc., through a loop or a hem; a tape needle. Wedged whole ages in a bodkin's eye. Pope. 5. A kind of pin used by women to fasten the hair. To sit, ride, or travel bodkin, to sit closely wedged between two persons. [Colloq.] Thackeray.\n\nSee Baudekin. [Obs.] Shirley.
bodle |A small Scotch coin worth about one sixth of an English penny. Sir W. Scott.
bodleian |Of or pertaining to Sir Thomas Bodley, or to the celebrated library at Oxford, founded by him in the sixteenth century.
bodock |The Osage orange. [Southwestern U.S.]
bodrage |A raid. [Obs.]
body |1. The material organized substance of an animal, whether living or dead, as distinguished from the spirit, or vital principle; the physical person. Absent in body, but present in spirit. 1 Cor. v. 3 For of the soul the body form doth take. For soul is form, and doth the body make. Spenser. 2. The trunk, or main part, of a person or animal, as distinguished from the limbs and head; the main, central, or principal part, as of a tree, army, country, etc. Who set the body and the limbs Of this great sport together Shak. The van of the king's army was led by the general; . . . in the body was the king and the prince. Clarendon. Rivers that run up into the body of Italy. Addison. 3. The real, as opposed to the symbolical; the substance, as opposed to the shadow. Which are a shadow of things to come; but the body is of Christ. Col. ii. 17. 4. A person; a human being; -- frequently in composition; as, anybody, nobody. A dry, shrewd kind of a body. W. Irving. 5. A number of individuals spoken of collectively, usually as united by some common tie, or as organized for some purpose; a collective whole or totality; a corporation; as, a legislative body; a clerical body. A numerous body led unresistingly to the slaughter. Prescott. 6. A number of things or particulars embodied in a system; a general collection; as, a great body of facts; a body of laws or of divinity. 7. Any mass or portion of matter; any substance distinct from others; as, a metallic body; a moving body; an aëriform body. \"A body of cold air.\" Huxley. By collision of two bodies, grind The air attrite to fire. Milton. 8. Amount; quantity; extent. 9. That part of a garment covering the body, as distinguished from the parts covering the limbs. 10. The bed or box of a vehicle, on or in which the load is placed; as, a wagon body; a cart body. 11. (Print.)  The shank of a type, or the depth of the shank (by which the size is indicated); as, a nonpareil face on an agate body. 12. (Geom.)  A figure that has length, breadth, and thickness; any solid figure. 13. Consistency; thickness; substance; strength; as, this color has body; wine of a good body. Note: Colors bear a body when they are capable of being ground so fine, and of being mixed so entirely with oil, as to seem only a very thick oil of the same color. After body (Naut.), the part of a ship abaft the dead flat. -- Body cavity (Anat.), the space between the walls of the body and the inclosed viscera; the cælum; -- in mammals, divided by the diaphragm into thoracic and abdominal cavities. -- Body of a church, the nave. -- Body cloth; pl. Body cloths, a cloth or blanket for covering horses. -- Body clothes. (pl.) 1. Clothing for the body; esp. underclothing. 2. Body cloths for horses. [Obs.] Addison. -- Body coat, a gentleman's dress coat. -- Body color (Paint.), a pigment that has consistency, thickness, or body, in distinction from a tint or wash. -- Body of a law (Law), the main and operative part. -- Body louse (Zoöl.), a species of louse (Pediculus vestimenti), which sometimes infests the human body and clothes. See Grayback. -- Body plan (Shipbuilding), an end elevation, showing the conbour of the sides of a ship at certain points of her length. -- Body politic, the collective body of a nation or state as politically organized, or as exercising political functions; also, a corporation. Wharton. As to the persons who compose the body politic or associate themselves, they take collectively the name of \"people\| or \"nation\". Bouvier. -- Body servant| a valet. -- The bodies seven (Alchemy)| the metals corresponding to the planets. [Obs.] Sol gold is| and Luna silver we threpe (=call)| Mars yren (=iron)| Mercurie quicksilver we clepe| Saturnus lead| and Jupiter is tin| and Venus coper. Chaucer. -- Body snatcher| one who secretly removes without right or authority a dead body from a grave| vault| etc.; a resurrectionist. -- Body snatching (Law)| the unauthorized removal of a dead body from the grave; usually for the purpose of dissection.\n\nTo furnish with| or as with| a body; to produce in definite shape; to embody. To body forth| to give from or shape to mentally. Imagination bodies forth The forms of things unknown. Shak."
bodyguard |1. A guard to protect or defend the person; a lifeguard. 2. Retinue; attendance; following. Bp. Porteus.
boeotian |Of or pertaining to Boeotia; hence, stupid; dull; obtuse. -- n.  A native of Boeotia; also, one who is dull and ignorant.
boer |A colonist or farmer in South Africa of Dutch descent.
boes |Behoves or behooves. [Obs.] Chaucer.
bog |1. A quagmire filled with decayed moss and other vegetable matter; wet spongy ground where a heavy body is apt to sink; a marsh; a morass. Appalled with thoughts of bog, or caverned pit, Of treacherous earth, subsiding where they tread. R. Jago. 2. A little elevated spot or clump of earth, roots, and grass, in a marsh or swamp. [Local, U. S.] Bog bean. See Buck bean. -- Bog bumper (bump, to make a loud noise), Bog blitter, Bog bluiter, Bog jumper, the bittern. [Prov.] -- Bog butter, a hydrocarbon of butterlike consistence found in the peat bogs of Ireland. -- Bog earth (Min.), a soil composed for the most part of silex and partially decomposed vegetable fiber. P. Cyc. -- Bog moss. (Bot.) Same as Sphagnum. -- Bog myrtle (Bot.), the sweet gale. -- Bog ore. (Min.) (a) An ore of iron found in boggy or swampy land; a variety of brown iron ore, or limonite. (b) Bog manganese, the hydrated peroxide of manganese. -- Bog rush (Bot.), any rush growing in bogs; saw grass. -- Bog spavin. See under Spavin.\n\nTo sink, as into a bog; to submerge in a bog; to cause to sink and stick, as in mud and mire. At another time, he was bogged up to the middle in the slough of Lochend. Sir W. Scott.
bogberry |The small cranberry (Vaccinium oxycoccus), which grows in boggy places.
bogey |A goblin; a bugbear. See Bogy.
boggard |A bogey. [Local, Eng.]
boggle |1. To stop or hesitate as if suddenly frightened, or in doubt, or impeded by unforeseen difficulties; to take alarm; to exhibit hesitancy and indecision. We start and boggle at every unusual appearance. Glanvill. Boggling at nothing which serveth their purpose. Barrow. 2. To do anything awkwardly or unskillfully. 3. To play fast and loose; to dissemble. Howell. Syn. -- To doubt; hesitate; shrink; stickle; demur.\n\nTo embarrass with difficulties; to make a bungle or botch of. [Local, U. S.]
boggler |One who boggles.
bogglish |Doubtful; skittish. [Obs.]
boggy |Consisting of, or containing, a bog or bogs; of the nature of a bog; swampy; as, boggy land.
bogie |A four-wheeled truck, having a certain amount of play around a vertical axis, used to support in part a locomotive on a railway track.
bogie engine |A switching engine the running gear and driving gear of which are on a bogie, or truck.
bogle |A goblin; a specter; a frightful phantom; a bogy; a bugbear. [Written also boggle.]
bogsucker |The American woodcock; -- so called from its feeding among the bogs.
bogtrotter |One who lives in a boggy country; -- applied in derision to the lowest class of Irish. Halliwell.
bogtrotting |Living among bogs.
bogue |To fall off from the wind; to edge away to leeward; -- said only of inferior craft.\n\nThe boce; -- called also bogue bream. See Boce.
bogus |Spurious; fictitious; sham; -- a cant term originally applied to counterfeit coin, and hence denoting anything counterfeit. [Colloq. U. S.]\n\nA liquor made of rum and molasses. [Local, U. S.] Bartlett.
bogwood |The wood of trees, esp. of oaks, dug up from peat bogs. It is of a shining black or ebony color, and is largely used for making ornaments.
bogy |A specter; a hobgoblin; a bugbear. \"Death's heads and bogies.\" J. H. Newman. [Written also bogey.] There are plenty of such foolish attempts at playing bogy in the history of savages. C. Kingsley.
bohea |Bohea tea, an inferior kind of black tea. See under Tea. Note: The name was formerly applied to superior kinds of black tea, or to black tea in general.
bohemia |1. A country of central Europe. 2. Fig.: The region or community of social Bohemians. See Bohemian, n., 3. She knew every one who was any one in the land of Bohemia. Compton Reade.
bohemian |1. Of or pertaining to Bohemia, or to the language of its ancient inhabitants or their descendants. See Bohemian, n., 2. 2. Of or pertaining to a social gypsy or \"Bohemian\" (see Bohemian, n., 3); vagabond; unconventional; free and easy. [Modern] Hers was a pleasant Bohemian life till she was five and thirty. Blackw. Mag. Artists have abandoned their Bohemian manners and customs nowadays. W. Black. Bohemian chatterer, or Bohemian waxwing (Zoöl.), a small bird of Europe and America (Ampelis garrulus); the waxwing. -- Bohemian glass, a variety of hard glass of fine quality, made in Bohemia. It is of variable composition, containing usually silica, lime, and potash, rarely soda, but no lead. It is often remarkable for beauty of color.\n\n1. A native of Bohemia. 2. The language of the Czechs (the ancient inhabitants of Bohemia), the richest and most developed of the dialects of the Slavic family. 3. A restless vagabond; -- originally, an idle stroller or gypsy (as in France) thought to have come from Bohemia; in later times often applied to an adventurer in art or literature, of irregular, unconventional habits, questionable tastes, or free morals. [Modern] Note: In this sense from the French bohémien, a gypsy; also, a person of irregular habits. She was of a wild, roving nature, inherited from father and mother, who were both Bohemians by taste and circumstances. Thackeray.
bohemianism |The characteristic conduct or methods of a Bohemian. [Modern]
bohun upas |See Upas.
boiar |See Boyar.
