half-faced |Showing only part of the face; wretched looking; meager. Shak.
harness |1. Originally, the complete dress, especially in a military sense, of a man or a horse; hence, in general, armor. At least we 'll die witch harness on our back. Shak. 2. The equipment of a draught or carriage horse, for drawing a wagon, coach, chaise, etc.; gear; tackling. 3. The part of a loom comprising the heddles, with their means of support and motion, by which the threads of the warp are alternately raised and depressed for the passage of the shuttle. To die in harness, to die with armor on; hence, colloquially, to die while actively engaged in work or duty.\n\n1. To dress in armor; to equip with armor for war, as a horseman; to array. Harnessed in rugged steel. Rowe. A gay dagger, Harnessed well and sharp as point of spear. Chaucer. 2. Fig.: To equip or furnish for defense. Dr. H. More. 3. To make ready for draught; to equip with harness, as a horse. Also used figuratively. Harnessed to some regular profession. J. C. Shairp. Harnessed antelope. (Zoöl.) See Guib. -- Harnessed moth (Zoöl.), an American bombycid moth (Arctia phalerata of Harris), having, on the fore wings, stripes and bands of buff on a black ground.
harness cask |A tub lashed to a vessel's deck and containing salted provisions for daily use; -- called also harness tub. W. C. Russell.
harnesser |One who harnesses.
harns |The brains. [Scot.]
harp |1. A musical instrument consisting of a triangular frame furnished with strings and sometimes with pedals, held upright, and played with the fingers. 2. (Astron.)  A constellation; Lyra, or the Lyre. 3. A grain sieve. [Scot.] Æolian harp. See under Æolian. Harp seal (Zoöl.), an arctic seal (Phoca Groenlandica). The adult males have a light-colored body, with a harp-shaped mark of black on each side, and the face and throat black. Called also saddler, and saddleback. The immature ones are called bluesides. -- Harp shell (Zoöl.), a beautiful marine gastropod shell of the genus Harpa, of several species, found in tropical seas. See Harpa.\n\n1. To play on the harp. I heard the voice of harpers, harping with their harps. Rev. xiv. 2. 2. To dwell on or recur to a subject tediously or monotonously in speaking or in writing; to refer to something repeatedly or continually; -- usually with on or upon. \"Harpings upon old themes.\" W. Irving. Harping on what I am, Not what he knew I was. Shak. To harp on one string, to dwell upon one subject with disagreeable or wearisome persistence. [Collog.]\n\nTo play on, as a harp; to play (a tune) on the harp; to develop or give expression to by skill and art; to sound forth as from a harp; to hit upon. Thou 'harped my fear aright. Shak.
harpa |A genus of marine univalve shells; the harp shells; -- so called from the form of the shells, and their ornamental ribs.
harpagon |A grappling iron. [Obs.]
harper |1. A player on the harp; a minstrel. The murmuring pines and the hemlocks . . . Stand like harpers hoar, with beards that rest on their bosoms. Longfellow. 2. A brass coin bearing the emblem of a harp, -- formerly current in Ireland. B. Jonson.
harping |Pertaining to the harp; as, harping symphonies. Milton.
harping iron |A harpoon. Evelyn.
harpings |The fore parts of the wales, which encompass the bow of a vessel, and are fastened to the stem. [Written also harpins.] Totten.
harpist |A player on the harp; a harper. W. Browne.
harpoon |A spear or javelin used to strike and kill large fish, as whales; a harping iron. It consists of a long shank, with a broad, fiat, triangular head, sharpened at both edges, and is thrown by hand, or discharged from a gun. Harpoon fork, a kind of hayfork, consisting of bar with hinged barbs at one end a loop for a rope at the other end, used for lifting hay from the load by horse power. -- Harpoon gun, a gun used in the whale fishery for shooting the harpoon into a whale.\n\nTo strike, catch, or kill with a harpoon.
harpooneer |An harpooner. Grabb.
harpooner |One who throws the harpoon.
harpress |A female harper. [R.] Sir W. Scott.
harpsichon |A harpsichord. [Obs.]
harpsichord |A harp-shaped instrument of music set horizontally on legs, like the grand piano, with strings of wire, played by the fingers, by means of keys provided with quills, instead of hammers, for striking the strings. It is now superseded by the piano.
harpy |1. (Gr. Myth.)  A fabulous winged monster, ravenous and filthy, having the face of a woman and the body of a vulture, with long claws, and the face pale with hunger. Some writers mention two, others three. Both table and provisions vanished guite. With sound of harpies' wings and talons heard. Milton. 2. One who is rapacious or ravenous; an extortioner. The harpies about all pocket the pool. Goldsmith. 3. (Zoöl.) (a) The European moor buzzard or marsh harrier (Circus æruginosus). (b) A large and powerful, double-crested, short-winged American eagle (Thrasaëtus harpyia). It ranges from Texas to Brazil. Harpy bat (Zoöl.) (a) An East Indian fruit bat of the genus Harpyia (esp. H. cerphalotes), having prominent, tubular nostrils. (b) A small, insectivorous Indian bat (Harpiocephalus harpia). Harpy fly (Zoöl.), the house fly.
harquebus |A firearm with match holder, trigger, and tumbler, made in the second half of the 15th century. the barrel was about forty inches long. A form of the harquebus was subsequently called arquebus with matchlock.
harquebuse |A firearm with match holder, trigger, and tumbler, made in the second half of the 15th century. the barrel was about forty inches long. A form of the harquebus was subsequently called arquebus with matchlock.
harrage |To harass; to plunder from. [Obs.] Fuller.
harre |A hinge. [Obs.] Chaucer.
harridan |A worn-out strumpet; a vixenish woman; a hag. Such a weak, watery, wicked old harridan, substituted for the pretty creature I had been used to see. De Quincey.
harrier |One of a small breed of hounds, used for hunting hares. [Written also harier.]\n\n1. One who harries. 2. (Zoöl.)  One of several species of hawks or buzzards of the genus Circus which fly low and harry small animals or birds, -- as the European marsh harrier (Circus ærunginosus), and the hen harrier (C. cyaneus). Harrier hawk(Micrastur.
harrow |1. An implement of agriculture, usually formed of pieces of timber or metal crossing each other, and set with iron or wooden teeth. It is drawn over plowed land to level it and break the clods, to stir the soil and make it fine, or to cover seed when sown. 2. (Mil.)  An obstacle formed by turning an ordinary harrow upside down, the frame being buried. Bush harrow, a kind of light harrow made of bushes, for harrowing grass lands and covering seeds, or to finish the work of a toothed harrow. -- Drill harrow. See under 6th Drill. -- Under the harrow, subjected to actual torture with a toothed instrument, or to great affliction or oppression.\n\n1. To draw a harrow over, as for the purpose of breaking clods and leveling the surface, or for covering seed; as, to harrow land. Will he harrow the valleys after thee Job xxxix. 10. 2. To break or tear, as with a harrow; to wound; to lacerate; to torment or distress; to vex. My aged muscles harrowed up with whips. Rowe. I could a tale unfold, whose lightest word Would harrow up thy soul. Shak.\n\nHelp! Halloo! An exclamation of distress; a call for succor;- the ancient Norman hue and cry. \"Harrow and well away!\" Spenser. Harrow! alas! here lies my fellow slain. Chaucer.\n\nTo pillage; to harry; to oppress. [Obs.] Spenser. Meaning thereby to harrow his people. Bacon
harrower |One who harrows.\n\nOne who harries. [Obs.]
harry |1. To strip; to lay waste; as, the Northmen came several times and harried the land. To harry this beautiful region. W. Irving. A red squirrel had harried the nest of a wood thrush. J. Burroughs. 2. To agitate; to worry; to harrow; to harass. Shak. Syn. -- To ravage; plunder; pillage; lay waste; vex; tease; worry; annoy; harass.\n\nTo make a predatory incursion; to plunder or lay waste. [Obs.] Beau. & Fl.
harsh |1. Rough; disagreeable; grating; esp.:(a) To the touch.\"Harsh sand.\" Boyle. (b) To the taste. \"Berries harsh and crude.\" Milton. (c) To the ear. \"Harsh din.\" Milton. 2. Unpleasant and repulsive to the sensibilities; austere; crabbed; morose; abusive; abusive; severe; rough. Clarence is so harsh, so blunt. Shak. Though harsh the precept, yet the charmed. Dryden. 3. (Painting, Drawing, etc.)  Having violent contrasts of color, or of light and shade; lacking in harmony.
harshly |In a harsh manner; gratingly; roughly; rudely. 'T will sound harshly in her ears. Shak.
harshness |The quality or state of being harsh. O, she is Ten times more gentle than her father 's crabbed, And he's composed of harshness. Shak. 'Tis not enough no harshness gives offense, The sound must seem an echo to the sense. Pope. Syn. -- Acrimony; roughness; sternness; asperity; tartness. See Acrimony.
harslet |See Haslet.
hart |A stag; the male of the red deer. See the Note under Buck. Goodliest of all the forest, hart and hind. Milton.
hartbeest |A large South African antelope (Alcelaphus caama), formerly much more abundant than it is now. The face and legs are marked with black, the rump with white. [Written also hartebeest, and hartebest.]
harten |To hearten; to encourage; to incite. [Obs.] Spenser.
hartford |The Hartford grape, a variety of grape first raised at Hartford, Connecticut, from the Northern fox grape. Its large dark- colored berries ripen earlier than those of most other kinds. HART'S CLOVER Hart's` clo`ver. (Bot.)  Melilot or sweet clover. See Melilot. HART'S-EAR Hart's`-ear`, n. (Bot.)  An Asiatic species of Cacalia (C. Kleinia), used medicinally in India.
hartshorn |1. The horn or antler of the hart, or male red deer. 2. Spirits of hartshorn (see below); volatile salts. Hartshorn plantain (Bot.), an annual species of plantain (Plantago Coronopus); -- called also duck's-horn. Booth. -- Hartshorn shavings, originally taken from the horns of harts, are now obtained chiefly by planing down the bones of calves. They afford a kind of jelly. Hebert. -- Salt of hartshorn (Chem.), an impure solid carbonate of ammonia, obtained by the destructive distillation of hartshorn, or any kind of bone; volatile salts. Brande & C.-- Spirits of hartshorn (Chem.), a solution of ammonia in water; -- so called because formerly obtained from hartshorn shavings by destructive distillation. Similar ammoniacal solutions from other sources have received the same name. HART-TONGUE; HART'S-TONGUE Hart\"-tongue`, Hart's\"-tongue`, n. (Bot.) (a) A common British fern (Scolopendrium vulgare), rare in America. (b) A West Indian fern, the Polypodium Phyllitidis of Linnæus. It is also found in Florida.
hartwort |A coarse umbelliferous plant of Europe (Tordylium maximum). Note: The name is often vaguely given to other plants of the same order, as species of Seseli and Bupleurum.
harum-scarum |Wild; giddy; flighty; rash; thoughtless. [Colloq.] They had a quarrel with Sir Thomas Newcome's own son, a harum-scarum lad. Thackeray.
haruspication |See Haruspicy. Tylor.
haruspice |A diviner of ancient Rome. Same as Aruspice.
haruspicy |The art or practices of haruspices. See Aruspicy.
harvest |1. The gathering of a crop of any kind; the ingathering of the crops; also, the season of gathering grain and fruits, late summer or early autumn. Seedtime and harvest . . . shall not cease. Gen viii. 22. At harvest, when corn is ripe. Tyndale. 2. That which is reaped or ready to be reaped or gath Put ye in the sickle, for the harvest is ripe. Joel iii. 13. To glean the broken ears after the man That the main harvest reaps. Shak. 3. The product or result of any exertion or labor; gain; reward. The pope's principal harvest was in the jubilee. Fuller. The harvest of a quiet eye. Wordsworth. Harvest fish (Zoöl.), a marine fish of the Southern United States (Stromateus alepidotus); -- called whiting in Virginia. Also applied to the dollar fish. -- Harvest fly (Zoöl.), an hemipterous insect of the genus Cicada, often called locust. See Cicada. -- Harvest lord, the head reaper at a harvest. [Obs.] Tusser. -- Harvest mite (Zoöl.), a minute European mite (Leptus autumnalis), of a bright crimson color, which is troublesome by penetrating the skin of man and domestic animals; -- called also harvest louse, and harvest bug. -- Harvest moon, the moon near the full at the time of harvest in England, or about the autumnal equinox, when, by reason of the small angle that is made by the moon's orbit with the horizon, it rises nearly at the same hour for several days. -- Harvest mouse (Zoöl.), a very small European field mouse (Mus minutus). It builds a globular nest on the stems of wheat and other plants. -- Harvest queen, an image pepresenting Ceres, formerly carried about on the last day of harvest. Milton. -- Harvest spider. (Zoöl.) See Daddy longlegs.\n\nTo reap or gather, as any crop.
harvest-home |1. The gathering and bringing home of the harvest; the time of harvest. Showed like a stubble land at harvest-home. Shak. 2. The song sung by reapers at the feast made at the close of the harvest; the feast itself. Dryden. 3. A service of thanksgiving, at harvest time, in the Church of England and in the Protestant Episcopal Church in the United States. 4. The opportunity of gathering treasure. Shak.
harvester |1. One who harvests; a machine for cutting and gathering grain; a reaper. 2. (Zoöl.)  A harvesting ant.
harvesting |, from Harvest, v. t. Harvesting ant (Zoöl.), any species of ant which gathers and stores up seeds for food. Many species are known. Note: The species found in Southern Europe and Palestine are Aphenogaster structor and A. barbara; that of Texas, called agricultural ant, is Pogonomyrmex barbatus or Myrmica molifaciens; that of Florida is P. crudelis. See Agricultural ant, under Agricultural.
harvestless |Without harvest; lacking in crops; barren. \"Harvestless autumns.\" Tennyson.
harvestman |1. A man engaged in harvesting. Shak. 2. (Zoöl.)  See Daddy longlegs, 1.
harvestry |The act of harvesting; also, that which is harvested. Swinburne.
harvey process |A process of hardening the face of steel, as armor plates, invented by Hayward A. Harvey of New Jersey, consisting in the additional carburizing of the face of a piece of low carbon steel by subjecting it to the action of carbon under long-continued pressure at a very high heat, and then to a violent chilling, as by a spray of cold water. This process gives an armor plate a thick surface of extreme hardness supported by material gradually decreasing in hardness to the unaltered soft steel at the back.
hary |To draw; to drag; to carry off by vio [Obs.] Chaucer.
has |3d pers. sing. pres. of Have.
hasard |Hazard. [Obs.] Chaucer.
hase |See Haze, v. t.
hash |1. That which is hashed or chopped up; meat and vegetables, especially such as have been already cooked, chopped into small pieces and mixed. 2. A new mixture of old matter; a second preparation or exhibition. I can not bear elections, and still less the hash of them over again in a first session. Walpole.\n\nTo as, to hash meat. Hudibras.
hasheesh |A slightly acrid gum resin produced by the common hemp (Cannabis saltiva), of the variety Indica, when cultivated in a warm climate; also, the tops of the plant, from which the resinous product is obtained. It is narcotic, and has long been used in the East for its intoxicating effect. See Bhang, and Ganja.
hashish |A slightly acrid gum resin produced by the common hemp (Cannabis saltiva), of the variety Indica, when cultivated in a warm climate; also, the tops of the plant, from which the resinous product is obtained. It is narcotic, and has long been used in the East for its intoxicating effect. See Bhang, and Ganja.
hask |A basket made of rushes or flags, as for carrying fish. [Obs.] Spenser.
haslet |The edible viscera, as the heart, liver, etc., of a beast, esp. of a hog. [Written also harslet.]
hasp |1. A clasp, especially a metal strap permanently fast at one end to a staple or pin, while the other passes over a staple, and is fastened by a padlock or a pin; also, a metallic hook for fastening a door. 2. A spindle to wind yarn, thread, or silk on. 3. An instrument for cutting the surface of grass land; a scarifier.\n\nTo shut or fasten with a hasp.
hassock |1. A rank tuft of bog grass; a tussock. Forby. 2. A small stuffed cushion or footstool, for kneeling on in church, or for home use. And knees and hassocks are well nigh divorced. Cowper.
hast |, 2d pers. sing. pres. of. Fave, contr. of havest. [Archaic]
hastate |Shaped like the head of a halberd; triangular, with the basal angles or lobes spreading; as, a hastate leaf.
hastated |Shaped like the head of a halberd; triangular, with the basal angles or lobes spreading; as, a hastate leaf.
haste |1. Celerity of motion; speed; swiftness; dispatch; expedition; -- applied only to voluntary beings, as men and other animals. The king's business required haste. 1 Sam. xxi. 8. 2. The state of being urged or pressed by business; hurry; urgency; sudden excitement of feeling or passion; precipitance; vehemence. I said in my haste, All men are liars. Ps. cxvi. 11. To make haste, to hasten. Syn. -- Speed; quickness; nimbleness; swiftness; expedition; dispatch; hurry; precipitance; vehemence; precipitation. -- Haste, Hurry, Speed, Dispatch. Haste denotes quickness of action and a strong desire for getting on; hurry includes a confusion and want of collected thought not implied in haste; speed denotes the actual progress which is made; dispatch, the promptitude and rapidity with which things are done. A man may properly be in haste, but never in a hurry. Speed usually secures dispatch.\n\nTo hasten; to hurry. [Archaic] I 'll haste the writer. Shak. They were troubled and hasted away. Ps. xlviii. 5.
hasten |To press; to drive or urge forward; to push on; to precipitate; to accelerate the movement of; to expedite; to hurry. I would hasten my escape from the windy storm. Ps. lv. 8.\n\nTo move celerity; to be rapid in motion; to act speedily or quickly; to go quickly. I hastened to the spot whence the noise came. D
hastener |1. One who hastens. 2. That which hastens; especially, a stand or reflector used for confining the heat of the fire to meat while roasting before it.
hastif |Hasty. [Obs.] Chaucer. -- Has\"tif*ly, adv. [Obs.]
hastile |Same as Hastate. Gray.
hastily |1. In haste; with speed or quickness; speedily; nimbly. 2. Without due reflection; precipitately; rashly. We hastily engaged in the war. Swift. 3. Passionately; impatiently. Shak.
hastiness |The quality or state of being hasty; haste; precipitation; rashness; quickness of temper.
hastings |Early fruit or vegetables; especially, early pease. Mortimer.
hastings sands |The lower group of the Wealden formation; -- so called from its development around Hastings, in Sussex, England.
hastive |Forward; early; -- said of fruits. [Obs.]
hasty |1. Involving haste; done, made, etc., in haste; as, a hasty sketch. 2. Demanding haste or immediate action. [R.] Chaucer. \"Hasty employment.\" Shak. 3. Moving or acting with haste or in a hurry; hurrying; hence, acting without deliberation; precipitate; rash; easily excited; eager. 4. Made or reached without deliberation or due caution; as, a hasty conjecture, inference, conclusion, etc., a hasty resolution. 5.  Proceeding from, or indicating, a quick temper. Take no unkindness of his hasty words. Shak 6. Forward; early; first ripe. [Obs.] \"As the hasty fruit before the summer.\" Is. xxviii. 4.
hasty pudding |1. A thick batter pudding made of Indian meal stirred into boiling water; mush. [U. S.] 2. A batter or pudding made of flour or oatmeal, stirred into boiling water or milk. [Eng.]
hat |Hot. [Obs.] Chaucer.\n\nsing. pres. of Hote to be called. Cf. Hatte. [Obs.] \"That one hat abstinence.\" Piers Plowman.\n\nA covering for the head; esp., one with a crown and brim, made of various materials, and worn by men or women for protecting the head from the sun or weather, or for ornament. Hat block, a block on which hats are formed or dressed. -- To pass around the hat, to take up a collection of voluntary contributions, which are often received in a hat. [Collog.] Lowell.
hatable |Capable of being, or deserving to be, hated; odious; detestable.
hatband |A band round the crown of a hat; sometimes, a band of black cloth, crape, etc., worn as a badge of mourning.
hatbox |A box for a hat.
hatch |1. To cross with lines in a peculiar manneHatching. Shall win this sword, silvered and hatched. Chapman. Those hatching strokes of the pencil. Dryden. 2. To cross; to spot; to stain; to steep. [Obs.] His weapon hatched in blood. Beau. & Fl.\n\n1. To produce, as young, from an egg or eggs by incubation, or by artificial heat; to produce young from (eggs); as, the young when hatched. Paley. As the partridge sitteth on eggs, and hatcheth them not. Jer. xvii. 11. For the hens do not sit upon the eggs; but by keeping them in a certain equal heat they [the husbandmen] bring life into them and hatch them. Robynson (More's Utopia). 2. To contrive or plot; to form by meditation, and bring into being; to originate and produce; to concoct; as, to hatch mischief; to hatch heresy. Hooker. Fancies hatched In silken-folded idleness. Tennyson.\n\nTo produce young; -- said of eggs; to come forth from the egg; -- said of the young of birds, fishes, insects, etc.\n\n1. The act of hatching. 2. Development; disclosure; discovery. Shak. 3. The chickens produced at once or by one incubation; a brood.\n\n1. A door with an opening over it; a half door, sometimes set with spikes on the upper edge. In at the window, or else o'er the hatch. Shak. 2. A frame or weir in a river, for catching fish. 3. A flood gate; a a sluice gate. Ainsworth. 4. A bedstead. [Scot.] Sir W. Scott. 5. An opening in the deck of a vessel or floor of a warehouse which serves as a passageway or hoistway; a hatchway; also; a cover or door, or one of the covers used in closing such an opening. 6. (Mining)  An opening into, or in search of, a mine. Booby hatch, Buttery hatch, Companion hatch, etc. See under Booby, Buttery, etc. -- To batten down the hatches (Naut.), to lay tarpaulins over them, and secure them with battens. -- To be under hatches, to be confined below in a vessel; to be under arrest, or in slavery, distress, etc.\n\nTo close with a hatch or hatches. 'T were not amiss to keep our door hatched. Shak
hatch-boat |A vessel whose deck consists almost wholly of movable hatches; -- used mostly in the fisheries.
hatchel |An instrument with long iron teeth set in a board, for cleansing flax or hemp from the tow, hards, or coarse part; a kind of large comb; -- called also hackle and heckle.\n\n1. To draw through the teeth of a hatchel, as flax or hemp, so as to separate the coarse and refuse parts from the fine, fibrous parts. 2. To tease; to worry; to torment. [Colloq.]
hatcheler |One who uses a hatchel.
hatcher |1. One who hatches, or that which hatches; a hatching apparatus; an incubator. 2. One who contrives or originates; a plotter. A great hatcher and breeder of business. Swift.
hatchery |A house for hatching fish, etc.
hatchet |1. A small ax with a short handle, to be used with one hand. 2. Specifically, a tomahawk. Buried was the bloody hatchet. Longfellow. Hatchet face, a thin, sharp face, like the edge of a hatchet; hence: Hatchet-faced, sharp-visaged. Dryden. -- To bury the hatchet, to make peace or become reconciled. -- To take up the hatchet, to make or declare war. The last two phrases are derived from the practice of the American Indians.
hatchet man |1. A person hired to murder or physically attack another; a hit man.  2. A person who deliberately tries to ruin the reputation of another, often unscrupulously, by slander or other malicious communication, often with political motive, and sometimes for pay.
hatchettine |Mineral t
hatchettite |Mineral t
hatching |A mode of execution in engraving, drawing, and miniature painting, in which shading is produced by lines crossing each other at angles more or less acute; -- called also crosshatching.
hatchment |1. (Her.)  A sort of panel, upon which the arms of a deceased person are temporarily displayed, -- usually on the walls of his dwelling. It is lozenge-shaped or square, but is hung cornerwise. It is used in England as a means of giving public notification of the death of the deceased, his or her rank, whether married, widower, widow, etc. Called also achievement. His obscure funeral; No trophy, sword, or hatchment o'er his bones. Shak. 2. A sword or other mark of the profession of arms; in general, a mark of dignity. Let there be deducted, out of our main potation, Five marks in hatchments to adorn this thigh. Beau. & Fl.
hatchure |Same as Hachure.
hatchway |A square or oblong opening in a deck or floor, affording passage from one deck or story to another; the entrance to a cellar.
hate |1. To have a great aversion to, with a strong desire that evil should befall the person toward whom the feeling is directed; to dislike intensely; to detest; as, to hate one's enemies; to hate hypocrisy. Whosoever hateth his brother is a murderer. 1 John iii. 15. 2. To be very unwilling; followed by an infinitive, or a substantive clause with that; as, to hate to get into debt; to hate that anything should be wasted. I hate that he should linger here. Tennyson. 3. (Script.)  To love less, relatively. Luke xiv. 26. Syn. -- To Hate, Abhor, Detest, Abominate, Loathe. Hate is the generic word, and implies that one is inflamed with extreme dislike. We abhor what is deeply repugnant to our sensibilities or feelings. We detest what contradicts so utterly our principles and moral sentiments that we feel bound to lift up our voice against it. What we abominate does equal violence to our moral and religious sentiments. What we loathe is offensive to our own nature, and excites unmingled disgust. Our Savior is said to have hated the deeds of the Nicolaitanes; his language shows that he loathed the lukewarmness of the Laodiceans; he detested the hypocrisy of the scribes and Pharisees; he abhorred the suggestions of the tempter in the wilderness.\n\nStrong aversion coupled with desire that evil should befall the person toward whom the feeling is directed; as exercised toward things, intense dislike; hatred; detestation; -- opposed to love. For in a wink the false love turns to hate. Tennyson.
hateful |1. Manifesting hate or hatred; malignant; malevolent. [Archaic or R.] And worse than death, to view with hateful eyes His rival's conquest. Dryden. 2. Exciting or deserving great dislike, aversion, or disgust; odious. Unhappy, wretched, hateful day! Shak. Syn. -- Odious; detestable; abominable; execrable; loathsome; abhorrent; repugnant; malevolent. -- Hate\"ful*ly, adv. -- Hate\"ful*ness, n.
hatel |Hateful; detestable. [Obs.]
hater |One who hates. An enemy to God, and a hater of all good. Sir T. Browne.
hath |Has. [Archaic.]
hatless |Having no hat.
hatrack |A hatstand; hattree.
hatred |Strong aversion; intense dislike; hate; an affection of the mind awakened by something regarded as evil. Syn. -- Odium; ill will; enmity; hate; animosity; malevolence; rancor; malignity; detestation; loathing; abhorrence; repugnance; antipathy. See Odium.
hatstand |A stand of wood or iron, with hooks or pegs upon which to hang hats, etc.
hatte |pres. & imp. sing. & pl. of Hote, to be called. See Hote. [Obs.] Chaucer. A full perilous place, purgatory it hatte. Piers Plowman.
hatted |Covered with a hat.
hatter |To tire or worry; -- out. [Obs.] Dryden.\n\nOne who makes or sells hats.
hatteria |A New Zealand lizard, which, in anatomical character, differs widely from all other existing lizards. It is the only living representative of the order Rhynchocephala, of which many Mesozoic fossil species are known; -- called also Sphenodon, and Tuatera.
hatti-sherif |A irrevocable Turkish decree countersigned by the sultan.
hatting |The business of making hats; also, stuff for hats.
hattree |A hatstand.
haubergeon |See Habergeon.
hauberk |A coat of mail; especially, the long coat of mail of the European Middle Ages, as contrasted with the habergeon, which is shorter and sometimes sleeveless. By old writers it is often used synonymously with habergeon. See Habergeon. [Written variously hauberg, hauberque, hawberk, etc.] Chaucer. Helm, nor hawberk's twisted mail. Gray.
hauerite |Native sulphide of manganese a reddish brown or brownish black mineral.
haugh |A low-lying meadow by the side of a river. [Prov. Eng. & Scot.] On a haugh or level plain, near to a royal borough. Sir W. Scott.
haught |High; elevated; hence, haughty; proud. [Obs.] Shak.
haughtily |In a haughty manner; arrogantly.
haughtiness |The quality of being haughty; disdain; arrogance. Syn. -- Arrogance; disdain; contemptuousness; superciliousness; loftiness. -- Haughtiness, Arrogance, Disdain. Haughtiness denotes the expression of conscious and proud superiority; arrogance is a disposition to claim for one's self more than is justly due, and enforce it to the utmost; disdain in the exact reverse of condescension toward inferiors, since it expresses and desires others to feel how far below ourselves we consider them. A person is haughty in disposition and demeanor; arrogant in his claims of homage and deference; disdainful even in accepting the deference which his haughtiness leads him arrogantly to exact.
haughty |1. High; lofty; bold. [Obs. or Archaic] To measure the most haughty mountain's height. Spenser. Equal unto this haughty enterprise. Spenser 2. Disdainfully or contemptuously proud; arrogant; overbearing. A woman of a haughty and imperious nature. Clarendon. 3. Indicating haughtiness; as, a haughty carriage. Satan, with vast and haughty strides advanced, Came towering. Milton.
haul |1. To pull or draw with force; to drag. Some dance, some haul the rope. Denham. Thither they bent, and hauled their ships to land. Pope. Romp-loving miss Is hauled about in gallantry robust. Thomson. 2. To transport by drawing, as with horses or oxen; as, to haul logs to a sawmill. When I was seven or eight years of age, I began hauling all the wood used in the house and shops. U. S. Grant. To haul over the coals. See under Coal. -- To haul the wind (Naut.), to turn the head of the ship nearer to the point from which the wind blows.\n\n1. (Naut.)  To change the direction of a ship by hauling the wind. See under Haul, v. t. I . . . hauled up for it, and found it to be an island. Cook. 2. To pull apart, as oxen sometimes do when yoked. To haul around (Naut.), to shift to any point of the compass; -- said of the wind. -- To haul off (Naut.), to sail closer to the wind, in order to get farther away from anything; hence, to withdraw; to draw back.\n\n1. A pulling with force; a violent pull. 2. A single draught of a net; as, to catch a hundred fish at a haul. 3. That which is caught, taken, or gained at once, as by hauling a net. 4. Transportation by hauling; the distance through which anything is hauled, as freight in a railroad car; as, a long haul or short haul. 5. (Rope Making)  A bundle of about four hundred threads, to be tarred.
haulabout |A bargelike vessel with steel hull, large hatchways, and coal transporters, for coaling war vessels from its own hold or from other colliers.
haulage |Act of hauling; as, the haulage of cars by an engine; charge for hauling.
hauler |One who hauls.
haulm |The denuded stems or stalks of such crops as buckwheat and the cereal grains, beans, etc.; straw.\n\nA part of a harness; a hame.
hauls |See Hals.
haulse |See Halse.
hault |Lofty; haughty. [Obs.] Through support of countenance proud and hault. Spenser.
haum |See Haulm, stalk. Smart.
haunce |To enhance. [Obs.] Lydgate.
haunch |1. The hip; the projecting region of the lateral parts of the pelvis and the hip joint; the hind part. 2. Of meats: The leg and loin taken together; as, a haunch of venison. Haunch bone. See Innominate bone, under Innominate. -- Haunches of an arch (Arch.), the parts on each side of the crown of an arch. (See Crown, n., 11.) Each haunch may be considered as from one half to two thirds of the half arch.
haunched |Having haunches.
haunt |1. To frequent; to resort to frequently; to visit pertinaciously or intrusively; to intrude upon. You wrong me, sir, thus still to haunt my house. Shak. Those cares that haunt the court and town. Swift. 2. To inhabit or frequent as a specter; to visit as a ghost or apparition. Foul spirits haunt my resting place. Fairfax. 3. To practice; to devote one's self to. [Obs.] That other merchandise that men haunt with fraud . . . is cursed. Chaucer. Leave honest pleasure, and haunt no good pastime. Ascham. 4. To accustom; to habituate. [Obs.] Haunt thyself to pity. Wyclif.\n\nTo persist in staying or visiting. I've charged thee not to haunt about my doors. Shak.\n\n1. A place to which one frequently resorts; as, drinking saloons are the haunts of tipplers; a den is the haunt of wild beasts. Note: In Old English the place occupied by any one as a dwelling or in his business was called a haunt. Note: Often used figuratively. The household nook, The haunt of all affections pure. Keble. The feeble soul, a haunt of fears. Tennyson. 2. The habit of resorting to a place. [Obs.] The haunt you have got about the courts. Arbuthnot. 3. Practice; skill. [Obs.] Of clothmaking she hadde such an haunt. Chaucer.
haunted |Inhabited by, or subject to the visits of, apparitions; frequented by a ghost. All houses wherein men have lived and died Are haunted houses. Longfellow.
haunter |One who, or that which, haunts.
haurient |In pale, with the head in chief; -- said of the figure of a fish, as if rising for air.
hausen |A large sturgeon (Acipenser huso) from the region of the Black Sea. It is sometimes twelve feet long.
hausse |A kind of graduated breech sight for a small arm, or a cannon.
haustellata |An artificial division of insects, including all those with a sucking proboscis.
haustellate |Provided with a haustellum, or sucking proboscis. -- n.  One of the Haustellata.
haustellum |The sucking proboscis of various insects. See Lepidoptera, and Diptera.
haustorium |One of the suckerlike rootlets of such plants as the dodder and ivy. R. Brown.
haut |Haughty. [Obs.] \"Nations proud and haut.\" Milton.
hautboy |1. (Mus.)  A wind instrument, sounded through a reed, and similar in shape to the clarinet, but with a thinner tone. Now more commonly called oboe. See Illust. of Oboe. 2. (Bot.)  A sort of strawberry (Fragaria elatior).
hautboyist |A player on the hautboy.
hautein |1. Haughty; proud. [Obs.] Chaucer. 2. High; -- said of the voice or flight of birds. [Obs.]
hauteur |Haughty manner or spirit; haughtiness; pride; arrogance.
hautgout |High relish or flavor; high seasoning.
hautpas |A raised part of the floor of a large room; a platform for a raised table or throne. See Dais.
hauynite |A blue isometric mineral, characteristic of some volcani
