faultiness |Quality or state of being faulty. Round, even to faultiness. Shak.
fetch |1. To bear toward the person speaking, or the person or thing from whose point of view the action is contemplated; to go and bring; to get. Time will run back and fetch the age of gold. Milton. He called to her, and said, Fetch me, I pray thee, a little water in a vessel, that I may drink. And as she was going to fetch it he called to her, and said, Bring me, I pray thee, a morsel of bred in thine hand. 1 Kings xvii. 11, 12. 2. To obtain as price or equivalent; to sell for. Our native horses were held in small esteem, and fetched low prices. Macaulay. 3. To recall from a swoon; to revive; -- sometimes with to; as, to fetch a man to. Fetching men again when they swoon. Bacon. 4. To reduce; to throw. The sudden trip in wrestling that fetches a man to the ground. South. 5. To bring to accomplishment; to achieve; to make; to perform, with certain objects; as, to fetch a compass; to fetch a leap; to fetch a sigh. I'll fetch a turn about the garden. Shak. He fetches his blow quick and sure. South. 6. To bring or get within reach by going; to reach; to arrive at; to attain; to reach by sailing. Meantine flew our ships, and straight we fetched The siren's isle. Chapman. 7. To cause to come; to bring to a particular state. They could n't fetch the butter in the churn. W. Barnes. To fetch a compass (Naut.), to make a sircuit; to take a circuitious route going to a place. -- To fetch a pump, to make it draw water by pouring water into the top and working the handle. -- To fetch headway or sternway (Naut.), to move ahead or astern. -- To fetch out, to develop. \"The skill of the polisher fetches out the colors [of marble]\" Addison. -- To fetch up. (a) To overtake. [Obs.] \"Says [the hare], I can fetch up the tortoise when I please.\" L'Estrange. (b) To stop suddenly.\n\nTo bring one's self; to make headway; to veer; as, to fetch about; to fetch to windward. Totten. To fetch away (Naut.), to break loose; to roll slide to leeward. -- To fetch and carry, to serve obsequiously, like a trained spaniel.\n\n1. A stratagem by which a thing is indirectly brought to pass, or by which one thing seems intended and another is done; a trick; an artifice. Every little fetch of wit and criticism. South. 2. The apparation of a living person; a wraith. The very fetch and ghost of Mrs. Gamp. Dickens. Fetch candle, a light seen at night, superstitiously believed to portend a person's death.
fetcher |One wo fetches or brings.
fete |A feat. [Obs.] Chaucer.\n\nFeet. [Obs.] Chaucer.\n\nA festival. Fête champêtre ( Etym: [F.], a festival or entertainment in the open air; a rural festival.\n\nTo feast; to honor with a festival.
fetich |1. A material object supposed among certain African tribes to represent in such a way, or to be so connected with, a supernatural being, that the possession of it gives to the possessor power to control that being. 2. Any object to which one is excessively devoted.
fetichism |1. The doctrine or practice of belief in fetiches. 2. Excessive devotion to one object or one idea; abject superstition; blind adoration. The real and absolute worship of fire falls into two great divisions, the first belonging rather to fetichism, the second to polytheism proper. Tylor.
fetichist |A believer in fetiches. He was by nature a fetichist. H. Holbeach.
fetichistic |Pertaining to, or involving, fetichism. A man of the fifteenth century, inheriting its strange web of belief and unbelief, of epicurean levity and fetichistic dread. G. Eliot.
feticide |The act of killing the fetus in the womb; the offense of procuring an abortion.
feticism |See Fetichism.
fetid |Having an offensive smell; stinking. Most putrefactions . . . smell either fetid or moldy. Bacon.
fetidity |Fetidness.
fetidness |The quality or state of being fetid.
fetiferous |Producing young, as animals.
fetis |Neat; pretty; well made; graceful. [Obs.] Full fetis was her cloak, as I was ware. Chaucer.
fetisely |Neatly; gracefully; properly. [Obs.] Chaucer.
fetish |1. A material object supposed among certain African tribes to represent in such a way, or to be so connected with, a supernatural being, that the possession of it gives to the possessor power to control that being. 2. Any object to which one is excessively devoted.\n\nSee Fetich, n., Fetichism, n., Fetichistic, a.
fetishism |1. The doctrine or practice of belief in fetiches. 2. Excessive devotion to one object or one idea; abject superstition; blind adoration. The real and absolute worship of fire falls into two great divisions, the first belonging rather to fetichism, the second to polytheism proper. Tylor.\n\nSee Fetich, n., Fetichism, n., Fetichistic, a.
fetishist |A believer in fetiches. He was by nature a fetichist. H. Holbeach.\n\nSee Fetich, n., Fetichism, n., Fetichistic, a.
fetishistic |Pertaining to, or involving, fetichism. A man of the fifteenth century, inheriting its strange web of belief and unbelief, of epicurean levity and fetichistic dread. G. Eliot.\n\nSee Fetich, n., Fetichism, n., Fetichistic, a.
fetlock |The cushionlike projection, bearing a tuft of long hair, on the back side of the leg above the hoof of the horse and similar animals. Also, the joint of the limb at this point (between the great pastern bone and the metacarpus), or the tuft of hair. Their wounded steeds Fret fetlock deep in gore. Shak.
fetor |A strong, offensive smell; stench; fetidness. Arbuthnot.
fette |To fetch. [Obs.] Chaucer.
fetter |1. A chain or shackle for the feet; a chain by which an animal is confined by the foot, either made fast or disabled from free and rapid motion; a bond; a shackle. [They] bound him with fetters of brass. Judg. xvi. 21. 2. Anything that confines or restrains; a restraint. Passion's too fierce to be in fetters bound. Dryden.\n\n1. To put fetters upon; to shakle or confine the feet of with a chain; to bind. My heels are fettered, but my fist is free. Milton. 2. To reastrain from motion; to impose restrains on; to confine; to enchain; as, fettered by obligations. My conscience! thou art fettered More than my shanks and wrists. Shak.
fettered |Seeming as if fettered, as the feet pf certain animals which bend backward, and appear unfit for walking.
fetterer |One who fetters. Landor.
fetterless |Free from fetters. Marston.
fettle |1. To repair; to prepare; to put in order. [Prov. Eng.] Carlyle. 2. (Metal.)  To cover or line with a mixture of ore, cinders, etc., as the hearth of a puddling furnace.\n\nTo make preparations; to put things in order; to do trifling business. [Prov. Eng.] Bp. Hall.\n\nThe act of fettling. [Prov. Eng.] Wright. In fine fettle, in good spirits.
fettling |1. (Metal.)  A mixture of ore, cinders, etc., used to line the hearth of a puddling furnace. [Eng.] [It is commonly called fix in the United States.] 2. (Pottery)  The operation of shaving or smoothing the surface of undried clay ware.
fetuous |Neat; feat. [Obs.] Herrick.
fetus |The young or embryo of an animal in the womb, or in the egg; often restricted to the later stages in the development of viviparous and oviparous animals, embryo being applied to the earlier stages. [Written also foetus.]
fetwah |A written decision of a Turkish mufti on some point of law. Whitworth.
feu |A free and gratuitous right to lands made to one for service to be performed by him; a tenure where the vassal, in place of military services, makes a return in grain or in money. Burrill.
feu de joie |A fire kindled in a public place in token of joy; a bonfire; a firing of guns in token of joy.
feuar |One who holds a feu. Sir W. Scott.
feud |1. A combination of kindred to avenge injuries or affronts, done or offered to any of their blood, on the offender and all his race. 2. A contention or quarrel; especially, an inveterate strife between families, clans, or parties; deadly hatred; contention satisfied only by bloodshed. Mutual feuds and battles betwixt their several tribes and kindreds. Purchas. Syn. -- Affray; fray; broil; contest; dispute; strife.\n\nA stipendiary estate in land, held of superior, by service; the right which a vassal or tenant had to the lands or other immovable thing of his lord, to use the same and take the profists thereof hereditarily, rendering to his superior such duties and services as belong to military tenure, etc., the property of the soil always remaining in the lord or superior; a fief; a fee.
feudal |1. Of or pertaining to feuds, fiefs, or feels; as, feudal rights or services; feudal tenures. 2. Consisting of, or founded upon, feuds or fiefs; embracing tenures by military services; as, the feudal system.
feudalism |The feudal system; a system by which the holding of estates in land is made dependent upon an obligation to render military service to the kind or feudal superior; feudal principles and usages.
feudalist |An upholder of feudalism.
feudality |The state or quality of being feudal; feudal form or constitution. Burke.
feudalization |The act of reducing to feudal tenure.
feudalize |To reduce toa feudal tenure; to conform to feudalism.
feudally |In a feudal manner.
feudary |Held by, or pertaining to, feudal tenure.\n\n1. A tenant who holds his lands by feudal service; a feudatory. Foxe. 2. A feodary. See Feodary.
feudatary |See Feudatory.
feudatory |A tenant or vassal who held his lands of a superior on condition of feudal service; the tenant of a feud or fief. The grantee . . . was styled the feudatory or vassal. Blackstone. [He] had for feudatories great princes. J. H. Newman.\n\nHeld from another on some conditional tenure; as, a feudatory title. Bacon.
feudist |A writer on feuds; a person versed in feudal law. Spelman.
feuillants |A reformed branch of the Bernardines, founded in 1577 at Feuillans, near Toulouse, in France.
feuillemort |Having the color of a faded leaf. Locke.
feuilleton |A part of a French newspaper (usually the bottom of the page), devoted to light literature, criticism, etc.; also, the article or tale itself, thus printed.
feuilltonist |A writer of feuilletons. F. Harrison.
feuter |To set close; to fix in rest, as a spear. Spenser.
feuterer |A dog keeper. [Obs.] Massinger.
fever |1. (Med.)  A diseased state of the system, marked by increased heat, acceleration of the pulse, and a general derangement of the functions, including usually, thirst and loss of appetite. Many diseases, of which fever is the most prominent symptom, are denominated fevers; as, typhoid fever; yellow fever. Note: Remitting fevers subside or abate at intervals; intermitting fevers intermit or entirely cease at intervals; continued or continual fevers neither remit nor intermit. 2. Excessive excitement of the passions in consequence of strong emotion; a condition of great excitement; as, this quarrel has set my blood in a fever. An envious fever Of pale and bloodless emulation. Shak. After life's fitful fever he sleeps well. Shak. Brain fever, Continued fever, etc. See under Brain, Continued, etc. -- Fever and ague, a form of fever recurring in paroxysms which are preceded by chills. It is of malarial origin. -- Fever blister (Med.), a blister or vesicle often found about the mouth in febrile states; a variety of herpes. -- Fever bush (Bot.), the wild allspice or spice bush. See Spicewood. -- Fever powder. Same as Jame's powder. -- Fever root (Bot.), an American herb of the genus Triosteum (T. perfoliatum); -- called also feverwort amd horse gentian. -- Fever sore, a carious ulcer or necrosis. Miner.\n\nTo put into a fever; to affect with fever; as, a fevered lip. [R.] The white hand of a lady fever thee. Shak.
feveret |A slight fever. [Obs.] Ayliffe.
feverfew |A perennial plant (Pyrethrum, or Chrysanthemum, Parthenium) allied to camomile, having finely divided leaves and white blossoms; -- so named from its supposed febrifugal qualities.
feverish |1. Having a fever; suffering from, or affected with, a moderate degree of fever; showing increased heat and thirst; as, the patient is feverish. 2. Indicating, or pertaining to, fever; characteristic of a fever; as, feverish symptoms. 3. Hot; sultry. \"The feverish north.\" Dryden. 4. Disordered as by fever; excited; restless; as, the feverish condition of the commercial world. Strive to keep up a frail and feverish bing. Milton. -- Fe\"ver*ish*ly, adv. -- Fe\"ver*ish*ness, n.
feverous |1. Affected with fever or ague; feverish. His heart, love's feverous citadel. Keats. 2. Pertaining to, or having the nature of, fever; as, a feverous pulse. All maladies . . . all feverous kinds. Milton. 3. Having the tendency to produce fever; as, a feverous disposition of the year. [R.] Bacon.
feverously |Feverishly. [Obs.] Donne.
feverwort |See Fever root, under Fever.
fevery |Feverish. [Obs.] B. Jonson.
few |Not many; small, limited, or confined in number; -- indicating a small portion of units or individuals constituing a whole; often, by ellipsis of a noun, a few people. \"Are not my days few\" Job x. 20. Few know and fewer care. Proverb. Note: Few is often used partitively; as, few of them. A few, a small number. -- In few, in a few words; briefly. Shak. - No few, not few; more than a few; many. Cowper. - The few, the minority; -- opposed to the many or the majority.
fewel |Fuel. [Obs.] Hooker.
fewmet |See Fumet. [Obs.] B. Jonson.
fewness |1. The state of being few; smallness of number; paucity. Shak. 2. Brevity; conciseness. [Obs.] Shak.
fey |Fated; doomed. [Old Eng. & Scot.]\n\nFaith. [Obs.] Chaucer.\n\nTo cleanse; to clean out. [Obs.] Tusser.
feyne |To feign. [Obs.] Chaucer.
feyre |A fair or market. [Obs.] Chaucer.
fez |A felt or cloth cap, usually red and having a tassel, -- a variety of the tarboosh. See Tarboosh. B. Taylor.
fiacre |A kind of French hackney coach.
fiance |To betroth; to affiance. [Obs.] Harmar.\n\nA betrothed man.
fiancee |A betrothed woman.
fiants |The dung of the fox, wolf, boar, or badger.
