stirless |Without stirring; very quiet; motionless. \"Lying helpless and stirless.\" Hare.
streamer |1. An ensign, flag, or pennant, which floats in the wind; specifically, a long, narrow, ribbonlike flag. Brave Rupert from afar appears, Whose waving streamers the glad general knows. Dryden. 3. A stream or column of light shooting upward from the horizon, constituting one of the forms of the aurora borealis. Macaulay. While overhead the North's dumb streamers shoot. Lowell. 3. (Mining)  A searcher for stream tin.
streamful |Abounding in streams, or in water. \"The streamful tide.\" Drayton.
streaminess |The state of being streamy; a trailing. R. A. Proctor.
streaming |Sending forth streams.\n\n1. The act or operation of that which streams; the act of that which sends forth, or which runs in, streams. 2. (Mining)  The reduction of stream tin; also, the search for stream tin.
streamless |Destitute of streams, or of a stream, as a region of country, or a dry channel.
streamlet |A small stream; a rivulet; a rill.
streamline |Of or pert. to a stream line; designating a motion or flow that is free from turbulence, like that of a particle in a streamline; hence, designating a surface, body, etc., that is designed so as to afford an unbroken flow of a fluid about it, esp. when the resistance to flow is the least possible; as, a streamline body for an automobile or airship.
streamy |1. Abounding with streams, or with running water; streamful. Arcadia However streamy now, adust and dry, Denied the goddess water. Prior. 2. Resembling a stream; issuing in a stream. His nodding helm emits a streamy ray. Pope.
stree |Straw. [Obs.] Chaucer.
streek |To stretch; also, to lay out, as a dead body. See Streak. [Obs. or Prov. Eng. & Scot.]
streel |To trail along; to saunter or be drawn along, carelessly, swaying in a kind of zigzag motion. [Colloq.] Thackeray.
streen |See Strene. [Obs.] Chaucer.
street |Originally, a paved way or road; a public highway; now commonly, a thoroughfare in a city or village, bordered by dwellings or business houses. He removed [the body of] Amasa from the street unto the field. Coverdale. At home or through the high street passing. Milton. Note: In an extended sense, street designates besides the roadway, the walks, houses, shops, etc., which border the thoroughfare. His deserted mansion in Duke Street. Macaulay. The street (Broker's Cant), that thoroughfare of a city where the leading bankers and brokers do business; also, figuratively, those who do business there; as, the street would not take the bonds. -- Street Arab, Street broker, etc. See under Arab, Broker, etc. -- Street door, a door which opens upon a street, or is nearest the street. Syn. -- See Way.
streetwalker |A common prostitute who walks the streets to find customers.
streetward |An officer, or ward, having the care of the streets. [Obs.] Cowell.\n\nFacing toward the street. Their little streetward sitting room. Tennyson.
streight |See 2nd Strait. [Obs.]
streighten |See Straiten. [Obs.]
strein |To strain. [Obs.] Chaucer.
streit |Drawn. [Obs.] Pyrrhus with his streite sword. Chaucer.\n\nClose; narrow; strict. [Obs.] See Strait.
streite |Narrowly; strictly; straitly. [Obs.]
strelitz |A soldier of the ancient Muscovite guard or Russian standing army; also, the guard itself.
strelitzia |A genus of plants related to the banana, found at the Cape of Good Hope. They have rigid glaucous distichous leaves, and peculiar richly colored flowers.
strene |Race; offspring; stock; breed; strain. [Obs.] Chaucer.
strenger |, the original compar. & superl. of Strong. [Obs.] Two of us shall strenger be than one. Chaucer.
strengest |, the original compar. & superl. of Strong. [Obs.] Two of us shall strenger be than one. Chaucer.
strength |1. The quality or state of being strong; ability to do or to bear; capacity for exertion or endurance, whether physical, intellectual, or moral; force; vigor; power; as, strength of body or of the arm; strength of mind, of memory, or of judgment. All his [Samson's] strength in his hairs were. Chaucer. Thou must outlive Thy youth, thy strength, thy beauty. Milton. 2. Power to resist force; solidity or toughness; the quality of bodies by which they endure the application of force without breaking or yielding; -- in this sense opposed to frangibility; as, the strength of a bone, of a beam, of a wall, a rope, and the like. \"The brittle strength of bones.\" Milton. 3. Power of resisting attacks; impregnability. \"Our castle's strength will laugh a siege to scorn.\" Shak. 4. That quality which tends to secure results; effective power in an institution or enactment; security; validity; legal or moral force; logical conclusiveness; as, the strength of social or legal obligations; the strength of law; the strength of public opinion; strength of evidence; strength of argument. 5. One who, or that which, is regarded as embodying or affording force, strength, or firmness; that on which confidence or reliance is based; support; security. God is our refuge and strength. Ps. xlvi. 1. What they boded would be a mischief to us, you are providing shall be one of our principal strengths. Sprat. Certainly there is not a greater strength against temptation. Jer. Taylor. 6. Force as measured; amount, numbers, or power of any body, as of an army, a navy, and the like; as, what is the strength of the enemy by land, or by sea 7. Vigor or style; force of expression; nervous diction; -- said of literary work. And praise the easy vigor of a life Where Denham's strength and Waller's sweetness join. Pope. 8. Intensity; -- said of light or color. Bright Phoebus in his strength. Shak. 9. Intensity or degree of the distinguishing and essential element; spirit; virtue; excellence; -- said of liquors, solutions, etc.; as, the strength of wine or of acids. 10. A strong place; a stronghold. [Obs.] Shak. On, or Upon, the strength of, in reliance upon. \"The allies, after a successful summer, are too apt, upon the strength of it, to neglect their preparations for the ensuing campaign.\" Addison. Syn. -- Force; robustness; toughness; hardness; stoutness; brawniness; lustiness; firmness; puissance; support; spirit; validity; authority. See Force.\n\nTo strengthen. [Obs.] Chaucer.
strengthen |1. To make strong or stronger; to add strength to; as, to strengthen a limb, a bridge, an army; to strengthen an obligation; to strengthen authority. Let noble Warwick, Cobham, and the rest, . . . With powerful policy strengthen themselves. Shak. 2. To animate; to encourage; to fix in resolution. Charge Joshua, and encourage him, and strengthen him. Deut. iii. 28. Syn. -- To invigorate; confirm; establish; fortify; animate; encourage.\n\nTo grow strong or stronger. The young disease, that must subdue at length, Grows with his growth, and strengthens with his strength. Pope.
strengthener |One who, or that which, gives or adds strength. Sir W. Temple.
strengthening |That strengthens; giving or increasing strength. -- Strength\"en*ing*ly, adv. Strengthening plaster (Med.), a plaster containing iron, and supposed to have tonic effects.
strengthful |Abounding in strength; full of strength; strong. -- Strength\"ful*ness, n. Florence my friend, in court my faction Not meanly strengthful. Marston.
strengthing |A stronghold. [Obs.]
strengthless |Destitute of strength. Boyle.
strengthner |See Strengthener.
strengthy |Having strength; strong. [Obs.]
strenuity |Strenuousness; activity. [Obs.] Chapman.
strenuous |Eagerly pressing or urgent; zealous; ardent; earnest; bold; valiant; intrepid; as, a strenuous advocate for national rights; a strenuous reformer; a strenuous defender of his country. And spirit-stirring wine, that strenuous makes. Chapman. Strenuous, continuous labor is pain. I. Taylor. -- Stren\"u*ous*ly, adv. -- Stren\"u*ous*ness, n.
strepent |Noisy; loud. [R.] Shenstone.
streperous |Loud; boisterous. [R.] Sir T. Browne.
strepitores |A division of birds, including the clamatorial and picarian birds, which do not have well developed singing organs.
strepsipter |One of the Strepsiptera.
strepsiptera |A group of small insects having the anterior wings rudimentary, and in the form of short and slender twisted appendages, while the posterior ones are large and membranous. They are parasitic in the larval state on bees, wasps, and the like; -- called also Rhipiptera. See Illust. under Rhipipter.
strepsipteran |One of the Strepsiptera.
strepsipterous |Of or pertaining to Strepsiptera.
strepsorhina |Same as Lemuroidea.
strepsorhine |Having twisted nostrils; -- said of the lemurs. -- n. (Zoöl.)  One of the Strepsorhina; a lemur. See Illust. under Monkey.
streptobacteria |A so-called variety of bacterium, consisting in reality of several bacteria linked together in the form of a chain.
streptococcus |A long or short chain of micrococci, more or less curved.
streptoneura |An extensive division of gastropod Mollusca in which the loop or visceral nerves is twisted, and the sexes separate. It is nearly to equivalent to Prosobranchiata.
streptothrix |A genus of bacilli occurring of the form of long, smooth and apparently branched threads, either straight or twisted.
stress |1. Distress. [Obs.] Sad hersal of his heavy stress. Spenser. 2. Pressure, strain; -- used chiefly of immaterial things; except in mechanics; hence, urgency; importance; weight; significance. The faculties of the mind are improved by exercise, yet they must not be put to a stress beyond their strength. Locke. A body may as well lay too little as too much stress upon a dream. L'Estrange. 3. (Mech. & Physics)  The force, or combination of forces, which produces a strain; force exerted in any direction or manner between contiguous bodies, or parts of bodies, and taking specific names according to its direction, or mode of action, as thrust or pressure, pull or tension, shear or tangential stress. Rankine. Stress is the mutual action between portions of matter. Clerk Maxwell. 4. (Pron.)  Force of utterance expended upon words or syllables. Stress is in English the chief element in accent and is one of the most important in emphasis. See Guide to pronunciation, §§ 31-35. 5. (Scots Law)  Distress; the act of distraining; also, the thing distrained. Stress of voice, unusual exertion of the voice. -- Stress of weather, constraint imposed by continued bad weather; as, to be driven back to port by stress of weather. -- To lay stress upon, to attach great importance to; to emphasize. \"Consider how great a stress is laid upon this duty.\" Atterbury. -- To put stress upon, or To put to a stress, to strain.\n\n1. To press; to urge; to distress; to put to difficulties. [R.] Spenser. 2. To subject to stress, pressure, or strain.
stressful |Having much stress. Rush.
stretch |1. To reach out; to extend; to put forth. And stretch forth his neck long and small. Chaucer. I in conquest stretched mine arm. Shak. 2. To draw out to the full length; to cause to extend in a straight line; as, to stretch a cord or rope. 3. To cause to extend in breadth; to spread; to expand; as, to stretch cloth; to stretch the wings. 4. To make tense; to tighten; to distend forcibly. The ox hath therefore stretched his yoke in vain. Shak. 5. To draw or pull out to greater length; to strain; as, to stretch a tendon or muscle. Awake, my soul, stretch every nerve. Doddridge. 6. To exaggerate; to extend too far; as, to stretch the truth; to stretch one's credit. They take up, one day, the most violent and stretched prerogative. Burke.\n\n1. To be extended; to be drawn out in length or in breadth, or both; to spread; to reach; as, the iron road stretches across the continent; the lake stretches over fifty square miles. As far as stretcheth any ground. Gower. 2. To extend or spread one's self, or one's limbs; as, the lazy man yawns and stretches. 3. To be extended, or to bear extension, without breaking, as elastic or ductile substances. The inner membrane . . . because it would stretch and yield, remained umbroken. Boyle. 4. To strain the truth; to exaggerate; as, a man apt to stretch in his report of facts. [Obs. or Colloq.] 5. (Naut.)  To sail by the wind under press of canvas; as, the ship stretched to the eastward. Ham. Nav. Encyc. Stretch out, an order to rowers to extend themselves forward in dipping the oar.\n\n1. Act of stretching, or state of being stretched; reach; effort; struggle; strain; as, a stretch of the limbs; a stretch of the imagination. By stretch of arms the distant shore to gain. Dryden. Those put a lawful authority upon the stretch, to the abuse of yower, under the color of prerogative. L'Estrange. 2. A continuous line or surface; a continuous space of time; as, grassy stretches of land. A great stretch of cultivated country. W. Black. But all of them left me a week at a stretch. E. Eggleston. 3. The extent to which anything may be stretched. Quotations, in their utmost stretch, can signify no more than that Luther lay under severe agonies of mind. Atterbury. This is the utmost stretch that nature can. Granville. 4. (Naut.)  The reach or extent of a vessel's progress on one tack; a tack or board. 5. Course; direction; as, the stretch of seams of coal. To be on the stretch, to be obliged to use one's utmost powers. -- Home stretch. See under Home, a.
stretcher |1. One who, or that which, stretches. 2. (Masonry)  A brick or stone laid with its longer dimension in the line of direction of the wall. Gwilt. 3. (Arch.)  A piece of timber used in building. 4. (Naut.) (a) A narrow crosspiece of the bottom of a boat against which a rower braces his feet. (b) A crosspiece placed between the sides of a boat to keep them apart when hoisted up and griped. Dana. 5. A litter, or frame, for carrying disabled, wounded, or dead persons. 6. An overstretching of the truth; a lie. [Slang] 7. One of the rods in an umbrella, attached at one end to one of the ribs, and at the other to the tube sliding upon the handle. 8. An instrument for stretching boots or gloves. 9. The frame upon which canvas is stretched for a painting.
stretching |from Stretch, v. Stretching course (Masonry), a course or series of stretchers. See Stretcher, 2. Britton.
stretto |(a) The crowding of answer upon subject near the end of a fugue. (b) In an opera or oratorio, a coda, or winding up, in an accelerated time. [Written also stretta.]
strew |1. To scatter; to spread by scattering; to cast or to throw loosely apart; -- used of solids, separated or separable into parts or particles; as, to strew seed in beds; to strew sand on or over a floor; to strew flowers over a grave. And strewed his mangled limbs about the field. Dryden. On a principal table a desk was open and many papers [were] strewn about. Beaconsfield. 2. To cover more or less thickly by scattering something over or upon; to cover, or lie upon, by having been scattered; as, they strewed the ground with leaves; leaves strewed the ground. The snow which does the top of Pindus strew. Spenser. Is thine alone the seed that strews the plain Pope. 3. To spread abroad; to disseminate. She may strew dangerous conjectures. Shak.
strewing |1. The act of scattering or spreading. 2. Anything that is, or may be, strewed; -- used chiefly in the plural. Shak.
strewment |Anything scattered, as flowers for decoration. [Obs.] Shak.
strewn |p. p. of Strew.
stria |1. A minute groove, or channel; a threadlike line, as of color; a narrow structural band or line; a striation; as, the striæ, or groovings, produced on a rock by a glacier passing over it; the striæ on the surface of a shell; a stria of nervous matter in the brain. 2. (Arch.)  A fillet between the flutes of columns, pilasters, or the like. Oxf. Gloss.
striate |To mark with striaæ. \"Striated longitudinally.\" Owen.\n\nMarked with striaæ, or fine grooves, or lines of color; showing narrow structural bands or lines; as, a striated crystal; striated muscular fiber.
striated |Marked with striaæ, or fine grooves, or lines of color; showing narrow structural bands or lines; as, a striated crystal; striated muscular fiber.
striation |1. The quality or condition of being striated. 2. A stria; as, the striations on a shell.
striatum |The corpus striatum.
striature |A stria.
strich |An owl. [Obs.] Spenser.
strick |A bunch of hackled flax prepared for drawing into slivers. Knight.
stricken |1. Struck; smitten; wounded; as, the stricken deer. Note: [See Strike, n.] 2. Worn out; far gone; advanced. See Strike, v. t., 21. Abraham was old and well stricken in age. Gen. xxiv. 1. 3. Whole; entire; -- said of the hour as marked by the striking of a clock. [Scot.] He persevered for a stricken hour in such a torrent of unnecessary tattle. Sir W. Scott. Speeches are spoken by the stricken hour, day after day, week, perhaps, after week. Bayne.
strickle |1. An instrument to strike grain to a level with the measure; a strike. 2. An instrument for whetting scythes; a rifle. 3. (Founding)  An instrument used for smoothing the surface of a core. 4. (Carp. & Mason.)  A templet; a pattern. 5. An instrument used in dressing flax. [Prov. Eng.]
strickler |See Strickle.
strickless |See Strickle. [Prov. Eng.]
strict |1. Strained; drawn close; tight; as, a strict embrace; a strict ligature. Dryden. 2. Tense; not relaxed; as, a strict fiber. 3. Exact; accurate; precise; rigorously nice; as, to keep strict watch; to pay strict attention. Shak. It shall be still in strictest measure. Milton. 4. Governed or governing by exact rules; observing exact rules; severe; rigorous; as, very strict in observing the Sabbath. \"Through the strict senteries.\" Milton. 5. Rigidly; interpreted; exactly limited; confined; restricted; as, to understand words in a strict sense. 6. (Bot.)  Upright, or straight and narrow; -- said of the shape of the plants or their flower clusters. Syn. -- Exact; accurate; nice; close; rigorous; severe. -- Strict, Severe. Strict, applied to a person, denotes that he conforms in his motives and acts to a principle or code by which he is bound; severe is strict with an implication often, but not always, of harshness. Strict is opposed to lax; severe is opposed to gentle. And rules as strict his labored work confine, As if the Stagirite o'erlooked each line. Pope. Soon moved with touch of blame, thus Eve: -\"What words have passed thy lips, Adam severe!\" Milton. The Strict Observance, or Friars of the Strict Observance. (R. C. Ch.) See Observance.
striction |The act of constricting, or the state of being constricted. Line of striction (Geom.), the line on a skew surface that cuts each generator in that point of it that is nearest to the succeeding generator.
strictly |In a strict manner; closely; precisely.
strictness |Quality or state of being strict.
stricture |1. Strictness. [Obs.] A man of stricture and firm abstinence. Shak. 2. A stroke; a glance; a touch. [Obs.] Sir M. Hale. 3. A touch of adverse criticism; censure. [I have] given myself the liberty of these strictures by way of reflection on all and every passage. Hammond. 4. (Med.)  A localized morbid contraction of any passage of the body. Cf. Organic stricture, and Spasmodic stricture, under Organic, and Spasmodic. Arbuthnot.
strictured |Affected with a stricture; as, a strictured duct.
strid |A narrow passage between precipitous rocks or banks, which looks as if it might be crossed at a stride. [Prov. Eng.] Howitt. This striding place is called the Strid. Wordsworth.
stride |1. To walk with long steps, especially in a measured or pompous manner. Mars in the middle of the shining shield Is graved, and strides along the liquid field. Dryden. 2. To stand with the legs wide apart; to straddle.\n\n1. To pass over at a step; to step over. \"A debtor that not dares to stride a limit.\" Shak. 2. To straddle; to bestride. I mean to stride your steed. Shak.\n\nThe act of stridding; a long step; the space measured by a long step; as, a masculine stride. Pope. God never meant that man should scale the heavens By strides of human wisdom. Cowper.
strident |Characterized by harshness; grating; shrill. \"A strident voice.\" Thackeray.
stridor |A harsh, shrill, or creaking noise. Dryden.
stridulate |To make a shrill, creaking noise; specifically (Zoöl.),  to make a shrill or musical sound, such as is made by the males of many insects.
stridulation |The act of stridulating. Specifically: (Zoöl.) (a) The act of making shrill sounds or musical notes by rubbing together certain hard parts, as is done by the males of many insects, especially by Orthoptera, such as crickets, grasshoppers, and locusts. (b) The noise itself. Note: The crickets stridulate by rubbing together the strong nervures of the fore wings. Many grasshoppers stridulate by rubbing the hind legs across strong nervures on the fore wings. The green grasshoppers and katydids stridulate by means of special organs at the base of the fore wings.
stridulator |That which stridulates. Darwin.
stridulatory |Stridulous; able to stridulate; used in stridulating; adapted for stridulation. Darwin.
stridulous |Making a shrill, creaking sound. Sir T. Browne. The Sarmatian boor driving his stridulous cart. Longfellow. Stridulous laryngitis (Med.), a form of croup, or laryngitis, in children, associated with dyspnoea, occurring usually at night, and marked by crowing or stridulous breathing.
strife |1. The act of striving; earnest endeavor. [Archaic] Shak. 2. Exertion or contention for superiority; contest of emulation, either by intellectual or physical efforts. Doting about questions and strifes of words. 1 Tim. vi. 4. Thus gods contended -- noble strife -Who most should ease the wants of life. Congreve. 3. Altercation; violent contention; fight; battle. Twenty of them fought in this black strife. Shak. These vows, thus granted, raised a strife above Betwixt the god of war and queen of love. Dryden. 4. That which is contended against; occasion of contest. [Obs.] \"Lamenting her unlucky strife.\" Spenser. Syn. -- Contest; struggle; quarrel. See Contention.
strifeful |Contentious; discordant. The ape was strifeful and ambitious. Spenser.
strigate |Having transverse bands of color.
striges |The tribe of birds which comprises the owls.
strigil |An instrument of metal, ivory, etc., used for scraping the skin at the bath.
strigillose |Set with stiff, slender bristles.
strigine |Of or pertaining to owls; owl-like.
strigment |Scraping; that which is scraped off. [Obs.] Sir T. Browne.
strigose |Set with stiff, straight bristles; hispid; as, a strigose leaf.
strigous |Strigose. [R.]
strike |1. To touch or hit with some force, either with the hand or with an instrument; to smite; to give a blow to, either with the hand or with any instrument or missile. He at Philippi kept His sword e'en like a dancer; while I struck The lean and wrinkled Cassius. Shak. 2. To come in collision with; to strike against; as, a bullet struck him; the wave struck the boat amidships; the ship struck a reef. 3. To give, as a blow; to impel, as with a blow; to give a force to; to dash; to cast. They shall take of the blood, and strike it on the two sideposts. Ex. xii. 7. Who would be free, themselves must strike the blow. Byron. 4. To stamp or impress with a stroke; to coin; as, to strike coin from metal: to strike dollars at the mint. 5. To thrust in; to cause to enter or penetrate; to set in the earth; as, a tree strikes its roots deep. 6. To punish; to afflict; to smite. To punish the just is not good, nor strike princes for equity. Prov. xvii. 26. 7. To cause to sound by one or more beats; to indicate or notify by audible strokes; as, the clock strikes twelve; the drums strike up a march. 8. To lower; to let or take down; to remove; as, to strike sail; to strike a flag or an ensign, as in token of surrender; to strike a yard or a topmast in a gale; to strike a tent; to strike the centering of an arch. 9. To make a sudden impression upon, as by a blow; to affect sensibly with some strong emotion; as, to strike the mind, with surprise; to strike one with wonder, alarm, dread, or horror. Nice works of art strike and surprise us most on the first view. Atterbury. They please as beauties, here as wonders strike. Pope. 10. To affect in some particular manner by a sudden impression or impulse; as, the plan proposed strikes me favorably; to strike one dead or blind. How often has stricken you dumb with his irony! Landor. 11. To cause or produce by a stroke, or suddenly, as by a stroke; as, to strike a light. Waving wide her myrtle wand, She strikes a universal peace through sea and land. Milton. 12. To cause to ignite; as, to strike a match. 13. To make and ratify; as, to strike a bargain. Note: Probably borrowed from the L. foedus ferrire, to strike a compact, so called because an animal was struck and killed as a sacrifice on such occasions. 14. To take forcibly or fraudulently; as, to strike money. [Old Slang] 15. To level, as a measure of grain, salt, or the like, by scraping off with a straight instrument what is above the level of the top. 16. (Masonry)  To cut off, as a mortar joint, even with the face of the wall, or inward at a slight angle. 17. To hit upon, or light upon, suddenly; as, my eye struck a strange word; they soon struck the trail. 18. To borrow money of; to make a demand upon; as, he struck a friend for five dollars. [Slang] 19. To lade into a cooler, as a liquor. B. Edwards. 20. To stroke or pass lightly; to wave. Behold, I thought, He will . . . strike his hand over the place, and recover the leper. 2 Kings v. 11. 21. To advance; to cause to go forward; -- used only in past participle. \"Well struck in years.\" Shak. To strike an attitude, To strike a balance. See under Attitude, and Balance. -- To strike a jury (Law), to constitute a special jury ordered by a court, by each party striking out a certain number of names from a prepared list of jurors, so as to reduce it to the number of persons required by law. Burrill. -- To strike a lead. (a) (Mining) To find a vein of ore. (b) Fig.: To find a way to fortune. [Colloq.] -- To strike a ledger, or an account, to balance it. -- To strike hands with. (a) To shake hands with. Halliwell. (b) To make a compact or agreement with; to agree with. -- To strike off. (a) To erase from an account; to deduct; as, to strike off the interest of a debt. (b) (Print.) To impress; to print; as, to strike off a thousand copies of a book. (c) To separate by a blow or any sudden action; as, to strike off what is superfluous or corrupt. -- To strike oil, to find petroleum when boring for it; figuratively, to make a lucky hit financially. [Slang, U.S.] -- To strike one luck, to shake hands with one and wish good luck. [Obs.] Beau. & Fl. -- To strike out. (a) To produce by collision; to force out, as, to strike out sparks with steel. (b) To blot out; to efface; to erase. \"To methodize is as necessary as to strike out.\" Pope. (c) To form by a quick effort; to devise; to invent; to contrive, as, to strike out a new plan of finance. (d) (Baseball) To cause a player to strike out; -- said of the pitcher. See To strike out, under Strike, v. i. -- To strike sail. See under Sail. -- To strike up. (a) To cause to sound; to begin to beat. \"Strike up the drums.\" Shak. (b) To begin to sing or play; as, to strike up a tune. (c) To raise (as sheet metal), in making diahes, pans, etc., by blows or pressure in a die. -- To strike work, to quit work; to go on a strike.\n\nTo move; to advance; to proceed; to take a course; as, to strike into the fields. A mouse . . . struck forth sternly [bodily]. Piers Plowman. 2. To deliver a quick blow or thrust; to give blows. And fiercely took his trenchant blade in hand, With which he stroke so furious and so fell. Spenser. Strike now, or else the iron cools. Shak. 3. To hit; to collide; to dush; to clash; as, a hammer strikes against the bell of a clock. 4. To sound by percussion, with blows, or as with blows; to be struck; as, the clock strikes. A deep sound strikes like a rising knell. Byron. 5. To make an attack; to aim a blow. A puny subject strikes At thy great glory. Shak. Struck for throne, and striking found his doom. Tennyson. 6. To touch; to act by appulse. Hinder light but from striking on it [porphyry], and its colors vanish. Locke. 7. To run upon a rock or bank; to be stranded; as, the ship struck in the night. 8. To pass with a quick or strong effect; to dart; to penetrate. Till a dart strike through his liver. Prov. vii. 23. Now and then a glittering beam of wit or passion strikes through the obscurity of the poem. Dryden. 9. To break forth; to commence suddenly; -- with into; as, to strike into reputation; to strike into a run. 10. To lower a flag, or colors, in token of respect, or to signify a surrender of a ship to an enemy. That the English ships of war should not strike in the Danish seas. Bp. Burnet. 11. To quit work in order to compel an increase, or prevent a reduction, of wages. 12. To become attached to something; -- said of the spat of oysters. 13. To steal money. [Old Slang, Eng.] Nares. To strike at, to aim a blow at. -- To strike for, to start suddenly on a course for. -- To strike home, to give a blow which reaches its object, to strike with effect. -- To strike in. (a) To enter suddenly. (b) To disappear from the surface, with internal effects, as an eruptive disease. (c) To come in suddenly; to interpose; to interrupt. \"I proposed the embassy of Constantinople for Mr. Henshaw, but my Lord Winchelsea struck in.\" Evelyn. (d) To join in after another has begun,as in singing. -- To strike in with, to conform to; to suit itself to; to side with, to join with at once. \"To assert this is to strike in with the known enemies of God's grace.\" South. To strike out. (a) To start; to wander; to make a sudden excursion; as, to strike out into an irregular course of life. (b) To strike with full force. (c) (Baseball) To be put out for not hitting the ball during one's turn at the bat. -- To strike up, to commence to play as a musician; to begin to sound, as an instrument. \"Whilst any trump did sound, or drum struck up.\" Shak.\n\n1. The act of striking. 2. An instrument with a straight edge for leveling a measure of grain, salt, and the like, scraping off what is above the level of the top; a strickle. 3. A bushel; four pecks. [Prov. Eng.] Tusser. 4. An old measure of four bushels. [Prov. Eng.] 5. Fullness of measure; hence, excellence of quality. Three hogsheads of ale of the first strike. Sir W. Scott. 6. An iron pale or standard in a gate or fence. [Obs.] 7. The act of quitting work; specifically, such an act by a body of workmen, done as a means of enforcing compliance with demands made on their employer. Strikes are the insurrections of labor. F. A. Walker. 8. (Iron Working)  A puddler's stirrer. 9. (Geol.)  The horizontal direction of the outcropping edges of tilted rocks; or, the direction of a horizontal line supposed to be drawn on the surface of a tilted stratum. It is at right angles to the dip. 10. The extortion of money, or the attempt to extort money, by threat of injury; blackmailing. Strike block (Carp.), a plane shorter than a jointer, used for fitting a short joint. Moxon. -- Strike of flax, a handful that may be hackled at once. [Obs. or Prov. Eng.] Chaucer. -- Strike of sugar. (Sugar Making) (a) The act of emptying the teache, or last boiler, in which the cane juice is exposed to heat, into the coolers. (b) The quantity of the sirup thus emptied at once.
striker |1. One who, or that which, strikes; specifically, a blacksmith's helper who wieds the sledge. 2. A harpoon; also, a harpooner. Wherever we come to an anchor, we always send out our strikers, and put out hooks and lines overboard, to try fish. Dampier. 3. A wencher; a lewd man. [Obs.] Massinger. 4. A workman who is on a strike. 5. A blackmailer in politics; also, one whose political influence can be bought. [Political Cant]
striking |a. & n. from Strike, v. Striking distance, the distance through which an object can be reached by striking; the distance at which a force is effective when directed to a particular object. -- Striking plate. (a) The plate against which the latch of a door lock strikes as the door is closed. (b) A part of the centering of an arch, which is driven back to loosen the centering in striking it.\n\nAffecting with strong emotions; surprising; forcible; impressive; very noticeable; as, a striking representation or image; a striking resemblance. \"A striking fact.\" De Quincey. -- Strik\"ing*ly, adv. -- Strik\"ing*ness, n.
strikle |See Strickle.
string |1. A small cord, a line, a twine, or a slender strip of leather, or other substance, used for binding together, fastening, or tying things; a cord, larger than a thread and smaller than a rope; as, a shoe string; a bonnet string; a silken string. Shak. Round Ormond's knee thou tiest the mystic string. Prior. 2. A thread or cord on which a number of objects or parts are strung or arranged in close and orderly succession; hence, a line or series of things arranged on a thread, or as if so arranged; a succession; a concatenation; a chain; as, a string of shells or beads; a string of dried apples; a string of houses; a string of arguments. \"A string of islands.\" Gibbon. 3. A strip, as of leather, by which the covers of a book are held together. Milton. 4. The cord of a musical instrument, as of a piano, harp, or violin; specifically (pl.), the stringed instruments of an orchestra, in distinction from the wind instruments; as, the strings took up the theme. \"An instrument of ten strings.\" Ps. xxx. iii. 2. Me softer airs befit, and softer strings Of lute, or viol still. Milton. 5. The line or cord of a bow. Ps. xi. 2. He twangs the grieving string. Pope. 6. A fiber, as of a plant; a little, fibrous root. Duckweed putteth forth a little string into the water, from the bottom. Bacon. 7. A nerve or tendon of an animal body. The string of his tongue was loosed. Mark vii. 35. 8. (Shipbuilding)  An inside range of ceiling planks, corresponding to the sheer strake on the outside and bolted to it. 9. (Bot.)  The tough fibrous substance that unites the valves of the pericap of leguminous plants, and which is readily pulled off; as, the strings of beans. 10. (Mining)  A small, filamentous ramification of a metallic vein. Ure. 11. (Arch.)  Same as Stringcourse. 12. (Billiards)  The points made in a game. String band (Mus.), a band of musicians using only, or chiefly, stringed instruments. -- String beans. (a) A dish prepared from the unripe pods of several kinds of beans; -- so called because the strings are stripped off. (b) Any kind of beans in which the pods are used for cooking before the seeds are ripe; usually, the low bush bean. -- To have two strings to one's bow, to have a means or expedient in reserve in case the one employed fails.\n\n1. To furnish with strings; as, to string a violin. Has not wise nature strung the legs and feet With firmest nerves, designed to walk the street Gay. 2. To put in tune the strings of, as a stringed instrument, in order to play upon it. For here the Muse so oft her harp has strung, That not a mountain rears its head unsung. Addison. 3. To put on a string; to file; as, to string beads. 4. To make tense; to strengthen. Toil strung the nerves, and purified the blood. Dryden. 5. To deprive of strings; to strip the strings from; as, to string beans. See String, n., 9.
stringboard |Same as Stringpiece.
stringcourse |A horizontal band in a building, forming a part of the design, whether molded, projecting, or carved, or in any way distinguished from the rest of the work.
stringed |1. Having strings; as, a stringed instrument. Ps. cl. 4. 2. Produced by strings. \"Answering the stringed noise.\" Milton.
stringency |The quality or state of being stringent.
stringendo |Urging or hastening the time, as to a climax.
stringent |Binding strongly; making strict requirements; restrictive; rigid; severe; as, stringent rules. They must be subject to a sharper penal code, and to a more stringent code of procedure. Macaulay. -- Strin\"gent*ly, adv. -- Strin\"gent*ness, n.
stringer |1. One who strings; one who makes or provides strings, especially for bows. Be content to put your trust in honest stringers. Ascham. 2. A libertine; a wencher. [Obs.] Beau. & Fl. 3. (Railroad)  A longitudinal sleeper. 4. (Shipbuilding)  A streak of planking carried round the inside of a vessel on the under side of the beams. 5. (Carp.)  A long horizontal timber to connect uprights in a frame, or to support a floor or the like.
stringhalt |An habitual sudden twitching of the hinder leg of a horse, or an involuntary or convulsive contraction of the muscles that raise the hock. [Written also springhalt.]
