skag |An additional piece fastened to the keel of a boat to prevent lateral motion. See Skeg.
slog |To hit hard, esp. with little attention to aim or the like, as in cricket or boxing; to slug. [Cant or Slang]
slogan |The war cry, or gathering word, of a Highland clan in Scotland; hence, any rallying cry. Sir W. Scott.
slogger |A hard hitter; a slugger. [Cant or Slang]  T. Hughes.
sloggy |Sluggish. [Obs.] Somnolence that is sloggy slumbering Chaucer.
sloke |See Sloakan.
sloo |A slough; a run or wet place. See 2d Slough, 2.
sloom |Slumber. [Prov. Eng.]
sloomy |Sluggish; slow. [Prov. Eng.]
sloop |A vessel having one mast and fore-and-aft rig, consisting of a boom-and-gaff mainsail, jibs, staysail, and gaff topsail. The typical sloop has a fixed bowsprit, topmast, and standing rigging, while those of a cutter are capable of being readily shifted. The sloop usually carries a centerboard, and depends for stability upon breadth of beam rather than depth of keel. The two types have rapidly approximated since 1880. One radical distinction is that a slop may carry a centerboard. See Cutter, and Illustration in Appendix. Sloop of war, formerly, a vessel of war rigged either as a ship, brig, or schooner, and mounting from ten to thirty-two guns; now, any war vessel larger than a gunboat, and carrying guns on one deck only.
slop |1. Water or other liquid carelessly spilled or thrown aboyt, as upon a table or a floor; a puddle; a soiled spot. 2. Mean and weak drink or liquid food; -- usually in the plural. 3. pl.  Dirty water; water in which anything has been washed or rinsed; water from wash-bowls, etc. Slop basin, or Slop bowl, a basin or bowl for holding slops, especially for receiving the rinsings of tea or coffee cups at the table. -- Slop molding (Brickmaking), a process of manufacture in which the brick is carried to the drying ground in a wet mold instead of on a pallet.\n\n1. To cause to overflow, as a liquid, by the motion of the vessel containing it; to spill. 2. To spill liquid upon; to soil with a liquid spilled.\n\nTo overflow or be spilled as a liquid, by the motion of the vessel containing it; -- often with over.\n\n1. Any kind of outer garment made of linen or cotton, as a night dress, or a smock frock. [Obs.] Halliwell. 2. A loose lower garment; loose breeches; chiefly used in the plural. \"A pair of slops.\" Sir P. Sidney. There's a French salutation to your French slop. Shak. 3. pl.  Ready-made clothes; also, among seamen, clothing, bedding, and other furnishings.
slope |1. An oblique direction; a line or direction including from a horizontal line or direction; also, sometimes, an inclination, as of one line or surface to another. 2. Any ground whose surface forms an angle with the plane of the horizon. buildings the summit and slope of a hill. Macaulay. Under the slopes of Pisgah. Deut. iv. 49. (Rev. Ver.). Note: A slope, considered as descending, is a declivity; considered as ascending, an acclivity. Slope of a plane (Geom.), the direction of the plane; as, parallel planes have the same slope.\n\nSloping. \"Down the slope hills.\" Milton. A bank not steep, but gently slope. Bacon.\n\nIn a sloping manner. [Obs.] Milton.\n\nTo form with a slope; to give an oblique or slanting direction to; to direct obliquely; to incline; to slant; as, to slope the ground in a garden; to slope a piece of cloth in cutting a garment.\n\n1. To take an oblique direction; to be at an angle with the plane of the horizon; to incline; as, the ground slopes. 2. To depart; to disappear suddenly. [Slang]
slopeness |State of being slope. Sir H. Wotton.
slopewise |Obliquely. [Obs.] Carew.
sloping |Inclining or inclined from the plane of the horizon, or from a horizontal or other right line; oblique; declivous; slanting. -- Slop\"ing*ly, adv. The sloping land recedes into the clouds. Cowper.
sloppiness |The quality or state of being sloppy; muddiness.
sloppy |Wet, so as to spatter easily; wet, as with something slopped over; muddy; plashy; as, a sloppy place, walk, road.
slopseller |One who sells slops, or ready-made clothes. See 4th Slop, 3.
slopshop |A shop where slops. or ready-made clothes, are sold.
slopwork |The manufacture of slops, or cheap ready-made clothing; also, such clothing; hence, hasty, slovenly work of any kind. No slopwork ever dropped from his [Carlyle's] pen. Froude.
slopy |Sloping; inclined.
slosh |See Slush, Slushy.
sloshy |See Slush, Slushy.
slot |1. A broad, flat, wooden bar; a slat or sloat. 2. A bolt or bar for fastening a door. [Prov. Eng.] 3. A narrow depression, perforation, or aperture; esp., one for the reception of a piece fitting or sliding in it.\n\nTo shut with violence; to slam; as, to slot a door. [Obs. or Prov. Eng.]\n\nThe track of a deer; hence, a track of any kind. Milton. As a bloodhound follows the slot of a hurt deer. Sir W. Scott.
slot machine |A machine the operation of which is started by dropping a coin into a slot, for delivering small articles of merchandise, showing one's weight, exhibiting pictures, throwing dice, etc.
sloth |1. Slowness; tardiness. These cardinals trifle with me; I abhor This dilatory sloth and tricks of Rome. Shak. 2. Disinclination to action or labor; sluggishness; laziness; idleness. [They] change their course to pleasure, ease, and sloth. Milton. Sloth, like rust, consumes faster than labor wears. Franklin. 3. (Zoöl.)  Any one of several species of arboreal edentates constituting the family Bradypodidæ, and the suborder Tardigrada. They have long exserted limbs and long prehensile claws. Both jaws are furnished with teeth (see Illust. of Edentata), and the ears and tail are rudimentary. They inhabit South and Central America and Mexico. Note: The three-toed sloths belong to the genera Bradypus and Arctopithecus, of which several species have been described. They have three toes on each foot. The best-known species are collared sloth (Bradypus tridactylus), and the ai (Arctopitheus ai). The two- toed sloths, consisting the genus Cholopus, have two toes on each fore foot and three on each hind foot. The best-known is the unau (Cholopus didactylus) of South America. See Unau. Another species (C. Hoffmanni) inhabits Central America. Various large extinct terrestrial edentates, such as Megatherium and Mylodon, are often called sloths. Australian, or Native sloth (Zoöl.), the koala. -- Sloth animalcule (Zoöl.), a tardigrade. -- Sloth bear (Zoöl.), a black or brown long-haired bear (Melursus ursinus, or labiatus), native of India and Ceylon; -- called also aswail, labiated bear, and jungle bear. It is easily tamed and can be taught many tricks. -- Sloth monkey (Zoöl.), a loris.\n\nTo be idle. [Obs.] Gower.
slothful |Addicted to sloth; inactive; sluggish; lazy; indolent; idle. He also that is slothful in his work is brother to him that is a great waster. Prov. xviii. 9. -- Sloth\"ful*ly, adv. -- Sloth\"ful*ness, n.
slothhound |See Sleuthhound.
slotted |Having a slot.
slotting |The act or process of making slots, or mortises.
slouch |1. A hanging down of the head; a drooping attitude; a limp appearance; an ungainly, clownish gait; a sidewise depression or hanging down, as of a hat brim. 2. An awkward, heavy, clownish fellow. [Colloq.] Slouth hat, a soft, limp hat of unstiffened cloth or felt.\n\n1. To droop, as the head. 2. To walk in a clumsy, lazy manner. [Colloq.]\n\nTo cause to hang down; to depress at the side; as, to slouth the hat.
slouching |Hanging down at the side; limp; drooping; without firmness or shapeliness; moving in an ungainly manner.
slouchy |Slouching. [Colloq.]
slough |Slow. [Obs.] Chaucer.\n\n1. A place of deep mud or mire; a hole full of mire. Chaucer. He's here stuck in a slough. Milton. 2. [Pronounced sloo.]  A wet place; a swale; a side channel or inlet from a river. Note: [In this sense local or provincial; also spelt sloo, and slue.] Slough grass (Bot.), a name in the Mississippi valley for grasses of the genus Muhlenbergia; -- called also drop seed, and nimble Will.\n\nimp. of Slee, to slay. Slew. Chaucer.\n\n1. The skin, commonly the cast-off skin, of a serpent or of some similar animal. 2. (Med.)  The dead mass separating from a foul sore; the dead part which separates from the living tissue in mortification.\n\nTo form a slough; to separate in the form of dead matter from the living tissues; -- often used with off, or away; as, a sloughing ulcer; the dead tissues slough off slowly.\n\nTo cast off; to discard as refuse. New tint the plumage of the birds, And slough decay from grazing herds. Emerson.
sloughing |The act of casting off the skin or shell, as do insects and crustaceans; ecdysis.
sloughy |Full of sloughs, miry.\n\nResembling, or of the nature of, a slough, or the dead matter which separates from living flesh.
sloven |A man or boy habitually negligent of neathess and order; -- the correlative term to slattern, or slut. Pope. He became a confirmed sloven. Macaulay.
slovenliness |The quality or state of being slovenly.
slovenly |1. Having the habits of a sloven; negligent of neatness and order, especially in dress. A slovenly, lazy fellow, bolling at his ease. L'Estrange. 2. Characteristic of a solven; lacking neatness and order; evincing negligence; as, slovenly dress.\n\na slovenly manner.
slovenness |Slovenliness. [Obs.] Fuller.
slovenry |Slovenliness. [Obs.] Shak.
slow |imp. of Slee, to slay. Slew. Chaucer.\n\n1. Moving a short space in a relatively long time; not swift; not quick in motion; not rapid; moderate; deliberate; as, a slow stream; a slow motion. 2. Not happening in a short time; gradual; late. These changes in the heavens, though slow, produced Like change on sea and land, sidereal blast. Milton. 3. Not ready; not prompt or quick; dilatory; sluggish; as, slow of speech, and slow of tongue. Fixed on defense, the Trojans are not slow To guard their shore from an expected foe. Dryden. 4. Not hasty; not precipitate; acting with deliberation; tardy; inactive. He that is slow to wrath is of great understanding. Prov. xiv. 29. 5. Behind in time; indicating a time earlier than the true time; as, the clock or watch is slow. 6. Not advancing or improving rapidly; as, the slow growth of arts and sciences. 7. Heavy in wit; not alert, prompt, or spirited; wearisome; dull. [Colloq.] Dickens. Thackeray. Note: Slow is often used in the formation of compounds for the most part self-explaining; as, slow-gaited, slow-paced, slow-sighted, slow-winged, and the like. Slow coach, a slow person. See def.7, above. [Colloq.] -- Slow lemur, or Slow loris (Zoöl.), an East Indian nocturnal lemurine animal (Nycticebus tardigradus) about the size of a small cat; -- so called from its slow and deliberate movements. It has very large round eyes and is without a tail. Called also bashful Billy. -- Slow match. See under Match. Syn. -- Dilatory; late; lingering; tardy; sluggish; dull; inactive. -- Slow, Tardy, Dilatory. Slow is the wider term, denoting either a want of rapid motion or inertness of intellect. Dilatory signifies a proneness to defer, a habit of delaying the performance of what we know must be done. Tardy denotes the habit of being behind hand; as, tardy in making up one's acounts.\n\nSlowly. Let him have time to mark how slow time goes In time of sorrow. Shak.\n\nTo render slow; to slacken the speed of; to retard; to delay; as, to slow a steamer. Shak.\n\nTo go slower; -- often with up; as, the train slowed up before crossing the bridge.\n\nA moth. [Obs.] Rom. of R.
slow-witted |Dull of apprehension; not possessing quick intelligence.
slowback |A lubber; an idle fellow; a loiterer. [Old Slang] Dr. Favour.
slowh |imp. of Slee,to slay. Chaucer.
slowhound |A sleuthhound. [R.]
slowly |In a slow manner; moderately; not rapidly; not early; not rashly; not readly; tardly.
slowness |The quality or state of being slow.
slows |Milk sickness.
slowworm |A lecertilian reptile; the blindworm.
sloyd |Lit., skilled mechanical work, such as that required in wood carving; trade work; hence, a system (usually called the sloyd system) of manual training in the practical use of the tools and materials used in the trades, and of instruction in the making and use of the plans and specifications connected with trade work. The sloyd system derives its name from the fact that it was adopted or largely developed from a similar Swedish system, in which wood carving was a chief feature. Its purpose is not only to afford practical skill in some trade, but also to develop the pupils mentally and physically.
slub |A roll of wool slightly twisted; a rove; -- called also slubbing.\n\nTo draw out and twist slightly; -- said of slivers of wool.
slubber |1. To do lazily, imperfectly, or coarsely. Slubber not business for my sake. Shak. 2. To daub; to stain; to cover carelessly. There is no art that hath more . . . slubbered with aphorisming pedantry than the art of policy. Milton.\n\nA slubbing machine.
slubberdegullion |A mean, dirty wretch. [Low]
slubberingly |In a slovenly, or hurried and imperfect, manner. [Low] Drayton.
slubbing |from Slub. Slubbing billy, or Slubbing machine, the machine by which slubs are formed.
sludge |1. Mud; mire; soft mud; slush. Mortimer. Tennyson. 2. Small floating pieces of ice, or masses of saturated snow. Kane. 3. (Mining)  See Slime, 4. Sludge hole, the hand-hole, or manhole, in a steam boiler, by means of which sediment can be removed.
sludge acid |Impure dark-colored sulphuric acid that has been used in the refining of petroleum.
sludger |A bucket for removing mud from a bored hole; a sand pump.\n\nA shovel for sludging out drains, etc.
sludy |Miry; slushy.
slue |A slough; a run or wet place. See 2d Slough, 2.\n\n1. (Naut.)  To turn about a fixed point, usually the center or axis, as a spar or piece of timber; to turn; -- used also of any heavy body. 2. In general, to turn about; to twist; -- often used reflexively and followed by round. [Colloq.] They laughed, and slued themselves round. Dickens.\n\nTo turn about; to turn from the course; to slip or slide and turn from an expected or desired course; -- often followed by round.\n\nSee Sloough, 2. [Local]
slug |1. A drone; a slow, lazy fellow; a sluggard. Shak. 2. A hindrance; an obstruction. [Obs.] Bacon. 3. (Zoöl.)  Any one of numerous species of terrestrial pulmonate mollusks belonging to Limax and several related genera, in which the shell is either small and concealed in the mantle, or altogether wanting. They are closely allied to the land snails. 4. (Zoöl.)  Any smooth, soft larva of a sawfly or moth which creeps like a mollusk; as, the pear slug; rose slug. 5. A ship that sails slowly. [Obs.] Halliwell. His rendezvous for his fleet, and for all slugs to come to, should be between Calais and Dover. Pepys. 6. Etym: [Perhaps a different word.]  An irregularly shaped piece of metal, used as a missile for a gun. 7. (Print.)  A thick strip of metal less than type high, and as long as the width of a column or a page, -- used in spacing out pages and to separate display lines, etc. Sea slug. (Zoöl.) (a) Any nudibranch mollusk. (b) A holothurian. -- Slug caterpillar. Same as Slugworm.\n\nTo move slowly; to lie idle. [Obs.] To slug in sloth and sensual delight. Spenser.\n\nTo make sluggish. [Obs.] Milton.\n\n1. To load with a slug or slugs; as, to slug a gun. 2. To strike heavily. [Cant or Slang]\n\nTo become reduced in diameter, or changed in shape, by passing from a larger to a smaller part of the bore of the barrel; -- said of a bullet when fired from a gun, pistol, or other firearm.
slug-horn |An erroneous form of the Scotch word slughorne, or sloggorne, meaning slogan.
slugabed |One who indulges in lying abed; a sluggard. [R.] \"Fie, you slugabed!\" Shak.
sluggard |A person habitually lazy, idle, and inactive; a drone. Go to the ant, thou sluggard; considered her ways, and be wise. Prov. vi. 6.\n\nSluggish; lazy. Dryden.
sluggardize |To make lazy. [R.] Shak.
sluggardy |The state of being a sluggard; sluggishness; sloth. Gower. Idleness is rotten sluggardy. Chaucer.
slugger |One who strikes heavy blows; hence, a boxer; a prize fighter. [Cant or Slang]
slugging match |(a) A boxing match or prize fight marked rather by heavy hitting than skill. [Cant or Slang] (b) A ball game, esp. a baseball game, in which  there is much hard hitting of the ball. [Slang, U. S.]
sluggish |1. Habitually idle and lazy; slothful; dull; inactive; as, a sluggish man. 2. Slow; having little motion; as, a sluggish stream. 3. Having no power to move one's self or itself; inert. Matter, being impotent, sluggish, and inactive, hath no power to stir or move itself. Woodward. And the sluggish land slumbers in utter neglect. Longfellow. 4. Characteristic of a sluggard; dull; stupid; tame; simple. [R.] \"So sluggish a conceit.\" Milton. Syn. -- Inert; idle; lazy; slothful; indolent; dronish; slow; dull; drowsy; inactive. See Inert. -- Slug\"gish*ly, adv. -- Slug\"gish*ness, n.
sluggy |Sluggish. [Obs.] Chaucer.
slugs |Half-roasted ore.
slugworm |Any caterpillar which has the general appearance of a slug, as do those of certain moths belonging to Limacodes and allied genera, and those of certain sawflies.
sluice |1. An artifical passage for water, fitted with a valve or gate, as in a mill stream, for stopping or regulating the flow; also, a water gate of flood gate. 2. Hence, an opening or channel through which anything flows; a source of supply. Each sluice of affluent fortune opened soon. Harte. This home familiarity . . . opens the sluices of sensibility. I. Taylor. 3. The stream flowing through a flood gate. 4. (Mining)  A long box or trough through which water flows, -- used for washing auriferous earth. Sluice gate, the sliding gate of a sluice.\n\n1. To emit by, or as by, flood gates. [R.] Milton. 2. To wet copiously, as by opening a sluice; as, to sluice meadows. Howitt. He dried his neck and face, which he had been sluicing with cold water. De Quincey. 3. To wash with, or in, a stream of water running through a sluice; as, to sluice eart or gold dust in mining.
sluiceway |An artificial channel into which water is let by a sluice; specifically, a trough constructed over the bed of a stream, so that logs, lumber, or rubbish can be floated down to some convenient place of delivery.
sluicy |Falling copiously or in streams, as from a sluice. And oft whole sheets descend of sluicy rain. Dryden.
slum |1. A foul back street of a city, especially one filled with a poor, dirty, degraded, and often vicious population; any low neighborhood or dark retreat; -- usually in the plural; as, Westminster slums are haunts for theives. Dickens. 2. pl. (Mining)  Same as Slimes.
slumber |1. To sleep; especially, to sleep lightly; to doze. Piers Plowman. He that keepeth Israel shall neither slumber nor sleep. Ps. cxxi. 4. 2. To be in a state of negligence, sloth, supineness, or inactivity. \"Why slumbers Pope\" Young.\n\n1. To lay to sleep. [R.] Wotton. 2. To stun; to stupefy. [Obs.] Spenser.\n\nSleep; especially, light sleep; sleep that is not deep or sound; repose. He at last fell into a slumber, and thence into a fast sleep, which detained him in that place until it was almost night. Bunyan. Fast asleep It is no matter; Enjoy the honey-heavy dew of slumber. Shak. Rest to my soul, and slumber to my eyes. Dryden.
slumberer |One who slumbers; a sleeper.
slumberingly |In a slumbering manner.
slumberless |Without slumber; sleepless.
slumberous |1. Inviting slumber; soporiferous. \"Pensive in the slumberous shade.\" Pope. 2. Being in the repose of slumber; sleepy; drowsy. His quiet and almost slumberous countenance. Hawthorne.
slumbery |Sleepy. [Obs.] Chaucer.
slumbrous |Slumberous. Keats.
slumgum |The impure residue, consisting of cocoons, propolis, etc., remaining after the wax is extracted from honeycombs.
slumming |Visiting slums.
slump |The gross amount; the mass; the lump. [Scot.]\n\nTo lump; to throw into a mess. These different groups . . . are exclusively slumped together under that sense. Sir W. Hamilton.\n\nTo fall or sink suddenly through or in, when walking on a surface, as on thawing snow or ice, partly frozen ground, a bog, etc., not strong enough to bear the person. The latter walk on a bottomless quag, into which unawares they may slump. Barrow.\n\n1. A boggy place. [Prov. Eng. & Scot.] 2. The noise made by anything falling into a hole, or into a soft, miry place. [Scot.]
slumpy |Easily broken through; boggy; marshy; swampy. [Prov. Eng. & Colloq. U.S.] Bartlett.
slung |imp. & p. p. of Sling. Slung shot, a metal ball of small size, with a string attached, used by ruffians for striking.
slunk |imp. & p. p. of Slink.
slur |1. To soil; to sully; to contaminate; to disgrace. Cudworth. 2. To disparage; to traduce. Tennyson. 3. To cover over; to disguise; to conceal; to pass over lightly or with little notice. With periods, points, and tropes, he slurs his crimes. Dryden. 4. To cheat, as by sliding a die; to trick. [R.] To slur men of what they fought for. Hudibras. 5. To pronounce indistinctly; as, to slur syllables. 6. (Mus.)  To sing or perform in a smooth, gliding style; to connect smoothly in performing, as several notes or tones. Busby. 7. (Print.)  To blur or double, as an impression from type; to mackle.\n\n1. A mark or stain; hence, a slight reproach or disgrace; a stigma; a reproachful intimation; an innuendo. \"Gaining to his name a lasting slur.\" South. 2. A trick played upon a person; an imposition. [R.] 3. (Mus.)  A mark, thus [&upslur; or ], connecting notes that are to be sung to the same syllable, or made in one continued breath of a wind instrument, or with one stroke of a bow; a tie; a sign of legato. 4. In knitting machines, a contrivance for depressing the sinkers successively by passing over them.
slurred |Marked with a slur; performed in a smooth, gliding style, like notes marked with a slur.
slush |1. Soft mud. 2. A mixture of snow and water; half-melted snow. 3. A soft mixture of grease and other materials, used for lubrication. 4. The refuse grease and fat collected in cooking, especially on shipboard. 5. (Mach.)  A mixture of white lead and lime, with which the bright parts of machines, such as the connecting rods of steamboats, are painted to be preserved from oxidation.\n\n1. To smear with slush or grease; as, to slush a mast. 2. To paint with a mixture of white lead and lime.
slushy |Abounding in slush; characterized by soft mud or half-melted snow; as, the streets are slushy; the snow is slushy. \"A dark, drizzling, slushy day.\" Blackw. Mag.
slut |1. An untidy woman; a slattern. Sluts are good enough to make a sloven's porridge. Old Proverb. 2. A servant girl; a drudge. [Obs.] Our little girl Susan is a most admirable slut, and pleases us mightly, doing more service than both the others. Pepys. 3. A female dog; a bitch.
