bullwort |See Bishop's-weed.
cabal |1. Tradition; occult doctrine. See Cabala [Obs.] Hakewill. 2. A secret. [Obs.] \"The measuring of the temple, a cabal found out but lately.\" B. Jonson. 3. A number of persons united in some close design, usually to promote their private views and interests in church or state by intrigue; a secret association composed of a few designing persons; a junto. Note: It so happend, by a whimsical coincidence, that in 1671 the cabinet consisted of five persons, the initial letters of whose names made up the word cabal; Clifford, Arlington, Buckingham, Ashley, and Lauderdale. Macaulay. 4. The secret artifices or machinations of a few persons united in a close design; in intrigue. By cursed cabals of women. Dryden. Syn. - Junto; intrigue; plot; combination; conspiracy. -- Cabal, Combination, Faction. An association for some purpose considered to be bad is the idea common to these terms. A combination is an organized union of individuals for mutual support, in urging their demands or resisting the claims of others, and may be good or bad according to circumstances; as, a combiniation of workmen or of employers to effect or to prevent a chang in prices. A cabal is a secret association of a few individuals who seek by cunning practices to obtain office and power. A faction is a larger body than a cabal, employed for selfish purposes in agitating the community and working up an excitement with a view to change the existing order of things. \"Selfishness, insubordination, and laxity of morals give rise to combinations, which belong particularly to the lower orders of society. Restless, jealous, ambitious, and little minds are ever forming cabals. Factions belong especially to free governments, and are raised by busy and turbulent spirits for selfish porposes\". Crabb.\n\nTo unite in a small party to promote private views and interests by intrigue; to intrigue; to plot. Caballing still against it with the great. Dryden.
cabala |1. A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediæval Christians, which treats of the nature of god and the mystery of human existence. It assumed that every letter, word, number, and accent of Scripture contains a hidden sense; and it teaches the methods of interpretation for ascertaining these occult meanings. The cabalists pretend even to foretell events by this means. 2. Secret science in general; mystic art; mystery.
cabalism |1. The secret science of the cabalists. 2. A superstitious devotion to the mysteries of the religion which one professes. [R] Emerson.
cabalist |One versed in the cabala, or the mysteries of Jewish traditions. \"Studious cabalists.\" Swift.
cabalistic |Of or pertaining to the cabala; containing or conveying an occult meaning; mystic. The Heptarchus is a cabalistic of the first chapter of Genesis. Hallam.
cabalistical |Of or pertaining to the cabala; containing or conveying an occult meaning; mystic. The Heptarchus is a cabalistic of the first chapter of Genesis. Hallam.
cabalistically |In a cabalistic manner.
cabalize |To use cabalistic language. [R] Dr. H. More.
caballer |One who cabals. A close caballer and tongue-valiant lord. Dryden.
caballeria |An ancient Spanish land tenure similar to the English knight's fee; hence, in Spain and countries settled by the Spanish, a land measure of varying size. In Cuba it is about 33 acres; in Porto Rico, about 194 acres; in the Southwestern United States, about 108 acres.
caballero |A knight or cavalier; hence, a gentleman.
caballo |A horse. [Sp. Amer.]
cabaret |A tavern; a house where liquors are retailed. [Obs. as an English word.]
cabas |A flat basket or frail for figs, etc.; Hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba. C. Bronté.
cabassou |A speciec of armadillo of the genus Xenurus (X. unicinctus and X. hispidus); the tatouay. [Written also Kabassou.]
cabazite |A mineral occuring in glassy rhombohedral crystals, varying, in color from white to yellow or red. It is essentially a hydrous silicate of alumina and lime. Called also chabasie.
cabbage |1. An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts, etc., are sometimes classed as cabbages. 2. The terminal bud of certain palm trees, used, like, cabbage, for food. See Cabbage tree, below. 3. The cabbage palmetto. See below. Cabbage aphis (Zoöl.), a green plant-louse (Aphis brassicæ) which lives upon the leaves of the cabbage. -- Cabbage Beetle (Zoöl.), a small, striped flea-beetle (Phyllotreta vittata) which lives, in the larval state, on the roots, and when adult, on the leaves, of cabbage and other cruciferous plants. -- Cabbage butterfly (Zoöl.), a white butterfly (Pieris rapæ of both Europe and America, and the Allied P. oleracea, a native American species) which, in the larval state, devours the leaves of the cabbage and the turnip. See Cabbage worm, below. -- Cabbage Fly (Zoöl.), a small two-winged fly (Anthomyia brassicæ), which feeds, in the larval or maggot state, on the roots of the cabbage, often doing much damage to the crop. -- Cabbage head, the compact head formed by the leaves of a cabbage; -- contemptuously or humorously, and colloquially, a very stupid and silly person; a numskull. -- Cabbage palmetto, a species of palm tree (Sabal Palmetto) found along the coast from North Carolina to Florida. -- Cabbage rose (Bot.), a species of rose (Rosa centifolia) having large and heavy blossoms. -- Cabbage tree, Cabbage palm, a name given to palms having a terminal bud called a cabbage, as the Sabal Palmetto of the United States, and the Euterpe oleracea and Oreodoxa oleracea of the West Indies. -- Cabbage worm (Zoöl.), the larva of several species of moths and butterfies, which attacks cabbages. The most common is usully the larva of a white butterfly. See Cabbage Butterfly, above. The cabbage cutworms, which eat off the stalks or young plants during the night, are the larvæ of several species of moths, of the genus Agrotis. See Cutworm. -- Sea cabbage.(Bot.) (a) Sea kale (b). The original Plant (Brassica oleracea), from which the cabbage, cauliflower, , broccoli, etc., have been derived by cultivation. -- Thousand-headed cabbage. See Brussels sprouts.\n\nTo form a head like that the cabbage; as, to make lettuce cabbage. Johnson.\n\nTo purloin or embezzle, as the pieces of cloth remaining after cutting out a garment; to pilfer. Your tailor . . . cabbages whole yards of cloth. Arbuthnot.\n\nCloth or clippings cabbaged or purloined by one who cuts out garments.
cabbler |One who works at cabbling.
cabbling |The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron.
cabeca |The finest kind of silk received from India.
caber |A pole or beam used in Scottish games for tossing as a trial of strength.
cabesse |The finest kind of silk received from India.
cabezon |A California fish (Hemilepidotus spinosus), allied to the sculpin.
cabiai |The capybara. See Capybara.
cabin |1. A cottage or small house; a hut. Swift. A hunting cabin in the west. E. Everett. 2. A small room; an inclosed place. So long in secret cabin there he held Her captive. Spenser. 3. A room in ship for officers or passengers. Cabin boy, a boy whose duty is wait on the officers and passengers in the cabin of a ship.\n\nTo live in, or as in, a cabin; to lodge. I'll make you . . . cabin in a cave. Shak.\n\nTo confine in, or as in, a cabin. I am cabined, cribbed, confined, bound in To saucy doubts and fears. Shak.
cabinet |1. A hut; a cottage; a small house. [Obs.] Hearken a while from thy green cabinet, The rural song of careful Colinet. Spenser. 2. A small room, or retired apartment; a closet. 3. A private room in which consultations are held. Philip passed some hours every day in his father's cabinet. Prescott. 4. The advisory council of the chief executive officer of a nation; a cabinet council. Note: In England, the cabinet or cabinet council consists of those privy coucilors who actually transact the immediate business of the government. Mozley & W. -- In the United States, the cabinet is composed of the heads of the executive departments of the government, namely, the Secretary of State, of the Treasury, of War, of the Navy, of the Interior, and of Agiculture, the Postmaster-general ,and the Attorney-general. 5. (a) A set of drawers or a cupboard intended to contain articles of value. Hence: (b) A decorative piece of furniture, whether open like an étagère or closed with doors. See Etagere. 6. Any building or room set apart for the safe keeping and exhibition of works of art, etc.; also, the collection itself. Cabinet council. (a) Same as Cabinet, n., 4 (of which body it was formerly the full title). (b) A meeting of the cabinet. -- Cabinet councilor, a member of a cabinet council. -- Cabinet photograph, a photograph of a size smaller than an imperial, though larger than a carte de visite. -- Cabinet picture, a small and generally highly finished picture, suitable for a small room and for close inspection.\n\nSuitable for a cabinet; small. He [Varnhagen von Ense] is a walking cabinet edition of Goethe. For. Quar. Rev.\n\nTo inclose [R.] Hewyt.
cabinetmaker |One whose occupation is to make cabinets or other choice articles of household furniture, as tables, bedsteads, bureaus, etc.
cabinetmaking |The art or occupation of making the finer articles of household furniture.
cabinetwork |The art or occupation of working upon wooden furniture requiring nice workmanship; also, such furniture.
cabirean |,n.One of the Cabiri.
cabiri |Certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece; -- also called sons of Hephæstus (or Vulcan), as being masters of the art of working metals. [Written also Cabeiri.] Liddell & Scott.
cabirian |Same as Cabiric.
cabiric |Of or pertaining to the Cabiri, or to their mystical worship. [Written also Cabiritic.]
cable |1. A large, strong rope or chain, of considerable length, used to retain a vessel at anchor, and for other purposes. It is made of hemp, of steel wire, or of iron links. 2. A rope of steel wire, or copper wire, usually covered with some protecting, or insulating substance; as, the cable of a suspension bridge; a telegraphic cable. 3. (Arch)  A molding, shaft of a column, or any other member of convex, rounded section, made to resemble the spiral twist of a rope; -- called also cable molding. Bower cable, the cable belonging to the bower anchor. -- Cable road, a railway on which the cars are moved by a continuously running endless rope operated by a stationary motor. -- Cable's length, the length of a ship's cable. Cables in the merchant service vary in length from 100 to 140 fathoms or more; but as a maritime measure, a cable's length is either 120 fathoms (720 feet), or about 100 fathoms (600 feet, an approximation to one tenth of a nautical mile). -- Cable tier. (a) That part of a vessel where the cables are stowed. (b) A coil of a cable. -- Sheet cable, the cable belonging to the sheet anchor. -- Stream cable, a hawser or rope, smaller than the bower cables, to moor a ship in a place sheltered from wind and heavy seas. -- Submarine cable. See Telegraph. -- To pay out the cable, To veer out the cable, to slacken it, that it may run out of the ship; to let more cable run out of the hawse hole. -- To serve the cable, to bind it round with ropes, canvas, etc., to prevent its being, worn or galled in the hawse, et. -- To slip the cable, to let go the end on board and let it all run out and go overboard, as when there is not time to weigh anchor. Hence, in sailor's use, to die.\n\n1. To fasten with a cable. 2. (Arch.)  To ornament with cabling. See Cabling.\n\nTo telegraph by a submarine cable [Recent]
cabled |1. Fastened with, or attached to, a cable or rope. \"The cabled stone.\" Dyer. 2. (Arch.)  Adorned with cabling.
cablegram |A message sent by a submarine telegraphic cable. Note: [A recent hybrid, sometimes found in the newspapers.]
cablelaid |1. (Naut.)  Composed of three three-stranded ropes, or hawsers, twisted together to form a cable. 2. Twisted after the manner of a cable; as, a cable-laid gold chain. Simmonds.
cablet |A little cable less than ten inches in circumference.
cabling |The decoration of a fluted shaft of a column or of a pilaster with reeds, or rounded moldings, which seem to be laid in the hollows of the fluting. These are limited in length to about one third of the height of the shaft.
cabman |The driver of a cab.
cabob |1. A small piece of mutton or other meat roasted on a skewer; -- so called in Turkey and Persia. 2. A leg of mutton roasted, stuffed with white herrings and sweet herbs. Wright.\n\nTo roast, as a cabob. Sir. T. Herbert.
caboched |Showing the full face, but nothing of the neck; -- said of the head of a beast in armorial bearing. [Written also caboshed.]
cabochon |A stone of convex form, highly polished, but not faceted; also, the style of cutting itself. Such stones are said to be cut en cabochon.
caboodle |The whole collection; the entire quantity or number; -- usually in the phrase the whole caboodle. [Slang, U.S.] Bartlett.
caboose |1. (Naut.)  A house on deck, where the cooking is done; -- commonly called the galley. 2. (Railroad)  A car used on freight or construction trains for brakemen, workmen, etc.; a tool car. [U. S.]
cabotage |Navigation along the coast; the details of coast pilotage.
cabree |The pronghorn antelope. [Also written cabrit, cabret.]
cabrerite |An apple-green mineral, a hydrous arseniate of nickel, cobalt, and magnesia; -- so named from the Sierra Cabrera, Spain.
cabrilla |A name applied to various species of edible fishes of the genus Serranus, and related genera, inhabiting the Meditarranean, the coast of California, etc. In California, some of them are also called rock bass and kelp salmon.
cabriole |A curvet; a leap. See Capriole. The cabrioles which his charger exhibited. Sir W. Scott.
cabriolet |A one-horse carriage with two seats and a calash top.
cabrit |Same as Cabrée.
caburn |A small line made of spun yarn, to bind or worm cables, seize tackles, etc.
cacaemia |A degenerated or poisoned condition of the blood.
cacaine |The essential principle of cacao; -- now called theobromine.
cacajao |A South American short-tailed monkey (Pithecia (or Brachyurus) melanocephala). [Written also cacajo.]
cacao |A small evergreen tree (Theobroma Cacao) of South America and the West Indies. Its fruit contains an edible pulp, inclosing seeds about the size of an almond, from which cocoa, chocolate, and broma are prepared.
cachaemia |A degenerated or poisoned condition of the blood.\n\nA degenerated or poisoned condition of the blood. --Ca*chæ\"mic, Ca*che\"mic (#), a.
cachalot |The sperm whale (Physeter macrocephalus). It has in the top of its head a large cavity, containing an oily fluid, which, after death, concretes into a whitish crystalline substance called spermaceti. See Sperm whale.
cache |A hole in the ground, or hiding place, for concealing and preserving provisions which it is inconvenient to carry. Kane.
cachectic |Having, or pertaining to, cachexia; as, cachectic remedies; cachectical blood. Arbuthnot.
cachectical |Having, or pertaining to, cachexia; as, cachectic remedies; cachectical blood. Arbuthnot.
cachemia |A degenerated or poisoned condition of the blood. --Ca*chæ\"mic, Ca*che\"mic (#), a.
cachepot |An ornamental casing for a flowerpot, of porcelain, metal, paper, etc.
cachet |A seal, as of a letter. Lettre de cachet Etym: [F.], a sealed letter, especially a letter or missive emanating from the sovereign; -- much used in France before the Revolution as an arbitrary order of imprisonment.
cachexia |A condition of ill health and impairment of nutrition due to impoverishment of the blood, esp. when caused by a specific morbid process (as cancer or tubercle).
cachexy |A condition of ill health and impairment of nutrition due to impoverishment of the blood, esp. when caused by a specific morbid process (as cancer or tubercle).
cachinnation |Loud or immoderate laughter; -- often a symptom of hysterical or maniacal affections. Hideous grimaces . . . attended this unusual cachinnation. Sir W. Scott.
cachinnatory |Consisting of, or accompanied by, immoderate laughter. Cachinnatory buzzes of approval. Carlyle.
cachiri |A fermented liquor made in Cayenne from the grated root of the manioc, and resembling perry. Dunglison.
cacholong |An opaque or milk-white chalcedony, a variety of quartz; also, a similar variety of opal.
cachou |A silvered aromatic pill, used to correct the odor of the breath.
cachucha |An Andalusian dance in three-four time, resembing the bolero. [Sometimes in English spelled cachuca (.] The orchestra plays the cachucha. Logfellow.
cachunde |A pastil or troche, composed of various aromatic and other ingredients, highly celebrated in India as an antidote, and as a stomachic and antispasmodic.
cacique |See Cazique.
cack |To ease the body by stool; to go to stool. Pope.
cackerel |The mendole; a small worthless Mediterranean fish considered poisonous by the ancients. See Mendole.
cackle |1. To make a sharp, broken noise or cry, as a hen or goose does. When every goose is cackling. Shak. 2. To laugh with a broken noise, like the cackling of a hen or a goose; to giggle. Arbuthnot. 3. To talk in a silly manner; to prattle. Johnson.\n\n1. The sharp broken noise made by a goose or by a hen that has laid an egg. By her cackle saved the state. Dryden. 2. Idle talk; silly prattle. There is a buzz and cackle all around regarding the sermon. Thackeray.
cackler |1. A fowl that cackles. 2. One who prattles, or tells tales; a tattler.
cackling |The broken noise of a goose or a hen.
cacochymia |A vitiated state of the humors, or fluids, of the body, especially of the blood. Dunglison.
cacochymic |Having the fluids of the body vitiated, especially the blood. Wiseman.
cacochymical |Having the fluids of the body vitiated, especially the blood. Wiseman.
cacochymy |A vitiated state of the humors, or fluids, of the body, especially of the blood. Dunglison.
cacodemon |1. An evil spirit; a devil or demon. Shak. 2. (Med.)  The nightmare. Dunaglison.
cacodoxical |Heretical.
cacodoxy |Erroneous doctrine; heresy; heterodoxy. [R.] Heterodoxy, or what Luther calls cacodoxy. R. Turnbull.
cacodyl |Alkarsin; a colorless, poisonous, arsenical liquid, As2(CH3)4, spontaneously inflammable and possessing an intensely disagreeable odor. It is the type of a series of compounds analogous to the nitrogen compounds called hydrazines. [Written also cacodyle, and kakodyl.]
cacodylic |Of, pertaining to, or derived from, cacodyl. Cacodylic acid, a white, crystalline, deliquescent substance, (CH3)2AsO.OH, obtained by the oxidation of cacodyl, and having the properties of an exceedingly stable acid; -- also called alkargen.
cacoethes |1. A bad custom or habit; an insatiable desire; as, cacoëthes scribendi, \"The itch for writing\". Addison. 2. (Med.)  A bad quality or disposition in a disease; an incurable ulcer.
cacogastric |Troubled with bad digestion. [R.] Carlyle.
cacographic |Pertaining to, or characterized by, cacography; badly written or spelled.
cacography |Incorrect or bad writing or spelling. Walpole.
cacolet |A chair, litter, or other contrivance fitted to the back or pack saddle of a mule for carrying travelers in mountainous districts, or for the transportation of the sick and wounded of an army.
cacology |Bad speaking; bad choice or use of words. Buchanan.
cacomixl |A North American carnivore (Bassaris astuta), about the size of a cat, related to the raccoons. It inhabits Mexico, Texas, and California.
cacomixle |A North American carnivore (Bassaris astuta), about the size of a cat, related to the raccoons. It inhabits Mexico, Texas, and California.
cacomixtle |A North American carnivore (Bassaris astuta), about the size of a cat, related to the raccoons. It inhabits Mexico, Texas, and California.
cacoon |One of the seeds or large beans of a tropical vine (Entada scandens) used for making purses, scent bottles, etc.
cacophonic |Harsh-sounding.
cacophonical |Harsh-sounding.
cacophonious |Harsh-sounding.
cacophonous |Harsh-sounding.
cacophony |1. (Rhet.)  An uncouth or disagreable sound of words, owing to the concurrence of harsh letters or syllables. \"Cacophonies of all kinds.\" Pope. 2. (Mus.)  A combination of discordant sounds. 3. (Med.)  An unhealthy state of the voice.
cacostomia |Diseased or gangrenous condition of the mouth.
cacotechny |A corruption or corrupt state of art. [R.]
cacoxene |A hydrous phosphate of iron occurring in yellow radiated tufts. The phosphorus seriously injures it as an iron ore.
cacoxenite |A hydrous phosphate of iron occurring in yellow radiated tufts. The phosphorus seriously injures it as an iron ore.
cactaceous |Belonging to, or like, the family of plants of which the prickly pear is a common example.
cactus |Any plant of the order Cactacæ, as the prickly pear and the night-blooming cereus. See Cereus. They usually have leafless stems and branches, often beset with clustered thorns, and are mostly natives of the warmer parts of America. Cactus wren (Zoöl.), an American wren of the genus Campylorhynchus, of several species.
cacuminal |Pertaining to the top of the palate; cerebral; -- applied to certain consonants; as, cacuminal (or cerebral) letters.
cacuminate |To make sharp or pointed. [Obs.]
cad |1. A person who stands at the door of an omnibus to open and shut it, and to receive fares; an idle hanger-on about innyards. [Eng.] Dickens. 2. A lowbred, presuming person; a mean, vulgar fellow. [Cant] Thackeray.
cadaster |An official statement of the quantity and value of real estate for the purpose of apportioning the taxes payable on such property.
cadastral |Of or pertaining to landed property. Cadastral survey, or Cadastral map, a survey, map, or plan on a large scale (Usually topographical map, which exaggerates the dimensions of houses and the breadth of roads and streams, for the sake of distinctness. Brande & C.
cadastre |An official statement of the quantity and value of real estate for the purpose of apportioning the taxes payable on such property.
cadaver |A dead human body; a corpse.
cadaveric |Of, pertaining to, or resembling, a corpse, or the changes produced by death; cadaverous; as, cadaveric rigidity. Dunglison. Cadaveric alkaloid, an alkaloid generated by the processes of decomposition in dead animal bodies, and thought by some to be the cause of the poisonous effects produced by the bodies. See Ptomaine.
cadaverin |A sirupy, nontoxic ptomaine, C5H14N2 (chemically pentamethylene diamine), formed in putrefaction of flesh, etc.
cadaverine |A sirupy, nontoxic ptomaine, C5H14N2 (chemically pentamethylene diamine), formed in putrefaction of flesh, etc.
cadaverous |1. Having the appearance or color of a dead human body; pale; ghastly; as, a cadaverous look. 2. Of or pertaining to, or having the qualities of, a dead body. \"The scent cadaverous.\" -- Ca*dav\"er*ous*ly, adv. -- Ca*dav\"er*ous*ness, n.
cadbait |See Caddice.
caddice |The larva of a caddice fly. These larvæ generally live in cylindrical cases, open at each end, and covered externally with pieces of broken shells, gravel, bits of wood, etc. They are a favorite bait with anglers. Called also caddice worm, or caddis worm. Caddice fly (Zoöl.), a species of trichopterous insect, whose larva is the caddice.
caddie |A Scotch errand boy, porter, or messenger. [Written also cady.] Every Scotchman, from the peer to the cadie. Macaulay.
caddis |The larva of a caddice fly. These larvæ generally live in cylindrical cases, open at each end, and covered externally with pieces of broken shells, gravel, bits of wood, etc. They are a favorite bait with anglers. Called also caddice worm, or caddis worm. Caddice fly (Zoöl.), a species of trichopterous insect, whose larva is the caddice.\n\nA kind of worsted lace or ribbon. \"Caddises, cambrics, lawns.\" Shak.
caddish |Like a cad; lowbred and presuming.
caddow |A jackdaw. [Prov. Eng.]
caddy |A small box, can, or chest to keep tea in.
cade |Bred by hand; domesticated; petted. He brought his cade lamb with him. Sheldon.\n\nTo bring up or nourish by hand, or with tenderness; to coddle; to tame. [Obs.] Johnson.\n\nA barrel or cask, as of fish. \"A cade of herrings.\" Shak. A cade of herrings is 500, of sprats 1,000. Jacob, Law Dict.\n\nA species of juniper (Juniperus Oxycedrus) of Mediterranean countries. Oil of cade, a thick, black, tarry liquid, obtained by destructive distillation of the inner wood of the cade. It is used as a local application in skin diseases.
cadence |1. The act or state of declining or sinking. [Obs.] Now was the sun in western cadence low. Milton. 2. A fall of the voice in reading or speaking, especially at the end of a sentence. 3. A rhythmical modulation of the voice or of any sound; as, music of bells in cadence sweet. Blustering winds, which all night long Had roused the sea, now with hoarse cadence lull Seafaring men o'erwatched. Milton. The accents . . . were in passion's tenderest cadence. Sir W. Scott. 4. Rhythmical flow of language, in prose or verse. Golden cadence of poesy. Shak. If in any composition much attention was paid to the flow of the rhythm, it was said (at least in the 14th and 15th centuries) to be \"prosed in faire cadence.\" Dr. Guest. 5. (Her.)  See Cadency. 6. (Man.)  Harmony and proportion in motions, as of a well-managed horse. 7. (Mil.)  A uniform time and place in marching. 8. (Mus.) (a) The close or fall of a strain; the point of rest, commonly reached by the immediate succession of the tonic to the dominant chord. (b) A cadenza, or closing embellishment; a pause before the end of a strain, which the performer may fill with a flight of fancy. Imperfect cadence. (Mus.) See under Imperfect.\n\nTo regulate by musical measure. These parting numbers, cadenced by my grief. Philips.
cadency |Descent of related families; distinction between the members of a family according to their ages. Marks of cadency (Her.), bearings indicating the position of the bearer as older or younger son, or as a descendant of an older or younger son. See Difference (Her.).
cadene |A species of inferior carpet imported from the Levant. McElrath.
cadent |Falling. [R.] \"Cadent tears.\" Shak.
cadenza |A parenthetic flourish or flight of ornament in the course of a piece, commonly just before the final cadence.
cader |See Cadre.
cadet |1. The younger of two brothers; a younger brother or son; the youngest son. The cadet of an ancient and noble family. Wood. 2. (Mil.) (a) A gentleman who carries arms in a regiment, as a volunteer, with a view of acquiring military skill and obtaining a commission. (b) A young man in training for military or naval service; esp. a pupil in a military or naval school, as at West Point, Annapolis, or Woolwich. Note: All the undergraduates at Annapolis are Naval cadets. The distinction between Cadet midshipmen and Cadet engineers was abolished by Act of Congress in 1882.
