tailage |See Tallage.
taurid |Any of a group of meteors appearing November 20-23; -- so called because they appear to radiate from a point in Taurus.
tauridor |A bull Sir W. Scott.
tauriform |Having the form of a bull.
taurine |Of or pertaining to the genus Taurus, or cattle.\n\nA body occurring in small quantity in the juices of muscle, in the lungs, and elsewhere, but especially in the bile, where it is found as a component part of taurocholic acid, from which it can be prepared by decomposition of the acid. It crystallizes in colorless, regular six-sided prisms, and is especially characterized by containing both nitrogen and sulphur, being chemically amido- isethionic acid, C
taurocholate |A salt of taurocholic acid; as, sodium taurocholate, which occurs in human bile.
taurocholic |Pertaining to, or designating, a conjugate acid (called taurocholic acid) composed of taurine and cholic acid, present abundantly in human bile and in that of carnivora. It is exceedingly deliquescent, and hence appears generally as a thick, gummy mass, easily soluble in water and alcohol. It has a bitter taste.
taurocol |Glue made from a bull's hide.
taurocolla |Glue made from a bull's hide.
tauromachian |Of or pertaining to bullfights. -- n.  A bullfighter.
tauromachy |Bullfighting.
taurus |1. (Astron.) (a) The Bull; the second in order of the twelve signs of the zodiac, which the sun enters about the 20th of April; -- marked thus [taurus] in almanacs. (b) A zodiacal constellation, containing the well-known clusters called the Pleiades and the Hyades, in the latter of which is situated the remarkably bright Aldebaran. 2. (Zoöl.)  A genus of ruminants comprising the common domestic cattle.
taurylic |Pertaining to, or designating, an acid found of a urine of neat cattle, and probably identical with cresol.
taut |1. (Naut.)  Tight; stretched; not slack; -- said esp. of a rope that is tightly strained. 2. Sung; close; firm; secure. Taut hand (Naut.), a sailor's term for an officer who is severe in discipline.
tautaug |Same as Tautog.
tautegorical |Expressing the same thing with different words; -- opposed to allegorical. [R.] Coleridge.
tautochrone |A curved line, such that a heavy body, descending along it by the action of gravity, will always arrive at the lowest point in the same time, wherever in the curve it may begin to fall; as, an inverted cycloid with its base horizontal is a tautochrone.
tautochronous |Occupying the same time; pertaining to, or having the properties of, a tautochrone.
tautog |An edible labroid fish (Haitula onitis, or Tautoga onitis) of the Atlantic coast of the United States. When adult it is nearly black, more or less irregularly barred, with greenish gray. Called also blackfish, oyster fish, salt-water chub, and moll. [Written also tautaug.]
tautologic |Tautological.
tautological |Involving tautology; having the same signification; as, tautological expression. -- Tau`to*log\"ic*al*ly, adv. Tautological echo, an echo that repeats the same sound or syllable many times.
tautologist |One who uses tautological words or phrases.
tautologize |To repeat the same thing in different words.
tautologous |Repeating the same thing in different words; tautological. [R.] Tooke.
tautology |A repetition of the same meaning in different words; needless repetition of an idea in different words or phrases; a representation of anything as the cause, condition, or consequence of itself, as in the following lines: -- The dawn is overcast, the morning lowers, And heavily in clouds brings on the day. Addison. Syn. -- Repetition. -- Tautology, Repetition. There may be frequent repetitions (as in legal instruments) which are warranted either by necessity or convenience; but tautology is always a fault, being a sameness of expression which adds nothing to the sense or the sound.
tautomeric |Relating to, or characterized by, tautomerism.
tautomerism |The condition, quality, or relation of metameric substances, or their respective derivatives, which are more or less interchangeable, according as one form or the other is the more stable. It is a special case of metamerism; thus, the lactam and the lactim compounds exhibit tautomerism.
tautoousian |Having the same essence; being identically of the same nature. [R.] Cudworth.
tautoousious |Having the same essence; being identically of the same nature. [R.] Cudworth.
tautophonical |Pertaining to, or characterized by, tautophony; repeating the same sound.
tautophony |Repetition of the same sound.
tautozonal |Belonging to the same zone; as, tautozonal planes.
tavern |A public house where travelers and other transient guests are accomodated with rooms and meals; an inn; a hotel; especially, in modern times, a public house licensed to sell liquor in small quantities.
taverner |One who keeps a tavern. Chaucer. Camden.
taverning |A feasting at taverns. [Obs.] \"The misrule of our tavernings.\" Bp. Hall.
tavernman |The keeper of a tavern; also, a tippler. [Obs.]
taw |Tow. [Obs.] Chaucer.\n\nTo push; to tug; to tow. [Obs.] Drayton.\n\n1. To prepare or dress, as hemp, by beating; to tew; hence, to beat; to scourge. [Obs.] Beau. & Fl. 2. To dress and prepare, as the skins of sheep, lambs, goats, and kids, for gloves, and the like, by imbuing them with alum, salt, and other agents, for softening and bleaching them.\n\n1. A large marble to be played with; also, a game at marbles. 2. A line or mark from which the players begin a game of marbles. [Colloq. U.S.]
tawdrily |In a tawdry manner.
tawdriness |Quality or state of being tawdry. A clumsy person makes his ungracefulness more ungraceful by tawdriness of dress. Richardson.
tawdry |1. Bought at the festival of St. Audrey. [Obs.] And gird in your waist, For more fineness, with a tawdry lace. Spenser. 2. Very fine and showy in colors, without taste or elegance; having an excess of showy ornaments without grace; cheap and gaudy; as, a tawdry dress; tawdry feathers; tawdry colors. He rails from morning to night at essenced fops and tawdry courtiers. Spectator.\n\nA necklace of a rural fashion, bought at St. Audrey's fair; hence, a necklace in general. [Obs.] Of which the Naiads and the blue Nereids make Them tawdries for their necks. Drayton.
tawer |One who taws; a dresser of white leather.
tawery |A place where skins are tawed.
tawniness |The quality or state of being tawny.
tawny |Of a dull yellowish brown color, like things tanned, or persons who are sunburnt; as, tawny Moor or Spaniard; the tawny lion. \"A leopard's tawny and spotted hide.\" Longfellow.
tawpie |A foolish or thoughtless young person, esp. a slothful or slovenly woman. [Scot.]  Burns.
taws |A leather lash, or other instrument of punishment, used by a schoolmaster. [Written also tawes, tawis, and tawse.] [Scot.] Never use the taws when a gloom can do the turn. Ramsay.
tax |1. A charge, especially a pecuniary burden which is imposed by authority. Specifically: -- (a) A charge or burden laid upon persons or property for the support of a government. A farmer of taxes is, of all creditors, proverbially the most rapacious. Macaulay. (b) Especially, the sum laid upon specific things, as upon polls, lands, houses, income, etc.; as, a land tax; a window tax; a tax on carriages, and the like. Note: Taxes are annual or perpetual, direct or indirect, etc. (c) A sum imposed or levied upon the members of a society to defray its expenses. 2. A task exacted from one who is under control; a contribution or service, the rendering of which is imposed upon a subject. 3. A disagreeable or burdensome duty or charge; as, a heavy tax on time or health. 4. Charge; censure. [Obs.] Clarendon. 5. A lesson to be learned; a task. [Obs.] Johnson. Tax cart, a spring cart subject to a low tax. [Eng.] Syn. -- Impost; tribute; contribution; duty; toll; rate; assessment; exaction; custom; demand.\n\n1. To subject to the payment of a tax or taxes; to impose a tax upon; to lay a burden upon; especially, to exact money from for the support of government. We are more heavily taxed by our idleness, pride, and folly than we are taxed by government. Franklin. 2. (Law)  To assess, fix, or determine judicially, the amount of; as, to tax the cost of an action in court. 3. To charge; to accuse; also, to censure; -- often followed by with, rarely by of before an indirect object; as, to tax a man with pride. I tax you, you elements, with unkindness. Shak. Men's virtues I have commended as freely as I have taxed their crimes. Dryden. Fear not now that men should tax thine honor. M. Arnold.
tax certificate |The certificate issued to the purchaser of land at a tax sale certifying to the sale and the payment of the consideration thereof, and entitling the purchaser upon certain conditions and at a certain time thereafter to a deed or instrument of conveyance (called a tax deed) of the land, to be executed by the proper officer.
taxability |The quality or state of being taxable; taxableness.
taxable |1. Capable of being taxed; liable by law to the assessment of taxes; as, taxable estate; taxable commodities. 2. (Law)  That may be legally charged by a court against the plaintiff of defendant in a suit; as, taxable costs. -- Tax\"a*ble*ness, n. -- Tax\"a*bly, adv.
taxaspidean |Having the posterior tarsal scales, or scutella, rectangular and arranged in regular rows; -- said of certain birds.
taxation |1. The act of laying a tax, or of imposing taxes, as on the subjects of a state, by government, or on the members of a corporation or company, by the proper authority; the raising of revenue; also, a system of raising revenue. 2. (Law)  The act of taxing, or assessing a bill of cost. 3. Tax; sum imposed. [R.] Daniel. 4. Charge; accusation. [Obs.] Shak.
taxel |The American badger.
taxeopoda |An order of extinct Mammalia found in the Tertiary formations.
taxer |1. One who taxes. 2. One of two officers chosen yearly to regulate the assize of bread, and to see the true gauge of weights and measures is observed. [Camb. Univ., Eng.] [Written also taxor.]
taxgatherer |One who collects taxes or revenues. -- Tax\"gath`er*ing, n.
taxiarch |An Athenian military officer commanding a certain division of an army. Milford.
taxicorn |One of a family of beetles (Taxicornes) whose antennæ are largest at the tip. Also used adjectively.
taxidermic |Of or pertaining to the art of preparing and preserving the skins of animals.
taxidermist |A person skilled in taxidermy.
taxidermy |The art of preparing, preserving, and mounting the skins of animals so as to represent their natural appearance, as for cabinets.
taxine |A poisonous alkaloid of bitter taste extracted from the leaves and seeds of the European yew (Taxus baccata). Called also taxia.C35H47NO10
taxis |Manipulation applied to a hernial tumor, or to an intestinal obstruction, for the purpose of reducing it. Dunglison.
taxless |Free from taxation.
taxology |Same as Taxonomy.
taxonomic |Pertaining to, or involving, taxonomy, or the laws and principles of classification; classificatory.
taxonomist |One skilled in taxonomy.
taxonomy |That division of the natural sciences which treats of the classification of animals and plants; the laws or principles of classification.
taxor |Same as Taxer, n., 2.
taxpayer |One who is assessed and pays a tax.
taylor-white process |A process (invented about 1899 by Frederick W. Taylor and Maunsel B. White) for giving toughness to self-hardening steels. The steel is heated almost to fusion, cooled to a temperature of from 700º to 850º C. in molten lead, further cooled in oil, reheated to between 370º and 670º C., and cooled in air.
tayra |A South American carnivore (Galera barbara) allied to the grison. The tail is long and thick. The length, including the tail, is about three feet. [Written also taira.]
tazel |The teasel. [Obs.]
tazza |An ornamental cup or vase with a large, flat, shallow bowl, resting on a pedestal and often having handles.
tchawytcha |The quinnat salmon. [Local, U.S.]
tchick |A slight sound such as that made by pressing the tongue against the roof of the mouth and explosively sucking out the air at one side, as in urging on a horse. -- v. i.  To make a tchick.
te deum |1. An ancient and celebrated Christian hymn, of uncertain authorship, but often ascribed to St. Ambrose; -- so called from the first words \"Te Deum laudamus.\" It forms part of the daily matins of the Roman Catholic breviary, and is sung on all occasions of thanksgiving. In its English form, commencing with words, \"We praise thee, O God,\" it forms a part of the regular morning service of the Church of England and the Protestant Episcopal Church in America. 2. A religious service in which the singing of the hymn forms a principal part.
te-hee |A tittering laugh; a titter. \"'Te-hee,' quoth she.\" Chaucer.\n\nTo titter; to laugh derisively. She cried, \"Come, come; you must not look grave upon me.\" Upon this, I te-heed. Madame D'Arblay.
tea |1. The prepared leaves of a shrub, or small tree (Thea, or Camellia, Chinensis). The shrub is a native of China, but has been introduced to some extent into some other countries. Note: Teas are classed as green or black, according to their color or appearance, the kinds being distinguished also by various other characteristic differences, as of taste, odor, and the like. The color, flavor, and quality are dependent upon the treatment which the leaves receive after being gathered. The leaves for green tea are heated, or roasted slightly, in shallow pans over a wood fire, almost immediately after being gathered, after which they are rolled with the hands upon a table, to free them from a portion of their moisture, and to twist them, and are then quickly dried. Those intended for black tea are spread out in the air for some time after being gathered, and then tossed about with the hands until they become soft and flaccid, when they are roasted for a few minutes, and rolled, and having then been exposed to the air for a few hours in a soft and moist state, are finally dried slowly over a charcoal fire. The operation of roasting and rolling is sometimes repeated several times, until the leaves have become of the proper color. The principal sorts of green tea are Twankay, the poorest kind; Hyson skin, the refuse of Hyson; Hyson, Imperial, and Gunpowder, fine varieties; and Young Hyson, a choice kind made from young leaves gathered early in the spring. Those of black tea are Bohea, the poorest kind; Congou; Oolong; Souchong, one of the finest varieties; and Pekoe, a fine-flavored kind, made chiefly from young spring buds. See Bohea, Congou, Gunpowder tea, under Gunpowder, Hyson, Oolong, and Souchong. K. Johnson. Tomlinson. Note: \"No knowledge of . . . [tea] appears to have reached Europe till after the establishment of intercourse between Portugal and China in 1517. The Portuguese, however, did little towards the introduction of the herb into Europe, and it was not till the Dutch established themselves at Bantam early in 17th century, that these adventurers learned from the Chinese the habit of tea drinking, and brought it to Europe.\" Encyc. Brit. 2. A decoction or infusion of tea leaves in boiling water; as, tea is a common beverage. 3. Any infusion or decoction, especially when made of the dried leaves of plants; as, sage tea; chamomile tea; catnip tea. 4. The evening meal, at which tea is usually served; supper. Arabian tea, the leaves of Catha edulis; also (Bot.), the plant itself. See Kat. -- Assam tea, tea grown in Assam, in India, originally brought there from China about the year 1850. -- Australian, or Botany Bay, tea (Bot.), a woody clambing plant (Smilax glycyphylla). -- Brazilian tea. (a) The dried leaves of Lantana pseodothea, used in Brazil as a substitute for tea. (b) The dried leaves of Stachytarpheta mutabilis, used for adulterating tea, and also, in Austria, for preparing a beverage. -- Labrador tea. (Bot.) See under Labrador. -- New Jersey tea (Bot.), an American shrub, the leaves of which were formerly used as a substitute for tea; redroot. See Redroot. -- New Zealand tea. (Bot.) See under New Zealand. -- Oswego tea. (Bot.) See Oswego tea. -- Paraguay tea, mate. See 1st Mate. -- Tea board, a board or tray for holding a tea set. -- Tea bug (Zoöl.), an hemipterous insect which injures the tea plant by sucking the juice of the tender leaves. -- Tea caddy, a small box for holding tea. -- Tea chest, a small, square wooden case, usually lined with sheet lead or tin, in which tea is imported from China. -- Tea clam (Zoöl.), a small quahaug. [Local, U.S.] -- Tea garden, a public garden where tea and other refreshments are served. -- Tea plant (Bot.), any plant, the leaves of which are used in making a beverage by infusion; specifically, Thea Chinensis, from which the tea of commerce is obtained. -- Tea rose (Bot.), a delicate and graceful variety of the rose (Rosa Indica, var. odorata), introduced from China, and so named from its scent. Many varieties are now cultivated. -- Tea service, the appurtenances or utensils required for a tea table, -- when of silver, usually comprising only the teapot, milk pitcher, and sugar dish. -- Tea set, a tea service. -- Tea table, a table on which tea furniture is set, or at which tea is drunk. -- Tea taster, one who tests or ascertains the quality of tea by tasting. -- Tea tree (Bot.), the tea plant of China. See Tea plant, above. -- Tea urn, a vessel generally in the form of an urn or vase, for supplying hot water for steeping, or infusing, tea.\n\nTo take or drink tea. [Colloq.]
tea-saucer |A small saucer in which a teacup is set.
teaberry |The checkerberry.
teach |1. To impart the knowledge of; to give intelligence concerning; to impart, as knowledge before unknown, or rules for practice; to inculcate as true or important; to exhibit impressively; as, to teach arithmetic, dancing, music, or the like; to teach morals. If some men teach wicked things, it must be that others should practice them. South. 2. To direct, as an instructor; to manage, as a preceptor; to guide the studies of; to instruct; to inform; to conduct through a course of studies; as, to teach a child or a class. \"He taught his disciples.\" Mark ix. 31. The village master taught his little school. Goldsmith. 3. To accustom; to guide; to show; to admonish. I shall myself to herbs teach you. Chaucer. They have taught their tongue to speak lies. Jer. ix. 5. Note: This verb is often used with two objects, one of the person, the other of the thing; as, he taught me Latin grammar. In the passive construction, either of these objects may be retained in the objective case, while the other becomes the subject; as, I was taught Latin grammar by him; Latin grammar was taught me by him. Syn. -- To instruct; inform; inculcate; tell; guide; counsel; admonish. See the Note under Learn.\n\nTo give instruction; to follow the business, or to perform the duties, of a preceptor. And gladly would he learn, and gladly teach. Chaucer. The priests thereof teach for hire. Micah iii. 11.
teachable |Capable of being taught; apt to learn; also, willing to receive instruction; docile. We ought to bring our minds free, unbiased, and teachable, to learn our religion from the Word of God. I. Watts.
teachableness |Willingness to be taught.
teache |One of the series of boilers in which the cane juice is treated in making sugar; especially, the last boiler of the series. Ure.
