likehood |Likelihood. [Obs.] South.
littleness |The state or quality of being little; as, littleness of size, thought, duration, power, etc. Syn. -- Smallness; slightness; inconsiderableness; narrowness; insignificance; meanness; penuriousness.
littoral |1. Of or pertaining to a shore, as of the sea. 2. (Biol.)  Inhabiting the seashore, esp. the zone between high-water and low-water mark.
littorina |A genus of small pectinibranch mollusks, having thick spiral shells, abundant between tides on nearly all rocky seacoasts. They feed on seaweeds. The common periwinkle is a well-known example. See Periwinkle.
littress |A smooth kind of cartridge paper used for making cards. Knight.
lituate |Forked, with the points slightly curved outward.
lituiform |Having the form of a lituus; like a lituite.
lituite |Any species of ammonites of the genus Lituites. They are found in the Cretaceous formation.
liturate |1. (Zoöl.)  Having indistinct spots, paler at their margins. 2. (Bot.)  Spotted, as if from abrasions of the surface.
liturgic |Pertaining to, of or the nature of, a liturgy; of or pertaining to public prayer and worship. T. Warton.
liturgical |Pertaining to, of or the nature of, a liturgy; of or pertaining to public prayer and worship. T. Warton.
liturgically |In the manner of a liturgy.
liturgics |The science of worship; history, doctrine, and interpretation of liturgies.
liturgiologist |One versed in liturgiology.
liturgiology |The science treating of liturgical matters; a treatise on, or description of, liturgies. Shipley.
liturgist |One who favors or adheres strictly to a liturgy. Milton.
liturgy |An established formula for public worship, or the entire ritual for public worship in a church which uses prescribed forms; a formulary for public prayer or devotion. In the Roman Catholic Church it includes all forms and services in any language, in any part of the world, for the celebration of Mass.
lituus |1. (Rom. Antig.) (a) A curved staff used by the augurs in quartering the heavens. (b) An instrument of martial music; a kind of trumpet of a somewhat curved form and shrill note. 2. (Math.)  A spiral whose polar equation is r2th = a; that is, a curve the square of whose radius vector varies inversely as the angle which the radius vector makes with a given line.
livable |1. Such as can be lived. 2. Such as in pleasant to live in; fit or suitable to live in. [Colloq.] A more delightful or livable region is not easily to be found. T. Arnold.
live |1. To be alive; to have life; to have, as an animal or a plant, the capacity of assimilating matter as food, and to be dependent on such assimilation for a continuance of existence; as, animals and plants that live to a great age are long in reaching maturity. Thus saith the Lord God unto these bones; Behold, I will . . . lay sinews upon you, and will bring up flesh upon you, and cover you with skin, and put breath in you, and ye shall live. Ezek. xxxvii. 5, 6. 2. To pass one's time; to pass life or time in a certain manner, as to habits, conduct, or circumstances; as, to live in ease or affluence; to live happily or usefully. O death, how bitter is the remembrance of thee to a man that liveth at rest in his possessions! Ecclus. xli. 1. 3. To make one's abiding place or home; to abide; to dwell; to reside. Jacob lived in the land of Egypt seventeen years. Gen. xlvii. 28. 4. To be or continue in existence; to exist; to remain; to be permanent; to last; -- said of inanimate objects, ideas, etc. Men's evil manners live in brass; their virtues We write in water. Shak. 5. To enjoy or make the most of life; to be in a state of happiness. What greater curse could envious fortune give Than just to die when I began to live Dryden. 6. To feed; to subsist; to be nourished or supported; -- with on; as, horses live on grass and grain. 7. To have a spiritual existence; to be quickened, nourished, and actuated by divine influence or faith. The just shall live by faith. Gal. iii. ll. 8. To be maintained in life; to acquire a livelihood; to subsist; -- with on or by; as, to live on spoils. Those who live by labor. Sir W. Temple. 9. To outlast danger; to float; -- said of a ship, boat, etc.; as, no ship could live in such a storm. A strong mast that lived upon the sea. Shak. To live out, to be at service; to live away from home as a servant. [U. S.] -- To live with. (a) To dwell or to be a lodger with. (b) To cohabit with; to have intercourse with, as male with female.\n\n1. To spend, as one's life; to pass; to maintain; to continue in, constantly or habitually; as, to live an idle or a useful life. 2. To act habitually in conformity with; to practice. To live the Gospel. Foxe. To live down, to live so as to subdue or refute; as, to live down slander.\n\n1. Having life; alive; living; not dead. If one man's ox hurt another's, that he die; then they shall sell the live ox, and divide the money of it. Ex. xxi. 35. 2. Being in a state of ignition; burning; having active properties; as, a live coal; live embers. \" The live ether.\" Thomson. 3. Full of earnestness; active; wide awake; glowing; as, a live man, or orator. 4. Vivid; bright. \" The live carnation.\" Thomson. 5. (Engin.)  Imparting power; having motion; as, the live spindle of a lathe. Live birth, the condition of being born in such a state that acts of life are manifested after the extrusion of the whole body. Dunglison. -- Live box, a cell for holding living objects under microscopical examination. P. H. Gosse. -- Live feathers, feathers which have been plucked from the living bird, and are therefore stronger and more elastic. -- Live gang. (Sawing) See under Gang. -- Live grass (Bot.), a grass of the genus Eragrostis. -- Live load (Engin.), a suddenly applied load; a varying load; a moving load; as a moving train of cars on a bridge, or wind pressure on a roof. Live oak (Bot.), a species of oak (Quercus virens), growing in the Southern States, of great durability, and highly esteemed for ship timber. In California the Q. chrysolepis and some other species are also called live oaks. -- Live ring (Engin.), a circular train of rollers upon which a swing bridge, or turntable, rests, and which travels around a circular track when the bridge or table turns. -- Live steam , steam direct from the boiler, used for any purpose, in distinction from exhaust steam. -- Live stock, horses, cattle, and other domestic animals kept on a farm. whole body.\n\nLife. [Obs.] Chaucer. On live, in life; alive. [Obs.] See Alive. Chaucer.
live-forever |A plant (Sedum Telephium) with fleshy leaves, which has extreme powers of resisting drought; garden ox-pine.
lived |Having life; -- used only in composition; as, long-lived; short-lived.
livelihed |See Livelihood. [Obs.]
livelihood |Subsistence or living, as dependent on some means of support; support of life; maintenance. The opportunities of gaining an honest livelihood. Addison. It is their profession and livelihood to get their living by practices for which they deserve to forfeit their lives. South.\n\nLiveliness; appearance of life. [Obs.] Shak.
livelily |In a lively manner. [Obs.] Lamb.
liveliness |1. The quality or state of being lively or animated; sprightliness; vivacity; animation; spirit; as, the liveliness of youth, contrasted with the gravity of age. B. Jonson. 2. An appearance of life, animation, or spirit; as, the liveliness of the eye or the countenance in a portrait. 3. Briskness; activity; effervescence, as of liquors. Syn. -- Sprightliness; gayety; animation; vivacity; smartness; briskness; activity. -- Liveliness, Gayety, Animation, Vivacity. Liveliness is an habitual feeling of life and interest; gayety refers more to a temporary excitement of the animal spirits; animation implies a warmth of emotion and a corresponding vividness of expressing it, awakened by the presence of something which strongly affects the mind; vivacity is a feeling between liveliness and animation, having the permanency of the one, and, to some extent, the warmth of the other. Liveliness of imagination; gayety of heart; animation of countenance; vivacity of gesture or conversation.
livelode |Course of life; means of support; livelihood. [Obs.]
livelong |1. Whole; entire; long in passing; -- used of time, as day or night, in adverbial phrases, and usually with a sense of tediousness. The obscure bird Clamored the livelong night. Shak. How could she sit the livelong day, Yet never ask us once to play Swift. 2. Lasting; durable. [Obs.] Thou hast built thyself a livelong monument. Milton.
lively |1. Endowed with or manifesting life; living. Chaplets of gold and silver resembling lively flowers and leaves. Holland. 2. Brisk; vivacious; active; as, a lively youth. But wherefore comes old Manoa in such haste, With youthful steps Much livelier than erewhile He seems. Milton. 3. Gay; airy; animated; spirited. From grave to gay, from lively to severe. Pope. 4. Representing life; lifelike. [Obs.] I spied the lively picture of my father. Massinger. 5. Bright; vivid; glowing; strong; vigorous. The colors of the prism are manifestly more full, intense, and lively that those of natural bodies. Sir I. Newton. His faith must be not only living, but lively too. South. Lively stones (Script.), saints, as being quickened by the Spirit, and active in holiness. Syn. -- Brisk; vigorous; quick; nimble; smart; active; alert; sprightly; animated; spirited; prompt; earnest; strong; energetic; vivid; vivacious; blithe; gleeful; airy; gay; jocund.\n\n1. In a brisk, active, or animated manner; briskly; vigorously. Hayward. 2. With strong resemblance of life. [Obs.] Thou counterfeitest most lively. Shak.
liver |1. One who, or that which, lives. And try if life be worth the liver's care. Prior. 2. A resident; a dweller; as, a liver in Brooklyn. 3. One whose course of life has some marked characteristic (expressed by an adjective); as, a free liver. Fast liver, one who lives in an extravagant and dissipated way. -- Free liver, Good liver, one given to the pleasures of the table. -- Loose liver, a person who lives a somewhat dissolute life.\n\nA very large glandular and vascular organ in the visceral cavity of all vertebrates. Note: Most of the venous blood from the alimentary canal passes through it on its way back to the heart; and it secretes the bile, produces glycogen, and in other ways changes the blood which passes through it. In man it is situated immediately beneath the diaphragm and mainly on the right side. See Bile, Digestive, and Glycogen. The liver of invertebrate animals is usually made up of cæcal tubes, and differs materially, in form and function, from that of vertebrates. Floating liver. See Wandering liver, under Wandering. -- Liver of antimony, Liver of sulphur. (Old Chem.) See Hepar. -- Liver brown, Liver color, the color of liver, a dark, reddish brown. -- Liver shark (Zoöl.), a very large shark (Cetorhinus maximus), inhabiting the northern coasts both of Europe and North America. It sometimes becomes forty feet in length, being one of the largest sharks known; but it has small simple teeth, and is not dangerous. It is captured for the sake of its liver, which often yields several barrels of oil. It has gill rakers, resembling whalebone, by means of which it separates small animals from the sea water. Called also basking shark, bone shark, hoemother, homer, and sailfish. -- Liver spots, yellowish brown patches or spots of chloasma.\n\nThe glossy ibis (Ibis falcinellus); -- said to have given its name to the city of Liverpool.
liver-colored |Having a color like liver; dark reddish brown.
liver-grown |Having an enlarged liver. Dunglison.
livered |Having (such) a liver; used in composition; as, white-livered.
liveried |Wearing a livery. See Livery, 3. The liveried servants wait. Parnell.
livering |A kind of pudding or sausage made of liver or pork. [Obs.] Chapman.
liverleaf |Same as Liverwort.
liverwort |1. A ranunculaceous plant (Anemone Hepatica) with pretty white or bluish flowers and a three-lobed leaf; -- called also squirrel cups. 2. A flowerless plant (Marchantia polymorpha), having an irregularly lobed, spreading, and forking frond. Note: From this plant many others of the same order (Hepaticæ) have been vaguely called liverworts, esp. those of the tribe Marchantiaceæ. See Illust. of Hepatica.
livery |1. (Eng. Law) (a) The act of delivering possession of lands or tenements. (b) The writ by which possession is obtained. Note: It is usual to say, livery of seizin, which is a feudal investiture, made by the delivery of a turf, of a rod, or twig, from the feoffor to the feoffee. In the United States, and now in Great Britain, no such ceremony is necessary, the delivery of a deed being sufficient. 2. Release from wardship; deliverance. It concerned them first to sue out their livery from the unjust wardship of his encroaching prerogative. Milton. 3. That which is delivered out statedly or formally, as clothing, food, etc.; especially: (a) The uniform clothing issued by feudal superiors to their retainers and serving as a badge when in military service. (b) The peculiar dress by which the servants of a nobleman or gentleman are distinguished; as, a claret-colored livery. (c) Hence, also, the peculiar dress or garb appropriated by any association or body of persons to their own use; as, the livery of the London tradesmen, of a priest, of a charity school, etc.; also, the whole body or company of persons wearing such a garb, and entitled to the privileges of the association; as, the whole livery of London. A Haberdasher and a Carpenter, A Webbe, a Dyer, and a Tapicer, And they were clothed all in one livery Of a solempne and a gret fraternite. Chaucer. From the periodical deliveries of these characteristic articles of servile costume (blue coats) came our word livery. De Quincey. (d) Hence, any characteristic dress or outward appearance. \" April's livery.\" Sir P. Sidney. Now came still evening on, and twilight gray Had in her sober livery all things clad. Milton. (e) An allowance of food statedly given out; a ration, as to a family, to servants, to horses, etc. The emperor's officers every night went through the town from house to house whereat any English gentleman did repast or lodge, and served their liveries for all night: first, the officers brought into the house a cast of fine manchet [white bread], and of silver two great post, and white wine, and sugar. Cavendish. (f) The feeding, stabling, and care of horses for compensation; boarding; as, to keep one's horses at livery. What livery is, we by common use in England know well enough, namely, that is, allowance of horse meat, as to keep horses at livery, the which word, I guess, is derived of livering or delivering forth their nightly food. Spenser. It need hardly be observed that the explanation of livery which Spenser offers is perfectly correct, but . . . it is no longer applied to the ration or stated portion of food delivered at stated periods. Trench. (g) The keeping of horses in readiness to be hired temporarily for riding or driving; the state of being so kept. Pegasus does not stand at livery even at the largest establishment in Moorfields. Lowell. 4. A low grade of wool. Livery gown, the gown worn by a liveryman in London.\n\nTo clothe in, or as in, livery. Shak.
livery stable |. A stable where horses are kept for hire, and where stabling is provided. See Livery, n., 3 (e) (f) & (g).
liveryman |1. One who wears a livery, as a servant. 2. A freeman of the city, in London, who, having paid certain fees, is entitled to wear the distinguishing dress or livery of the company to which he belongs, and also to enjoy certain other privileges, as the right of voting in an election for the lord mayor, sheriffs, chamberlain, etc. 3. One who keeps a livery stable.
lives |pl. of Life.\n\nAlive; living; with life. [Obs.] \" Any lives creature.\" Chaucer.
livid |Black and blue; grayish blue; of a lead color; discolored, as flesh by contusion. Cowper. There followed no carbuncles, no purple or livid spots, the mass of the blood not being tainted. Bacon.
lividity |The state or quality of being livid.
lividness |Lividity. Walpole.
living |1. Being alive; having life; as, a living creature. 2. Active; lively; vigorous; -- said esp. of states of the mind , and sometimes of abstract things; as, a living faith; a living principle. \" Living hope. \" Wyclif. 3. Issuing continually from the earth; running; flowing; as, a living spring; -- opposed to stagnant. 4. Producing life, action, animation, or vigor; quickening. \" Living light.\" Shak. 5. Ignited; glowing with heat; burning; live. Then on the living coals wine they pour. Dryden. Living force. See Vis viva, under Vis. -- Living gale (Naut.), a heavy gale. Living rock or stone, rock in its native or original state or location; rock not quarried. \" I now found myself on a rude and narrow stairway, the steps of which were cut of the living rock.\" Moore. -- The living, those who are alive, or one who is alive.\n\n1. The state of one who, or that which, lives; lives; life; existence. \"Health and living.\" Shak. 2. Manner of life; as, riotous living; penurious living; earnest living. \" A vicious living.\" Chaucer. 3. Means of subsistence; sustenance; estate. She can spin for her living. Shak. He divided unto them his living. Luke xv. 12. 4. Power of continuing life; the act of living, or living comfortably. There is no living without trusting somebody or other in some cases. L' Estrange. 5. The benefice of a clergyman; an ecclesiastical charge which a minister receives. [Eng.] He could not get a deanery, a prebend, or even a living Macaulay. Livng room, the room most used by the family.
living picture |A tableau in which persons take part; also, specif., such a tableau as imitating a work of art.
livingly |In a living state. Sir T. Browne.
livingness |The state or quality of being alive; possession of energy or vigor; animation; quickening.
livonian |Of or pertaining to Livonia, a district of Russia near the Baltic Sea.\n\nA native or an inhabitant of Livonia; the language (allied to the Finnish) of the Livonians.
livor |Malignity. [P.] Burton.
livraison |A part of a book or literary composition printed and delivered by itself; a number; a part.
livre |A French money of account, afterward a silver coin equal to 20 sous. It is not now in use, having been superseded by the franc.
lixivial |1. Impregnated with, or consisting of, alkaline salts extracted from wood ashes; impregnated with a salt or salts like a lixivium. Boyle. 2. Of the color of lye; resembling lye. 3. Having the qualities of alkaline salts extracted from wood ashes. Lixivial salts (Old Chem.), salts which are obtained by passing water through ashes, or by pouring it on them.
lixiviate |1. Of or pertaining to lye or lixivium; of the quality of alkaline salts. 2. Impregnated with salts from wood ashes. Boyle.\n\nTo subject to a washing process for the purpose of separating soluble material from that which is insoluble; to leach, as ashes, for the purpose of extracting the alkaline substances.
lixiviation |Lixiviating; the process of separating a soluble substance form one that is insoluble, by washing with some solvent, as water; leaching.
lixivious |See Lixivial.
lixivited |1. Of or pertaining to lye or lixivium; of the quality of alkaline salts. 2. Impregnated with salts from wood ashes. Boyle.
lixivium |A solution of alkaline salts extracted from wood ashes; hence, any solution obtained by lixiviation.
lixt |2d pers. sing. pres. of Lige, to lie, to tell lies, -- contracted for ligest. Chaucer.
liza |The American white mullet (Mugil curema).
lizard |1. (Zoöl.)  Any one of the numerous species of reptiles belonging to the order Lacertilia; sometimes, also applied to reptiles of other orders, as the Hatteria. Note: Most lizards have an elongated body, with four legs, and a long tail; but there are some without legs, and some with a short, thick tail. Most have scales, but some are naked; most have eyelids, but some do not. The tongue is varied in form and structure. In some it is forked, in others, as the chameleons, club-shaped, and very extensible. See Amphisbæna, Chameleon, Gecko, Gila monster, Horned toad, Iguana, and Dragon, 6. 2. (Naut.)  A piece of rope with thimble or block spliced into one or both of the ends. R. H. Dana, Ir. 3. A piece of timber with a forked end, used in dragging a heavy stone, a log, or the like, from a field. Lizard fish (Zoöl.), a marine scopeloid fish of the genus Synodus, or Saurus, esp. S. foetens of the Southern United States and West Indies; -- called also sand pike. -- Lizard snake (Zoöl.), the garter snake (Eutænia sirtalis). -- Lizard stone (Min.), a kind of serpentine from near Lizard Point, Cornwall, England, -- used for ornamental purposes. LIZARD'S TAIL Liz\"ard's tail`. (Bot.)  A perennial plant of the genus Saururus (S. cernuus), growing in marshes, and having white flowers crowded in a slender terminal spike, somewhat resembling in form a lizard's tail; whence the name. Gray.
llama |A South American ruminant (Auchenia llama), allied to the camels, but much smaller and without a hump. It is supposed to be a domesticated variety of the guanaco. It was formerly much used as a beast of burden in the Andes.
llandeilo group |A series of strata in the lower Silurian formations of Great Britain; -- so named from Llandeilo in Southern Wales. See Chart of Geology.
llanero |One of the inhabitants of the llanos of South America.
llano |An extensive plain with or without vegetation. [Spanish America] LLOYD'S Lloyd's, n. 1. An association of underwriters and others in London, for the collection and diffusion of marine intelligence, the insurance, classification, registration, and certifying of vessels, and the transaction of business of various kinds connected with shipping. 2. A part of the Royal Exchange, in London, appropriated to the use of underwriters and insurance brokers; -- called also Lloyd's Rooms. Note: The name is derived from Lloyd's Coffee House, in Lombard Street, where there were formerly rooms for the same purpose. The name Lloyd or Lloyd's has been taken by several associations, in different parts of Europe, established for purposes similar to those of the original association. Lloyd's agents, persons employed in various parts of the world, by the association called Lloyd's, to serve its interests. -- Lloyd's list, a publication of the latest news respecting shipping matters, with lists of vessels, etc., made under the direction of Lloyd's. Brande & C. -- Lloyd's register, a register of vessels rated according to their quality, published yearly.
lo |Look; see; behold; observe. \" Lo, here is Christ.\" Matt. xxiv. 23. \" Lo, we turn to the Gentiles.\" Acts xiii. 46.
loach |Any one of several small, fresh-water, cyprinoid fishes of the genera Cobitis, Nemachilus, and allied genera, having six or more barbules around the mouth. They are found in Europe and Asia. The common European species (N. barbatulus) is used as a food fish.
load |1. A burden; that which is laid on or put in anything for conveyance; that which is borne or sustained; a weight; as, a heavy load. He might such a load To town with his ass carry. Gower. 2. The quantity which can be carried or drawn in some specified way; the contents of a cart, barrow, or vessel; that which will constitute a cargo; lading. 3. That which burdens, oppresses, or grieves the mind or spirits; as, a load of care. \" A . . . load of guilt.\" Ray. \" Our life's a load.\" Dryden. 4. A particular measure for certain articles, being as much as may be carried at one time by the conveyance commonly used for the article measured; as, a load of wood; a load of hay; specifically, five quarters. 5. The charge of a firearm; as, a load of powder. 6. Weight or violence of blows. [Obs.] Milton. 7. (Mach.)  The work done by a steam engine or other prime mover when working. Load line, or Load water line (Naut.), the line on the outside of a vessel indicating the depth to which it sinks in the water when loaded. Syn. -- Burden; lading; weight; cargo. See Burden.\n\n1. To lay a load or burden on or in, as on a horse or in a cart; to charge with a load, as a gun; to furnish with a lading or cargo, as a ship; hence, to add weight to, so as to oppress or embarrass; to heap upon. I strive all in vain to load the cart. Gascoigne. I have loaden me with many spoils. Shak. Those honors deep and broad, wherewith Your majesty loads our house. Shak. 2. To adulterate or drug; as, to load wine. [Cant] 3. To magnetize.[Obs.] Prior. Loaded dice, dice with one side made heavier than the others, so that the number on the opposite side will come up oftenest.
loader |One who, or that which, loads; a mechanical contrivance for loading, as a gun.
loading |1. The act of putting a load on or into. 2. A load; cargo; burden. Shak.
loadmanage |Pilotage; skill of a pilot or loadsman. [Obs.] Chaucer.
loadsman |A pilot. [Obs.] Chaucer.
loadstar |A star that leads; a guiding star; esp., the polestar; the cynosure. Chaucer. \" Your eyes are lodestars.\" Shak. The pilot can no loadstar see. Spenser.
loadstone |A piece of magnetic iron ore possessing polarity like a magnetic needle. See Magnetite.
loaf |Any thick lump, mass, or cake; especially, a large regularly shaped or molded mass, as of bread, sugar, or cake. Bacon. Loaf sugar, refined sugar that has been formed into a conical loaf in a mold.\n\nTo spend time in idleness; to lounge or loiter about. \" Loafing vagabonds.\" W. Black.\n\nTo spend in idleness; -- with away; as, to loaf time away.
loafer |One who loafs; a lazy lounger. Lowell.
loam |1. A kind of soil; an earthy mixture of clay and sand, with organic matter to which its fertility is chiefly due. We wash a wall of loam; we labor in vain. Hooker. 2. (Founding)  A mixture of sand, clay, and other materials, used in making molds for large castings, often without a pattern. Loam mold (Founding), a mold made with loam. See Loam, n., 2. -- Loam molding, the process or business of making loam molds. Loam plate, an iron plate upon which a section of a loam mold rests, or from which it is suspended. -- Loam work, loam molding or loam molds.\n\nTo cover, smear, or fill with loam.
loamy |Consisting of loam; partaking of the nature of loam; resembling loam. Bacon.
loan |A loanin. [Scot.]\n\n1. The act of lending; a lending; permission to use; as, the loan of a book, money, services. 2. That which one lends or borrows, esp. a sum of money lent at interest; as, he repaid the loan. Loan office. (a) An office at which loans are negotiated, or at which the accounts of loans are kept, and the interest paid to the lender. (b) A pawnbroker's shop.\n\nTo lend; -- sometimes with out. Kent. By way of location or loaning them out. J. Langley (1644).
loanable |Such as can be lent; available for lending; as, loanable funds; -- used mostly in financial business and writings.
loanin |An open space between cultivated fields through which cattle are driven, and where the cows are sometimes milked; also, a lane. [Scot.] Sir W. Scott.
loaning |An open space between cultivated fields through which cattle are driven, and where the cows are sometimes milked; also, a lane. [Scot.] Sir W. Scott.
loanmonger |A dealer in, or negotiator of, loans. The millions of the loanmonger. Beaconsfield.
loath |1. Hateful; odious; disliked. [Obs.] Chaucer. 2. Filled with disgust or aversion; averse; unwilling; reluctant; as, loath to part. Full loth were him to curse for his tithes. Chaucer . Why, then, though loath, yet must I be content. Shak.
loathe |1. To feel extreme disgust at, or aversion for. Loathing the honeyed cakes, I Ionged for bread. Cowley. 2. To dislike greatly; to abhor; to hate. The secret which I loathe. Waller. She loathes the vital sir. Dryden. Syn. -- To hate; abhor; detest; abominate. See Hate.\n\nTo feel disgust or nausea. [Obs.]
