maculature |, Blotting paper. [Obs.]
malleolar |Of or pertaining to the malleolus; in the region of the malleoli of the ankle joint.
malleolus |1. (Anat.)  A projection at the distal end of each bone of the leg at the ankle joint. The malleolus of the tibia is the internal projection, that of the fibula the external. 2. \" A layer, \" a shoot partly buried in the ground, and there cut halfway through.
mallet |A small maul with a short handle, -- used esp. for driving a tool, as a chisel or the like; also, a light beetle with a long handle, -- used in playing croquet.
malleus |1. (Anat.)  The outermost of the three small auditory bones, ossicles; the hammer. It is attached to the tympanic membrane by a long process, the handle or manubrium. See Illust. of Far. 2. (Zoöl.)  One of the hard lateral pieces of the mastax of Rotifera. See Mastax. 3. (Zoöl.)  A genus of bivalve shells; the hammer shell.
mallophaga |An extensive group of insects which are parasitic on birds and mammals, and feed on the feathers and hair; -- called also bird lice. See Bird louse, under Bird.
mallotus |A genus of small Arctic fishes. One American species, the capelin (Mallotus villosus), is extensively used as bait for cod.
mallow |A genus of plants (Malva) having mucilaginous qualities. See Malvaceous. Note: The flowers of the common mallow (M. sylvestris) are used in medicine. The dwarf mallow (M. rotundifolia) is a common weed, and its flattened, dick-shaped fruits are called cheeses by children. Tree mallow (M. Mauritiana and Lavatera arborea), musk mallow (M. moschata), rose mallow or hollyhock, and curled mallow (M. crispa), are less commonly seen. Indian mallow. See Abutilon. -- Jew's mallow, a plant (Corchorus olitorius) used as a pot herb by the Jews of Egypt and Syria. -- Marsh mallow. See under Marsh.
mallows |A genus of plants (Malva) having mucilaginous qualities. See Malvaceous. Note: The flowers of the common mallow (M. sylvestris) are used in medicine. The dwarf mallow (M. rotundifolia) is a common weed, and its flattened, dick-shaped fruits are called cheeses by children. Tree mallow (M. Mauritiana and Lavatera arborea), musk mallow (M. moschata), rose mallow or hollyhock, and curled mallow (M. crispa), are less commonly seen. Indian mallow. See Abutilon. -- Jew's mallow, a plant (Corchorus olitorius) used as a pot herb by the Jews of Egypt and Syria. -- Marsh mallow. See under Marsh.
mallowwort |Any plant of the order Malvaceæ.
malm |A kind of brick of a light brown or yellowish color, made of sand, clay, and chalk.
malma |A spotted trout (Salvelinus malma), inhabiting Northern America, west of the Rocky Mountains; -- called also Dolly Varden trout, bull trout, red-spotted trout, and golet.
malmag |The tarsius, or spectral lemur.
malmbrick |A kind of brick of a light brown or yellowish color, made of sand, clay, and chalk.
malmsey |A kind of sweet wine from Crete, the Canary Islands, etc. Shak.
malnutrition |Faulty or imperfect nutrition.
malobservation |Erroneous observation. J. S Mill.
malodor |An Offensive to the sense of smell; ill-smelling. -- Mal*o\"dor*ous*ness. n. Carlyle.
malodorous |Offensive to the sense of smell; ill-smelling. -- Mal*o\"dor*ous*ness. n. Carlyle. [1913 Webster]
malonate |At salt of malonic acid.
malonic |Pertaining to, or designating, an acid produced artifically as a white crystalline substance, CH2.(CO2H)2, and so called because obtained by the oxidation of malic acid.
malonyl |A hydrocarbon radical, CH2.(CO)2, from malonic acid.
malpais |The rough surface of a congealed lava stream. [Southwestern U. S.]
malpighia |A genus of tropical American shrubs with opposite leaves and small white or reddish flowers. The drupes of Malpighia urens are eaten under the name of Barbadoes cherries.
malpighiaceous |Of, pertaining to, or resembling, a natural order of tropical trees and shrubs (Malpighiaceæ), some of them climbing plants, and their stems forming many of the curious lianes of South American forests.
malpighian |Of, pertaining to, or discovered by, Marcello Malpighi, an Italian anatomist of the 17th century. Malhighian capsules or corpuscles, the globular dilatations, containing the glomeruli or Malpighian tufts, at the extremities of the urinary tubules of the kidney. Malpighian corpuscles of the spleen, masses of adenoid tissue connected with branches of the splenic artery.
malposition |A wrong position.
malpractice |Evil practice; illegal or immoral conduct; practice contrary to established rules; specifically, the treatment of a case by a surgeon or physician in a manner which is contrary to accepted rules and productive of unfavorable results. [Written also malepractice.]
malt |Barley or other grain, steeped in water and dried in a kiln, thus forcing germination until the saccharine principle has been evolved. It is used in brewing and in the distillation of whisky.\n\nRelating to, containing, or made with, malt. Malt liquor, an alcoholic liquor, as beer, ale, porter, etc., prepared by fermenting an infusion of malt. -- Malt dust, fine particles of malt, or of the grain used in making malt; -used as a fertilizer. \" Malt dust consists chiefly of the infant radicle separated from the grain.\" Sir H. Davy. -- Malt floor, a floor for drying malt. -- Malt house, or Malthouse, a house in which malt is made. -- Malt kiln, a heated chamber for drying malt.\n\nTo make into malt; as, to malt barley.\n\nTo become malt; also, to make grain into malt. Mortimer.
maltalent |Ill will; malice. [Obs.] Rom. of R. Spenser.
maltese |Of or pertaining to Malta or to its inhabitants. -- n. sing. & pl.  A native or inhabitant of Malta; the people of Malta. Maltese cat (Zoöl.), a mouse-colored variety of the domestic cat. -- Maltese cross. See Illust. 5, of Cross. -- Maltese dog (Zoöl.), a breed of small terriers, having long silky white hair. The breed originated in Malta.
maltha |1. A variety of bitumen, viscid and tenacious, like pitch, unctuous to the touch, and exhaling a bituminous odor. 2. Mortar. [Obs.] Holland.
malthusian |Of or pertaining to the political economist, the Rev. T. R. Malthus, or conforming to his views; as, Malthusian theories. Note: Malthus held that population tends to increase faster than its means of subsistence can be made to do, and hence that the lower classes must necessarily suffer more or less from lack of food, unless an increase of population be checked by prudential restraint or otherwise.\n\nA follower of Malthus.
malthusianism |The system of Malthusian doctrines relating to population.
maltin |The fermentative principle of malt; malt diastase; also, a name given to various medicinal preparations made from or containing malt.
maltine |The fermentative principle of malt; malt diastase; also, a name given to various medicinal preparations made from or containing malt.
malting |The process of making, or of becoming malt.
maltman |A man whose occupation is to make malt.
maltonic |Of, pertaining to, or derived from, maltose; specif., designating an acid called also gluconic or dextronic acid. See Gluconic.
maltose |A crystalline sugar formed from starch by the action of distance of malt, and the amylolytic ferment of saliva and pancreatic juice. It resembles dextrose, but rotates the plane of polarized light further to the right and possesses a lower cupric oxide reducing power.
maltreat |To treat ill; to abuse; to treat roughly.
maltreatment |Ill treatment; ill usage; abuse.
maltster |A maltman. Swift.
maltworm |A tippler. [R.] Shak.
malty |Consisting, or like, malt. Dickens.
malum |An evil. See Mala.
malvaceous |Pertaining to, or resembling, a natural order of plants (Malvaceæ), of which the mallow is the type. The cotton plant, hollyhock, and abutilon are of this order, and the baobab and the silk-cotton trees are now referred to it.
malversation |Evil conduct; fraudulent practices; misbehavior, corruption, or extortion in office.
malvesie |Malmsey wine. See Malmsey. \" A jub of malvesye.\" Chaucer.
mam |Mamma.\n\nMamma.
mama |See Mamma.
mamaluke |Same as Mameluke.
mamelon |A rounded hillock; a rounded elevation or protuberance. Westmin. Rev.
