sesamoidal |Sesamoid.
shatter |1. To break at once into many pieces; to dash, burst, or part violently into fragments; to rend into splinters; as, an explosion shatters a rock or a bomb; too much steam shatters a boiler; an oak is shattered by lightning. A monarchy was shattered to pieces, and divided amongst revolted subjects. Locke. 2. To disorder; to derange; to render unsound; as, to be shattered in intellect; his constitution was shattered; his hopes were shattered. A man of a loose, volatile, and shattered humor. Norris. 3. To scatter about. [Obs.] Shatter your leaves before the mellowing year. Milton.\n\nTo be broken into fragments; to fal Some fragile bodies break but where the force is; some shatter and fly in many places. Bacon.\n\nA fragment of anything shattered; -- used chiefly or soley in the phrase into shatters; as, to break a glass into shatters. Swift.
shatter-brained |Disordered or wandering in intellect; hence, heedless; wild. J. Goodman.
shatter-pated |Disordered or wandering in intellect; hence, heedless; wild. J. Goodman.
shattery |Easily breaking into pieces; not compact; loose of texture; brittle; as, shattery spar.
shave |obs. p. p. of Shave. Chaucer. His beard was shave as nigh as ever he can. Chaucer.\n\n1. To cut or pare off from the surface of a body with a razor or other edged instrument; to cut off closely, as with a razor; as, to shave the beard. 2. To make bare or smooth by cutting off closely the surface, or surface covering, of; especially, to remove the hair from with a razor or other sharp instrument; to take off the beard or hair of; as, to shave the face or the crown of the head; he shaved himself. I'll shave your crown for this. Shak. The laborer with the bending scythe is seen Shaving the surface of the waving green. Gay. 3. To cut off thin slices from; to cut in thin slices. Plants bruised or shaven in leaf or root. Bacon. 4. To skim along or near the surface of; to pass close to, or touch lightly, in passing. Now shaves with level wing the deep. Milton. 5. To strip; to plunder; to fleece. [Colloq.] To shave a note, to buy it at a discount greater than the legal rate of interest, or to deduct in discounting it more than the legal rate allows. [Cant, U.S.]\n\nTo use a razor for removing the beard; to cut closely; hence, to be hard and severe in a bargain; to practice extortion; to cheat.\n\n1. A thin slice; a shaving. Wright. 2. A cutting of the beard; the operation of shaving. 3. (a) An exorbitant discount on a note. [Cant, U.S.] (b) A premium paid for an extension of the time of delivery or payment, or for the right to vary a stock contract in any particular. [Cant, U.S.] N. Biddle. 4. A hand tool consisting of a sharp blade with a handle at each end; a drawing knife; a spokeshave. 5. The act of passing very near to, so as almost to graze; as, the bullet missed by a close shave. [Colloq.] Shave grass (Bot.), the scouring rush. See the Note under Equisetum. -- Shave hook, a tool for scraping metals, consisting of a sharp- edged triangular steel plate attached to a shank and handle.
shaveling |A man shaved; hence, a monk, or other religious; -- used in contempt. I am no longer a shaveling than while my frock is on my back. Sir W. Scott.
shaver |1. One who shaves; one whose occupation is to shave. 2. One who is close in bargains; a sharper. Swift. 3. One who fleeces; a pillager; a plunderer. By these shavers the Turks were stripped. Knolles. 4. A boy; a lad; a little fellow. [Colloq.] \"These unlucky little shavers.\" Salmagundi. As I have mentioned at the door to this young shaver, I am on a chase in the name of the king. Dickens. 5. (Mech.)  A tool or machine for shaving. A note shaver, a person who buys notes at a discount greater than the legal rate of interest. [Cant, U.S.]
shaving |1. The act of one who, or that which, shaves; specifically, the act of cutting off the beard with a razor. 2. That which is shaved off; a thin slice or strip pared off with a shave, a knife, a plane, or other cutting instrument. \"Shaving of silver.\" Chaucer. Shaving brush, a brush used in lathering the face preparatory to shaving it.
shaw |1. A thicket; a small wood or grove. [Obs. or Prov.Eng. & Scot.] Burns. Gaillard he was as goldfinch in the shaw. Chaucer. The green shaws, the merry green woods. Howitt. 2. pl.  The leaves and tops of vegetables, as of potatoes, turnips, etc. [Scot.] Jamieson.
shawfowl |The representation or image of a fowl made by fowlers to shoot at. Johnson.
shawl |A square or oblong cloth of wool, cotton, silk, or other textile or netted fabric, used, especially by women, as a loose covering for the neck and shoulders. India shawl, a kind of rich shawl made in India from the wool of the Cashmere goat. It is woven in pieces, which are sewed together. -- Shawl goat (Zoöl.), the Cashmere goat.\n\nTo wrap in a shawl. Thackeray.
shawm |A wind instrument of music, formerly in use, supposed to have resembled either the clarinet or the hautboy in form. [Written also shalm, shaum.] Otway. Even from the shrillest shaum unto the cornamute. Drayton.
shawnees |A tribe of North American Indians who occupied Western New York and part of Ohio, but were driven away and widely dispersed by the Iroquois.
shay |A chaise. [Prov. Eng. & Local, U.S.]
she |1. This or that female; the woman understood or referred to; the animal of the female sex, or object personified as feminine, which was spoken of. She loved her children best in every wise. Chaucer. Then Sarah denied, . . . for she was afraid. Gen. xviii. 15. 2. A woman; a female; -- used substantively. [R.] Lady, you are the cruelest she alive. Shak. Note: She is used in composition with nouns of common gender, for female, to denote an animal of the female sex; as, a she-bear; a she- cat.
shea tree |An African sapotaceous tree (Bassia, or Butyrospermum, Parkii), from the seeds of which a substance resembling butter is obtained; the African butter tree.
sheading |A tithing, or division, in the Isle of Man, in which there is a coroner, or chief constable. The island is divided into six sheadings.
sheaf |A sheave. [R.]\n\n1. A quantity of the stalks and ears of wheat, rye, or other grain, bound together; a bundle of grain or straw. The reaper fills his greedy hands, And binds the golden sheaves in brittle bands. Dryden. 2. Any collection of things bound together; a bundle; specifically, a bundle of arrows sufficient to fill a quiver, or the allowance of each archer, -- usually twenty-four. The sheaf of arrows shook and rattled in the case. Dryden.\n\nTo gather and bind into a sheaf; to make into sheaves; as, to sheaf wheat.\n\nTo collect and bind cut grain, or the like; to make sheaves. They that reap must sheaf and bind. Shak.
sheafy |Pertaining to, or consisting of, a sheaf or sheaves; resembling a sheaf.
sheal |Same as Sheeling. [Scot.]\n\nTo put under a sheal or shelter. [Scot.]\n\nTo take the husks or pods off from; to shell; to empty of its contents, as a husk or a pod. [Obs. or Prov.Eng. & Scot.] Jamieson. That's a shealed peascod. Shak.\n\nA shell or pod. [Obs. or Prov.Eng.]
shealing |The outer husk, pod, or shell, as of oats, pease, etc.; sheal; shell. [Obs. or Prov. Eng. & Scot.]\n\nSame as Sheeling. [Scot.]
shear |1. To cut, clip, or sever anything from with shears or a like instrument; as, to shear sheep; to shear cloth. Note: It is especially applied to the cutting of wool from sheep or their skins, and the nap from cloth. 2. To separate or sever with shears or a similar instrument; to cut off; to clip (something) from a surface; as, to shear a fleece. Before the golden tresses . . . were shorn away. Shak. 3. To reap, as grain. [Scot.] Jamieson. 4. Fig.: To deprive of property; to fleece. 5. (Mech.)  To produce a change of shape in by a shear. See Shear, n., 4.\n\n1. A pair of shears; -- now always used in the plural, but formerly also in the singular. See Shears. On his head came razor none, nor shear. Chaucer. Short of the wool, and naked from the shear. Dryden. 2. A shearing; -- used in designating the age of sheep. After the second shearing, he is a two-sher ram; . . . at the expiration of another year, he is a three-shear ram; the name always taking its date from the time of shearing. Youatt. 3. (Engin.)  An action, resulting from applied forces, which tends to cause two contiguous parts of a body to slide relatively to each other in a direction parallel to their plane of contact; -- also called shearing stress, and tangential stress. 4. (Mech.)  A strain, or change of shape, of an elastic body, consisting of an extension in one direction, an equal compression in a perpendicular direction, with an unchanged magnitude in the third direction. Shear blade, one of the blades of shears or a shearing machine. -- Shear hulk. See under Hulk. -- Shear steel, a steel suitable for shears, scythes, and other cutting instruments, prepared from fagots of blistered steel by repeated heating, rolling, and tilting, to increase its malleability and fineness of texture.\n\n1. To deviate. See Sheer. 2. (Engin.)  To become more or less completely divided, as a body under the action of forces, by the sliding of two contiguous parts relatively to each other in a direction parallel to their plane of contact.
shear steel |See under Shear.
shearbill |The black skimmer. See Skimmer.
sheard |See Shard. [Obs.]
shearer |1. One who shears. Like a lamb dumb before his shearer. Acts viii. 32. 2. A reaper. [Scot.] Jamieson.
shearing |1. The act or operation of clipping with shears or a shearing machine, as the wool from sheep, or the nap from cloth. 2. The product of the act or operation of clipping with shears or a shearing machine; as, the whole shearing of a flock; the shearings from cloth. 3. Same as Shearling. Youatt. 4. The act or operation of reaping. [Scot.] 5. The act or operation of dividing with shears; as, the shearing of metal plates. 6. The process of preparing shear steel; tilting. 7. (Mining)  The process of making a vertical side cutting in working into a face of coal. Shearing machine. (a) A machine with blades, or rotary disks, for dividing plates or bars of metal. (b) A machine for shearing cloth.
shearling |A sheep but once sheared.
shearman |One whose occupation is to shear cloth.
shearn |Dung; excrement. [Obs.] [Written also shern.] Holland.
shears |1. A cutting instrument. Specifically: (a) An instrument consisting of two blades, commonly with bevel edges, connected by a pivot, and working on both sides of the material to be cut, -- used for cutting cloth and other substances. Fate urged the shears, and cut the sylph in twain. Pope. (b) A similar instrument the blades of which are extensions of a curved spring, -- used for shearing sheep or skins. (c) A shearing machine; a blade, or a set of blades, working against a resisting edge. 2. Anything in the form of shears. Specifically: (a) A pair of wings. [Obs.] Spenser. (b) An apparatus for raising heavy weights, and especially for stepping and unstepping the lower masts of ships. It consists of two or more spars or pieces of timber, fastened together near the top, steadied by a guy or guys, and furnished with the necessary tackle. [Written also sheers.] 3. (Mach.)  The bedpiece of a machine tool, upon which a table or slide rest is secured; as, the shears of a lathe or planer. See Illust. under Lathe. Rotary shears. See under Rotary.
sheartail |(a) The common tern. (b) Any one of several species of humming birds of the genus Thaumastura having a long forked tail.
shearwater |Any one of numerous species of long-winged oceanic birds of the genus Puffinus and related genera. They are allied to the petrels, but are larger. The Manx shearwater (P. Anglorum), the dusky shearwater (P. obscurus), and the greater shearwater (P. major), are well-known species of the North Atlantic. See Hagdon.
sheatfish |A European siluroid fish (Silurus glanis) allied to the cat- fishes. It is the largest fresh-water fish of Europe, sometimes becoming six feet or more in length. See Siluroid.
sheath |1. A case for the reception of a sword, hunting knife, or other long and slender instrument; a scabbard. The dead knight's sword out of his sheath he drew. Spenser. 2. Any sheathlike covering, organ, or part. Specifically: (a) (Bot.) The base of a leaf when sheathing or investing a stem or branch, as in grasses. (b) (Zoöl.) One of the elytra of an insect. Medullary sheath. (Anat.) See under Medullary. -- Primitive sheath. (Anat.) See Neurilemma. -- Sheath knife, a knife with a fixed blade, carried in a sheath. -- Sheath of Schwann. (Anat.) See Schwann's sheath.
sheath-winged |Having elytra, or wing cases, as a beetle.
sheathbill |Either one of two species of birds composing the genus Chionis, and family Chionidæ, native of the islands of the Antarctic.seas. Note: They are related to the gulls and the plovers, but more nearly to the latter. The base of the bill is covered with a saddle-shaped horny sheath, and the toes are only slightly webbed. The plumage of both species is white.
sheathe |1. To put into a sheath, case, or scabbard; to inclose or cover with, or as with, a sheath or case. The leopard . . . keeps the claws of his fore feet turned up from the ground, and sheathed in the skin of his toes. Grew. 'T is in my breast she sheathes her dagger now. Dryden. 2. To fit or furnish, as with a sheath. Shak. 3. To case or cover with something which protects, as thin boards, sheets of metal, and the like; as, to sheathe a ship with copper. 4. To obtund or blunt, as acrimonious substances, or sharp particles. [R.] Arbuthnot. To sheathe the sword, to make peace.
sheathed |1. Povided with, or inclosed in, sheath. 2. (Bot.)  Invested by a sheath, or cylindrical membranaceous tube, which is the base of the leaf, as the stalk or culm in grasses; vaginate.
sheather |One who sheathes.
sheathfish |Same as Sheatfish.
sheathing |from Sheathe. Inclosing with a sheath; as, the sheathing leaves of grasses; the sheathing stipules of many polygonaceous plants.\n\nThat which sheathes. Specifically: (a) The casing or covering of a ship's bottom and sides; the materials for such covering; as, copper sheathing. (b) (Arch.) The first covering of boards on the outside wall of a frame house or on a timber roof; also, the material used for covering; ceiling boards in general.
sheathless |Without a sheath or case for covering; unsheathed.
sheathy |Forming or resembling a sheath or case. Sir T. Browne.
sheave |A wheel having a groove in the rim for a rope to work in, and set in a block, mast, or the like; the wheel of a pulley. Sheave hole, a channel cut in a mast, yard, rail, or other timber, in which to fix a sheave.\n\nTo gather and bind into a sheaf or sheaves; hence, to collect. Ashmole.
sheaved |Made of straw. [Obs.] Shak.
shebander |A harbor master, or ruler of a port, in the East Indies. [Written also shebunder.]
shebang |A jocosely depreciative name for a dwelling or shop. [Slang,U.S.]
shebeen |A low public house; especially, a place where spirits and other excisable liquors are illegally and privately sold. [Ireland]
shechinah |See Shekinah.
shecklaton |A kind of gilt leather. See Checklaton. [Obs.] Spenser.
shed |A slight or temporary structure built to shade or shelter something; a structure usually open in front; an outbuilding; a hut; as, a wagon shed; a wood shed. The first Aletes born in lowly shed. Fairfax. Sheds of reeds which summer's heat repel. Sandys.\n\n1. To separate; to divide. [Obs. or Prov.Eng.] Robert of Brunne. 2. To part with; to throw off or give forth from one's self; to emit; to diffuse; to cause to emanate or flow; to pour forth or out; to spill; as, the sun sheds light; she shed tears; the clouds shed rain. Did Romeo's hand shed Tybalt's blood Shak. Twice seven consenting years have shed Their utmost bounty on thy head. Wordsworth. 3. To let fall; to throw off, as a natural covering of hair, feathers, shell; to cast; as, fowls shed their feathers; serpents shed their skins; trees shed leaves. 4. To cause to flow off without penetrating; as, a tight roof, or covering of oiled cloth, sheeds water. 5. To sprinkle; to intersperse; to cover. [R.] \"Her hair . . . is shed with gray.\" B. Jonson. 6. (Weaving)  To divide, as the warp threads, so as to form a shed, or passageway, for the shuttle.\n\n1. To fall in drops; to pour. [Obs.] Such a rain down from the welkin shadde. Chaucer. 2. To let fall the parts, as seeds or fruit; to throw off a covering or envelope. White oats are apt to shed most as they lie, and black as they stand. Mortimer.\n\n1. A parting; a separation; a division. [Obs. or Prov.Eng.] They say also that the manner of making the shed of newwedded wives' hair with the iron head of a javelin came up then likewise. Sir T. North. 2. The act of shedding or spilling; -- used only in composition, as in bloodshed. 3. That which parts, divides, or sheds; -- used in composition, as in watershed. 4. (Weaving)  The passageway between the threads of the warp through which the shuttle is thrown, having a sloping top and bottom made by raising and lowering the alternate threads.
shedder |1. One who, or that which, sheds; as, a shedder of blood; a shedder of tears. 2. (Zoöl.)  A crab in the act of casting its shell, or immediately afterwards while still soft; -- applied especially to the edible crabs, which are most prized while in this state.
shedding |1. The act of shedding, separating, or casting off or out; as, the shedding of blood. 2. That which is shed, or cast off. [R.] Wordsworth.
sheelfa |The chaffinch; -- so named from its call note. [Prov. Eng.]
sheeling |A hut or small cottage in an expessed or a retired place (as on a mountain or at the seaside) such as is used by shepherds, fishermen, sportsmen, etc.; a summer cottage; also, a shed. [Written also sheel, shealing, sheiling, etc.] [Scot.]
sheely |Same as Sheelfa.
sheen |Bright; glittering; radiant; fair; showy; sheeny. [R., except in poetry.] This holy maiden, that is so bright and sheen. Chaucer. Up rose each warrier bold and brave, Glistening in filed steel and armor sheen. Fairfax.\n\nTo shine; to glisten. [Poetic] This town, That, sheening far, celestial seems to be. Byron.\n\nBrightness; splendor; glitter. \"Throned in celestial sheen.\" Milton.
sheenly |Brightly. [R.] Mrs. Browning.
sheeny |Bright; shining; radiant; sheen. \"A sheeny summer morn.\" Tennyson.
sheep |1. (Zoöl.)  Any one of several species of ruminants of the genus Ovis, native of the higher mountains of both hemispheres, but most numerous in Asia. Note: The domestic sheep (Ovis aries) varies much in size, in the length and texture of its wool, the form and size of its horns, the length of its tail, etc. It was domesticated in prehistoric ages, and many distinct breeds have been produced; as the merinos, celebrated for their fine wool; the Cretan sheep, noted for their long horns; the fat-tailed, or Turkish, sheep, remarkable for the size and fatness of the tail, which often has to be supported on trucks; the Southdowns, in which the horns are lacking; and an Asiatic breed which always has four horns. 2. A weak, bashful, silly fellow. Ainsworth. 3. pl.  Fig.: The people of God, as being under the government and protection of Christ, the great Shepherd. Rocky mountain sheep.(Zoöl.) See Bighorn. -- Maned sheep. (Zoöl.) See Aoudad. -- Sheep bot (Zoöl.), the larva of the sheep botfly. See Estrus. -- Sheep dog (Zoöl.), a shepherd dog, or collie. -- Sheep laurel (Bot.), a small North American shrub (Kalmia angustifolia) with deep rose-colored flowers in corymbs. -- Sheep pest (Bot.), an Australian plant (Acæna ovina) related to the burnet. The fruit is covered with barbed spines, by which it adheres to the wool of sheep. -- Sheep run, an extensive tract of country where sheep range and graze. -- Sheep's beard (Bot.), a cichoraceous herb (Urospermum Dalechampii) of Southern Europe; -- so called from the conspicuous pappus of the achenes. -- Sheep's bit (Bot.), a European herb (Jasione montana) having much the appearance of scabious. -- Sheep pox (Med.), a contagious disease of sheep, characterixed by the development of vesicles or pocks upon the skin. -- Sheep scabious. (Bot.) Same as Sheep's bit. -- Sheep shears, shears in which the blades form the two ends of a steel bow, by the elasticity of which they open as often as pressed together by the hand in cutting; -- so called because used to cut off the wool of sheep. -- Sheep sorrel. (Bot.), a prerennial herb (Rumex Acetosella) growing naturally on poor, dry, gravelly soil. Its leaves have a pleasant acid taste like sorrel. -- Sheep's-wool (Zoöl.), the highest grade of Florida commercial sponges (Spongia equina, variety gossypina). -- Sheep tick (Zoöl.), a wingless parasitic insect (Melophagus ovinus) belonging to the Diptera. It fixes its proboscis in the skin of the sheep and sucks the blood, leaving a swelling. Called also sheep pest, and sheep louse. -- Sheep walk, a pasture for sheep; a sheep run. -- Wild sheep. (Zoöl.) See Argali, Mouflon, and Oörial.
sheep-faced |Over-bashful; sheepish.
sheep-headed |Silly; simple-minded; stupid. Taylor (1630)
sheep-shearer |One who shears, or cuts off the wool from, sheep.
sheep-shearing |1. Act of shearing sheep. 2. A feast at the time of sheep-shearing. Shak.
sheepback |A rounded knoll of rock resembling the back of a sheep. -- produced by glacial action. Called also roche moutonnée; -- usually in the plural.
sheepberry |The edible fruit of a small North American tree of the genus Viburnum (V. Lentago), having white flowers in flat cymes; also, the tree itself. Called also nannyberry.
sheepbite |To bite or nibble like a sheep; hence, to practice petty thefts. [Obs.] Shak.
sheepbiter |One who practices petty thefts. [Obs.] Shak. There are political sheepbiters as well as pastoral; betrayers of public trusts as well as of private. L'Estrange.
sheepcot |A small inclosure for sheep; a pen; a fold.
sheepcote |A small inclosure for sheep; a pen; a fold.
sheepfold |A fold or pen for sheep; a place where sheep are collected or confined.
sheephook |A hook fastened to pole, by which shepherds lay hold on the legs or necks of their sheep; a shepherd's crook. Dryden.
sheepish |1. Of or pertaining to sheep. [Obs.] 2. Like a sheep; bashful; over-modest; meanly or foolishly diffident; timorous to excess. Wanting change of company, he will, when he comes abroad, be a sheepish or conceited creature. Locke. -- Sheep\"ish*ly, adv. -- Sheep\"ish*ness, n.
sheepmaster |A keeper or feeder of sheep; also, an owner of sheep. 2 Kings iii. 4.
sheeprack |The starling. SHEEP'S-EYE Sheep's\"-eye`, n.  A modest, diffident look; a loving glance; -- commonly in the plural. I saw her just now give him the languishing eye, as they call it; . . . of old called the sheep's-eye. Wycherley. SHEEP'S-FOOT Sheep's-foot`, n.  A printer's tool consisting of a metal bar formed into a hammer head at one end and a claw at the other, -- used as a lever and hammer.
sheepshank |A hitch by which a rope may be temporarily shortened.
sheepshead |A large and valuable sparoid food fish (Archosargus, or Diplodus, probatocephalus) found on the Atlantic coast of the United States. It often weighs from ten to twelve pounds. Note: The name is also locally, in a loose way, applied to various other fishes, as the butterfish, the fresh-water drumfish, the parrot fish, the porgy, and the moonfish.
sheepskin |1. The skin of a sheep; or, leather prepared from it. 2. A diploma; -- so called because usually written or printed on parchment prepared from the skin of the sheep. [College Cant]
sheepsplit |A split of a sheepskin; one of the thin sections made by splitting a sheepskin with a cutting knife or machine.
sheepy |Resembling sheep; sheepish. Testament of Love.
sheer |1. Bright; clear; pure; unmixed. \"Sheer ale.\" Shak. Thou sheer, immaculate, and silver fountain. Shak. 2. Very thin or transparent; -- applied to fabrics; as, sheer muslin. 3. Being only what it seems to be; obvious; simple; mere; downright; as, sheer folly; sheer nonsense. \"A sheer impossibility.\" De Quincey. It is not a sheer advantage to have several strings to one's bow. M. Arnold. 4. Stright up and down; vertical; prpendicular. A sheer precipice of a thousand feet. J. D. Hooker. It was at least Nine roods of sheer ascent. Wordsworth.\n\nClean; quite; at once. [Obs.] Milton.\n\nTo shear. [Obs.] Dryden.\n\nTo decline or deviate from the line of the proper course; to turn aside; to swerve; as, a ship sheers from her course; a horse sheers at a bicycle. To sheer off, to turn or move aside to a distance; to move away. -- To sheer up, to approach obliquely.\n\n1. (Naut.) (a) The longitudinal upward curvature of the deck, gunwale, and lines of a vessel, as when viewed from the side. (b) The position of a vessel riding at single anchor and swinging clear of it. 2. A turn or change in a course. Give the canoe a sheer and get nearer to the shore. Cooper. 3. pl.  Shears See Shear. Sheer batten (Shipbuilding), a long strip of wood to guide the carpenters in following the sheer plan. -- Sheer boom, a boom slanting across a stream to direct floating logs to one side. -- Sheer hulk. See Shear hulk, under Hulk. -- Sheer plan, or Sheer draught (Shipbuilding), a projection of the lines of a vessel on a vertical longitudinal plane passing through the middle line of the vessel. -- Sheer pole (Naut.), an iron rod lashed to the shrouds just above the dead-eyes and parallel to the ratlines. -- Sheer strake (Shipbuilding), the strake under the gunwale on the top side. Totten. -- To break sheer (Naut.), to deviate from sheer, and risk fouling the anchor.
sheerly |At once; absolutely. [Obs.]
sheerwater |The shearwater.
sheet |In general, a large, broad piece of anything thin, as paper, cloth, etc.; a broad, thin portion of any substance; an expanded superficies. Specifically: (a) A broad piece of cloth, usually linen or cotton, used for wrapping the body or for a covering; especially, one used as an article of bedding next to the body. He fell into a trance, and saw heaven opened, and a certain vessel descending unto him, as it had been a great sheet knit at the four corners. Acts x. 10, 11. If I do die before thee, prithee, shroud me In one of those same sheets. Shak. (b) A broad piece of paper, whether folded or unfolded, whether blank or written or printed upon; hence, a letter; a newspaper, etc. (c) A single signature of a book or a pamphlet; in pl., the book itself. To this the following sheets are intended for a full and distinct answer. Waterland. (d) A broad, thinly expanded portion of metal or other substance; as, a sheet of copper, of glass, or the like; a plate; a leaf. (e) A broad expanse of water, or the like. \"The two beautiful sheets of water.\" Macaulay. (f) A sail. Dryden. (g) (Geol.) An extensive bed of an eruptive rock intruded between, or overlying, other strata. 2. Etym: [AS. sceáta. See the Etymology above.] (Naut.) (a) A rope or chain which regulates the angle of adjustment of a sail in relation in relation to the wind; -- usually attached to the lower corner of a sail, or to a yard or a boom. (b) pl.  The space in the forward or the after part of a boat where there are no rowers; as, fore sheets; stern sheets. Note: Sheet is often used adjectively, or in combination, to denote that the substance to the name of which it is prefixed is in the form of sheets, or thin plates or leaves; as, sheet brass, or sheet-brass; sheet glass, or sheet-glass; sheet gold, or sheet-gold; sheet iron, or sheet-iron, etc. A sheet in the wind, half drunk. [Sailors' Slang] -- Both sheets in the wind, very drunk. [Sailors' Slang] -- In sheets, lying flat or expanded; not folded, or folded but not bound; -- said especially of printed sheets. -- Sheet bend (Naut.), a bend or hitch used for temporarily fastening a rope to the bight of another rope or to an eye. -- Sheet lightning, Sheet piling, etc. See under Lightning, Piling, etc.\n\n1. To furnish with a sheet or sheets; to wrap in, or cover with, a sheet, or as with a sheet. \"The sheeted dead.\" \"When snow the pasture sheets.\" Shak. 2. To expand, as a sheet. The star shot flew from the welkin blue, As it fell from the sheeted sky. J. R. Drake. To sheet home (Naut.), to haul upon a sheet until the sail is as flat, and the clew as near the wind, as possible.
sheet anchor |1. (Naut.)  A large anchor stowed on shores outside the waist of a vessel; -- called also waist anchor. See the Note under Anchor. 2. Anything regarded as a sure support or dependence in danger; the best hope or refuge.
sheet cable |The cable belonging to the sheet anchor.
sheet chain |A chain sheet cable.
sheetful |Enough to fill a sheet; as much as a sheet can hold.
sheeting |1. Cotton or linen cloth suitable for bed sheets. It is sometimes made of double width. 2. (Hydraul. Engin.)  A lining of planks or boards (rarely of metal) for protecting an embankment. 3. The act or process of forming into sheets, or flat pieces; also, material made into sheets.
sheik |The head of an Arab family, or of a clan or a tribe; also, the chief magistrate of an Arab village. The name is also applied to Mohammedan ecclesiastics of a high grade. [Written also scheik, shaik, sheikh.]
sheil |See Sheeling.
sheiling |See Sheeling.
sheitan |1. Among Mohammedans: (a) An evil spirit; the evil one; the devil. (b) One of bad disposition; a fiend. [Colloq.] 2.  (Meteor.) A dust storm. [India]
shekel |1. An ancient weight and coin used by the Jews and by other nations of the same stock. Note: A common estimate makes the shekel equal in weight to about 130 grains for gold, 224 grains for silver, and 450 grains for copper, and the approximate values of the coins are (gold) $5.00, (silver) 60 cents, and (copper half shekel), one and one half cents. 2. pl.  A jocose term for money.
shekinah |The visible majesty of the Divine Presence, especially when resting or dwelling between the cherubim on the mercy seat, in the Tabernacle, or in the Temple of Solomon; -- a term used in the Targums and by the later Jews, and adopted by Christians. [Written also Shechinah.] Dr. W. Smith (Bib. Dict.)
sheld |Variegated; spotted; speckled; piebald. [Prov. Eng.]
sheldafle |A chaffinch. [Written also sheldapple, and shellapple.]
sheldaple |A chaffinch. [Written also sheldapple, and shellapple.]
sheldfowl |The common sheldrake. [Prov. Eng.]
sheldrake |1. (Zoöl.)  Any one of several species of large Old World ducks of the genus Tadorna and allied genera, especially the European and Asiatic species. (T. cornuta, or tadorna), which somewhat resembles a goose in form and habit, but breeds in burrows. Note: It has the head and neck greenish black, the breast, sides, and forward part of the back brown, the shoulders and middle of belly black, the speculum green, and the bill and frontal bright red. Called also shelduck, shellduck, sheldfowl, skeelduck, bergander, burrow duck, and links goose. Note: The Australian sheldrake (Tadorna radja) has the head, neck, breast, flanks, and wing coverts white, the upper part of the back and a band on the breast deep chestnut, and the back and tail black. The chestnut sheldrake of Australia (Casarca tadornoides) is varied with black and chestnut, and has a dark green head and neck. The ruddy sheldrake, or Braminy duck (C. rutila), and the white-winged sheldrake (C. leucoptera), are related Asiatic species. 2. Any one of the American mergansers. Note: The name is also loosely applied to other ducks, as the canvasback, and the shoveler.
shelduck |The sheldrake. [Written also shellduck.]
shelf |1. (Arch.)  A flat tablet or ledge of any material set horizontally at a distance from the floor, to hold objects of use or ornament. 2. A sand bank in the sea, or a rock, or ledge of rocks, rendering the water shallow, and dangerous to ships. On the tawny sands and shelves. Milton. On the secret shelves with fury cast. Dryden. 3. (Mining)  A stratum lying in a very even manner; a flat, projecting layer of rock. 4. (Naut.)  A piece of timber running the whole length of a vessel inside the timberheads. D. Kemp. To lay on the shelf, to lay aside as unnecessary or useless; to dismiss; to discard.
shelfy |1. Abounding in shelves; full of dangerous shallows. \"A shelfy coast.\" Dryden. 2. Full of strata of rock. [Obs.] The tillable fields are in some places . . . so shelfy that the corn hath much ado to fasten its root. Carew.
