wastorel |See Wastrel. [Obs.]
wedge |1. A piece of metal, or other hard material, thick at one end, and tapering to a thin edge at the other, used in splitting wood, rocks, etc., in raising heavy bodies, and the like. It is one of the six elementary machines called the mechanical powers. See Illust. of Mechanical powers, under Mechanical. 2. (Geom.)  A solid of five sides, having a rectangular base, two rectangular or trapezoidal sides meeting in an edge, and two triangular ends. 3. A mass of metal, especially when of a wedgelike form. \"Wedges of gold.\" Shak. 4. Anything in the form of a wedge, as a body of troops drawn up in such a form. In warlike muster they appear, In rhombs, and wedges, and half-moons, and wings. Milton. 5. The person whose name stands lowest on the list of the classical tripos; -- so called after a person (Wedgewood) who occupied this position on the first list of 1828. [Cant, Cambridge Univ., Eng.] C. A. Bristed. Fox wedge. (Mach. & Carpentry) See under Fox. -- Spherical wedge (Geom.), the portion of a sphere included between two planes which intersect in a diameter.\n\n1. To cleave or separate with a wedge or wedges, or as with a wedge; to rive. \"My heart, as wedged with a sigh, would rive in twain.\" Shak. 2. To force or drive as a wedge is driven. Among the crowd in the abbey where a finger Could not be wedged in more. Shak. He 's just the sort of man to wedge himself into a snug berth. Mrs. J. H. Ewing. 3. To force by crowding and pushing as a wedge does; as, to wedge one's way. Milton. 4. To press closely; to fix, or make fast, in the manner of a wedge that is driven into something. Wedged in the rocky shoals, and sticking fast. Dryden. 5. To fasten with a wedge, or with wedges; as, to wedge a scythe on the snath; to wedge a rail or a piece of timber in its place. 6. (Pottery)  To cut, as clay, into wedgelike masses, and work by dashing together, in order to expel air bubbles, etc. Tomlinson.
wedge gage |A wedge with a graduated edge, to measure the width of a space into which it is thrust.
wedge gauge |A wedge with a graduated edge, to measure the width of a space into which it is thrust.
wedge gear |A friction gear wheel with wedge-shaped circumferential grooves. -- Wedge gearing.
wedge-formed |Having the form of a wedge; cuneiform. Wedge-formed characters. See Arrow-headed characters, under Arrowheaded.
wedge-shaped |1. Having the shape of a wedge; cuneiform. 2. (Bot.)  Broad and truncate at the summit, and tapering down to the base; as, a wedge-shaped leaf.
wedge-shell |Any one of numerous species of small marine bivalves belonging to Donax and allied genera in which the shell is wedge-shaped.
wedge-tailed |Having a tail which has the middle pair of feathers longest, the rest successively and decidedly shorter, and all more or less attenuate; -- said of certain birds. See Illust. of Wood hoopoe, under Wood. Wedge-tailed eagle, an Australian eagle (Aquila audax) which feeds on various small species of kangaroos, and on lambs; -- called also mountain eagle, bold eagle, and eagle hawk. -- Wedge-tailed gull, an arctic gull (Rhodostethia rosea) in which the plumage is tinged with rose; -- called also Ross's gull.
wedgebill |An Australian crested insessorial bird (Sphenostoma cristatum) having a wedge-shaped bill. Its color is dull brown, like the earth of the plains where it lives.
wedgewise |In the manner of a wedge.
wedgwood ware |A kind of fine pottery, the most remarkable being what is called jasper, either white, or colored throughout the body, and capable of being molded into the most delicate forms, so that fine and minute bas-reliefs like cameos were made of it, fit even for being set as jewels.
wedgy |Like a wedge; wedge-shaped.
wedlock |1. The ceremony, or the state, of marriage; matrimony. \"That blissful yoke . . . that men clepeth [call] spousal, or wedlock.\" Chaucer. For what is wedlock forced but a hell, An age of discord or continual strife Shak. 2. A wife; a married woman. [Obs.] B. Jonson. Syn. -- See Marriage.\n\nTo marry; to unite in marriage; to wed. [R.] \"Man thus wedlocked.\" Milton.
wednesday |The fourth day of the week; the next day after Tuesday. Ash Wednesday. See in the Vocabulary.
wee |A little; a bit, as of space, time, or distance. [Obs. or Scot.]\n\nVery small; little. [Colloq. & Scot.] A little wee face, with a little yellow beard. Shak.
weech-elm |The wych-elm. [Obs.] Bacon.
weed |1. A garment; clothing; especially, an upper or outer garment. \"Lowweeds.\" Spenser. \"Woman's weeds.\" Shak. \"This beggar woman's weed.\" Tennyson. He on his bed sat, the soft weeds he wore Put off. Chapman. 2. An article of dress worn in token of grief; a mourning garment or badge; as, he wore a weed on his hat; especially, in the plural, mourning garb, as of a woman; as, a widow's weeds. In a mourning weed, with ashes upon her head, and tears abundantly flowing. Milton.\n\nA sudden illness or relapse, often attended with fever, which attacks women in childbed. [Scot.]\n\n1. Underbrush; low shrubs. [Obs. or Archaic] One rushing forth out of the thickest weed. Spenser. A wild and wanton pard . . . Crouched fawning in the weed. Tennyson. 2. Any plant growing in cultivated ground to the injury of the crop or desired vegetation, or to the disfigurement of the place; an unsightly, useless, or injurious plant. Too much manuring filled that field with weeds. Denham. Note: The word has no definite application to any particular plant, or species of plants. Whatever plants grow among corn or grass, in hedges, or elsewhere, and are useless to man, injurious to crops, or unsightly or out of place, are denominated weeds. 3. Fig.: Something unprofitable or troublesome; anything useless. 4. (Stock Breeding)  An animal unfit to breed from. 5. Tobacco, or a cigar. [Slang] Weed hook, a hook used for cutting away or extirpating weeds. Tusser.\n\n1. To free from noxious plants; to clear of weeds; as, to weed corn or onions; to weed a garden. 2. To take away, as noxious plants; to remove, as something hurtful; to extirpate. \"Weed up thyme.\" Shak. Wise fathers . . . weeding from their children ill things. Ascham. Revenge is a kind of wild justice, which the more man's nature runs to, the more ought law to weed it out. Bacon. 3. To free from anything hurtful or offensive. He weeded the kingdom of such as were devoted to Elaiana. Howell. 4. (Stock Breeding)  To reject as unfit for breeding purposes.
weeder |One who, or that which, weeds, or frees from anything noxious.
weedery |Weeds, collectively; also, a place full of weeds or for growing weeds. [R.] Dr. H. More.
weeding |a. & n. from Weed, v. Weeding chisel, a tool with a divided chisel-like end, for cutting the roots of large weeds under ground. -- Weeding forceps, an instrument for taking up some sorts of plants in weeding. -- Weeding fork, a strong, three-pronged fork, used in clearing ground of weeds; -- called also weeding iron. -- Weeding hook. Same as Weed hook, under 3d Weed. -- Weeding iron. See Weeding fork, above. -- Weeding tongs. Same as Weeding forceps, above.
weeding-rhim |A kind of implement used for tearing up weeds esp. on summer fallows. [Prov. Eng.]
weedless |Free from weeds or noxious matter.
weedy |1. Of or pertaining to weeds; consisting of weeds. \"Weedy trophies.\" Shak. 2. Abounding with weeds; as, weedy grounds; a weedy garden; weedy corn. See from the weedy earth a rivulet break. Bryant. 3. Scraggy; ill-shaped; ungainly; -- said of colts or horses, and also of persons. [Colloq.]\n\nDressed in weeds, or mourning garments. [R. or Colloq.] She was as weedy as in the early days of her mourning. Dickens.
week |A period of seven days, usually that reckoned from one Sabbath or Sunday to the next. I fast twice in the week. Luke xviii. 12. Note: Although it [the week] did not enter into the calendar of the Greeks, and was not introduced at Rome till after the reign of Theodesius, it has been employed from time immemorial in almost all Eastern countries. Encyc. Brit. Feast of Weeks. See Pentecost, 1. -- Prophetic week, a week of years, or seven years. Dan. ix. 24. -- Week day. See under Day.
week-end |The end of the week; specif., though loosely, the period observed commonly as a holiday, from Saturday noon or Friday night to Monday; as, to visit one for a week-end; also, a house party during a week-end.
weekly |1. Of or pertaining to a week, or week days; as, weekly labor. 2. Coming, happening, or done once a week; hebdomadary; as, a weekly payment; a weekly gazette.\n\nA publication issued once in seven days, or appearing once a week.\n\nOnce a week; by hebdomadal periods; as, each performs service weekly.
weekwam |See Wigwam. [R.]
weel |Well. [Obs. or Scot.]\n\nA whirlpool. [Obs.]\n\nA kind of trap or snare for fish, made of twigs. [Obs.] Carew.
weely |A kind of trap or snare for fish, made of twigs. [Obs.] Carew.
ween |To think; to imagine; to fancy. [Obs. or Poetic] Spenser. Milton. I have lost more than thou wenest. Chaucer. For well I ween, Never before in the bowers of light Had the form of an earthly fay been seen. J. R. Drake. Though never a dream the roses sent Of science or love's compliment, I ween they smelt as sweet. Mrs. Browning.
weep |The lapwing; the wipe; -- so called from its cry.\n\nimp. of Weep, for wept. Chaucer.\n\n1. Formerly, to express sorrow, grief, or anguish, by outcry, or by other manifest signs; in modern use, to show grief or other passions by shedding tears; to shed tears; to cry. And they all wept sore, and fell on Paul's neck. Acts xx. 37. Phocion was rarely seen to weep or to laugh. Mitford. And eyes that wake to weep. Mrs. Hemans. And they wept together in silence. Longfellow. 2. To lament; to complain. \"They weep unto me, saying, Give us flesh, that we may eat.\" Num. xi. 13. 3. To flow in drops; to run in drops. The blood weeps from my heart. Shak. 4. To drop water, or the like; to drip; to be soaked. 5. To hang the branches, as if in sorrow; to be pendent; to droop; -- said of a plant or its branches.\n\n1. To lament; to bewail; to bemoan. \"I weep bitterly the dead.\" A. S. Hardy. We wandering go Through dreary wastes, and weep each other's woe. Pope. 2. To shed, or pour forth, as tears; to shed drop by drop, as if tears; as, to weep tears of joy. Tears, such as angels weep, burst forth. Milton. Groves whose rich trees wept odorous gums and balm. Milton.
weeper |1. One who weeps; esp., one who sheds tears. 2. A white band or border worn on the sleeve as a badge of mourning. Goldsmith. 3. (Zoöl.)  The capuchin. See Capuchin, 3 (a).
weepful |Full of weeping or lamentation; grieving. [Obs.] Wyclif.
weeping |The act of one who weeps; lamentation with tears; shedding of tears.\n\n1. Grieving; lamenting; shedding tears. \"Weeping eyes.\" I. Watts. 2. Discharging water, or other liquid, in drops or very slowly; surcharged with water. \"Weeping grounds.\" Mortimer. 3. Having slender, pendent branches; -- said of trees; as, weeping willow; a weeping ash. 4. Pertaining to lamentation, or those who weep. Weeping cross, a cross erected on or by the highway, especially for the devotions of penitents; hence, to return by the weeping cross, to return from some undertaking in humiliation or penitence. -- Weeping rock, a porous rock from which water gradually issues. -- Weeping sinew, a ganglion. See Ganglion, n., 2. [Colloq.] -- Weeping spring, a spring that discharges water slowly. -- Weeping willow (Bot.), a species of willow (Salix Babylonica) whose branches grow very long and slender, and hang down almost perpendicularly.
weeping tree |(a) Any tree having pendulous branches. (b) A tree from which honeydew or other liquid secretions of insects drip in considerable quantities, esp. one infested by the larvæ of any species of the genus Ptylus, allied to the cuckoo spits, which in tropical countries secrete large quantities of a watery fluid.
weeping-ripe |Ripe for weeping; ready to weep. [Obs.] Shak.
weepingly |In a weeping manner.
weerish |See Wearish. [Obs.]
weesel |See Weasel.
weet |Wet. [Obs.] Chaucer.\n\nTo know; to wit. [Obs.] Tyndale. Spenser.
weet-bird |The wryneck; -- so called from its cry. [Prov. Eng.]
weet-weet |(a) The common European sandpiper. (b) The chaffinch. [Prov. Eng.]
weetingly |Knowingly. [Obs.] Spenser.
weetless |Unknowing; also, unknown; unmeaning. [Obs.] Spenser.
weetweet |A throwing toy, or implement, of the Australian aborigines, consisting of a cigar-shaped stick fastened at one end to a flexible twig. It weighs in all about two ounces, and is about two feet long.
weever |Any one of several species of edible marine fishes belonging to the genus Trachinus, of the family Trachinidæ. They have a broad spinose head, with the eyes looking upward. The long dorsal fin is supported by numerous strong, sharp spines which cause painful wounds. Note: The two British species are the great, or greater, weever (Trachinus draco), which becomes a foot long (called also gowdie, sea cat, stingbull, and weaverfish), and the lesser weever (T. vipera), about half as large (called also otter pike, and stingfish).
weevil |Any one of numerous species of snout beetles, or Rhynchophora, in which the head is elongated and usually curved downward. Many of the species are very injurious to cultivated plants. The larvæ of some of the species live in nuts, fruit, and grain by eating out the interior, as the plum weevil, or curculio, the nut weevils, and the grain weevil (see under Plum, Nut, and Grain). The larvæ of other species bore under the bark and into the pith of trees and various other plants, as the pine weevils (see under Pine). See also Pea weevil, Rice weevil, Seed weevil, under Pea, Rice, and Seed.
weeviled |Infested by weevils; as, weeviled grain. [Written also weevilled.]
weevily |Having weevils; weeviled. [Written also weevilly.]
weezel |See Weasel.
weft |imp. & p. p. of Wave.\n\nA thing waved, waived, or cast away; a waif. [Obs.] \"A forlorn weft.\" Spenser.\n\n1. The woof of cloth; the threads that cross the warp from selvage to selvage; the thread carried by the shuttle in weaving. 2. A web; a thing woven.
weftage |Texture. [Obs.] Grew.
wegotism |Excessive use of the pronoun we; -- called also weism. [Colloq. or Cant]
wehrgeld |See Weregild.
wehrgelt |See Weregild.
wehrwolf |See Werewolf.
weigela |A hardy garden shrub (Diervilla Japonica) belonging to the Honeysuckle family, with withe or red flowers. It was introduced from China.
weigelia |A hardy garden shrub (Diervilla Japonica) belonging to the Honeysuckle family, with withe or red flowers. It was introduced from China.
