supremely |In a supreme manner.
swerve |1. To stray; to wander; to rope. [Obs.] A maid thitherward did run, To catch her sparrow which from her did swerve. Sir P. Sidney. 2. To go out of a straight line; to deflect. \"The point [of the sword] swerved.\" Sir P. Sidney. 3. To wander from any line prescribed, or from a rule or duty; to depart from what is established by law, duty, custom, or the like; to deviate. I swerve not from thy commandments. Bk. of Com. Prayer. They swerve from the strict letter of the law. Clarendon. Many who, through the contagion of evil example, swerve exceedingly from the rules of their holy religion. Atterbury. 4. To bend; to incline. \"The battle swerved.\" Milton. 5. To climb or move upward by winding or turning. The tree was high; Yet nimbly up from bough to bough I swerved. Dryden.\n\nTo turn aside. Gauden.
sweven |A vision seen in sleep; a dream. [Obs.] Wycliff (Acts ii. 17). I defy both sweven and dream. Chaucer.
swich |Such. [Obs.] Swich things as that I know I will declare. Chaucer.
swietenia |A genus of meliaceous trees consisting of one species (Sweitenia Mahogoni), the mahogany tree.
swift |1. Moving a great distance in a short time; moving with celerity or velocity; fleet; rapid; quick; speedy; prompt. My beloved brethren, let every man be swift to hear, slow to speak, slow to wrath. James i. 19. Swift of dispatch and easy of access. Dryden. And bring upon themselves swift destruction. 2 Pet. ii. 1. 2. Of short continuance; passing away quickly. Shak. Note: Swift is often used in the formation of compounds which are generally self-explaining; as, swift-darting, swift-footed, swift- winged, etc. Syn. -- Quick; fleet; speedy; rapid; expeditious.\n\nSwiftly. [Obs. or Poetic] Shak. Ply swift and strong the oar. Southey.\n\n1. The current of a stream. [R.] Walton. 2. (Zoöl.)  Any one of numerous species of small, long-winged, insectivorous birds of the family Micropodidæ. In form and habits the swifts resemble swallows, but they are destitute of complex vocal muscles and are not singing birds, but belong to a widely different group allied to the humming birds. Note: The common European swift (Cypselus, or Micropus, apus) nests in church steeples and under the tiles of roofs, and is noted for its rapid flight and shrill screams. It is called also black martin, black swift, hawk swallow, devil bird, swingdevil, screech martin, and shreik owl. The common American, or chimney, swift (Chætura pelagica) has sharp rigid tips to the tail feathers. It attaches its nest to the inner walls of chimneys, and is called also chimney swallow. The Australian swift (Chætura caudacuta) also has sharp naked tips to the tail quills. The European Alpine swift (Cypselus melba) is whitish beneath, with a white band across the breast. The common Indian swift is Cypselus affinis. See also Palm swift, under Palm, and Tree swift, under Tree. 3. (Zoöl.)  Any one of several species of lizards, as the pine lizard. 4. (Zoöl.)  The ghost moth. See under Ghost. 5. Etym: [Cf. Swivel.]  A reel, or turning instrument, for winding yarn, thread, etc.; -- used chiefly in the plural. 6. The main card cylinder of a flax-carding machine.
swifter |(a) A rope used to retain the bars of the capstan in their sockets while men are turning it. (b) A rope used to encircle a boat longitudinally, to strengthen and defend her sides. (c) The forward shroud of a lower mast.\n\nTo tighten, as slack standing rigging, by bringing the opposite shrouds nearer.
swiftfoot |Nimble; fleet. Mir. for Mag.\n\nThe courser.
swiftlet |Any one of numerous species of small East Indian and Asiatic swifts of the genus Collocalia. Some of the species are noted for furnishing the edible bird's nest. See Illust. under Edible.
swiftly |In a swift manner; with quick motion or velocity; fleetly. Wyclif.
swiftness |The quality or state of being swift; speed; quickness; celerity; velocity; rapidity; as, the swiftness of a bird; the swiftness of a stream; swiftness of descent in a falling body; swiftness of thought, etc.
swig |1. To drink in long draughts; to gulp; as, to swig cider. [Colloq.] 2. To suck. [Obs. or Archaic] The lambkins swig the teat. Creech.\n\n1. A long draught. [Colloq.] Marryat. 2. (Naut.)  A tackle with ropes which are not parallel. 3. A beverage consisting of warm beer flavored with spices, lemon, etc. [Prov. Eng.]\n\n1. To castrate, as a ram, by binding the testicles tightly with a string, so that they mortify and slough off. [Prov. Eng.] 2. (Naut.)  To pull upon (a tackle) by throwing the weight of the body upon the fall between the block and a cleat.
swill |1. To wash; to drench. [Obs.] As fearfully as doth a galled rock O'erhang and jutty his confounded base, Swilled with the wild and wasteful ocean. Shak. 2. Etym: [Properly, to drink like a pig. See Swill, n.]  To drink in great draughts; to swallow greedily. Well-dressed people, of both sexes, . . . devouring sliced beef, and swilling pork, and punch, and cider. Smollett. 3. To inebriate; to fill with drink. I should be loth To meet the rudeness and swilled insolence Of such late wassailers. Milton.\n\nTo drink greedily or swinishly; to drink to excess. South.\n\n1. The wash, or mixture of liquid substances, given to swine; hogwash; -- called also swillings. 2. Large draughts of liquor; drink taken in excessive quantities.
swiller |One who swills.
swillings |See Swill, n., 1.
swim |1. To be supported by water or other fluid; not to sink; to float; as, any substance will swim, whose specific gravity is less than that of the fluid in which it is immersed. 2. To move progressively in water by means of strokes with the hands and feet, or the fins or the tail. Leap in with me into this angry flood, And swim to yonder point. Shak. 3. To be overflowed or drenched. Ps. vi. 6. Sudden the ditches swell, the meadows swim. Thomson. 4. Fig.: To be as if borne or floating in a fluid. [They] now swim in joy. Milton. 5. To be filled with swimming animals. [Obs.] [Streams] that swim full of small fishes. Chaucer.\n\n1. To pass or move over or on by swimming; as, to swim a stream. Sometimes he thought to swim the stormy main. Dryden. 2. To cause or compel to swim; to make to float; as, to swim a horse across a river. 3. To immerse in water that the lighter parts may float; as, to swim wheat in order to select seed.\n\n1. The act of swimming; a gliding motion, like that of one swimming. B. Jonson. 2. The sound, or air bladder, of a fish. 3. A part of a stream much frequented by fish. [Eng.] Swim bladder, an air bladder of a fish. -- To be in the swim, to be in a favored position; to be associated with others in active affairs. [Colloq.]\n\nTo be dizzy; to have an unsteady or reeling sensation; as, the head swims.
swimbel |A moaning or sighing sound or noise; a sough. [Obs.] Chaucer.
swimmer |1. One who swims. 2. (Far.)  A protuberance on the leg of a horse. 3. (Zoöl.)  A swimming bird; one of the natatores. Little swimmer (Zoöl.), a phalarope.
swimmeret |One of a series of flat, fringed, and usually bilobed, appendages, of which several pairs occur on the abdominal somites of many crustaceans. They are used as fins in swimming.
swimming |1. That swims; capable of swimming; adapted to, or used in, swimming; as, a swimming bird; a swimming motion. 2. Suffused with moisture; as, swimming eyes. Swimming bell (Zoöl.), a nectocalyx. See Illust. under Siphonophora. -- Swimming crab (Zoöl.), any one of numerous species of marine crabs, as those of the family Protunidæ, which have some of the joints of one or more pairs of legs flattened so as to serve as fins.\n\nThe act of one who swims.\n\nBeing in a state of vertigo or dizziness; as, a swimming brain.\n\nVertigo; dizziness; as, a swimming in the head. Dryden.
swimmingly |In an easy, gliding manner, as if swimming; smoothly; successfully; prosperously.
swimmingness |Act or state of swimming; suffusion. \"A swimmingness in the eye.\" Congreve.
swinck |See Swink.
swindle |To cheat defraud grossly, or with deliberate artifice; as, to swindle a man out of his property. Lammote . . . has swindled one of them out of three hundred livres. Carlyle.\n\nThe act or process of swindling; a cheat.
swindler |One who swindles, or defrauds grossly; one who makes a practice of defrauding others by imposition or deliberate artifice; a cheat. Syn. -- Sharper; rogue. -- Swindler, Sharper. These words agree in describing persons who take unfair advantages. A swindler is one who obtains money or goods under false pretenses. A sharper is one who cheats by sharp practice, as in playing at cards or staking what he can not pay. Fraud and injustice soon follow, and the dignity of the British merchant is sunk in the scandalous appellation of a swindler. V. Knox. Perhaps you 'll think I act the same As a sly sharper plays his game. Cotton.
swindlery |Swindling; rougery. [R.] \"Swindlery and blackguardism.\" Carlyle.
swine |Any animal of the hog kind, especially one of the domestical species. Swine secrete a large amount of subcutaneous fat, which, when extracted, is known as lard. The male is specifically called boar, the female, sow, and the young, pig. See Hog. \"A great herd of swine.\" Mark v. 11. Swine grass (Bot.), knotgrass (Polygonum aviculare); -- so called because eaten by swine. -- Swine oat (Bot.), a kind of oat sometimes grown for swine. -- Swine's cress (Bot.), a species of cress of the genus Senebiera (S. Coronopus). -- Swine's head, a dolt; a blockhead. [Obs.] Chaucer. -- Swine thistle (Bot.), the sow thistle.
swine-pox |A variety of the chicken pox, with acuminated vesicles containing a watery fluid; the water pox. Pepys.
swinebread |The truffle.
swinecase |A hogsty. [Prov. Eng.]
swinecote |A hogsty. [Prov. Eng.]
swinecrue |A hogsty. [Prov. Eng.]
swinefish |The wolf fish.
swineherd |A keeper of swine.
swinepipe |The European redwing. [Prov. Eng.]
swinery |Same as Piggery. [R.]
swinestone |See Stinkstone.
swinesty |A sty, or pen, for swine.
swing |1. To move to and fro, as a body suspended in the air; to wave; to vibrate; to oscillate. I tried if a pendulum would swing faster, or continue swinging longer, in case of exsuction of the air. Boyle. 2. To sway or move from one side or direction to another; as, the door swung open. 3. To use a swing; as, a boy swings for exercise or pleasure. See Swing, n., 3. 4. (Naut.)  To turn round by action of wind or tide when at anchor; as, a ship swings with the tide. 5. To be hanged. [Colloq.] D. Webster. To swing round the circle, to make a complete circuit. [Colloq.] He had swung round the circle of theories and systems in which his age abounded, without finding relief. A. V. G. Allen.\n\n1. To cause to swing or vibrate; to cause to move backward and forward, or from one side to the other. He swings his tail, and swiftly turns his round. Dryden. They get on ropes, as you must have seen the children, and are swung by their men visitants. Spectator. 2. To give a circular movement to; to whirl; to brandish; as, to swing a sword; to swing a club; hence, colloquially, to manage; as, to swing a business. 3. (Mach.)  To admit or turn (anything) for the purpose of shaping it; -- said of a lathe; as, the lathe can swing a pulley of 12 inches diameter. To swing a door, gate, etc. (Carp.), to put it on hinges so that it can swing or turn.\n\n1. The act of swinging; a waving, oscillating, or vibratory motion of a hanging or pivoted object; oscillation; as, the swing of a pendulum. 2. Swaying motion from one side or direction to the other; as, some men walk with a swing. 3. A line, cord, or other thing suspended and hanging loose, upon which anything may swing; especially, an apparatus for recreation by swinging, commonly consisting of a rope, the two ends of which are attached overhead, as to the bough of a tree, a seat being placed in the loop at the bottom; also, any contrivance by which a similar motion is produced for amusement or exercise. 4. Influence of power of a body put in swaying motion. The ram that batters down the wall, For the great swing and rudeness of his poise, They place before his hand that made the engine. Shak. 5. Capacity of a turning lathe, as determined by the diameter of the largest object that can be turned in it. 6. Free course; unrestrained liberty or license; tendency. \"Take thy swing.\" Dryden. To prevent anything which may prove an obstacle to the full swing of his genius. Burke. Full swing. See under Full. -- Swing beam (Railway Mach.), a crosspiece sustaining the car body, and so suspended from the framing of a truck that it may have an independent lateral motion. -- Swing bridge, a form of drawbridge which swings horizontally, as on a vertical pivot. -- Swing plow, or Swing plough. (a) A plow without a fore wheel under the beam. (b) A reversible or sidehill plow. -- Swing wheel. (a) The scape-wheel in a clock, which drives the pendulum. (b) The balance of a watch.
swingdevil |The European swift. [Prov. Eng.]
swinge |See Singe. [Obs.] Spenser.\n\n1. To beat soundly; to whip; to chastise; to punish. I had swinged him soundly. Shak. And swinges his own vices in his son. C. Dryden. 2. To move as a lash; to lash. [Obs.] Swinges the scaly horror of his folded tail. Milton.\n\n1. The sweep of anything in motion; a swinging blow; a swing. [Obs.] Waller. 2. Power; sway; influence. [Obs.]
swingebuckler |A swashbuckler; a bully; a roiserer. [Obs.] Shak.
swingeing |Huge; very large. [Colloq.] Arbuthnot. Byron. -- Swinge\"ing*ly, adv. Dryden.
swingel |The swinging part of a flail which falls on the grain in thrashing; the swiple.
swinger |One who swings or whirls.\n\n1. One who swinges. 2. Anything very large, forcible; or astonishing. [Obs. or Colloq.] Herrick.  A person who engages frequently in lively and fashionable pursuits, such as attending night clubs or discos. 4. A person who engages freely in sexual intercourse.
swingle |1. To dangle; to wave hanging. [Obs.] Johnson. 2. To swing for pleasure. [Obs. or Prov. Eng.]\n\n1. To clean, as flax, by beating it with a swingle, so as to separate the coarse parts and the woody substance from it; to scutch. 2. To beat off the tops of without pulling up the roots; -- said of weeds. [Prov. Eng.] Forby.\n\nA wooden instrument like a large knife, about two feet long, with one thin edge, used for beating and cleaning flax; a scutcher; - - called also swingling knife, swingling staff, and swingling wand.
swinglebar |A swingletree. De Quincey.
swingletail |The thrasher, or fox shark. See Thrasher.
swingletree |A whiffletree, or whippletree. See Singletree.
swingling |from Swingle, v. t. Swingling tow, the coarse part of flax, separated from the finer by swingling and hatcheling.
swingtree |The bar of a carriage to which the traces are fastened; the whiffletree.
swinish |Of or pertaining to swine; befitting swine; like swine; hoggish; gross; beasty; as, a swinish drunkard or sot. \"Swinish gluttony.\" Milton. -- Swin\"ish*ly, adv. -- Swin\"ish*ness, n.
swink |To labor; to toil; to salve. [Obs. or Archaic] Or swink with his hands and labor. Chaucer. For which men swink and sweat incessantly. Spenser. The swinking crowd at every stroke pant \"Ho.\" Sir Samuel Freguson.\n\n1. To cause to toil or drudge; to tire or exhaust with labor. [Obs.] And the swinked hedger at his supper sat. Milton. 2. To acquire by labor. [Obs.] Piers Plowman. To devour all that others swink. Chaucer.\n\nLabor; toil; drudgery. [Obs.] Chaucer. Spenser.
swinker |A laborer. [Obs.] Chaucer.
swinney |See Sweeny.
swipe |1. A swape or sweep. See Sweep. 2. A strong blow given with a sweeping motion, as with a bat or club. Swipes [in cricket] over the blower's head, and over either of the long fields. R. A. Proctor. 3. pl.  Poor, weak beer; small beer. [Slang, Eng.] [Written also swypes.] Craig.\n\n1. To give a swipe to; to strike forcibly with a sweeping motion, as a ball. Loose balls may be swiped almost ad libitum. R. A. Proctor. 2. To pluck; to snatch; to steal. [Slang, U.S.]
swiple |That part of a flail which strikes the grain in thrashing; a swingel. [Written also swipel, and swipple.]
swipper |Nimble; quick. [Obs. or Prov. Eng. & Slang]
swirl |To whirl, or cause to whirl, as in an eddy. \"The river swirled along.\" C. Kingsley.\n\nA whirling motion; an eddy, as of water; a whirl. \"The silent swirl of bats.\" Mrs. Browning.
swish |1. To flourish, so as to make the sound swish. Coleridge. 2. To flog; to lash. [Slang] Thackeray.\n\nTo dash; to swash.\n\n1. A sound of quick movement, as of something whirled through the air. [Colloq.] 2. (Naut.)  Light driven spray. [Eng.]
swiss |A native or inhabitant of Switzerland; a Switzer; the people of Switzerland.\n\nOf or pertaining to Switzerland, or the people of Switzerland.
switch |1. A small, flexible twig or rod. Mauritania, on the fifth medal, leads a horse with something like a thread; in her other hand she holds a switch. Addison. 2. (Railways)  A movable part of a rail; or of opposite rails, for transferring cars from one track to another. 3. A separate mass or trees of hair, or of some substance (at jute) made to resemble hair, worn on the head by women. 4. (Eccl.)  A mechanical device for shifting an electric current to another circuit. Safety switch (Railways), a form of switch contrived to prevent or lessen the danger of derailment of trains. -- Switch back (Railways), an arrangement of tracks whereby elevations otherwise insurmountable are passed. The track ascends by a series of zigzags, the engine running alternately forward and back, until the summit is reached. -- Switch board (Elec.), a collection of switches in one piece of apparatus, so arranged that a number of circuits may be connected or combined in any desired manner. -- Switch grass. (Bot.) See under Grass.\n\n1. To strike with a switch or small flexible rod; to whip. Chapman. 2. To swing or whisk; as, to switch a cane. 3. To trim, as, a hedge. [Prov. Eng.] Halliwell. 4. To turn from one railway track to another; to transfer by a switch; -- generally with off, from, etc.; as, to switch off a train; to switch a car from one track to another. 5. (Eccl.)  To shift to another circuit.\n\nTo walk with a jerk. [Prov. Eng.]
switchel |A beverage of molasses and water, seasoned with vinegar and ginger. [U. S.]
switching |from Switch, v. Switching engine, a locomotive for switching cars from one track to another, and making up trains; -- called also switch engine. [U.S.]
switchman |One who tends a switch on a railway.
switchy |Whisking. [Colloq.] Coombe.
swithe |Instantly; quickly; speedily; rapidly. [Obs.] That thou doest, do thou swithe. Wyclif (John xiii. 27).
switzer |A native or inhabitant of Switzerland; a Swiss.
swive |To copulate with (a woman). [Obs.] Chaucer.
swivel |1. (Mech.)  A piece, as a ring or hook, attached to another piece by a pin, in such a manner as to permit rotation about the pin as an axis. 2. (Mil.)  A small piece of ordnance, turning on a point or swivel; -- called also swivel gun. Wilhelm. Swivel bridge, a kind of drawbridge that turns round on a vertical axis; a swing bridge. -- Swivel hook, a hook connected with the iron strap of a pulley block by a swivel joint, for readily taking the turns out of a tackle. -- Swivel joint, a joint, the two pieces composing which turn round, with respect to each other, on a longitudinal pin or axis, as in a chain, to prevent twisting.\n\nTo swing or turn, as on a pin or pivot.
swivel-eyed |Squint-eyed. [Prov. Eng.]
swizzle |To drink; to swill. Halliwell.\n\nAle and beer mixed; also, drink generally. [Prov. Eng.]
swob |See Swab.
swobber |1. See Swabber. 2. pl.  Four privileged cards, formerly used in betting at the game of whist. [Written also swabber.] Swift.
swollen |p. p. of Swell.\n\nEnlarged by swelling; immoderately increased; as, swollen eyes; swollen streams.
swoln |Contraction of Swollen, p. p. Milton.
swom |imp. of Swim. Shak.
swoon |To sink into a fainting fit, in which there is an apparent suspension of the vital functions and mental powers; to faint; -- often with away. The sucklings swoon in the streets of the city. Lam. ii. 11. The most in years . . . swooned first away for pain. Dryden. He seemed ready to swoon away in the surprise of joy. Tatler.\n\nA fainting fit; syncope.
swooning |from Swoon, v. -- Swoon\"ing*ly, adv.
swoop |1. To fall on at once and seize; to catch while on the wing; as, a hawk swoops a chicken. 2. To seize; to catch up; to take with a sweep. And now at last you came to swoop it all. Dryden. The grazing ox which swoops it [the medicinal herb] in with the common grass. Glanvill.\n\n1. To descend with closed wings from a height upon prey, as a hawk; to swoop. 2. To pass with pomp; to sweep. [Obs.] Drayton.\n\nA falling on and seizing, as the prey of a rapacious bird; the act of swooping. The eagle fell, . . . and carried away a whole litter of cubs at a swoop. L'Estrange.
swoopstake |See Sweepstake. [Obs.]\n\nAltogether; indiscriminately. [R.] Shak.
swop |Same as Swap. Dryden.
sword |1. An offensive weapon, having a long and usually sharp 2. Hence, the emblem of judicial vengeance or punishment, or of authority and power. He [the ruler] beareth not the sword in vain. Rom. xiii. 4. She quits the balance, and resigns the sword. Dryden. 3. Destruction by the sword, or in battle; war; dissension. I came not to send peace, but a sword. Matt. x. 34. 4. The military power of a country. He hath no more authority over the sword than over the law. Milton. 5. (Weaving)  One of the end bars by which the lay of a hand loom is suspended. Sword arm, the right arm. -- Sword bayonet, a bayonet shaped somewhat like a sword, and which can be used as a sword. -- Sword bearer, one who carries his master's sword; an officer in London who carries a sword before the lord mayor when he goes abroad. -- Sword belt, a belt by which a sword is suspended, and borne at the side. -- Sword blade, the blade, or cutting part, of a sword. -- Sword cane, a cane which conceals the blade of a sword or dagger, as in a sheath. -- Sword dance. (a) A dance in which swords are brandished and clashed together by the male dancers. Sir W. Scott. (b) A dance performed over swords laid on the ground, but without touching them. -- Sword fight, fencing; a combat or trial of skill with swords; swordplay. -- Sword grass. (Bot.) See Gladen. -- Sword knot, a ribbon tied to the hilt of a sword. -- Sword law, government by the sword, or by force; violence. Milton. -- Sword lily. (Bot.) See Gladiolus. -- Sword mat (Naut.), a mat closely woven of yarns; -- so called from a wooden implement used in its manufacture. -- Sword shrimp (Zoöl.), a European shrimp (Pasiphæa sivado) having a very thin, compressed body. -- Sword stick, a sword cane. -- To measure swords with one. See under Measure, v. t. -- To put to the sword. See under Put.
sword-shaped |Shaped like a sword; ensiform, as the long, flat leaves of the Iris, cattail, and the like.
swordbill |A humming bird (Docimastes ensiferus) having a very long, slender bill, exceeding the length of the body of the bird.
sworded |Girded with a sword. Milton.
sworder |One who uses, or fights with, a sword; a swordsman; a soldier; a cutthroat. [Obs.] Shak.
swordfish |1. (Zoöl.) (a) A very large oceanic fish (Xiphias gladius), the only representative of the family Xiphiidæ. It is highly valued as a food fish. The bones of the upper jaw are consolidated, and form a long, rigid, swordlike beak; the dorsal fin is high and without distinct spines; the ventral fins are absent. The adult is destitute of teeth. It becomes sixteen feet or more long. (b) The ger pike. (c) The cutlass fish. 2. (Astron.)  A southern constellation. See Dorado, 1. Swordfish sucker (Zoöl.), a remora (Remora brachyptera) which attaches itself to the swordfish.
swordick |The spotted gunnel (Murænoides gunnellus). [Prov. Eng.]
swording |Slashing with a sword. Tennyson.
swordless |Destitute of a sword.
swordman |A swordsman. \"Sinewy swordmen.\" Shak.
swordplay |Fencing; a sword fight.
swordplayer |A fencer; a gladiator; one who exhibits his skill in the use of the sword.
swordsman |1. A soldier; a fighting man. 2. One skilled of a use of the sword; a professor of the science of fencing; a fencer.
swordsmanship |The state of being a swordsman; skill in the use of the sword. Cowper.
swordtail |(a) The limulus. (b) Any hemipterous insect of the genus Uroxiphus, found upon forest trees.
swore |imp. of Swear.
sworn |p. p. of Swear. Sworn brothers, originally, companions in arms who took an oath to share together good and bad fortune; hence, faithful friends. -- Sworn enemies, determined or irreconcilable enemies. -- Sworn friends, close friends.
swough |1. A sound; a groan; a moan; a sough. [Obs.] He sigheth with full many a sorry swough. Chaucer. 2. A swoon. [Obs.] Chaucer.
swound |See Swoon, v. & n. [Prov. Eng. or Archaic] Shak. Dryden. The landlord stirred As one awaking from a swound. Longfellow. 'SWOUNDS 'Swounds, interj. Etym: [Cf. Zounds.]  An exclamation contracted from God's wounds; -- used as an oath. [Obs. or Archaic] Shak.
swown |Swoon. [Obs.] Chaucer.
swum |imp. & p. p. of Swim.
swung |imp. & p. p. of Swing.
swythe |Quickly. See Swithe. [Obs.]
sy |Saw. Chaucer.
syb |See Sib. [Obs. or Scot.]
sybarite |A person devoted to luxury and pleasure; a voluptuary.
sybaritic |Of or pertaining to the Sybarites; resembling the Sybarites; luxurious; wanton; effeminate. \"Sybaritic dinners.\" Bp. Warburton. \"Sybaritical cloistres.\" Bp. Hall.
sybaritical |Of or pertaining to the Sybarites; resembling the Sybarites; luxurious; wanton; effeminate. \"Sybaritic dinners.\" Bp. Warburton. \"Sybaritical cloistres.\" Bp. Hall.
sybaritism |Luxuriousness; effeminacy; wantonness; voluptuousness.
sycamine |See Sycamore.
sycamore |(a) A large tree (Ficus Sycomorus) allied to the common fig. It is found in Egypt and Syria, and is the sycamore, or sycamine, of Scripture. (b) The American plane tree, or buttonwood. (c) A large European species of maple (Acer Pseudo-Platanus). [Written sometimes sycomore.]
syce |A groom. [India]
sycee |Silver, pounded into ingots of the shape of a shoe, and used as currency. The most common weight is about one pound troy. [China] McElrath.
sychnocarpous |Having the capacity of bearing several successive crops of fruit without perishing; as, sychnocarpous plants.
sycite |A nodule of flint, or a pebble, which resembles a fig. [Obs.]
sycoceric |Of, pertaining to, or designating, an acid obtained by the oxidation of sycoceryl alcohol.
sycoceryl |A radical, of the aromatic series, regarded as an essential ingredient of certain compounds found in the waxy resin of an Australian species of fig.
sycock |The missel thrush. [Prov. Eng.]
